index,plaintext_hex
0,3d9e79b5d36781cf671eaac48c8f5956a46ba12c49408f537dd2c447c9cf1e0905d72d1d9b11b10d31cb9c102884e562f115a25cb0e3408adc6aa936069634a7ba15c92618c57ac6fa9226f4d23473f665be5db125b7741780c66d8a37b45d46631d26ac35edb0a7785cf9df4503308f35f8280457bf926daf2b0fb39bfda6a925daf80d55d22e9ba467c216c85f78fb4b38b55f58d1e86db2d4ac49ce15b958686424d2a1b16d75b34a2fde4918ea51719dbcab75a72d25f2f0ff2e4fa2ecea9f77028fc21f45aa3bc4861cd64bf5feceb35f5f28a6d1175e800608f5dd823ab5eff2a57dac161ed0f3038242df8b18b9d9501a5750ad4c707037d2a33cee0a
1,c08194a57e19bf4eb5798cd1466f3583715fb44cc863a8c1297f4fb81ebb3358d157a378a1c8465a2d917641df69cfa6c86c88370da8bbb6b0ad3bc9d965867e720694f2d22bf5ee82485ac20c9a91c3a2b5c5ac8aa1f51d5fddc802decf213eb98cad875000259f9ce4d70db8fed756a918ebd647e5d6aa713357f0afa438e7b0829ed4377a2290b9449852677b6e50717e033ec0d2743e3ad206d3f11707103765f12188b92f7d6dfa4139bccede0fbe5e95a70ee9d5d6af18d294fa2350c292253345330447051a88c5dc50c6c3edaaeb955afbf17b869c3c8202193c31a065ae71ef8ba32fc52ae613c907f296a05654d046440c11d26b7ed55949783f58
2,f38e8d21ed158786d59f898a641651d59c94815d0e0b076a1131a6031eebe0c80fef9ae64d9f9035f9a276d81ce4bc661f4c82847ac785202c6fddb1ede7d6182b3765f07ebd70307bcb782c591e650b80f16c64e06190f7855f875f03aba21f76241b3cbe2a1bb2d87b6ee2b4527a901cdf0fc40933235238330076e2a34251bcef082f94195ba96c3f3defe6a9d3287d470afb6ab3f2ed336379287078a1c5511b638a96f01c280b1fc06173db9bb12c6f7f6c0e209ef348bcb0114624d7e9e03276591c323b94bef664cd3edf3125a07ef4346ee776920a458c3980d54c4145e89b5066a2e9375766968b46aa95bd129fe31d1f7ecedac89a753e6ae25d2f
3,f0e7d84134aac38891c445e7085fbdcd7a8b0500d5a9d3a9d0584bd1deb5a77dd0978733241df77b1bc03ecfe720f96288b25e228695bb22fbb09b473976a37929c75bba581d1d6952de53b6fab31ad28168e46de646d2d6e3a1a34a8d6ad95187977c3fd2027d359d3e7e107db72739761404e4bbd825b00f8089843311bed19799bdca9d192144609ddeee9695bc579c07a4f60c0f899ec00ba4df1f879b5226b5a218dea4ee815e6c64336df9831e88b7828325049238610fd960ed5e52442b35f4b6e98fa81678ff05fb8f3d887c93e1999347943bf1b13da80e75bfbb85c2313f85cd20f011e3648406057f3baba0d973d77f942871c302a069d4cfb7a2
4,68fd35ff6f40787e27ff49d7cfd5401c0003b163077e1959b2bef2c532e221749b68fc7dbb39b7112dd4d5ef507c7b4611be459fd54eb0f2c4a2319725f1577576f1c14ee46f8280a02f3c22d0910744d2ea37961d13520241b33054d8719ebfe9a4c8fbc937a437fdbdb9a17e066005de915cf8d61d67a8b35b1230c22dd911cce7823d525085b63704494e45c170469effccfc38158895913dabcc7cadd0d80fe8247efc3028e000d3c8eed9e4a92e6817eff1538c0488c5dd3c41616b028ccaa371f38eb9b6014aba8eec6a2c2788ba1ff3544d0aab6b9707d8f1157fccd7d35d8999554bf94a943fcb9ad5733fba3e6151af32e38c216f6acb3e57bb8fcd
5,35630834af49392cf3a9f56fb922f638413107faac9b15790ca57d5e04a73c17ae3312ff7a556b12f5af10ba315fd64810cb13e1113608d35b9c6e34a5e0e26fc0a0218bb01707ed2054b40aff33194ae156ec082c11205109f7369e209244e0193010b03141fa8393787d82255ce4bcbb49dc7ef439b5931a653f0d892bfe3b1b7ff9ec3bb5aa1b1f7a0dc0f3a42c8ffe1b8e4b20c4a9a002c5a9f427298ba9c65f3562dc6b91806f182920ac632eb12255159f0f660c5294ac52f4c826ff16e40979828716bbf30e347a42f63457153eb84815ea1787a795e5c925c5a93116b03a7e377c2cc6295ab0676299ac6d09f0b9f40e8c7b2e56f97c00dcd8fa3e95
6,97b94a1b06cb8ea9bd4b3b0b3ad4c823d512928976158a6390cc67c892890f70a404648f3a71b49315f1bbcd3619dca138cd0f99e04f3e34ae2ae5b32e94917fe2a4332c93a1af5ff458723ab6f819cdfaed9f56fe92e3c22d40b55536f6e4a0a8c3c5e2ef51e4e045bca1003df492e86f6909684521d8bfdfeb3a703a60f55ce1044c5eab60beff5afced45ce062d0b2361c636936cd4c9b21625d41d520cad8bf8c9b8658087760d0b8431df91b9d0ae175582adee40998dfcf6a01fbd52fca911d9f9b75f013db3a62bf4709c3d1781340a6a9962864f382d98fe43bb7338e080fe449e59f10a93cb2da6bba20ddfa257e26c4e3a5f4b40d623cf8d647176
7,2c0cfc75fb2c18ca49bd120ed71cdfc3ed93ef9fa08832561fa65993b0c539a0049e9ea929d7cf276d36b0785153ed2a04c91deb284c07c77ba7c52a630b01b06f35f8ca6d2f5bc434558bb1c97666c07da8de18a35890d912da3364226f5298c736f4dce3ccf0e64285570e0e1c60ebaecd6b5ee2598daaf097286f36d37b112d63c746bbd552c48190019ba7dd02a85e7a4ac8663b45966b570696a95d557d0c3967891fabdaaae839357152a9b8453aa267c9bea199b99dba4310695e2c398391513029bfb102e7629c7794ebac2342ebd48ebd5fb441f140a58184a5bb42e2413f088297a9ffdae385066c0ffcdfb1071207ffe7dcf7c2299bd14b3fe00e
8,5c4d184c93c93391dbe33adb8078ef53432cd29e5cf146b6b3087deabec2deee4b59c6563fb8d93dfa69b6173610498318ef2843efa0060725da450f9b71f52acc7d2b5eb87e2507bb6e44b895c9c1056e500f4abc3a8098d38c0f2b8db601f1bdf1bc09de6176e2b8203f2ffc6e2a2d58a534010ccc326be68478711a88b221631d716cc3546d413521042d18b3d8eae5db703384ea1d2c923774dcf122387bd93838ee1a8fe2036189a6dbe541d3bff4755a75e9c296fc0512a354ff683ff15c1abbcf80455ee775ce9c463d750657b643bd5a36e963c9f42ccd53a9d7bc809f29c87c3c4a22313c672f7271c0b76a97b236870788720a030d64adc027a77c
9,4e72f5db40b9637c1760dc8b63b97080bd2154b581cc8565258eec95fa7c8296f6fadec198f4d372b5b83424876d1281efb50eb73e5f010a0ab6d75c05b1c11d906b87a7994aed17d7ec317bd729cf715620267d1a2f29b0b50baeb71a28e535e515fa6f6da4a370fc7be05741a9dc5e0de0c6fa542a26e1263326db593d17e86e9beddd45d8ac13c36685de4aa55ef0db1cbb6df720106a786cebff323fb584564573b71ca83ad026a4b2ce1153330868b2be0ec5760ef4e0aa0e1b34dfce86da898e6a64738354f918042f840d1aa5929c9fbbca7a58bf9afcaf7d126277f007727d1637241e4b38c54f9c56bf4bc20562e5d706c5f74e421557396411b999
