fault_id,fault_type,affected_bus,fault_resistance_ohm,inception_sample,fault_location_pct
0,normal,1,0.0,167,9.42
1,normal,10,0.0,167,58.71
2,normal,10,0.0,167,16.23
3,normal,30,0.0,167,51.02
4,normal,10,0.0,167,93.4
5,normal,1,0.0,167,96.69
6,normal,1,0.0,167,65.25
7,normal,1,0.0,167,65.58
8,normal,30,0.0,167,23.68
9,normal,5,0.0,167,78.62
10,normal,30,0.0,167,55.03
11,normal,30,0.0,167,10.48
12,normal,5,0.0,167,8.61
13,normal,30,0.0,167,49.27
14,normal,5,0.0,167,54.42
15,normal,1,0.0,167,39.38
16,normal,10,0.0,167,84.58
17,normal,30,0.0,167,18.63
18,normal,1,0.0,167,86.33
19,normal,5,0.0,167,43.38
20,normal,5,0.0,167,69.32
21,normal,5,0.0,167,20.04
22,normal,10,0.0,167,85.84
23,normal,1,0.0,167,94.17
24,normal,30,0.0,167,47.25
25,normal,30,0.0,167,59.8
26,normal,5,0.0,167,97.58
27,normal,1,0.0,167,47.66
28,normal,10,0.0,167,74.03
29,normal,30,0.0,167,20.42
30,normal,30,0.0,167,71.56
31,normal,30,0.0,167,21.99
32,normal,1,0.0,167,56.48
33,normal,10,0.0,167,93.32
34,normal,10,0.0,167,7.81
35,normal,1,0.0,167,31.87
36,normal,10,0.0,167,37.23
37,normal,1,0.0,167,8.75
38,normal,30,0.0,167,58.57
39,normal,1,0.0,167,44.45
40,normal,10,0.0,167,40.86
41,normal,10,0.0,167,34.27
42,normal,10,0.0,167,22.75
43,normal,10,0.0,167,88.03
44,normal,30,0.0,167,36.83
45,normal,10,0.0,167,42.8
46,normal,10,0.0,167,66.24
47,normal,30,0.0,167,54.01
48,normal,10,0.0,167,69.63
49,normal,10,0.0,167,83.49
50,normal,5,0.0,167,3.8
51,normal,30,0.0,167,66.32
52,normal,1,0.0,167,32.95
53,normal,5,0.0,167,41.04
54,normal,30,0.0,167,53.19
55,normal,1,0.0,167,17.99
56,normal,5,0.0,167,8.68
57,normal,30,0.0,167,61.49
58,normal,30,0.0,167,97.37
59,normal,5,0.0,167,29.43
60,normal,5,0.0,167,68.49
61,normal,10,0.0,167,85.75
62,normal,10,0.0,167,37.51
63,normal,5,0.0,167,39.64
64,normal,10,0.0,167,96.44
65,normal,1,0.0,167,49.12
66,normal,1,0.0,167,24.01
67,normal,10,0.0,167,59.93
68,normal,10,0.0,167,23.99
69,normal,5,0.0,167,76.76
70,normal,1,0.0,167,7.69
71,normal,5,0.0,167,45.95
72,normal,1,0.0,167,60.83
73,normal,10,0.0,167,0.08
74,normal,1,0.0,167,50.77
75,normal,1,0.0,167,51.34
76,normal,5,0.0,167,53.04
77,normal,5,0.0,167,75.66
78,normal,5,0.0,167,57.77
79,normal,5,0.0,167,59.36
80,normal,30,0.0,167,82.25
81,normal,1,0.0,167,17.59
82,normal,30,0.0,167,65.56
83,normal,5,0.0,167,10.07
84,normal,5,0.0,167,12.3
85,normal,10,0.0,167,31.66
86,normal,10,0.0,167,7.97
87,normal,10,0.0,167,77.62
88,normal,10,0.0,167,75.33
89,normal,5,0.0,167,8.18
90,normal,30,0.0,167,83.6
91,normal,10,0.0,167,59.81
92,normal,30,0.0,167,30.26
93,normal,5,0.0,167,22.34
94,normal,30,0.0,167,83.6
95,normal,5,0.0,167,46.74
96,normal,10,0.0,167,86.36
97,normal,5,0.0,167,94.98
98,normal,10,0.0,167,60.54
99,normal,5,0.0,167,53.97
100,SLG,1,5.4638,167,90.83
101,SLG,30,48.8419,167,88.2
102,SLG,5,3.0784,167,7.23
103,SLG,10,13.5032,167,68.14
104,SLG,30,19.0144,167,15.88
105,SLG,1,39.1277,167,28.28
106,SLG,1,27.5434,167,94.42
107,SLG,5,13.1293,167,19.85
108,SLG,10,46.5463,167,73.23
109,SLG,10,18.0711,167,47.9
110,SLG,10,13.1032,167,78.91
111,SLG,10,27.248,167,94.99
112,SLG,5,33.0075,167,7.9
113,SLG,1,41.5463,167,72.45
114,SLG,30,0.3226,167,75.56
115,SLG,1,43.1129,167,90.28
116,SLG,5,38.963,167,98.56
117,SLG,30,28.8625,167,38.31
118,SLG,1,29.5376,167,36.31
119,SLG,30,36.1914,167,17.31
120,SLG,10,11.7449,167,59.47
121,SLG,5,1.4617,167,50.31
122,SLG,10,17.84,167,96.49
123,SLG,10,28.9119,167,11.83
124,SLG,30,8.553,167,67.28
125,SLG,30,32.5101,167,37.73
126,SLG,5,2.0371,167,34.78
127,SLG,30,38.1383,167,20.42
128,SLG,30,47.927,167,97.34
129,SLG,30,37.9749,167,54.91
130,SLG,5,46.1621,167,36.98
131,SLG,30,25.3588,167,63.38
132,SLG,5,41.6392,167,53.97
133,SLG,10,26.3647,167,31.49
134,SLG,1,7.4893,167,35.98
135,SLG,10,15.7429,167,16.82
136,SLG,10,2.4159,167,59.46
137,SLG,30,47.0256,167,14.19
138,SLG,1,33.4385,167,52.73
139,SLG,10,29.4956,167,54.38
140,SLG,30,15.9913,167,29.06
141,SLG,30,45.1413,167,74.6
142,SLG,5,29.2245,167,23.73
143,SLG,5,26.8811,167,18.18
144,SLG,1,31.7738,167,95.43
145,SLG,10,17.5701,167,57.69
