date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,30.0000,30.1434,29.6262,30.0000,7771027,0.000000,,0.000000,,,,
2010-01-05,30.1500,30.1665,29.7969,30.1184,11411694,0.003946,,0.009443,,,,
2010-01-06,29.8628,29.8628,29.3329,29.5135,10326905,-0.020084,,-0.031521,,,,
2010-01-07,29.5583,30.2976,29.5583,29.8767,13935337,0.012308,,-0.034280,,,,
2010-01-08,29.7433,30.8333,29.7433,30.4032,12200022,0.017622,,0.005948,,,,
2010-01-11,30.1737,30.1737,28.8290,29.4064,17107698,-0.032785,,-0.042116,,,,
2010-01-12,29.4435,29.4435,28.2587,28.6228,9855307,-0.026649,,-0.141807,,,,
2010-01-13,28.5722,28.7132,28.5722,28.6445,13827082,0.000758,,-0.216566,,,,
2010-01-14,28.7715,28.7715,28.0269,28.5614,18678537,-0.002898,,-0.279292,,,,
2010-01-15,28.3699,28.6226,28.3699,28.5619,10163249,0.000014,,-0.325221,,,,
2010-01-18,28.4474,28.4474,27.9547,28.0599,12636616,-0.017574,,-0.397541,,,,
2010-01-19,27.7054,28.7544,27.7054,28.6389,8344579,0.020633,,-0.403485,,,,
2010-01-20,28.3079,29.3052,28.3079,29.0342,13978780,0.013803,,-0.372010,,,,
2010-01-21,29.3105,29.4564,28.8030,29.0951,14178700,0.002099,,-0.338250,,,,
2010-01-22,29.4159,29.7911,29.4159,29.7042,9523759,0.020933,,-0.259360,,,,
2010-01-25,29.7187,30.3823,29.7187,29.9300,12375722,0.007602,49.552682,-0.176584,,,,
2010-01-26,29.7995,29.7995,29.3747,29.4427,11763234,-0.016279,45.213463,-0.148586,,,,
2010-01-27,29.3962,30.0511,29.3962,29.7682,11865338,0.011055,48.460349,-0.098993,,,,
2010-01-28,29.9058,29.9058,29.2421,29.3375,13681494,-0.014470,44.685987,-0.093371,,,,
2010-01-29,29.2576,29.9920,29.2576,29.8474,12699899,0.017382,49.682420,-0.047223,29.328334,,0.016220,
2010-02-01,29.8849,29.9089,29.7909,29.8612,9613794,0.000463,49.814596,-0.009428,29.321395,,0.016221,
2010-02-02,29.8592,29.8592,29.5340,29.7072,13171167,-0.005157,48.291019,0.008008,29.300838,,0.016229,
2010-02-03,29.6178,29.6178,29.2039,29.4370,14594233,-0.009098,45.651791,0.000017,29.297013,,0.015711,
2010-02-04,29.3550,30.1354,29.3550,30.0261,9315609,0.020012,51.831205,0.040750,29.304480,,0.016118,
2010-02-05,30.0727,30.1955,29.5418,29.9668,10093260,-0.001974,51.200355,0.067469,29.282659,,0.015602,
2010-02-08,29.8119,29.8119,29.2071,29.6463,6196987,-0.010693,47.812516,0.062072,29.294655,,0.013892,
2010-02-09,29.7172,30.1059,29.2175,29.3441,12520674,-0.010195,44.801454,0.033027,29.330721,,0.012629,
2010-02-10,29.2709,30.0815,29.2709,29.6428,15167598,0.010179,48.268725,0.033720,29.380637,,0.012782,
2010-02-11,29.6628,29.8657,29.4037,29.7875,9483180,0.004883,49.910851,0.045427,29.441942,,0.012750,
2010-02-12,30.0057,30.1017,29.6934,29.8847,10578246,0.003263,51.034820,0.061835,29.508086,,0.012742,
2010-02-15,29.8581,30.4481,29.8581,30.1492,9774905,0.008849,54.055393,0.095081,29.612550,,0.011911,
2010-02-16,30.2959,31.5372,30.2959,31.4439,10825701,0.042942,65.331525,0.223323,29.752798,,0.014374,
2010-02-17,31.1457,31.4706,31.1122,31.3152,10940629,-0.004091,63.659888,0.310992,29.866850,,0.014339,
2010-02-18,31.2373,31.2373,30.9173,31.0235,8271742,-0.009317,59.914928,0.352860,29.963267,,0.014638,
