date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,50.0000,50.1429,49.9675,50.0000,10110504,0.000000,,0.000000,,,,
2010-01-05,49.8163,50.3213,49.8163,50.2058,11983218,0.004116,,0.016418,,,,
2010-01-06,50.4757,50.4757,49.4743,49.5875,15022971,-0.012316,,-0.020232,,,,
2010-01-07,49.5500,50.6648,49.5500,50.0575,10280869,0.009478,,-0.011223,,,,
2010-01-08,50.0221,50.8789,50.0221,50.6489,7299720,0.011815,,0.043144,,,,
2010-01-11,50.6047,50.6047,49.3693,49.4707,9298673,-0.023263,,-0.008743,,,,
2010-01-12,49.6233,49.6233,48.6079,48.6988,10486020,-0.015603,,-0.110873,,,,
2010-01-13,48.8810,48.8860,48.5845,48.7807,7878075,0.001683,,-0.183089,,,,
2010-01-14,48.7444,48.8496,48.3027,48.6058,8775517,-0.003585,,-0.251533,,,,
2010-01-15,48.6826,48.8451,48.4776,48.6028,8709880,-0.000063,,-0.302534,,,,
2010-01-18,48.5927,48.5927,47.6406,48.1154,6799165,-0.010028,,-0.377924,,,,
2010-01-19,48.0334,48.8520,48.0334,48.6519,17091511,0.011150,,-0.389889,,,,
2010-01-20,48.3551,49.1729,48.3551,49.1218,7351706,0.009660,,-0.357330,,,,
2010-01-21,48.8994,49.2990,48.7103,49.1753,10686431,0.001089,,-0.323480,,,,
2010-01-22,49.1578,49.8917,49.1578,49.8686,9905962,0.014097,,-0.237973,,,,
2010-01-25,49.8263,50.3542,49.8119,50.1634,8967201,0.005912,51.397999,-0.144750,,,,
2010-01-26,50.3157,50.3157,49.5036,49.6571,11300113,-0.010093,47.230035,-0.110451,,,,
2010-01-27,49.4257,50.1180,49.4257,49.8858,15427723,0.004607,49.233250,-0.064071,,,,
2010-01-28,50.2754,50.2754,49.2692,49.3160,20975815,-0.011422,44.683188,-0.072458,,,,
2010-01-29,49.4092,49.9671,49.4092,49.8567,7465454,0.010963,49.456272,-0.035075,49.423514,,0.010576,
2010-02-01,49.7303,50.1961,49.6124,49.8371,7789811,-0.000393,49.290212,-0.006949,49.415368,,0.010576,
