date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.2476,24.9871,25.0000,10936401,0.000000,,0.000000,,,,
2010-01-05,25.0455,25.2300,25.0412,25.1410,14069715,0.005641,,0.011250,,,,
2010-01-06,25.1000,25.1000,24.4913,24.7093,6506184,-0.017174,,-0.014508,,,,
2010-01-07,24.7845,25.0525,24.7845,25.0327,7716648,0.013092,,-0.008718,,,,
2010-01-08,24.9968,25.5519,24.9968,25.4454,13759602,0.016485,,0.028836,,,,
2010-01-11,25.5131,25.5131,24.5314,24.6225,22219116,-0.032340,,-0.007714,,,,
2010-01-12,24.8064,24.8064,24.0317,24.0851,10487289,-0.021827,,-0.079133,,,,
2010-01-13,24.1085,24.3897,24.1085,24.1455,10484724,0.002507,,-0.129369,,,,
2010-01-14,24.1587,24.1604,23.9456,24.0232,19080956,-0.005064,,-0.177009,,,,
2010-01-15,23.9668,24.3102,23.7173,24.0160,11208741,-0.000301,,-0.212892,,,,
2010-01-18,24.0494,24.0494,23.5279,23.6762,13974924,-0.014149,,-0.265686,,,,
2010-01-19,23.6584,24.1138,23.6584,24.0419,9478500,0.015449,,-0.274842,,,,
2010-01-20,24.0435,24.3719,24.0435,24.3709,8113945,0.013684,,-0.252639,,,,
2010-01-21,24.2660,24.5156,24.0924,24.3999,15512607,0.001189,,-0.230054,,,,
2010-01-22,24.4945,25.0388,24.4945,24.8772,7395932,0.019561,,-0.171663,,,,
2010-01-25,24.8189,25.2924,24.8189,25.0811,6018657,0.008199,51.048120,-0.107688,,,,
2010-01-26,25.1258,25.1258,24.6148,24.7253,12235720,-0.014188,46.861664,-0.084725,,,,
2010-01-27,24.7650,24.9489,24.7447,24.8859,4856000,0.006494,48.898256,-0.052959,,,,
2010-01-28,24.8985,24.8985,24.3276,24.4912,12980982,-0.015859,44.394594,-0.058952,,,,
2010-01-29,24.4958,24.9798,24.4958,24.8657,8348797,0.015290,49.177414,-0.033103,24.581794,,0.014743,
2010-02-01,24.8314,25.0062,24.7455,24.8491,5204455,-0.000667,48.976398,-0.013798,24.574248,,0.014743,
2010-02-02,24.9053,24.9053,24.6568,24.7794,23240684,-0.002802,48.087945,-0.004071,24.556169,,0.014688,
2010-02-03,24.8757,24.8757,24.2777,24.5052,9518032,-0.011066,44.653025,-0.018277,24.545967,,0.014386,
2010-02-04,24.5328,25.1163,24.5328,25.0288,12720100,0.021366,51.741374,0.012568,24.545771,,0.014902,
2010-02-05,24.9939,25.0996,24.9377,24.9685,5636838,-0.002410,50.932057,0.031779,24.521926,,0.014399,
2010-02-08,24.9576,24.9693,24.6453,24.7910,13746157,-0.007110,48.526432,0.032307,24.530349,,0.012471,
2010-02-09,24.8027,24.8027,24.6025,24.6505,11332059,-0.005666,46.648975,0.021147,24.558620,,0.011434,
2010-02-10,24.7193,25.0027,24.7193,24.8813,7433794,0.009362,50.067088,0.030572,24.595410,,0.011576,
2010-02-11,24.9806,25.2956,24.9806,25.0403,7355311,0.006392,52.333465,0.050294,24.646266,,0.011514,
2010-02-12,25.1877,25.3329,25.0898,25.2253,10284598,0.007389,54.898338,0.079932,24.706735,,0.011557,
2010-02-15,25.2441,25.5557,25.2441,25.4180,13867755,0.007637,57.464842,0.117611,24.793826,,0.010912,
2010-02-16,25.4232,26.4865,25.4232,26.3626,11069382,0.037165,67.292868,0.221148,24.909861,,0.013027,
2010-02-17,26.4188,26.4188,26.1253,26.1863,15328970,-0.006690,64.305535,0.285678,25.000629,,0.013084,
2010-02-18,26.1580,26.1580,25.8932,25.9665,9882828,-0.008392,60.690168,0.315449,25.078960,,0.013352,
2010-02-19,25.8119,25.8840,25.4221,25.6191,8492818,-0.013379,55.388588,0.307467,25.116056,,0.013259,
2010-02-22,25.7027,25.8937,25.7027,25.8928,5873494,0.010682,58.466548,0.319540,25.156638,,0.013336,
2010-02-23,26.0271,26.4765,26.0271,26.4041,15497620,0.019746,63.529202,0.366144,25.240577,,0.013370,
2010-02-24,26.3001,26.4052,26.0846,26.3659,8225895,-0.001446,62.912545,0.395438,25.314578,,0.013390,
2010-02-25,26.4515,26.4515,25.8680,25.9976,13707262,-0.013967,57.150069,0.384508,25.389900,,0.013256,
2010-02-26,25.9883,25.9883,25.4200,25.6438,14374053,-0.013610,52.202561,0.343337,25.428808,,0.013428,
2010-03-01,25.6703,25.9586,25.6703,25.9344,8496436,0.011330,55.601628,0.330346,25.483074,,0.013587,
2010-03-02,25.8447,26.3036,25.8447,26.2740,6197698,0.013094,59.249238,0.343493,25.557800,,0.013742,
