date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.4850,24.9179,25.0000,11404047,0.000000,,0.000000,,,,
2010-01-05,24.9670,25.5802,24.9670,25.1879,10568377,0.007517,,0.014991,,,,
2010-01-06,25.2642,25.3543,24.9688,25.1987,10508049,0.000429,,0.027426,,,,
2010-01-07,25.0811,26.1768,25.0811,25.7646,13609789,0.022457,,0.081999,,,,
2010-01-08,25.9609,26.7622,25.9609,26.7603,19271009,0.038647,,0.203252,,,,
2010-01-11,26.8638,26.8638,25.9764,26.0333,10210262,-0.027167,,0.237941,,,,
2010-01-12,26.0348,26.0493,25.9238,25.9710,7335216,-0.002396,,0.257432,,,,
2010-01-13,25.8868,26.2629,25.8584,25.8603,23727532,-0.004260,,0.260944,,,,
2010-01-14,25.9255,25.9358,25.7227,25.8236,9388980,-0.001419,,0.257794,,,,
2010-01-15,25.7146,26.1177,25.4559,25.8762,8580331,0.002035,,0.256581,,,,
2010-01-18,25.8495,25.8495,24.9636,25.0467,12418147,-0.032055,,0.186539,,,,
2010-01-19,25.0532,25.4842,25.0532,25.3111,13020716,0.010554,,0.150625,,,,
2010-01-20,25.3136,25.8516,25.1052,25.2470,8277460,-0.002532,,0.115659,,,,
2010-01-21,25.4038,25.4038,25.0918,25.1315,11152050,-0.004574,,0.077733,,,,
2010-01-22,25.0930,25.2146,24.9832,25.0960,7753098,-0.001412,,0.044302,,,,
2010-01-25,24.9898,25.6418,24.9898,25.5561,26444514,0.018332,56.494372,0.054306,,,,
2010-01-26,25.5582,25.5582,24.8587,24.9830,6506230,-0.022424,49.299444,0.015810,,,,
2010-01-27,24.8701,24.8701,24.2272,24.3674,13468429,-0.024643,42.968185,-0.063643,,,,
2010-01-28,24.3961,24.3961,23.6028,23.9429,5326585,-0.017422,39.227207,-0.159032,,,,
2010-01-29,24.2279,24.2279,23.8109,23.8559,8613391,-0.003633,38.487795,-0.238893,25.300692,,0.017255,
2010-02-01,24.0304,24.0304,23.4107,23.6632,11248638,-0.008077,36.831612,-0.314111,25.233852,,0.017296,
2010-02-02,23.6674,23.8513,23.3847,23.5576,8985071,-0.004461,35.919617,-0.377884,25.152338,,0.017133,
2010-02-03,23.3500,23.3500,22.9782,23.2677,12066402,-0.012308,33.468407,-0.446673,25.055786,,0.017228,
2010-02-04,23.4792,23.8638,23.3920,23.7771,18358515,0.021895,41.076763,-0.454837,24.956412,,0.017183,
2010-02-05,23.8536,23.9808,23.4520,23.7377,15000456,-0.001657,40.689322,-0.459193,24.805282,,0.014004,
2010-02-08,23.7708,23.7708,23.3282,23.4465,7808895,-0.012268,37.846958,-0.480604,24.675941,,0.013185,
2010-02-09,23.4977,23.4977,22.8846,22.9212,12091197,-0.022407,33.324521,-0.533810,24.523450,,0.013714,
2010-02-10,22.8968,23.4285,22.7642,23.0307,10770191,0.004779,35.066691,-0.560675,24.381967,,0.013927,
2010-02-11,22.9167,22.9167,22.6240,22.8226,12770824,-0.009034,33.287570,-0.591930,24.231917,,0.013908,
2010-02-12,22.9650,23.0107,22.6021,22.7401,8298031,-0.003618,32.581045,-0.616259,24.075111,,0.013792,
2010-02-15,22.6369,22.9250,22.4054,22.5977,11421262,-0.006261,31.345586,-0.639656,23.952658,,0.012397,
2010-02-16,22.5954,23.4739,22.5954,23.1013,12232849,0.022286,40.010462,-0.610523,23.842168,,0.013410,
2010-02-17,23.1273,23.1273,22.8285,22.9216,10828934,-0.007778,38.159892,-0.595074,23.725898,,0.013422,
2010-02-18,22.9080,22.9080,22.6642,22.8088,6305363,-0.004922,37.002697,-0.585189,23.609762,,0.013422,
2010-02-19,22.9572,22.9572,22.1755,22.4471,7532302,-0.015859,33.495393,-0.599630,23.477313,,0.013620,
