date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0767,24.9299,25.0000,14964047,0.000000,,0.000000,,,,
2010-01-05,24.9797,24.9797,24.8007,24.8350,8576675,-0.006598,,-0.013159,,,,
2010-01-06,24.8229,25.0764,24.6550,24.7777,8288990,-0.002308,,-0.027891,,,,
2010-01-07,24.8345,24.8345,24.4891,24.5588,11357697,-0.008837,,-0.056583,,,,
2010-01-08,24.5141,24.8320,24.5141,24.7136,10964998,0.006305,,-0.066065,,,,
2010-01-11,24.7460,24.7460,24.3299,24.3930,16293136,-0.012972,,-0.098315,,,,
2010-01-12,24.4303,24.4990,24.4303,24.4601,9320054,0.002752,,-0.117107,,,,
2010-01-13,24.3895,24.3895,23.9591,24.0935,16435026,-0.014990,,-0.159744,,,,
2010-01-14,24.1052,24.3954,23.9695,24.1640,17086643,0.002925,,-0.185708,,,,
2010-01-15,24.1361,24.1967,24.0060,24.0509,10658132,-0.004679,,-0.212953,,,,
2010-01-18,24.0416,24.0416,23.8312,23.8877,17956302,-0.006784,,-0.244889,,,,
2010-01-19,23.8859,24.3178,23.8859,24.2196,12621559,0.013892,,-0.240646,,,,
2010-01-20,24.2274,24.2274,24.0452,24.1114,9043261,-0.004465,,-0.243205,,,,
2010-01-21,24.0671,24.5635,24.0671,24.3443,12238224,0.009658,,-0.223862,,,,
2010-01-22,24.3369,24.3905,24.1777,24.3264,13954952,-0.000735,,-0.207584,,,,
2010-01-25,24.3692,24.4850,24.1979,24.3703,9897421,0.001802,37.138992,-0.188968,,,,
2010-01-26,24.4121,24.7206,24.3709,24.4406,11519795,0.002887,39.176779,-0.166617,,,,
2010-01-27,24.3609,24.5974,24.3609,24.5609,9804894,0.004921,42.602683,-0.137612,,,,
2010-01-28,24.5443,24.5443,24.3884,24.4811,10508420,-0.003250,40.953959,-0.119687,,,,
2010-01-29,24.4905,24.7571,24.4905,24.6821,9241850,0.008211,46.562459,-0.088244,24.423547,,0.007458,
2010-02-01,24.6339,24.8560,24.6339,24.8205,8978918,0.005608,50.078555,-0.051562,24.414571,,0.007586,
2010-02-02,24.8440,24.8440,24.5063,24.6804,20242728,-0.005644,46.727484,-0.033410,24.406839,,0.007548,
2010-02-03,24.6590,25.0511,24.6590,24.9888,12091365,0.012497,54.022449,0.005796,24.417394,,0.008048,
2010-02-04,25.0412,25.0456,25.0186,25.0315,7375237,0.001710,54.942832,0.039855,24.441033,,0.007747,
2010-02-05,25.1000,25.1334,25.0899,25.1197,6640021,0.003520,56.861031,0.073114,24.461335,,0.007671,
2010-02-08,25.1289,25.4733,25.1256,25.2455,14283683,0.005008,59.511402,0.108375,24.503958,,0.006990,
2010-02-09,25.2383,25.2383,24.6953,24.8583,15764551,-0.015336,49.443919,0.103881,24.523865,,0.007956,
2010-02-10,24.8798,25.0449,24.8429,24.9540,12098891,0.003850,51.622566,0.106810,24.566891,,0.007047,
2010-02-11,24.9630,25.1012,24.9630,25.0632,10689479,0.004376,54.055562,0.116600,24.611853,,0.007067,
2010-02-12,25.0746,25.0746,24.9258,24.9662,7224290,-0.003869,51.574968,0.115205,24.657620,,0.007030,
2010-02-15,24.9499,25.0630,24.9499,25.0132,7288373,0.001880,52.706207,0.116543,24.713893,,0.006727,
2010-02-16,24.9534,25.5249,24.9534,25.4822,13239067,0.018750,62.206048,0.153676,24.777022,,0.007235,
2010-02-17,25.4932,25.4932,25.3394,25.3571,7103755,-0.004906,58.814822,0.171045,24.839308,,0.007259,
2010-02-18,25.4564,25.4564,25.1037,25.1843,10591475,-0.006816,54.398953,0.168916,24.881307,,0.007343,
2010-02-19,25.2119,25.2119,24.8313,24.9578,10439794,-0.008993,49.187307,0.147255,24.912877,,0.007712,
2010-02-22,24.8353,24.9891,24.8353,24.9174,10562931,-0.001621,48.297334,0.125379,24.940232,,0.007738,
2010-02-23,25.0666,25.0666,24.6396,24.8456,8861388,-0.002879,46.684039,0.101088,24.960482,,0.007777,
2010-02-24,24.8439,25.0080,24.7772,24.8420,10582949,-0.000147,46.598477,0.080613,24.974536,,0.007720,
2010-02-25,24.8305,24.8305,24.5101,24.5489,9944824,-0.011798,40.241599,0.040272,24.977927,,0.008168,
2010-02-26,24.4789,24.6148,24.4400,24.5088,13620696,-0.001634,39.448202,0.005007,24.969261,,0.007951,
2010-03-01,24.3871,24.8652,24.3871,24.7247,11831163,0.008813,45.659498,-0.005449,24.964475,,0.008108,
2010-03-02,24.7063,24.9043,24.7063,24.8552,11579920,0.005277,49.058540,-0.003171,24.973215,,0.008087,
2010-03-03,24.8397,25.0017,24.6958,24.7630,8278705,-0.003710,46.829154,-0.008706,24.961925,,0.007607,
