date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,5.0000,5.0528,4.9994,5.0000,11221107,0.000000,,0.000000,,,,
2010-01-05,5.0274,5.0874,5.0150,5.0326,12025965,0.006511,,0.002597,,,,
2010-01-06,5.0649,5.0649,4.8834,4.9253,13828057,-0.021307,,-0.003952,,,,
2010-01-07,4.9247,5.0394,4.9247,5.0032,13008832,0.015810,,-0.002826,,,,
2010-01-08,4.9695,5.1262,4.9695,5.1033,9027551,0.020006,,0.006073,,,,
2010-01-11,5.0916,5.0916,4.8812,4.9008,21650769,-0.039686,,-0.003180,,,,
2010-01-12,4.9226,4.9226,4.7456,4.7708,9089680,-0.026510,,-0.020758,,,,
2010-01-13,4.7803,4.8123,4.7106,4.7844,8801356,0.002852,,-0.033207,,,,
2010-01-14,4.7500,4.7673,4.7474,4.7537,7915585,-0.006430,,-0.045036,,,,
2010-01-15,4.7408,4.7603,4.7408,4.7535,6091171,-0.000049,,-0.053810,,,,
2010-01-18,4.7389,4.7389,4.6515,4.6697,8763956,-0.017627,,-0.066754,,,,
2010-01-19,4.6983,4.7899,4.6983,4.7568,13703386,0.018668,,-0.069181,,,,
2010-01-20,4.7515,4.8551,4.7515,4.8356,13456415,0.016552,,-0.064013,,,,
2010-01-21,4.8248,4.8678,4.7790,4.8422,11448159,0.001367,,-0.058708,,,,
2010-01-22,4.8323,5.0278,4.8323,4.9586,7668942,0.024050,,-0.044592,,,,
2010-01-25,4.9722,5.0144,4.9673,5.0078,18479446,0.009916,50.517107,-0.029102,,,,
2010-01-26,4.9851,4.9851,4.9086,4.9198,7048924,-0.017570,46.300606,-0.023653,,,,
2010-01-27,4.9656,4.9656,4.9094,4.9586,14875875,0.007884,48.347481,-0.016020,,,,
2010-01-28,4.9513,4.9513,4.8393,4.8617,16078611,-0.019551,43.848744,-0.017591,,,,
2010-01-29,4.8413,4.9940,4.8413,4.9522,10025255,0.018616,48.652115,-0.011402,4.889524,,0.018040,
2010-02-01,4.9290,4.9618,4.9200,4.9477,11549329,-0.000909,48.430176,-0.006782,4.886907,,0.018040,
2010-02-02,4.9227,4.9895,4.8838,4.9297,12962764,-0.003621,47.501465,-0.004515,4.881767,,0.017979,
2010-02-03,4.9513,4.9513,4.8087,4.8603,9894966,-0.014080,43.982616,-0.008224,4.878517,,0.017615,
2010-02-04,4.8389,5.0331,4.8389,4.9871,13779418,0.026078,51.105330,-0.000925,4.877712,,0.018254,
2010-02-05,4.9702,4.9751,4.9630,4.9717,7566351,-0.003091,50.268225,0.003574,4.871131,,0.017642,
2010-02-08,5.0137,5.0137,4.9101,4.9275,14389207,-0.008891,47.847870,0.003532,4.872466,,0.015290,
2010-02-09,4.9655,4.9655,4.8364,4.8913,8025810,-0.007332,45.902441,0.000577,4.878491,,0.014067,
2010-02-10,4.8976,4.9819,4.8812,4.9460,7713824,0.011180,49.264847,0.002618,4.886570,,0.014236,
