date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,140.0000,140.5343,138.6090,140.0000,12191763,0.000000,,0.000000,,,,
2010-01-05,138.6298,142.6472,138.6298,142.3664,10048593,0.016903,,0.188776,,,,
2010-01-06,143.2906,144.5786,142.7280,143.3804,18098443,0.007122,,0.415412,,,,
2010-01-07,143.3370,143.3370,140.5473,142.0273,10466751,-0.009437,,0.480305,,,,
2010-01-08,140.8144,144.4162,140.8144,143.8710,10084032,0.012981,,0.672747,,,,
2010-01-11,143.3759,143.3759,142.7266,143.1707,15028454,-0.004868,,0.759986,,,,
2010-01-12,143.2743,145.7865,143.2743,145.7332,11173371,0.017899,,1.024097,,,,
2010-01-13,145.0150,146.8647,145.0150,145.5074,7805108,-0.001549,,1.201339,,,,
2010-01-14,145.7516,145.7516,144.5087,145.1885,6385437,-0.002192,,1.301070,,,,
2010-01-15,146.1349,147.2654,146.1349,146.7360,8052775,0.010659,,1.487828,,,,
2010-01-18,147.4096,148.9138,145.9339,148.8257,6193507,0.014241,,1.783894,,,,
2010-01-19,148.7692,151.4153,148.7692,150.7837,10361769,0.013156,,2.151715,,,,
2010-01-20,151.8856,152.6564,151.0494,152.2250,13559575,0.009559,,2.530350,,,,
2010-01-21,152.3437,152.3437,150.7821,150.9589,8781795,-0.008317,,2.697165,,,,
2010-01-22,150.8192,151.6687,150.8192,151.4596,21729472,0.003317,,2.837067,,,,
2010-01-25,151.3407,154.3162,149.9380,151.6447,6576133,0.001222,80.068207,2.929115,,,,
2010-01-26,151.6761,152.9306,150.6460,152.4059,12017588,0.005019,80.936246,3.028572,,,,
2010-01-27,152.7171,155.7571,152.7171,153.9467,11970540,0.010110,82.589195,3.194894,,,,
2010-01-28,153.1778,153.1778,148.9405,151.2020,9592827,-0.017829,70.810947,3.069845,,,,
2010-01-29,152.0690,158.6417,152.0690,154.2956,10519869,0.020460,75.118109,3.183667,147.786448,,0.010226,
2010-02-01,155.3143,155.6621,152.9470,153.8438,16708759,-0.002928,73.414495,3.200527,148.478640,,0.010321,
2010-02-02,155.8152,155.8152,153.2458,153.2752,14052348,-0.003696,71.224668,3.131899,149.024077,,0.010072,
2010-02-03,151.8431,157.4899,151.8431,154.4132,13731986,0.007424,72.962665,3.133217,149.575715,,0.010078,
2010-02-04,154.4010,159.7921,154.4010,158.0832,8450865,0.023768,77.650919,3.391311,150.378507,,0.010515,
2010-02-05,157.3719,161.0264,157.2951,158.8021,11867086,0.004548,78.439575,3.612221,151.125061,,0.010363,
2010-02-08,159.3064,165.4199,159.3064,163.1373,14520125,0.027299,82.459303,4.089960,152.123390,,0.011213,
2010-02-09,164.1518,164.1518,157.5243,157.9244,15035655,-0.031954,66.422761,4.001807,152.732948,,0.013811,
2010-02-10,157.9191,163.6919,157.9191,161.0414,7225850,0.019737,70.159728,4.135786,153.509645,,0.014167,
2010-02-11,160.7423,160.7423,156.7565,158.9379,11799339,-0.013062,64.909635,4.025826,154.197117,,0.014664,
2010-02-12,158.4969,159.5001,158.4969,159.4044,11206967,0.002935,65.525713,3.931007,154.830536,,0.014599,
2010-02-15,159.2083,160.2336,158.8567,159.9996,14253440,0.003734,66.337910,3.859405,155.389231,,0.014408,
2010-02-16,160.2855,163.4444,160.2855,162.4520,9947032,0.015327,69.523575,3.954955,155.972648,,0.014491,
2010-02-17,162.7367,162.7367,156.7114,159.6635,7681575,-0.017165,62.303392,3.762297,156.344571,,0.015152,
2010-02-18,160.8964,160.8964,153.0485,155.6823,8461587,-0.024935,53.724950,3.250895,156.580742,,0.016196,
2010-02-19,155.5213,155.5213,149.3305,150.0987,13150952,-0.035865,44.475694,2.367763,156.512698,,0.018228,
2010-02-22,150.7979,150.8368,146.9315,150.3265,14278225,0.001517,44.892474,1.667037,156.446786,,0.018230,
2010-02-23,149.5965,152.6501,149.5965,151.9596,9446546,0.010864,47.911497,1.229312,156.424470,,0.018366,
2010-02-24,150.9201,155.0839,150.9201,153.3262,11409030,0.008994,50.362263,0.981377,156.393446,,0.018335,
2010-02-25,154.1236,157.9064,154.1236,155.2786,5752868,0.012733,53.712700,0.931683,156.597272,,0.018046,
2010-02-26,155.6014,157.8907,155.6014,156.4677,5479301,0.007658,55.675135,0.976990,156.705877,,0.017558,
2010-03-01,156.0204,160.2845,156.0204,159.7750,12754424,0.021138,60.669709,1.265188,157.002437,,0.018102,
2010-03-02,158.9873,158.9873,157.5588,158.1486,12057903,-0.010180,57.253062,1.346819,157.246106,,0.018267,
2010-03-03,157.7420,162.9310,157.7420,161.6635,13769604,0.022225,62.206420,1.675818,157.608622,,0.018802,
2010-03-04,161.8415,162.9370,160.5736,161.8812,5377225,0.001347,62.496291,1.931850,157.798522,,0.018121,
2010-03-05,162.0080,162.0080,156.9017,158.8668,16911897,-0.018621,56.082335,1.869968,157.801760,,0.018639,
2010-03-08,157.6439,162.6318,157.6439,161.7992,9232677,0.018458,60.345828,2.034094,157.734856,,0.018058,
2010-03-09,160.7050,160.7050,159.0109,159.8343,8844134,-0.012144,56.395198,1.982763,157.830352,,0.016722,
2010-03-10,159.9446,159.9446,155.7193,158.2681,12814203,-0.009799,53.394422,1.795007,157.691686,,0.016253,
2010-03-11,158.7532,164.0562,158.7532,162.5398,11632306,0.026991,59.693730,1.968216,157.871781,,0.017100,
2010-03-12,161.8571,165.8107,161.8571,164.0324,17380176,0.009183,61.644423,2.200553,158.103180,153.933108,0.017189,
2010-03-15,162.7954,162.7954,161.4014,161.4430,13389017,-0.015786,56.532721,2.150949,158.175349,154.361968,0.017609,
2010-03-16,161.4679,161.5029,157.4213,160.4469,16372397,-0.006170,54.655043,2.008108,158.075092,154.723576,0.017316,
2010-03-17,158.5724,165.6008,158.5724,163.9978,9800663,0.022132,59.782907,2.156578,158.291810,155.135925,0.017551,
2010-03-18,163.6590,163.6590,158.8929,159.1930,16564002,-0.029298,51.325126,1.865032,158.467344,155.479237,0.017920,
2010-03-19,159.6930,159.8106,158.4095,158.5007,5247652,-0.004349,50.222672,1.560134,158.887442,155.771831,0.015735,
2010-03-22,158.2939,158.6114,156.9726,157.6340,10017157,-0.005468,48.809055,1.234333,159.252815,156.061097,0.015844,
2010-03-23,156.3262,164.9780,156.3262,163.9238,8014578,0.039902,58.039221,1.466765,159.851027,156.424909,0.017854,
2010-03-24,165.2301,165.2301,158.4038,159.8608,11691708,-0.024786,51.570658,1.308042,160.177757,156.711977,0.018917,
2010-03-25,159.8656,161.4268,157.1243,158.0601,11163919,-0.011264,48.965953,1.025135,160.316836,156.969410,0.018979,
2010-03-26,158.2343,158.2343,154.4581,155.6731,14332202,-0.015102,45.672741,0.601382,160.277106,157.148151,0.019243,0.258384
2010-03-29,156.3964,156.3964,155.0270,155.2372,10950182,-0.002800,45.076505,0.227753,160.050213,157.276380,0.018587,0.249342
2010-03-30,155.0880,155.0880,152.6114,153.4419,8499345,-0.011565,42.609562,-0.210783,159.814880,157.329545,0.018625,0.264838
2010-03-31,153.2182,153.2182,151.7114,151.9518,9144994,-0.009711,40.622329,-0.670831,159.329297,157.324081,0.017850,0.281256
2010-04-01,152.9384,155.0534,152.9384,154.2532,11444523,0.015145,44.896738,-0.840038,158.947897,157.389967,0.018286,0.294591
2010-04-02,153.5852,157.6848,153.5852,155.1843,8496098,0.006036,46.572576,-0.888754,158.763772,157.464462,0.017953,0.287154
2010-04-05,155.9354,155.9354,152.3477,153.6528,15017162,-0.009869,44.191926,-1.038969,158.356453,157.504623,0.017445,0.273298
2010-04-06,152.7336,156.0616,151.7002,154.0132,9052028,0.002346,44.905632,-1.116068,158.065396,157.536769,0.017321,0.316264
2010-04-07,153.4195,154.8394,151.3149,152.9953,14064587,-0.006609,43.224381,-1.244952,157.801759,157.517741,0.017258,0.319744
2010-04-08,153.2311,157.5057,153.2311,155.3334,8793278,0.015282,48.037049,-1.145226,157.441440,157.600369,0.016416,0.303801
2010-04-09,156.5075,158.7182,156.5075,158.5494,13317755,0.020704,53.833729,-0.797497,157.167292,157.685445,0.017025,0.320404
2010-04-12,158.6731,160.7160,158.5864,160.1908,9880716,0.010352,56.500884,-0.385035,157.104681,157.812384,0.016879,0.339086
2010-04-13,159.0040,159.4829,156.0869,156.8948,15655173,-0.020576,50.225842,-0.320424,156.927076,157.884776,0.017442,0.357088
2010-04-14,157.4851,158.2372,155.7594,156.4119,18037247,-0.003078,49.360923,-0.304672,156.547780,157.924751,0.016574,0.350562
2010-04-15,155.7545,155.7545,150.6471,152.5589,11959745,-0.024633,42.998249,-0.596215,156.216078,157.814266,0.016202,0.372020
2010-04-16,153.0700,155.3905,153.0700,154.7765,18982223,0.014535,47.215419,-0.640943,156.029866,157.733753,0.016603,0.379526
2010-04-19,155.0119,158.4829,154.8675,158.0341,10560498,0.021048,52.746312,-0.408810,156.049875,157.631691,0.017277,0.378522
2010-04-20,156.7788,156.7788,153.5275,153.6722,12085697,-0.027601,45.822794,-0.570243,155.537293,157.546647,0.015643,0.353495
2010-04-21,153.9651,155.4529,150.9610,153.0273,9891076,-0.004197,44.884754,-0.741666,155.195616,157.386365,0.014796,0.352183
2010-04-22,152.0274,153.8120,151.0694,153.0451,7406513,0.000116,44.918212,-0.866103,154.944862,157.268508,0.014642,0.336865
2010-04-23,154.1401,156.8441,154.1401,156.0645,17047126,0.019729,50.425543,-0.712862,154.964431,157.201709,0.015007,0.331586
2010-04-26,154.7658,154.7658,154.2546,154.3040,11074576,-0.011281,47.446754,-0.725117,154.917771,157.087796,0.015216,0.334877
2010-04-27,154.1738,154.1738,152.8602,153.3970,9077650,-0.005878,45.941146,-0.798802,154.915528,156.906697,0.015044,0.329677
2010-04-28,152.6291,155.4241,151.8482,153.1064,8147307,-0.001894,45.443549,-0.870611,154.973259,156.775557,0.014877,0.339340
2010-04-29,154.2495,154.4951,153.6179,154.2577,18314468,0.007519,47.853281,-0.825112,154.973485,156.747064,0.014576,0.308048
2010-04-30,152.9936,155.6699,152.1321,154.4004,9624574,0.000925,48.158903,-0.768680,154.934287,156.833097,0.014511,0.308137
2010-05-03,156.3044,158.8594,155.0020,155.2845,9824181,0.005726,50.110063,-0.645179,155.015872,156.932257,0.014380,0.315900
