date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,60.0000,60.0260,59.8207,60.0000,15968717,0.000000,,0.000000,,,,
2010-01-05,60.2632,60.5670,60.0572,60.3887,7662960,0.006479,,0.031010,,,,
2010-01-06,60.1591,60.1591,58.1100,59.1544,9017039,-0.020440,,-0.043512,,,,
2010-01-07,59.3070,60.4293,59.3070,60.0532,7639502,0.015194,,-0.029703,,,,
2010-01-08,59.7947,62.2728,59.7947,61.2089,10203132,0.019244,,0.073643,,,,
2010-01-11,61.3687,61.3687,58.0460,58.8818,14726536,-0.038018,,-0.031859,,,,
2010-01-12,58.7662,58.7662,57.2076,57.3740,7503398,-0.025607,,-0.234433,,,,
2010-01-13,57.3543,57.8661,57.1505,57.5332,10146213,0.002774,,-0.377777,,,,
2010-01-14,57.9095,57.9095,56.7700,57.1886,9641156,-0.005989,,-0.513266,,,,
2010-01-15,56.6274,58.1239,56.6274,57.1839,9146937,-0.000083,,-0.613948,,,,
2010-01-18,57.3461,57.3461,55.9289,56.2217,6937185,-0.016827,,-0.762593,,,,
2010-01-19,56.2708,57.3236,56.0952,57.2318,8871170,0.017968,,-0.789777,,,,
2010-01-20,57.1557,58.1654,57.1557,58.1439,15639058,0.015936,,-0.729320,,,,
2010-01-21,58.5618,58.5618,57.3091,58.2441,10711186,0.001724,,-0.665645,,,,
2010-01-22,58.0744,60.0607,58.0744,59.5876,17512782,0.023066,,-0.501001,,,,
2010-01-25,59.8075,60.6877,59.8075,60.1741,10287064,0.009843,50.844386,-0.319509,,,,
2010-01-26,60.1516,60.1516,58.0193,59.1581,7990575,-0.016884,46.613081,-0.254722,,,,
2010-01-27,59.2563,59.7791,59.2563,59.6096,6358920,0.007633,48.658087,-0.165040,,,,
2010-01-28,59.4390,59.4390,57.6569,58.4852,12036927,-0.018863,44.125422,-0.182591,,,,
2010-01-29,58.4994,60.2930,58.4994,59.5336,9005805,0.017926,48.904715,-0.110629,58.767832,,0.017346,
2010-02-01,59.4663,59.8600,58.7299,59.4892,6614984,-0.000746,48.714735,-0.056528,58.742294,,0.017346,
2010-02-02,59.8576,59.8576,58.4979,59.2872,10812370,-0.003397,47.804230,-0.029617,58.687215,,0.017284,
2010-02-03,59.2431,59.2431,57.5136,58.5064,7005821,-0.013170,44.354482,-0.070483,58.654813,,0.016921,
2010-02-04,58.4090,60.7301,58.4090,59.9721,8920455,0.025053,51.439039,0.015231,58.650759,,0.017532,
2010-02-05,59.3723,60.2027,59.3723,59.8085,6727596,-0.002728,50.663703,0.069161,58.580742,,0.016947,
2010-02-08,59.9014,59.9014,59.1261,59.3018,12031376,-0.008473,48.238398,0.070202,58.601739,,0.014690,
2010-02-09,58.9840,58.9840,58.8689,58.9003,11534853,-0.006770,46.345516,0.038192,58.678053,,0.013485,
2010-02-10,59.1570,59.5541,59.1570,59.5323,12461033,0.010730,49.692350,0.063096,58.778009,,0.013644,
2010-02-11,59.4059,61.1067,59.4059,59.9777,12341035,0.007480,51.965809,0.117411,58.917460,,0.013572,
2010-02-12,60.1579,60.8787,60.1579,60.4766,11135639,0.008319,54.449593,0.198428,59.082095,,0.013618,
2010-02-15,60.2753,61.2266,60.2753,61.0153,8548299,0.008907,57.032899,0.302614,59.321776,,0.012851,
2010-02-16,61.0248,63.7425,61.0248,63.7058,13905226,0.044095,67.076201,0.595418,59.645472,,0.015402,
