date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,10.0000,10.0321,9.9687,10.0000,7036528,0.000000,,0.000000,,,,
2010-01-05,10.0515,10.2259,10.0515,10.2220,7926383,0.022196,,0.017706,,,,
2010-01-06,10.1773,10.1773,10.0497,10.0543,12006765,-0.016399,,0.018005,,,,
2010-01-07,10.0188,10.2761,10.0188,10.2305,9169710,0.017518,,0.032084,,,,
2010-01-08,10.2433,10.3604,10.2433,10.3240,8338409,0.009148,,0.050215,,,,
2010-01-11,10.3269,10.3269,9.8788,9.9831,6451529,-0.033023,,0.036650,,,,
2010-01-12,10.0543,10.0543,9.5940,9.7131,8186215,-0.027047,,0.004066,,,,
2010-01-13,9.6403,9.8232,9.6403,9.8206,10297540,0.011066,,-0.012935,,,,
2010-01-14,9.8301,9.8301,9.7028,9.7174,12013496,-0.010505,,-0.034338,,,,
2010-01-15,9.7794,9.8892,9.6866,9.7948,10160155,0.007966,,-0.044539,,,,
2010-01-18,9.8367,9.8367,9.6900,9.7018,6084928,-0.009496,,-0.059444,,,,
2010-01-19,9.7783,9.8034,9.6952,9.7319,9490363,0.003095,,-0.068048,,,,
2010-01-20,9.7356,9.7356,9.5470,9.5548,14920955,-0.018194,,-0.088139,,,,
2010-01-21,9.6180,9.6180,9.1952,9.4022,7891779,-0.015968,,-0.115046,,,,
2010-01-22,9.3685,9.4313,9.2493,9.3601,11869100,-0.004475,,-0.138172,,,,
2010-01-25,9.3571,9.7481,9.3571,9.6068,6697572,0.026356,41.931254,-0.135037,,,,
2010-01-26,9.6071,9.6071,9.3113,9.3486,9736239,-0.026882,37.134571,-0.151644,,,,
2010-01-27,9.3944,9.5879,9.3944,9.4465,20282971,0.010479,39.941123,-0.155111,,,,
2010-01-28,9.4633,9.4633,9.1569,9.2109,11892704,-0.024940,35.801411,-0.174855,,,,
2010-01-29,9.2192,9.2799,9.2192,9.2438,11724152,0.003565,36.784880,-0.185712,9.723372,,0.017551,
2010-02-01,9.2803,9.4099,9.2803,9.4081,11342624,0.017771,41.604295,-0.178996,9.693775,,0.018191,
2010-02-02,9.4016,9.4016,9.0862,9.2028,11350326,-0.021814,37.733854,-0.188067,9.642819,,0.017650,
2010-02-03,9.2669,9.2669,8.9452,8.9764,13672862,-0.024600,33.978721,-0.211090,9.588924,,0.018018,
2010-02-04,8.9298,9.0559,8.9298,8.9866,10130671,0.001128,34.293710,-0.225915,9.526729,,0.017274,
2010-02-05,9.0325,9.0325,8.9143,8.9493,13098337,-0.004146,33.657463,-0.237927,9.457992,,0.016899,
2010-02-08,8.9492,9.0934,8.9492,9.0495,14461178,0.011199,37.041279,-0.236632,9.411314,,0.016191,
2010-02-09,9.0737,9.0737,8.9064,8.9680,13968281,-0.009014,35.456092,-0.239428,9.374056,,0.015366,
2010-02-10,9.0136,9.0136,8.8878,8.9912,7711678,0.002589,36.291909,-0.237038,9.332586,,0.015046,
2010-02-11,9.0163,9.1327,8.9586,9.0259,11786505,0.003860,37.592476,-0.229695,9.298009,,0.015077,
2010-02-12,8.9665,9.2535,8.9665,9.2340,9417836,0.023053,44.861151,-0.204726,9.269965,,0.016032,
2010-02-15,9.2171,9.2381,9.1236,9.1709,7083018,-0.006834,43.217284,-0.187864,9.243417,,0.015985,
2010-02-16,9.2249,9.3363,9.2082,9.2776,6522120,0.011643,46.771773,-0.163995,9.220706,,0.016259,
2010-02-17,9.2594,9.2594,9.1921,9.2013,16938026,-0.008227,44.621534,-0.149513,9.203032,,0.015894,
2010-02-18,9.2971,9.2971,8.9849,9.0038,12074673,-0.021460,39.555204,-0.152215,9.183113,,0.016197,
2010-02-19,8.9668,9.1219,8.9668,9.0395,11316022,0.003955,40.859415,-0.149757,9.167079,,0.016240,
2010-02-22,9.0334,9.2423,9.0334,9.1218,12857122,0.009114,43.876192,-0.139552,9.142829,,0.015094,
2010-02-23,9.1704,9.1704,8.8492,9.1127,12173171,-0.000999,43.611151,-0.130694,9.131036,,0.013958,
2010-02-24,9.2326,9.2697,9.1268,9.2388,14803863,0.013836,48.266742,-0.112207,9.120649,,0.014125,
2010-02-25,9.3175,9.3175,9.2355,9.2361,11712448,-0.000295,48.174213,-0.096661,9.121906,,0.012954,
2010-02-26,9.1835,9.1835,8.9835,9.0780,9824126,-0.017113,43.020049,-0.095988,9.113618,,0.013487,
2010-03-01,9.1168,9.3728,9.1168,9.3069,8033740,0.025212,51.167374,-0.076110,9.108560,,0.014115,
2010-03-02,9.2281,9.5547,9.2281,9.5443,13178392,0.025504,57.892050,-0.040733,9.125632,,0.014309,
2010-03-03,9.5277,9.9493,9.5277,9.8311,7525849,0.030055,64.291598,0.010331,9.168366,,0.014196,
2010-03-04,9.8123,9.9163,9.6358,9.7380,4836040,-0.009467,61.049543,0.042796,9.205940,,0.014529,
2010-03-05,9.7132,9.7132,9.4851,9.5694,7994574,-0.017319,55.580109,0.054290,9.236944,,0.015206,
2010-03-08,9.5694,9.6220,9.5255,9.5690,9467163,-0.000037,55.568711,0.062648,9.262919,,0.015112,
2010-03-09,9.4692,9.7784,9.4692,9.7012,14022281,0.013812,58.913459,0.079026,9.299581,,0.015027,
2010-03-10,9.6067,9.9517,9.6067,9.7540,12438983,0.005447,60.203374,0.095172,9.337724,,0.015026,
2010-03-11,9.8479,9.8682,9.8098,9.8567,12381532,0.010524,62.656105,0.114926,9.379264,,0.015092,
2010-03-12,9.7839,10.1111,9.7839,10.0825,16637902,0.022908,67.413573,0.147105,9.421691,9.473860,0.015082,
2010-03-15,10.1095,10.1095,9.7856,9.9625,15163661,-0.011904,62.831294,0.161065,9.461270,9.473109,0.015324,
2010-03-16,9.9397,10.1555,9.9397,10.1214,10267765,0.015951,66.115339,0.182844,9.503457,9.471097,0.015463,
2010-03-17,10.1263,10.4204,10.1263,10.2528,10637271,0.012981,68.586598,0.208304,9.556029,9.475066,0.015272,
2010-03-18,10.2689,10.2689,9.7807,9.8682,11525709,-0.037509,55.766243,0.195200,9.599246,9.467820,0.017080,
2010-03-19,9.9000,10.0310,9.8230,9.8990,13435837,0.003118,56.467461,0.185164,9.642221,9.459318,0.017083,
2010-03-22,9.9145,9.9165,9.7602,9.8344,9431164,-0.006518,54.515990,0.170043,9.677850,9.456345,0.017227,
2010-03-23,9.9292,10.0374,9.9112,9.9612,14716245,0.012893,57.615754,0.166373,9.720275,9.461307,0.017298,
2010-03-24,9.9539,9.9539,9.6863,9.7388,9290562,-0.022329,51.044083,0.143859,9.745275,9.459672,0.018152,
2010-03-25,9.8599,9.9262,9.8315,9.8712,16141783,0.013592,54.379190,0.135140,9.777030,9.462747,0.018292,
2010-03-26,9.7638,9.9442,9.7084,9.8250,15632606,-0.004680,53.021625,0.123083,9.814378,9.463350,0.017759,0.610122
2010-03-29,9.8302,9.8899,9.6959,9.8025,20678559,-0.002287,52.337112,0.110442,9.839158,9.465363,0.017091,0.600567
2010-03-30,9.8463,9.8463,9.5708,9.5803,12916636,-0.022669,46.011908,0.081553,9.840959,9.462332,0.017108,0.619362
2010-03-31,9.6039,9.6039,9.4095,9.5294,9962974,-0.005318,44.678737,0.053925,9.825871,9.461823,0.015638,0.612536
2010-04-01,9.5370,9.6578,9.5272,9.5382,10220544,0.000924,44.975408,0.032367,9.815876,9.464542,0.015530,0.606311
2010-04-02,9.5407,9.7742,9.5407,9.6407,6323194,0.010753,48.444342,0.023290,9.819442,9.470153,0.015236,0.606223
2010-04-05,9.6627,9.7174,9.6246,9.7108,8618595,0.007273,50.731061,0.021506,9.826532,9.472233,0.015310,0.573787
2010-04-06,9.6582,9.9283,9.6582,9.7555,6770717,0.004598,52.185634,0.023424,9.829246,9.480371,0.015036,0.550020
2010-04-07,9.7236,9.8455,9.7236,9.8186,12992533,0.006470,54.242169,0.029696,9.832474,9.487812,0.015055,0.545208
2010-04-08,9.8786,9.9386,9.8380,9.8415,10548750,0.002329,54.997499,0.036096,9.831713,9.500422,0.014877,0.537726
2010-04-09,9.8598,9.8658,9.6971,9.7906,13978864,-0.005170,52.905363,0.036640,9.817118,9.511358,0.013897,0.529225
2010-04-12,9.7503,9.8379,9.6465,9.7606,7555231,-0.003062,51.658292,0.034257,9.807025,9.518409,0.013683,0.525034
2010-04-13,9.7414,9.7414,9.4046,9.4159,12690326,-0.035318,39.987311,0.004500,9.771751,9.522670,0.015084,0.558147
2010-04-14,9.4675,9.4675,9.1885,9.2690,10750137,-0.015602,36.230607,-0.030584,9.722562,9.528521,0.014792,0.595539
2010-04-15,9.2736,9.3708,9.2736,9.2806,9700013,0.001254,36.736880,-0.056796,9.693182,9.534401,0.012688,0.591053
2010-04-16,9.3237,9.3237,9.1754,9.2100,9578201,-0.007606,34.923094,-0.082317,9.658735,9.539615,0.012643,0.600567
2010-04-19,9.1782,9.3321,9.1782,9.2753,17081018,0.007087,37.972743,-0.096166,9.630777,9.544130,0.012838,0.600549
2010-04-20,9.1615,9.5717,9.1615,9.4492,8765287,0.018747,45.323374,-0.092051,9.605173,9.553754,0.013275,0.594728
2010-04-21,9.4876,9.5580,9.3770,9.3922,9926806,-0.006027,43.504946,-0.092320,9.587843,9.561775,0.012473,0.594593
2010-04-22,9.3272,9.6732,9.3272,9.6192,14179042,0.024171,51.805917,-0.073369,9.575245,9.573641,0.013351,0.570778
2010-04-23,9.6865,9.7966,9.6803,9.7210,6721465,0.010580,54.998160,-0.049567,9.570046,9.583382,0.013576,0.577054
2010-04-26,9.7333,9.7753,9.6803,9.7056,9075256,-0.001579,54.412701,-0.031579,9.565203,9.594078,0.013572,0.586173
2010-04-27,9.7075,9.8689,9.7075,9.8667,10530096,0.016597,59.307806,-0.004276,9.579524,9.605859,0.013010,0.592872
2010-04-28,9.8180,9.9569,9.7291,9.8511,13277137,-0.001582,58.650394,0.015919,9.595612,9.618855,0.012933,0.582386
2010-04-29,9.8205,10.0181,9.8205,9.9337,8985300,0.008388,61.107500,0.038151,9.615392,9.637453,0.013016,0.589238
2010-04-30,9.9408,10.0071,9.7661,9.9737,7698568,0.004026,62.275776,0.058325,9.632043,9.656139,0.012867,0.585503
2010-05-03,9.9446,9.9446,9.6755,9.8441,12029143,-0.012993,56.367004,0.063129,9.638709,9.670585,0.013205,0.606003
2010-05-04,9.8816,9.9385,9.8532,9.9041,6919359,0.006086,58.335407,0.070953,9.646138,9.686411,0.013232,0.604624
2010-05-05,9.8437,9.8437,9.3277,9.5898,15172935,-0.031729,46.489362,0.051206,9.634699,9.693431,0.015013,0.602724
2010-05-06,9.5927,9.8527,9.5927,9.7364,5918747,0.015283,51.441964,0.046842,9.629444,9.703437,0.015441,0.598231
2010-05-07,9.7294,9.8923,9.6233,9.8314,9378857,0.009756,54.388339,0.050467,9.631483,9.718504,0.015560,0.599572
2010-05-10,9.8280,10.0506,9.8280,9.9916,16022932,0.016304,58.918403,0.065518,9.643035,9.732199,0.015936,0.611034
2010-05-11,10.0193,10.1661,10.0193,10.1204,16028338,0.012882,62.167848,0.086832,9.678259,9.743721,0.013578,0.630684
2010-05-12,10.1304,10.1304,9.7831,10.0220,14400835,-0.009718,58.368820,0.094695,9.715911,9.747539,0.013196,0.626869
2010-05-13,10.1028,10.5735,10.1028,10.3676,6702035,0.034486,66.188380,0.127348,9.770263,9.760131,0.014825,0.575916
2010-05-14,10.4406,10.4406,10.0029,10.0890,12184429,-0.026880,56.906788,0.129248,9.814211,9.770522,0.016287,0.571038
2010-05-17,10.1234,10.1234,9.4777,9.6505,9043646,-0.043457,45.982082,0.094289,9.832972,9.772151,0.019500,0.613241
2010-05-18,9.7232,9.7232,9.4133,9.4607,8928308,-0.019665,42.205155,0.050685,9.833551,9.767342,0.019672,0.643336
2010-05-19,9.5510,9.5510,9.3708,9.4624,9376846,0.000174,42.249524,0.016077,9.837060,9.761509,0.019617,0.632778
2010-05-20,9.5426,9.5440,9.3128,9.3670,16402218,-0.010082,40.320178,-0.018832,9.824448,9.751715,0.018930,0.640186
2010-05-21,9.3274,9.3274,8.9797,9.1291,12719468,-0.025393,35.916374,-0.064941,9.794854,9.732647,0.019458,0.602382
2010-05-24,9.1620,9.2583,9.0340,9.2252,10007668,0.010528,38.824054,-0.092660,9.770834,9.717903,0.019690,0.573924
2010-05-25,9.1793,9.3778,9.1793,9.3729,12546084,0.016008,43.096245,-0.101540,9.746144,9.702934,0.019660,0.550452
2010-05-26,9.5085,9.7151,9.5085,9.6775,8005940,0.032501,50.738462,-0.083039,9.737465,9.691430,0.021154,0.570480
2010-05-27,9.6388,9.6417,9.5528,9.5581,12488941,-0.012341,48.015846,-0.077125,9.718684,9.685228,0.021194,0.568602
2010-05-28,9.5102,9.8744,9.5102,9.8355,21947370,0.029016,54.166454,-0.049489,9.711770,9.683958,0.022260,0.594646
2010-05-31,9.8215,9.9923,9.8215,9.8949,12631273,0.006043,55.384722,-0.022531,9.714308,9.685168,0.022102,0.583129
2010-06-01,9.9188,9.9188,9.5786,9.7345,10810075,-0.016211,51.412759,-0.013950,9.705829,9.680633,0.022366,0.578317
2010-06-02,9.6942,9.7721,9.5517,9.6301,9659785,-0.010726,48.951855,-0.015397,9.707841,9.678458,0.021296,0.584311
2010-06-03,9.6482,9.7465,9.5878,9.7091,7426056,0.008204,50.868250,-0.010052,9.706476,9.675216,0.021094,0.578750
2010-06-04,9.6691,9.9071,9.6691,9.8725,12216128,0.016830,54.659272,0.007284,9.708532,9.676166,0.021323,0.577204
2010-06-07,9.8241,9.8241,9.6264,9.6624,11876243,-0.021278,49.383588,0.004026,9.692070,9.673364,0.021505,0.597937
2010-06-08,9.6040,9.6040,9.3085,9.3295,10545991,-0.034451,42.399982,-0.025127,9.652528,9.668348,0.022429,0.546714
2010-06-09,9.3417,9.3938,9.2758,9.3807,11555861,0.005488,43.718425,-0.043596,9.620464,9.665376,0.022476,0.541866
2010-06-10,9.3483,9.5279,9.3483,9.5133,12018907,0.014135,47.095587,-0.046993,9.577749,9.664880,0.021106,0.502512
2010-06-11,9.5889,9.5889,9.2410,9.2867,17165080,-0.023824,42.411031,-0.067198,9.537635,9.657799,0.020943,0.521303
2010-06-14,9.3261,9.3261,9.0672,9.1574,9518326,-0.013924,39.968362,-0.092578,9.512978,9.646730,0.018956,0.513051
2010-06-15,9.1960,9.1960,8.9705,9.0852,8132793,-0.007878,38.631605,-0.117162,9.494204,9.633325,0.018571,0.526815
2010-06-16,9.0986,9.3908,9.0986,9.2681,12316779,0.020129,43.766278,-0.120499,9.484490,9.622315,0.019211,0.534348
2010-06-17,9.2651,9.3537,9.2024,9.2054,14585457,-0.006763,42.455180,-0.126741,9.476413,9.609595,0.019142,0.525360
2010-06-18,9.2524,9.5997,9.2524,9.5116,13160862,0.033256,50.288442,-0.105765,9.495536,9.604014,0.019645,0.560677
2010-06-21,9.5649,9.8145,9.5649,9.8038,12592532,0.030725,56.391115,-0.064813,9.524464,9.604879,0.020590,0.557441
2010-06-22,9.7139,9.7831,9.5800,9.6765,13684030,-0.012986,53.320204,-0.042146,9.539644,9.610091,0.020665,0.546205
2010-06-23,9.7805,9.7805,9.5410,9.5474,13969454,-0.013347,50.326139,-0.034209,9.533134,9.615659,0.019595,0.536156
