date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,10.0000,10.0949,9.9352,10.0000,5395860,0.000000,,0.000000,,,,
2010-01-05,9.9957,10.1667,9.9957,10.0933,9674123,0.009325,,0.007439,,,,
2010-01-06,10.1393,10.1393,9.8048,9.8774,11043695,-0.021386,,-0.004037,,,,
2010-01-07,9.8848,10.0038,9.8848,9.9774,10844118,0.010125,,-0.005003,,,,
2010-01-08,9.9207,10.1819,9.9207,10.1092,8488064,0.013205,,0.004806,,,,
2010-01-11,10.1382,10.1382,9.7124,9.8087,9345209,-0.029721,,-0.011531,,,,
2010-01-12,9.8368,9.8368,9.5923,9.6276,10875716,-0.018466,,-0.038648,,,,
2010-01-13,9.5873,9.7197,9.5873,9.7020,17254066,0.007732,,-0.053515,,,,
2010-01-14,9.6902,9.7513,9.6531,9.6725,7021009,-0.003047,,-0.066912,,,,
2010-01-15,9.6745,9.6745,9.5290,9.6524,14505190,-0.002076,,-0.078247,,,,
2010-01-18,9.7205,9.7205,9.5372,9.5604,5636061,-0.009533,,-0.093576,,,,
2010-01-19,9.4967,9.7088,9.4967,9.6778,18445835,0.012280,,-0.095154,,,,
2010-01-20,9.6943,9.8834,9.6943,9.8064,11576180,0.013294,,-0.085043,,,,
2010-01-21,9.7594,9.8596,9.6962,9.8229,6656910,0.001684,,-0.074834,,,,
2010-01-22,9.8541,10.0680,9.8541,10.0627,7510840,0.024408,,-0.046857,,,,
2010-01-25,10.0736,10.1619,10.0736,10.1564,16074311,0.009313,54.441833,-0.016928,,,,
2010-01-26,10.1073,10.1255,10.0764,10.0829,11763425,-0.007233,52.034798,0.000853,,,,
2010-01-27,10.0274,10.1957,10.0274,10.1746,6663439,0.009093,54.725257,0.022089,,,,
2010-01-28,10.1391,10.1391,10.0506,10.0593,9060349,-0.011331,50.861748,0.029277,,,,
2010-01-29,10.0396,10.2034,10.0396,10.1808,10326797,0.012077,54.506476,0.044267,9.905236,,0.013789,
2010-02-01,10.1969,10.2640,10.1600,10.2050,11591552,0.002371,55.217164,0.057432,9.915484,,0.013790,
2010-02-02,10.1804,10.1804,10.0928,10.1231,11631721,-0.008027,52.234916,0.060558,9.916974,,0.013791,
2010-02-03,10.0944,10.0978,10.0580,10.0647,12247674,-0.005763,50.157059,0.057663,9.926340,,0.012917,
2010-02-04,10.0167,10.3852,10.0167,10.2306,8106465,0.016482,55.569089,0.067971,9.938999,,0.013227,
2010-02-05,10.1905,10.2127,10.1860,10.2069,9089890,-0.002318,54.655346,0.073380,9.943885,,0.012947,
2010-02-08,10.1666,10.2223,10.1415,10.1898,7485564,-0.001675,53.966533,0.075418,9.962939,,0.010842,
2010-02-09,10.2190,10.2190,10.0629,10.1413,10400071,-0.004763,51.964247,0.072284,9.988623,,0.009872,
2010-02-10,10.1770,10.1770,10.1405,10.1439,12448894,0.000263,52.069306,0.069217,10.010719,,0.009811,
2010-02-11,10.0932,10.4311,10.0932,10.2417,14005278,0.009641,55.886032,0.073827,10.039182,,0.009859,
2010-02-12,10.2603,10.3975,10.2227,10.3057,13150226,0.006251,58.230788,0.081704,10.071850,,0.009813,
2010-02-15,10.3412,10.4291,10.3412,10.3657,8034983,0.005816,60.355528,0.091726,10.112115,,0.009344,
2010-02-16,10.4031,10.6160,10.4031,10.5656,8488384,0.019291,66.481251,0.114485,10.156509,,0.009788,
2010-02-17,10.4887,10.6546,10.4224,10.5679,6624170,0.000215,66.544563,0.131193,10.194584,,0.009601,
2010-02-18,10.5591,10.5591,10.3619,10.4344,22493255,-0.012630,59.447454,0.132140,10.225159,,0.010276,
2010-02-19,10.4209,10.4209,10.2245,10.3089,13140433,-0.012031,53.651722,0.121363,10.237470,,0.009495,
2010-02-22,10.3621,10.4546,10.3241,10.3422,16814387,0.003225,54.905798,0.114189,10.246758,,0.009318,
2010-02-23,10.3513,10.4977,10.3513,10.4645,10715646,0.011826,59.271078,0.117023,10.265834,,0.009412,
2010-02-24,10.4593,10.4997,10.4265,10.4568,12276750,-0.000733,58.885824,0.117297,10.279941,,0.009272,
2010-02-25,10.4378,10.4379,10.3816,10.3844,6399966,-0.006927,55.236950,0.110397,10.296192,,0.009002,
2010-02-26,10.3399,10.3399,10.1587,10.2235,12408536,-0.015491,48.107231,0.090901,10.298325,,0.009419,
2010-03-01,10.2747,10.4067,10.2183,10.2949,8469923,0.006980,51.121408,0.080283,10.302820,,0.009529,
2010-03-02,10.3382,10.4166,10.3246,10.3874,7737956,0.008985,54.787144,0.078428,10.316035,,0.009489,
2010-03-03,10.3152,10.5323,10.3152,10.4603,13352790,0.007022,57.494326,0.081900,10.335815,,0.009416,
2010-03-04,10.4733,10.4733,10.3129,10.3603,7278945,-0.009565,52.822462,0.075705,10.342297,,0.009100,
2010-03-05,10.3018,10.4322,10.2281,10.3931,9946414,0.003172,54.140589,0.072611,10.351609,,0.009088,
2010-03-08,10.4020,10.4640,10.2857,10.4407,9784653,0.004581,56.056430,0.073157,10.364156,,0.009100,
2010-03-09,10.3403,10.3927,10.3116,10.3720,10250987,-0.006587,52.635955,0.067265,10.375690,,0.009173,
2010-03-10,10.4204,10.4751,10.3591,10.4655,13769060,0.009024,56.523878,0.069349,10.391772,,0.009335,
2010-03-11,10.4191,10.5607,10.4124,10.5076,7992309,0.004014,58.182989,0.073542,10.405064,,0.009163,
2010-03-12,10.4992,10.6610,10.4992,10.6325,6498962,0.011894,62.738981,0.085959,10.421404,10.167709,0.009407,
2010-03-15,10.6475,10.7177,10.6422,10.6863,10588679,0.005054,64.528605,0.098995,10.437434,10.181434,0.009390,
2010-03-16,10.7231,10.7231,10.6765,10.6997,8336644,0.001260,64.982322,0.109155,10.444139,10.193564,0.008414,
2010-03-17,10.6885,10.8512,10.6885,10.7998,15518704,0.009347,68.233063,0.123848,10.455731,10.212011,0.008633,
2010-03-18,10.8367,10.8367,10.5077,10.5253,19029044,-0.025409,53.545146,0.112059,10.460276,10.222970,0.010059,
2010-03-19,10.4772,10.6024,10.4772,10.5045,16352952,-0.001978,52.619680,0.099884,10.470056,10.230877,0.009644,
2010-03-22,10.4981,10.5055,10.4294,10.4878,8492045,-0.001595,51.842868,0.087870,10.477336,10.244458,0.009645,
2010-03-23,10.4698,10.4698,10.2867,10.4356,13893777,-0.004978,49.396389,0.073292,10.475891,10.260618,0.009357,
2010-03-24,10.4082,10.4199,10.4072,10.4100,9620095,-0.002444,48.199616,0.058999,10.473553,10.274778,0.009371,
2010-03-25,10.3802,10.6932,10.3802,10.6351,8487820,0.021620,57.893154,0.065084,10.486091,10.294031,0.010406,
2010-03-26,10.7001,10.7001,10.3346,10.4756,6505885,-0.014997,50.658682,0.056386,10.498697,10.310496,0.010365,0.936932
2010-03-29,10.5215,10.6786,10.5215,10.6033,7377324,0.012186,55.456778,0.059113,10.514119,10.331355,0.010579,0.937953
2010-03-30,10.6444,10.6444,10.4430,10.4752,12008190,-0.012082,50.182887,0.050356,10.518510,10.347303,0.010843,0.933952
2010-03-31,10.5349,10.6155,10.3927,10.4844,11390891,0.000885,50.549431,0.043660,10.519717,10.360863,0.010734,0.932823
2010-04-01,10.4567,10.5527,10.3692,10.4908,11551672,0.000609,50.817966,0.038427,10.526246,10.374221,0.010487,0.931719
2010-04-02,10.4253,10.6336,10.4253,10.5371,11204402,0.004413,52.817292,0.037582,10.533447,10.383710,0.010506,0.929421
2010-04-05,10.5133,10.7108,10.5133,10.6864,8582534,0.014162,58.652308,0.048396,10.545728,10.394309,0.010901,0.921223
2010-04-06,10.7122,10.8042,10.7122,10.7829,11892535,0.009036,61.932789,0.064020,10.566277,10.408308,0.010872,0.916938
2010-04-07,10.8094,10.8094,10.6421,10.6828,9612064,-0.009282,56.894005,0.067547,10.577141,10.418472,0.011019,0.918411
2010-04-08,10.6862,10.6862,10.5136,10.5193,14114485,-0.015308,49.769376,0.056495,10.577728,10.427671,0.011582,0.913303
2010-04-09,10.4895,10.8085,10.4895,10.6703,13686395,0.014357,55.332677,0.059241,10.579617,10.437461,0.011726,0.914884
2010-04-12,10.6387,10.6491,10.5351,10.6238,9588279,-0.004361,53.371203,0.057004,10.576493,10.445838,0.011712,0.913194
2010-04-13,10.5484,10.5484,10.3991,10.4298,11461859,-0.018256,46.045302,0.039131,10.562998,10.451974,0.012375,0.916666
2010-04-14,10.4252,10.4252,10.2620,10.2648,13255595,-0.015822,40.900911,0.011518,10.536252,10.455976,0.012525,0.919126
2010-04-15,10.2677,10.2677,9.9995,10.1095,12005937,-0.015136,36.739128,-0.022642,10.515458,10.453553,0.011719,0.921241
2010-04-16,10.1737,10.2504,10.0838,10.1806,12906729,0.007038,39.761947,-0.043471,10.499262,10.453028,0.011890,0.923239
2010-04-19,10.1479,10.2617,10.1479,10.2184,17065794,0.003709,41.363465,-0.056283,10.485793,10.453599,0.011947,0.923112
2010-04-20,10.1961,10.3119,10.1961,10.3064,10807531,0.008616,45.032644,-0.058656,10.479335,10.456902,0.012108,0.924396
2010-04-21,10.3767,10.3767,10.1280,10.2161,6924117,-0.008765,42.120421,-0.067052,10.469637,10.458346,0.012242,0.925568
2010-04-22,10.1509,10.2810,10.0415,10.2073,10723582,-0.000855,41.838532,-0.073564,10.448249,10.457658,0.011041,0.923431
2010-04-23,10.2469,10.3748,10.2342,10.2789,7890743,0.007013,45.080986,-0.072116,10.438414,10.457122,0.010770,0.922366
2010-04-26,10.2436,10.4101,10.2190,10.2927,10435243,0.001337,45.706982,-0.069064,10.422884,10.455662,0.010342,0.920532
2010-04-27,10.3351,10.5139,10.3351,10.4097,8688723,0.011369,50.843033,-0.056550,10.419610,10.452543,0.010400,0.920638
2010-04-28,10.4067,10.4067,10.2604,10.3046,10944397,-0.010098,46.580435,-0.054487,10.410617,10.447277,0.010624,0.922177
2010-04-29,10.3726,10.3726,10.1679,10.2641,16458323,-0.003932,45.013814,-0.055481,10.399279,10.443869,0.010641,0.918881
