date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,1000.0000,1003.1371,999.5425,1000.0000,3989,0.000000,,0.000000,,,,
2010-01-05,998.7137,1004.1461,998.7137,1003.0477,3113,0.003048,,0.243119,,,,
2010-01-06,1002.1116,1002.1116,996.2350,997.4867,7487,-0.005544,,-0.012782,,,,
2010-01-07,996.7555,1004.2261,996.7555,1003.3429,4477,0.005871,,0.254035,,,,
2010-01-08,1002.9735,1011.4202,1002.9735,1010.4617,3284,0.007095,,1.028064,,,,
2010-01-11,1010.2824,1010.2824,996.7102,998.8350,5137,-0.011506,,0.695295,,,,
2010-01-12,997.8635,997.8635,990.2505,991.3201,5626,-0.007524,,-0.172828,,,,
2010-01-13,991.2468,993.9868,991.2468,993.2484,5081,0.001945,,-0.697184,,,,
2010-01-14,992.2570,993.4374,991.4758,992.2636,5416,-0.000991,,-1.178618,,,,
2010-01-15,993.0155,993.6085,993.0155,993.2396,5522,0.000984,,-1.464527,,,,
2010-01-18,994.6239,994.6239,987.5544,988.7710,3373,-0.004499,,-2.028304,,,,
2010-01-19,987.9310,998.0565,987.9310,995.3601,5463,0.006664,,-1.921272,,,,
2010-01-20,993.6411,1001.6804,993.6411,1001.4667,5741,0.006135,,-1.328384,,,,
2010-01-21,1001.7519,1005.3836,1001.4544,1002.8083,5007,0.001340,,-0.741710,,,,
2010-01-22,1002.1737,1012.5071,1002.1737,1011.1212,6327,0.008290,,0.389526,,,,
2010-01-25,1010.8022,1015.8574,1010.8022,1015.2646,4004,0.004098,60.266352,1.601912,,,,
2010-01-26,1015.4029,1015.4029,1008.8419,1010.4873,4845,-0.004705,56.166109,2.152438,,,,
2010-01-27,1010.8545,1014.0511,1010.8545,1013.7641,5191,0.003243,58.263588,2.820626,,,,
2010-01-28,1012.3760,1012.3760,1007.0345,1008.6258,6962,-0.005068,53.907528,2.902102,,,,
2010-01-29,1007.3510,1018.7526,1007.3510,1015.3756,10011,0.006692,58.316320,3.471306,1002.314524,,0.005620,
2010-02-01,1015.0124,1018.2295,1015.0124,1016.1349,5630,0.000748,58.793793,3.938273,1003.121267,,0.005617,
2010-02-02,1016.6243,1016.6243,1013.1545,1015.8817,4077,-0.000249,58.552969,4.239056,1003.762968,,0.005597,
2010-02-03,1016.0002,1016.0002,1011.6854,1012.4080,7710,-0.003419,55.211063,4.149295,1004.509030,,0.005492,
2010-02-04,1015.0764,1022.8566,1015.0764,1021.5025,4874,0.008983,61.419504,4.757178,1005.417009,,0.005685,
2010-02-05,1021.9227,1022.1107,1019.4501,1021.5086,5992,0.000006,61.423333,5.179710,1005.969353,,0.005498,
2010-02-08,1022.6938,1022.6938,1017.3517,1019.6211,3757,-0.001848,59.440373,5.301158,1007.008658,,0.004756,
2010-02-09,1019.4116,1020.8830,1016.5739,1018.1290,3633,-0.001463,57.850315,5.216865,1008.349102,,0.004358,
2010-02-10,1018.3658,1023.5276,1018.3658,1022.8251,4206,0.004613,61.354132,5.465992,1009.827936,,0.004418,
2010-02-11,1022.5461,1026.4988,1022.5461,1026.3460,3257,0.003442,63.784831,5.879754,1011.532054,,0.004399,
2010-02-12,1026.8536,1031.4105,1026.8536,1030.1547,5475,0.003711,66.257270,6.440753,1013.377813,,0.004418,
2010-02-15,1028.3082,1035.7460,1028.3082,1034.2322,6307,0.003958,68.719383,7.132156,1015.650874,,0.004178,
2010-02-16,1036.0726,1051.7703,1036.0726,1049.6221,6338,0.014880,75.874630,8.820254,1018.363974,,0.004964,
2010-02-17,1051.0905,1051.0905,1047.5827,1047.9785,4212,-0.001566,73.929665,9.911209,1020.689565,,0.004979,
2010-02-18,1046.7018,1047.5183,1044.6104,1045.5648,5315,-0.002303,71.049236,10.460449,1022.827389,,0.005081,
2010-02-19,1044.7054,1044.7054,1038.6494,1041.2013,3471,-0.004173,66.040060,10.423479,1024.331395,,0.005047,
2010-02-22,1040.6151,1048.5321,1040.6151,1046.4743,4928,0.005064,68.894117,10.696364,1025.891880,,0.005078,
2010-02-23,1045.9414,1057.0848,1045.9414,1055.2767,3644,0.008411,72.976948,11.490453,1028.131349,,0.005077,
2010-02-24,1054.7620,1056.2521,1052.6090,1055.7739,6999,0.000471,73.190989,12.021319,1030.231839,,0.005085,
2010-02-25,1056.4060,1056.4060,1050.9850,1051.1228,6058,-0.004405,67.782194,11.929219,1032.356689,,0.005038,
2010-02-26,1050.6556,1050.6556,1045.1851,1046.5422,7495,-0.004358,62.855638,11.355711,1033.915021,,0.005111,
2010-03-01,1045.0282,1052.5607,1045.0282,1051.8902,4723,0.005110,65.965848,11.203587,1035.702786,,0.005168,
2010-03-02,1051.6195,1059.3931,1051.6195,1058.0003,4782,0.005809,69.144739,11.444143,1037.808715,,0.005223,
2010-03-03,1059.5661,1063.3852,1059.5661,1062.9305,5498,0.004660,71.461046,11.895487,1040.334841,,0.005088,
2010-03-04,1064.5764,1064.5764,1057.2584,1059.3132,3347,-0.003403,67.459633,11.824986,1042.225374,,0.005004,
2010-03-05,1059.0075,1062.0213,1059.0075,1061.9259,9096,0.002466,68.817760,11.843411,1044.246239,,0.004987,
2010-03-08,1061.3807,1064.6021,1061.3807,1063.7833,4427,0.001749,69.783285,11.871045,1046.454345,,0.004907,
2010-03-09,1064.9083,1068.7098,1064.9083,1066.4086,5945,0.002468,71.143413,11.966846,1048.868329,,0.004834,
2010-03-10,1067.5863,1075.3647,1067.5863,1073.6406,2811,0.006782,74.542745,12.482440,1051.409106,,0.004912,
2010-03-11,1074.6844,1077.5487,1074.6844,1076.0494,5894,0.002244,75.574830,12.936302,1053.894280,,0.004906,
2010-03-12,1076.6648,1082.7431,1076.6648,1081.6593,5410,0.005213,77.829183,13.591982,1056.469510,1027.603845,0.004939,
2010-03-15,1084.1506,1086.5199,1082.8274,1083.3465,5249,0.001560,78.472702,14.085386,1058.925223,1029.270775,0.004929,
2010-03-16,1083.4075,1086.5389,1083.4075,1086.3777,7704,0.002798,79.617370,14.553242,1060.763003,1030.937375,0.003955,
2010-03-17,1086.1053,1095.0066,1086.1053,1091.6934,6652,0.004893,81.477439,15.177996,1062.948751,1032.821509,0.003935,
2010-03-18,1090.7951,1090.7951,1081.1413,1082.4087,4563,-0.008505,69.540462,14.753846,1064.790950,1034.402825,0.004500,
2010-03-19,1081.6985,1081.6985,1076.4964,1081.3882,6887,-0.000943,68.355011,14.171988,1066.800291,1035.821354,0.004332,
2010-03-22,1083.1743,1083.1743,1077.8556,1079.2856,4384,-0.001944,65.863953,13.386887,1068.440857,1037.430365,0.004346,
2010-03-23,1079.8493,1079.8493,1075.6980,1075.9078,4713,-0.003130,61.957468,12.349764,1069.472410,1039.122119,0.004149,
