date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,50.0000,50.0256,49.6146,50.0000,11616410,0.000000,,0.000000,,,,
2010-01-05,49.9715,50.6913,49.8076,50.3138,15759603,0.006276,,0.025032,,,,
2010-01-06,50.4588,50.4588,48.9920,49.3255,9246476,-0.019642,,-0.034476,,,,
2010-01-07,49.4441,50.1012,49.4441,50.0667,15937423,0.015026,,-0.021582,,,,
2010-01-08,50.3745,51.4427,50.3745,51.0108,8500879,0.018857,,0.064080,,,,
2010-01-11,50.9154,50.9154,48.9733,49.1307,10205554,-0.036856,,-0.019514,,,,
2010-01-12,49.3581,49.3581,47.9120,47.9135,23157689,-0.024776,,-0.181890,,,,
2010-01-13,48.0918,48.2438,47.9783,48.0546,8139470,0.002945,,-0.295777,,,,
2010-01-14,47.9131,47.9131,47.5861,47.7698,9636538,-0.005926,,-0.404350,,,,
2010-01-15,47.6114,47.8741,47.6114,47.7763,7946636,0.000136,,-0.484287,,,,
2010-01-18,47.9172,47.9172,46.9937,46.9983,10227597,-0.016285,,-0.603460,,,,
2010-01-19,46.9185,48.2129,46.9185,47.8237,8809220,0.017561,,-0.624113,,,,
2010-01-20,47.9295,48.9765,47.9295,48.5652,12898252,0.015506,,-0.574026,,,,
2010-01-21,48.5803,48.6690,48.3613,48.6421,7298856,0.001583,,-0.522109,,,,
2010-01-22,48.4856,50.1242,48.4856,49.7299,8996333,0.022362,,-0.388711,,,,
2010-01-25,49.7673,50.3488,49.7673,50.1984,13878745,0.009421,51.113083,-0.242392,,,,
2010-01-26,50.3831,50.3831,49.3715,49.3916,6622456,-0.016072,46.942418,-0.189350,,,,
2010-01-27,49.3458,50.0728,49.3458,49.7563,13435259,0.007383,48.969316,-0.116544,,,,
2010-01-28,49.5409,49.5409,48.7757,48.8356,9325257,-0.018504,44.361404,-0.131622,,,,
2010-01-29,48.7436,49.8520,48.7436,49.6946,9630313,0.017590,49.167379,-0.073410,49.049881,,0.016846,
2010-02-01,49.5856,49.6578,49.4449,49.6509,10844175,-0.000879,48.935945,-0.030450,49.032427,,0.016847,
2010-02-02,49.5849,49.5849,49.0215,49.4806,6094073,-0.003431,47.986971,-0.010036,48.990765,,0.016790,
2010-02-03,49.4158,49.4158,48.4274,48.8408,11282514,-0.012929,44.497644,-0.044959,48.966529,,0.016455,
2010-02-04,48.7211,50.1253,48.7211,50.0378,12247421,0.024508,51.590759,0.023679,48.965085,,0.017048,
2010-02-05,50.2418,50.2418,49.7196,49.9012,7917653,-0.002731,50.792712,0.066285,48.909604,,0.016472,
2010-02-08,49.8232,49.8232,49.4763,49.4935,10861147,-0.008170,48.387917,0.066389,48.927742,,0.014286,
2010-02-09,49.3993,49.4426,49.0690,49.1625,7099463,-0.006689,46.464140,0.039306,48.990192,,0.013130,
2010-02-10,49.0501,49.8543,49.0501,49.6811,7792837,0.010550,49.829638,0.059014,49.071519,,0.013287,
2010-02-11,49.6391,50.4320,49.6391,50.0485,12145681,0.007395,52.125515,0.103091,49.185454,,0.013216,
