date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,15.0000,15.0754,14.8839,15.0000,11928246,0.000000,,0.000000,,,,
2010-01-05,14.8419,14.9676,14.4652,14.7185,11304561,-0.018769,,-0.022458,,,,
2010-01-06,14.8559,14.8559,14.1993,14.2194,8881398,-0.033905,,-0.079606,,,,
2010-01-07,14.2450,14.5610,14.2450,14.4975,13675325,0.019552,,-0.101296,,,,
2010-01-08,14.5257,14.6615,14.5257,14.6416,9613067,0.009945,,-0.105633,,,,
2010-01-11,14.6928,14.8187,14.6843,14.7927,9922423,0.010316,,-0.095777,,,,
2010-01-12,14.7721,14.9273,14.7151,14.7287,12633901,-0.004328,,-0.092071,,,,
2010-01-13,14.6443,14.7475,14.4176,14.6735,5681995,-0.003742,,-0.092515,,,,
2010-01-14,14.6089,15.0137,14.6089,14.8108,14904198,0.009354,,-0.080859,,,,
2010-01-15,14.8102,14.9099,14.8102,14.8892,13424320,0.005291,,-0.064555,,,,
2010-01-18,14.8662,15.1160,14.8662,15.0392,14270958,0.010077,,-0.039077,,,,
2010-01-19,14.9427,15.4331,14.9427,15.2066,15448732,0.011134,,-0.005312,,,,
2010-01-20,15.1477,15.3607,15.1076,15.1289,10702724,-0.005113,,0.014999,,,,
2010-01-21,15.2078,15.5278,15.2078,15.4050,7753982,0.018253,,0.052770,,,,
2010-01-22,15.3864,15.4225,15.0420,15.3802,12793643,-0.001610,,0.079784,,,,
2010-01-25,15.5221,15.5276,15.3226,15.3949,10160560,0.000956,58.249298,0.101211,,,,
2010-01-26,15.3225,15.4634,15.1447,15.2254,11445412,-0.011012,53.839637,0.103321,,,,
2010-01-27,15.2053,15.2053,14.7077,14.9724,6182362,-0.016619,47.999210,0.083613,,,,
2010-01-28,14.9934,15.2535,14.9934,15.2266,14963321,0.016981,53.462258,0.087501,,,,
2010-01-29,15.2908,15.2908,14.9809,15.0269,10141501,-0.013118,49.098400,0.073617,14.948906,,0.013923,
2010-02-01,15.0113,15.0113,14.6835,14.7963,13919522,-0.015342,44.575603,0.043509,14.938723,,0.014350,
2010-02-02,14.7401,14.7401,14.3454,14.5942,4749022,-0.013659,41.009352,0.003303,14.932512,,0.014051,
2010-02-03,14.6370,14.6416,14.4998,14.5640,11746911,-0.002073,40.487193,-0.030649,14.949740,,0.011645,
2010-02-04,14.5567,15.2331,14.5567,15.1877,10000424,0.042825,53.603574,-0.007146,14.984251,,0.014404,
2010-02-05,15.1548,15.7140,15.1548,15.4648,11129396,0.018246,58.029561,0.033455,15.025410,,0.014748,
2010-02-08,15.5241,15.5730,15.3389,15.5158,12008855,0.003298,58.808331,0.068951,15.061565,,0.014644,
2010-02-09,15.4932,15.8890,15.4932,15.8155,8772943,0.019313,63.136796,0.119881,15.115905,,0.015014,
2010-02-10,15.7425,15.9872,15.7425,15.8932,7374965,0.004914,64.187828,0.164616,15.176886,,0.014914,
2010-02-11,15.9723,16.1819,15.9723,16.0342,9406326,0.008873,66.077889,0.209039,15.238056,,0.014905,
2010-02-12,16.0824,16.6421,16.0824,16.5412,9409588,0.031621,71.833461,0.281907,15.320659,,0.016130,
2010-02-15,16.6112,16.9575,16.6112,16.6906,12721369,0.009033,73.272685,0.347704,15.403230,,0.016116,
2010-02-16,16.9239,17.1119,16.8204,16.9535,17296276,0.015750,75.631855,0.416262,15.490574,,0.016236,
2010-02-17,16.9466,17.1276,16.5544,16.8080,9073538,-0.008581,71.852106,0.453627,15.574531,,0.016374,
2010-02-18,16.6373,16.6373,16.4677,16.4889,8393086,-0.018985,64.265431,0.452277,15.628726,,0.016943,
2010-02-19,16.6089,16.6089,16.1530,16.2863,10764510,-0.012290,59.937330,0.429900,15.674029,,0.017279,
2010-02-22,16.2624,16.5877,16.2624,16.4052,6757910,0.007299,61.572250,0.416952,15.724541,,0.017297,
2010-02-23,16.5235,16.7433,16.5001,16.6239,5301596,0.013333,64.447252,0.419503,15.794465,,0.017091,
2010-02-24,16.5497,16.7024,16.5497,16.6826,10673771,0.003531,65.199649,0.421404,15.879976,,0.016356,
2010-02-25,16.6660,16.7492,16.2938,16.5052,6946730,-0.010635,60.997458,0.403938,15.943903,,0.016505,
2010-02-26,16.4678,16.4678,15.7843,15.7949,11099780,-0.043031,47.733981,0.328993,15.982305,,0.019276,
2010-03-01,15.7098,16.4787,15.7098,16.4553,16664227,0.041806,57.078531,0.319202,16.065250,,0.020652,
2010-03-02,16.5457,16.5457,16.1442,16.2934,9462235,-0.009835,54.506392,0.294983,16.150209,,0.020482,
2010-03-03,16.3481,16.3481,16.2065,16.2620,12563341,-0.001925,53.998458,0.270145,16.235112,,0.020479,
2010-03-04,16.2072,16.2305,16.0101,16.1943,6841455,-0.004166,52.852893,0.242201,16.285442,,0.018609,
2010-03-05,16.3280,16.5219,16.1999,16.3406,12522118,0.009033,55.069365,0.229217,16.329231,,0.018334,
2010-03-08,16.4263,16.5843,16.4080,16.4539,6626930,0.006936,56.765185,0.225473,16.376137,,0.018356,
2010-03-09,16.4476,16.8264,16.4476,16.8046,11381445,0.021315,61.595721,0.247948,16.425596,,0.018454,
2010-03-10,16.7523,16.7523,16.0896,16.4546,11677032,-0.020829,54.991827,0.234807,16.453667,,0.019211,
2010-03-11,16.4650,16.5803,16.4243,16.5451,11456446,0.005500,56.296470,0.229056,16.479212,,0.019161,
2010-03-12,16.5924,16.5925,16.3519,16.4587,12097778,-0.005223,54.666956,0.215046,16.475085,15.657735,0.017865,
2010-03-15,16.4179,16.4551,16.3701,16.4414,8202067,-0.001047,54.329135,0.200243,16.462626,15.686564,0.017735,
2010-03-16,16.5149,16.7483,16.3873,16.6599,14390758,0.013287,57.881402,0.203791,16.447946,15.725393,0.017624,
2010-03-17,16.6088,16.6088,16.2331,16.2602,17491487,-0.023990,50.190044,0.172365,16.420555,15.766209,0.018309,
2010-03-18,16.2090,16.5759,16.2090,16.4574,9245595,0.012125,53.474436,0.161508,16.418978,15.805407,0.018065,
2010-03-19,16.4240,16.4240,16.1541,16.2203,11395999,-0.014405,49.267688,0.132249,16.415679,15.836981,0.018147,
2010-03-22,16.2563,16.5216,16.0536,16.2805,9918159,0.003709,50.335315,0.112616,16.409445,15.866737,0.018088,
2010-03-23,16.3683,16.7317,16.3683,16.5431,13489953,0.016131,54.806658,0.116901,16.405404,15.903025,0.018209,
2010-03-24,16.7129,16.7129,16.1751,16.4209,9679275,-0.007389,52.440194,0.109175,16.392318,15.937971,0.018258,
2010-03-25,16.4598,16.6365,16.2752,16.3925,13487750,-0.001726,51.880693,0.099616,16.386685,15.969605,0.018110,
2010-03-26,16.4214,16.4214,15.6870,15.7841,11816938,-0.037114,41.617950,0.042460,16.386144,15.987504,0.017408,0.258759
2010-03-29,15.7141,15.7141,15.1374,15.4174,10741105,-0.023231,36.882401,-0.032056,16.334253,15.995069,0.015135,0.223651
2010-03-30,15.4079,15.5819,15.2652,15.4055,9869176,-0.000775,36.735782,-0.091025,16.289857,15.999046,0.015059,0.226994
2010-03-31,15.3548,15.8034,15.3548,15.7444,13598828,0.022000,43.589198,-0.109151,16.263976,16.011357,0.016041,0.177387
2010-04-01,15.7969,16.0649,15.6463,15.8884,11259536,0.009142,46.252126,-0.110627,16.248679,16.021023,0.016200,0.164747
2010-04-02,15.9314,16.2146,15.9314,16.1388,9540379,0.015761,50.619506,-0.090546,16.238588,16.036194,0.016483,0.165573
2010-04-05,16.3142,16.4561,16.3142,16.4392,9617730,0.018613,55.310770,-0.049818,16.237850,16.057078,0.016960,0.210677
2010-04-06,16.3432,16.7114,16.3432,16.4800,8311818,0.002481,55.923108,-0.014088,16.221616,16.082170,0.016226,0.203959
2010-04-07,16.5172,16.5172,16.4038,16.4672,9819198,-0.000774,55.666186,0.013049,16.222246,16.112066,0.015531,0.205412
2010-04-08,16.5176,16.6421,16.1971,16.4867,14439098,0.001184,55.998941,0.035718,16.219326,16.137267,0.015483,0.210192
2010-04-09,16.6388,17.1336,16.6292,16.9601,12077137,0.028712,63.216077,0.090832,16.244395,16.175931,0.016699,0.231527
2010-04-12,16.9064,16.9064,16.5158,16.6026,8950401,-0.021076,55.776333,0.104462,16.252453,16.212056,0.017452,0.251384
2010-04-13,16.4808,16.4808,15.9272,15.9822,12346640,-0.037370,45.718825,0.064458,16.218567,16.239815,0.019116,0.294822
2010-04-14,16.1442,16.6341,16.1442,16.5325,9977327,0.034433,53.694613,0.076281,16.232180,16.279185,0.020006,0.240100
2010-04-15,16.4727,16.4727,16.3646,16.4296,7932801,-0.006223,52.151823,0.076468,16.230791,16.304023,0.019890,0.246901
2010-04-16,16.2386,16.3837,16.2386,16.2958,14218863,-0.008147,50.133517,0.065064,16.234563,16.320642,0.019698,0.248386
2010-04-19,16.2584,16.5224,16.1575,16.3635,11394056,0.004155,51.162972,0.060789,16.238712,16.337595,0.019702,0.249503
2010-04-20,16.5239,16.7952,16.0891,16.5233,8481223,0.009770,53.599126,0.069501,16.237724,16.351753,0.019486,0.244559
2010-04-21,16.5329,16.6927,16.5329,16.6339,9444381,0.006694,55.261800,0.084358,16.248379,16.366568,0.019454,0.250598
2010-04-22,16.5400,16.8406,16.5157,16.6628,9145213,0.001736,55.707991,0.097339,16.261894,16.379140,0.019446,0.275120
2010-04-23,16.5425,16.9603,16.5425,16.8348,12918402,0.010322,58.371427,0.120122,16.314429,16.385012,0.017331,0.299789
2010-04-26,16.7894,17.2672,16.7894,17.1010,12927051,0.015813,62.163658,0.157838,16.398608,16.393220,0.016347,0.291801
2010-04-27,17.1466,17.4495,17.1466,17.3085,15727848,0.012132,64.851030,0.202139,16.493758,16.400320,0.016349,0.292594
2010-04-28,17.3845,17.6998,17.3845,17.5508,14235004,0.013997,67.733158,0.253871,16.584074,16.415174,0.016031,0.277060
2010-04-29,17.4835,17.7951,17.4835,17.7303,8730814,0.010231,69.715303,0.305832,16.676172,16.440002,0.016045,0.226494
2010-04-30,17.6963,17.6963,17.2536,17.4012,18020864,-0.018560,62.177236,0.316807,16.739296,16.462301,0.016725,0.240437
2010-05-03,17.4826,17.4826,17.3852,17.4236,11822828,0.001284,62.473880,0.323577,16.788518,16.482669,0.016368,0.237850
2010-05-04,17.4112,17.7994,17.4112,17.4590,12342877,0.002033,62.969791,0.328020,16.837470,16.499372,0.016369,0.248496
2010-05-05,17.2602,17.2602,17.0458,17.1981,14153698,-0.014943,56.995351,0.306950,16.874016,16.509682,0.016841,0.255201
2010-05-06,17.2884,17.3809,17.2884,17.3088,8109419,0.006434,58.781663,0.295772,16.915120,16.525754,0.016864,0.252405
2010-05-07,17.4407,17.4407,17.1491,17.3312,12992640,0.001296,59.151949,0.285433,16.933677,16.556480,0.015701,0.242539
2010-05-10,17.2584,17.5630,17.2584,17.3043,7645352,-0.001554,58.472682,0.271931,16.968760,16.573460,0.014826,0.236768
2010-05-11,17.0618,17.5895,16.9717,17.0560,7944879,-0.014348,52.487280,0.238448,17.022451,16.588711,0.012267,0.190369
2010-05-12,17.0451,17.8084,17.0451,17.5073,16670961,0.026460,60.418393,0.245498,17.071190,16.613616,0.011294,0.179058
2010-05-13,17.5654,17.8035,17.5654,17.6913,8629766,0.010508,63.120958,0.262901,17.134273,16.643556,0.011200,0.160634
2010-05-14,17.8531,17.8531,17.3864,17.4485,7209782,-0.013721,57.538791,0.254175,17.191912,16.665714,0.011575,0.147768
2010-05-17,17.4407,17.7276,17.4304,17.4876,6697307,0.002237,58.179249,0.247557,17.248117,16.686387,0.011577,0.134339
2010-05-18,17.4049,17.7075,17.4049,17.6889,15391350,0.011514,61.412694,0.255612,17.306396,16.704073,0.011634,0.092902
2010-05-19,17.6380,17.7986,17.4808,17.6420,6327841,-0.002654,60.243261,0.255265,17.356797,16.727820,0.011685,0.097159
2010-05-20,17.6522,17.6522,17.0697,17.1904,9321876,-0.025596,50.317085,0.216062,17.383177,16.740726,0.013326,0.115575
2010-05-21,17.0983,17.6346,17.0983,17.5944,7636920,0.023504,57.124290,0.215116,17.421158,16.763441,0.014082,0.090963
2010-05-24,17.5407,17.5407,16.9496,17.1176,8879871,-0.027104,48.651583,0.173882,17.421985,16.776964,0.015145,0.082879
2010-05-25,17.0979,17.0979,16.8337,16.8563,8867416,-0.015266,44.736010,0.118750,17.399373,16.780891,0.015243,0.102839
2010-05-26,16.8181,16.8181,16.3807,16.3930,14800789,-0.027480,38.778139,0.037250,17.341488,16.783547,0.015874,0.044374
2010-05-27,16.3984,16.4680,16.2917,16.4000,11880215,0.000425,38.910042,-0.026471,17.274973,16.782400,0.015583,0.041063
2010-05-28,16.3380,16.8388,16.3380,16.7700,17474512,0.022561,45.606300,-0.046578,17.243411,16.793393,0.016229,0.061752
2010-05-31,16.8132,16.9740,16.7297,16.9118,13944292,0.008456,47.960833,-0.050488,17.217823,16.806020,0.016378,0.050443
2010-06-01,16.9193,16.9766,16.6851,16.8031,13447127,-0.006430,46.305743,-0.061650,17.185027,16.811221,0.016394,0.042214
2010-06-02,16.8942,17.0256,16.8259,16.8866,6168531,0.004971,47.795974,-0.063030,17.169452,16.820536,0.016156,0.067916
2010-06-03,16.8641,16.8673,16.8121,16.8203,14346591,-0.003927,46.688131,-0.068682,17.145028,16.829092,0.016078,0.066467
2010-06-04,16.8151,17.6477,16.8151,17.4825,12129598,0.039366,57.325611,-0.019506,17.152591,16.863059,0.018477,0.121772
2010-06-07,17.3950,17.4258,17.2918,17.3330,12464400,-0.008549,54.673888,0.007322,17.154028,16.901370,0.018586,0.137262
2010-06-08,17.2587,17.3095,17.0528,17.2578,17048626,-0.004339,53.336723,0.022258,17.164118,16.938416,0.018305,0.125630
2010-06-09,17.2689,17.7434,17.2689,17.5295,6434589,0.015744,57.390828,0.055381,17.165229,16.974118,0.017658,0.163563
2010-06-10,17.3602,17.3602,17.0883,17.1249,17935768,-0.023081,50.372839,0.048426,17.136911,16.998849,0.018216,0.195887
2010-06-11,17.2336,17.2336,16.7957,16.7992,13125953,-0.019020,45.544449,0.016442,17.104445,17.012057,0.018441,0.219962
2010-06-14,16.8729,17.2387,16.8729,17.2261,10495508,0.025411,52.033888,0.025250,17.091371,17.027796,0.019406,0.225396
2010-06-15,17.2359,17.5060,17.2359,17.4909,18181923,0.015375,55.571433,0.052991,17.081472,17.048015,0.019551,0.228211
2010-06-16,17.5547,17.5547,16.8442,16.9515,17788965,-0.030843,47.833112,0.031086,17.046947,17.057701,0.020706,0.204522
2010-06-17,16.8651,16.8651,16.2576,16.4423,16301289,-0.030036,41.902503,-0.027046,17.009543,17.056813,0.020996,0.204332
2010-06-18,16.5591,16.6360,16.4820,16.4908,6455170,0.002950,42.632266,-0.068413,16.954362,17.047428,0.020168,0.177442
2010-06-21,16.4325,16.8485,16.4325,16.7308,12340638,0.014555,46.231248,-0.080897,16.935026,17.049993,0.019698,0.217898
2010-06-22,16.7129,16.7129,16.4170,16.4184,10147851,-0.018675,42.493991,-0.114680,16.913134,17.058717,0.019842,0.238084
2010-06-23,16.2185,16.3713,15.9575,16.2629,12221963,-0.009473,40.729039,-0.152248,16.906625,17.053325,0.018973,0.239911
2010-06-24,16.3179,16.3179,16.1814,16.1827,10436192,-0.004929,39.811224,-0.186341,16.895760,17.048387,0.019001,0.233624
2010-06-25,16.0635,16.2587,16.0635,16.2396,9927866,0.003515,40.830187,-0.206391,16.869239,17.047264,0.018247,0.220610
2010-06-28,16.3672,16.5586,16.3672,16.4244,6847505,0.011378,44.138313,-0.205008,16.844866,17.048482,0.018342,0.215018
2010-06-29,16.6174,16.8621,16.6174,16.6626,7907852,0.014504,48.162241,-0.182586,16.837840,17.051267,0.018629,0.222366
2010-06-30,16.5661,16.8184,16.4780,16.7818,13179444,0.007158,50.100363,-0.153424,16.832601,17.054225,0.018668,0.227694
2010-07-01,16.7672,16.8932,16.7672,16.8116,17571774,0.001771,50.595989,-0.126457,16.832164,17.057200,0.018650,0.223314
2010-07-02,16.8662,16.9219,16.6927,16.9020,10334227,0.005378,52.153056,-0.096676,16.803139,17.058542,0.016287,0.191055
2010-07-05,16.8483,17.0986,16.8229,17.0229,7907267,0.007157,54.231445,-0.062593,16.787635,17.056981,0.016311,0.184765
2010-07-06,17.0630,17.0630,16.3563,16.5489,8592081,-0.027847,45.829598,-0.072990,16.752189,17.041789,0.017392,0.144287
2010-07-07,16.5400,16.5400,16.2458,16.2565,9539751,-0.017666,41.553833,-0.103626,16.688541,17.015904,0.017207,0.221696
2010-07-08,16.4170,16.4314,16.2087,16.3334,10520941,0.004726,43.057288,-0.120320,16.648964,16.987965,0.016666,0.220439
2010-07-09,16.3130,16.3130,16.1865,16.2580,8084601,-0.004613,41.918313,-0.138038,16.621904,16.965101,0.016208,0.229699
2010-07-12,16.3136,16.7431,16.2965,16.6679,13780551,0.025211,49.710915,-0.117650,16.593995,16.949987,0.016190,0.176260
2010-07-13,16.6158,16.9155,16.6040,16.9019,14680380,0.014038,53.542937,-0.081670,16.564542,16.938844,0.016119,0.150558
2010-07-14,16.8802,17.0459,16.7775,17.0206,15340132,0.007023,55.399486,-0.043082,16.567997,16.935293,0.014660,0.156343
2010-07-15,16.9795,17.0806,16.8390,17.0128,11277011,-0.000454,55.244690,-0.012974,16.596523,16.929374,0.012814,0.152682
2010-07-16,17.0984,17.9351,17.0984,17.7207,9350163,0.041608,64.915248,0.067231,16.658018,16.937165,0.015609,0.233970
2010-07-19,17.7684,18.2230,17.7684,18.0683,10693266,0.019612,68.512628,0.157027,16.724888,16.952444,0.015833,0.274825
2010-07-20,17.9784,18.6531,17.9784,18.4767,10259140,0.022608,72.129722,0.258177,16.827806,16.980859,0.015411,0.277383
2010-07-21,18.5152,18.5152,18.1015,18.2709,8992051,-0.011139,67.897592,0.318065,16.928208,16.996132,0.015504,0.294974
2010-07-22,18.3275,18.3275,17.7922,18.0485,9001464,-0.012175,63.557060,0.343616,17.021497,17.003277,0.015852,0.312127
2010-07-23,18.1416,18.1902,18.0451,18.1007,9362589,0.002894,64.136820,0.363886,17.114553,17.016320,0.015857,0.311290
2010-07-26,18.0982,18.2803,18.0982,18.2072,10804994,0.005885,65.347579,0.384117,17.203697,17.030714,0.015798,0.309806
2010-07-27,18.1675,18.3963,18.1675,18.3280,10992109,0.006631,66.719061,0.405223,17.286968,17.043495,0.015654,0.307944
2010-07-28,18.3891,18.6163,18.3891,18.4687,10469553,0.007678,68.294121,0.428366,17.371311,17.060030,0.015658,0.300965
2010-07-29,18.6406,18.8899,18.5731,18.8023,7408510,0.018061,71.711579,0.468226,17.470847,17.092268,0.015908,0.297969
2010-07-30,18.9013,18.9013,18.6660,18.8909,5829054,0.004716,72.558377,0.501193,17.570296,17.118198,0.015909,0.299123
2010-08-02,18.9485,19.5435,18.9485,19.4980,12572508,0.032135,77.519630,0.569737,17.694051,17.165807,0.016974,0.302660
2010-08-03,19.5040,19.6425,19.2725,19.3681,11762100,-0.006663,74.418742,0.606583,17.835011,17.216044,0.015264,0.319590
2010-08-04,19.3474,19.3474,18.9800,19.1863,4028984,-0.009384,70.188996,0.614040,17.981501,17.271910,0.014630,0.330342
2010-08-05,19.2509,19.4547,19.0330,19.1586,11230646,-0.001445,69.539673,0.610673,18.122764,17.327082,0.014776,0.331683
2010-08-06,19.2524,19.6565,19.0083,19.4231,11445312,0.013803,72.183052,0.622172,18.281017,17.380143,0.014513,0.330469
2010-08-09,19.5654,19.5685,19.2461,19.4960,15953950,0.003756,72.882223,0.629911,18.422424,17.431827,0.014039,0.337358
2010-08-10,19.3854,19.3854,19.1317,19.1618,7868426,-0.017144,64.841143,0.602132,18.535419,17.479001,0.015026,0.305886
2010-08-11,18.9565,19.8397,18.9565,19.5939,9045066,0.022549,69.522386,0.607974,18.664084,17.533146,0.015455,0.305427
2010-08-12,19.5305,20.2804,19.5305,20.0932,12479729,0.025487,73.855114,0.645459,18.818104,17.598605,0.015864,0.305673
2010-08-13,20.2944,20.2944,19.7303,19.9019,11521449,-0.009521,69.763464,0.652211,18.927165,17.646994,0.014284,0.303912
2010-08-16,20.0517,20.0517,19.5771,19.6027,16440255,-0.015038,63.808012,0.626195,19.003885,17.692387,0.014633,0.302383
2010-08-17,19.5567,19.5567,19.0929,19.1719,10201735,-0.021977,56.350721,0.564309,19.038641,17.730668,0.015068,0.314214
2010-08-18,19.1715,19.1715,18.7770,18.7829,10148381,-0.020289,50.600476,0.478362,19.064238,17.755736,0.015615,0.379397
2010-08-19,18.6938,19.7423,18.6938,19.6025,15756987,0.043637,59.888665,0.470957,19.141939,17.805288,0.017868,0.432310
2010-08-20,19.6517,19.9312,19.5991,19.7358,11155879,0.006802,61.167753,0.470425,19.223695,17.864020,0.017873,0.419379
2010-08-23,19.9263,20.1387,19.9263,20.1079,23714359,0.018853,64.563827,0.494329,19.318729,17.921657,0.018160,0.434454
2010-08-24,20.0822,20.5154,20.0822,20.4709,17063485,0.018049,67.545306,0.536376,19.425873,17.981256,0.018387,0.418282
2010-08-25,20.3711,20.9694,20.3711,20.9184,6921874,0.021864,70.807292,0.598911,19.548359,18.060595,0.018738,0.431705
2010-08-26,21.0570,21.1712,20.7345,20.9024,18569716,-0.000769,70.532907,0.639796,19.653363,18.149796,0.018594,0.427959
2010-08-27,20.8908,21.1036,20.6231,20.9500,11976443,0.002281,70.892995,0.668343,19.756318,18.238980,0.018607,0.415897
2010-08-30,21.1081,21.2173,21.1081,21.2117,5979409,0.012492,72.853610,0.703968,19.842004,18.328598,0.017611,0.406563
2010-08-31,21.1518,21.8703,21.1518,21.7173,14655093,0.023835,76.190265,0.764189,19.959466,18.434577,0.017923,0.393812
2010-09-01,21.8302,21.8302,21.1569,21.3628,11969937,-0.016326,69.718607,0.774379,20.068288,18.536575,0.018298,0.377628
2010-09-02,21.1702,21.1702,20.7800,21.0335,9628910,-0.015412,64.259864,0.747272,20.162033,18.633591,0.018837,0.375183
2010-09-03,21.1444,21.5786,20.9707,21.1602,14199886,0.006024,65.383060,0.727626,20.248891,18.732004,0.018723,0.348457
2010-09-06,20.8127,21.4241,20.8127,21.4123,10760154,0.011912,67.566792,0.724048,20.344704,18.831762,0.018795,0.336148
2010-09-07,21.2413,21.3962,21.0367,21.2652,11221337,-0.006868,64.990703,0.701263,20.449875,18.923815,0.018296,0.340129
2010-09-08,21.2269,21.3312,21.2269,21.2734,16036641,0.000384,65.070353,0.676070,20.533851,19.013646,0.017867,0.349957
2010-09-09,21.3028,21.3028,20.7413,20.9039,8498597,-0.017367,58.577962,0.619156,20.574385,19.095493,0.017758,0.355808
2010-09-10,20.8984,20.8984,20.5037,20.5301,9095283,-0.017885,52.833410,0.537685,20.605791,19.168055,0.018141,0.361344
2010-09-13,20.5105,21.0335,20.5105,20.9109,14546171,0.018549,57.414527,0.498105,20.671201,19.245814,0.018064,0.367142
2010-09-14,20.9031,21.1781,20.9031,21.1439,11657116,0.011142,59.975771,0.480004,20.769802,19.337713,0.017109,0.356773
2010-09-15,21.1794,21.4896,21.1753,21.2996,17592235,0.007366,61.636779,0.472777,20.895638,19.438575,0.016037,0.362413
2010-09-16,21.2387,21.2387,20.7421,20.9722,12840807,-0.015370,56.343650,0.435611,20.964124,19.531352,0.014148,0.368884
2010-09-17,20.8010,21.5973,20.8010,21.2123,9830728,0.011449,59.116892,0.420683,21.037950,19.630438,0.014244,0.379858
2010-09-20,21.0043,21.0043,20.8342,20.8905,9371491,-0.015175,54.150751,0.378516,21.077076,19.714890,0.014371,0.361832
2010-09-21,20.6761,20.7322,20.3095,20.6863,8410374,-0.009774,51.211892,0.324876,21.087846,19.790577,0.014081,0.328462
2010-09-22,20.5258,20.5258,20.1740,20.1952,6666079,-0.023737,44.900879,0.239978,21.051686,19.854070,0.014151,0.315448
2010-09-23,20.1186,20.1186,19.4195,19.4858,17645051,-0.035131,37.676446,0.114131,20.980856,19.903529,0.016002,0.344255
2010-09-24,19.4254,19.4254,18.9770,19.1998,11729383,-0.014673,35.217203,-0.008576,20.893345,19.933111,0.016135,0.360868
2010-09-27,19.1410,20.2169,19.1410,20.0960,16995469,0.046677,46.913635,-0.033126,20.837560,19.973666,0.019466,0.406828
2010-09-28,20.0731,20.6094,20.0731,20.3004,8794006,0.010169,49.167486,-0.035679,20.766713,20.010139,0.018718,0.407340
2010-09-29,20.4662,20.5521,20.0670,20.2978,7857109,-0.000127,49.139039,-0.037479,20.713464,20.050677,0.018469,0.391487
2010-09-30,20.1519,20.5073,20.1519,20.3044,8295778,0.000324,49.219469,-0.037938,20.677007,20.095795,0.018218,0.392731
2010-10-01,20.1468,20.5234,20.1468,20.4882,10495233,0.009053,51.526485,-0.023201,20.643405,20.143545,0.018298,0.392033
2010-10-04,20.4267,20.6687,20.4158,20.4275,7236662,-0.002962,50.707501,-0.016232,20.594168,20.187950,0.018026,0.436905
2010-10-05,20.3780,20.3780,20.0974,20.1012,9759182,-0.015977,46.432847,-0.036621,20.535964,20.223414,0.018264,0.462312
2010-10-06,20.1568,20.2301,19.7297,19.9344,13374133,-0.008297,44.374321,-0.065482,20.469015,20.252727,0.018291,0.453364
2010-10-07,19.9240,19.9240,19.6887,19.7886,11105953,-0.007311,42.597054,-0.098974,20.413251,20.272455,0.018014,0.460001
2010-10-08,19.7764,20.4574,19.7764,20.3833,15739333,0.030050,51.187529,-0.076650,20.405912,20.302301,0.019031,0.409217
2010-10-11,20.3093,20.7076,20.3093,20.6540,11022207,0.013281,54.524147,-0.036690,20.393069,20.325421,0.018793,0.388745
2010-10-12,20.6278,21.0217,20.6278,20.7775,10203057,0.005982,56.002208,0.004890,20.374753,20.353610,0.018660,0.385591
2010-10-13,20.8181,20.8181,20.5641,20.6360,9946002,-0.006811,53.843486,0.026123,20.341575,20.382604,0.018607,0.356015
2010-10-14,20.6621,20.7790,20.5850,20.7733,14366070,0.006652,55.630336,0.053412,20.331630,20.414898,0.018388,0.340245
2010-10-15,20.7662,21.4098,20.7662,21.3227,15237336,0.026445,61.974291,0.118007,20.337146,20.452890,0.019182,0.348637
2010-10-18,20.9894,21.4341,20.9894,21.2069,12989333,-0.005431,60.025900,0.158033,20.352967,20.487107,0.018886,0.356823
2010-10-19,21.2746,21.4077,21.1449,21.2535,7098511,0.002197,60.563073,0.191307,20.381327,20.528940,0.018718,0.359579
