date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,70.0000,70.7785,69.1359,70.0000,9010843,0.000000,,0.000000,,,,
2010-01-05,69.8640,71.5071,69.8640,71.4252,6273278,0.020360,,0.113689,,,,
2010-01-06,70.6555,70.6555,69.8512,69.9962,13590450,-0.020007,,0.087472,,,,
2010-01-07,70.0691,71.6926,70.0691,71.5631,16692184,0.022385,,0.190929,,,,
2010-01-08,71.6139,73.8513,71.6139,73.3294,11103160,0.024683,,0.410716,,,,
2010-01-11,72.9769,72.9769,69.8059,70.5176,12602955,-0.038345,,0.353931,,,,
2010-01-12,70.7694,70.7694,67.5559,69.1601,8788457,-0.019251,,0.197116,,,,
2010-01-13,68.4513,70.5831,68.4513,69.5345,7237814,0.005412,,0.101869,,,,
2010-01-14,69.5184,69.5184,67.5720,68.4279,17010291,-0.015914,,-0.062189,,,,
2010-01-15,68.5545,69.0324,68.3135,68.4383,14434297,0.000152,,-0.189186,,,,
2010-01-18,68.2860,68.2860,67.6353,67.7353,12328649,-0.010272,,-0.342608,,,,
2010-01-19,67.9563,69.2340,67.9563,69.1404,10594545,0.020743,,-0.346821,,,,
2010-01-20,69.7934,71.4972,69.7934,70.9862,13451587,0.026697,,-0.198926,,,,
2010-01-21,71.7246,72.0749,70.7462,71.2429,19758140,0.003617,,-0.060303,,,,
2010-01-22,71.1649,74.0190,71.1649,72.4147,12987045,0.016447,,0.142466,,,,
2010-01-25,72.7439,72.7439,71.8092,72.0319,9952261,-0.005287,55.674905,0.269167,,,,
2010-01-26,72.0183,72.0183,70.2097,71.1824,7673116,-0.011793,52.730335,0.297602,,,,
2010-01-27,71.3636,71.9706,71.2047,71.7311,8025897,0.007708,54.407677,0.360260,,,,
2010-01-28,71.8518,71.8518,69.3445,70.3607,10770481,-0.019104,49.667578,0.295929,,,,
2010-01-29,70.0174,72.3758,70.0174,71.7917,14353939,0.020337,54.158778,0.356306,70.550471,,0.018560,
2010-02-01,72.2548,72.2548,71.3163,71.8679,10094270,0.001062,54.392312,0.405632,70.643868,,0.018557,
2010-02-02,72.0913,72.0913,70.9339,71.0402,14501332,-0.011518,51.334833,0.373621,70.624618,,0.018216,
2010-02-03,72.0082,72.0082,69.8770,69.9276,6118469,-0.015661,47.472485,0.255536,70.621191,,0.017991,
2010-02-04,69.5154,70.3699,69.5154,70.3669,9774086,0.006281,49.100673,0.195144,70.561381,,0.017288,
2010-02-05,69.9743,71.0172,69.9229,70.0841,5565274,-0.004019,48.067597,0.123046,70.399112,,0.016229,
2010-02-08,70.1114,70.3942,70.0630,70.1693,10387910,0.001216,48.419778,0.071954,70.381694,,0.013814,
2010-02-09,70.3020,70.3020,69.5491,69.6269,9681892,-0.007730,46.268904,-0.012163,70.405032,,0.013203,
2010-02-10,69.5732,71.2988,69.5732,70.4732,9656421,0.012154,50.000797,-0.010419,70.451967,,0.013421,
2010-02-11,70.0085,70.4553,69.6779,70.2964,17968310,-0.002508,49.231567,-0.023037,70.545392,,0.012869,
