date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,40.0000,40.1584,39.7963,40.0000,10934440,0.000000,,0.000000,,,,
2010-01-05,40.0549,40.4537,40.0549,40.2755,13184564,0.006888,,0.021979,,,,
2010-01-06,40.2173,40.2173,39.3543,39.4049,24671810,-0.021616,,-0.030499,,,,
2010-01-07,39.2809,40.3035,39.2809,40.0515,12650405,0.016408,,-0.019689,,,,
2010-01-08,40.3419,40.9380,40.3419,40.8769,5512953,0.020609,,0.054850,,,,
2010-01-11,40.9686,40.9686,39.1732,39.2253,5371458,-0.040405,,-0.019130,,,,
2010-01-12,39.2649,39.2649,38.1445,38.1598,12769662,-0.027164,,-0.161871,,,,
2010-01-13,38.1169,38.2939,38.1169,38.2693,7238929,0.002870,,-0.263123,,,,
2010-01-14,38.3457,38.3457,37.9256,38.0303,8828273,-0.006246,,-0.358521,,,,
2010-01-15,37.9622,38.3107,37.8442,38.0311,15354417,0.000021,,-0.429114,,,,
2010-01-18,37.7980,37.7980,37.1128,37.3558,7617756,-0.017755,,-0.533397,,,,
2010-01-19,37.1519,38.0873,37.1519,38.0766,18571403,0.019295,,-0.551524,,,,
2010-01-20,38.0158,38.9083,38.0158,38.7230,15898708,0.016976,,-0.507877,,,,
2010-01-21,38.7363,38.8051,38.6870,38.7904,9906085,0.001740,,-0.462520,,,,
2010-01-22,38.8287,40.1535,38.8287,39.7472,14775834,0.024667,,-0.345383,,,,
2010-01-25,39.6113,40.2660,39.6113,40.1518,6569410,0.010178,50.995371,-0.217400,,,,
2010-01-26,40.1584,40.1584,39.1349,39.4356,21058558,-0.017836,46.767204,-0.171781,,,,
2010-01-27,39.3152,39.7696,39.3152,39.7592,7537082,0.008206,48.831698,-0.108267,,,,
2010-01-28,39.7542,39.7542,38.6199,38.9624,14688569,-0.020041,44.278066,-0.120836,,,,
2010-01-29,38.9875,39.9926,38.9875,39.7116,7996634,0.019228,49.085328,-0.069544,39.151911,,0.018458,
2010-02-01,39.7246,39.7285,39.5612,39.6730,11584824,-0.000972,48.851462,-0.031645,39.135559,,0.018459,
2010-02-02,39.6875,39.7093,39.5253,39.5356,7360788,-0.003461,47.975862,-0.012545,39.098565,,0.018393,
2010-02-03,39.6632,39.6632,38.9228,38.9751,8922997,-0.014178,44.471519,-0.042153,39.077073,,0.018021,
2010-02-04,38.9575,40.1509,38.9575,40.0104,15785646,0.026562,51.515480,0.017716,39.075016,,0.018651,
2010-02-05,40.0285,40.1078,39.2839,39.8822,10305179,-0.003203,50.658915,0.054198,39.025281,,0.018023,
2010-02-08,39.7942,39.7942,39.4772,39.5311,4878542,-0.008805,48.289326,0.054152,39.040571,,0.015619,
2010-02-09,39.6463,39.6463,39.1826,39.2515,7577267,-0.007072,46.427485,0.031199,39.095159,,0.014339,
2010-02-10,39.3548,39.9813,39.3548,39.7108,15892331,0.011699,49.848242,0.049492,39.167231,,0.014518,
2010-02-11,39.5876,40.0894,39.5876,40.0283,4864673,0.007997,52.124959,0.088594,39.267133,,0.014444,
2010-02-12,40.0377,40.5095,40.0377,40.3862,8454432,0.008940,54.624540,0.146765,39.384887,,0.014496,
2010-02-15,40.4547,41.0072,40.4547,40.7717,6977438,0.009546,57.216266,0.221422,39.555680,,0.013691,
2010-02-16,40.7865,42.8194,40.7865,42.6898,11008450,0.047045,67.241616,0.430404,39.786340,,0.016408,
2010-02-17,42.6585,42.6585,42.2158,42.3355,11161266,-0.008300,64.246742,0.560966,39.966964,,0.016481,
2010-02-18,42.3442,42.3442,41.7456,41.8870,13753946,-0.010594,60.569197,0.621086,40.121795,,0.016820,
2010-02-19,41.9075,41.9075,40.9868,41.1824,17387148,-0.016821,55.221606,0.604904,40.193554,,0.016693,
2010-02-22,41.0047,41.8140,41.0047,41.7408,7969149,0.013560,58.359558,0.629880,40.273006,,0.016798,
2010-02-23,41.7861,43.1929,41.7861,42.7649,9804302,0.024534,63.421705,0.723962,40.439470,,0.016826,
2010-02-24,42.8828,43.1139,42.5381,42.6731,6220221,-0.002146,62.686132,0.782101,40.585164,,0.016855,
2010-02-25,42.5265,42.5265,41.8622,41.9288,6584351,-0.017442,56.920945,0.759364,40.733485,,0.016672,
2010-02-26,42.0386,42.0386,40.9898,41.2048,8775565,-0.017266,51.919169,0.675145,40.808150,,0.016891,
2010-03-01,41.1339,42.0426,41.1339,41.7930,10409401,0.014274,55.351816,0.648387,40.914153,,0.017093,
2010-03-02,41.5511,42.6286,41.5511,42.4736,14290967,0.016286,58.999636,0.674328,41.061052,,0.017285,
2010-03-03,42.5047,43.0019,42.5047,42.9825,8063275,0.011980,61.530048,0.727558,41.261420,,0.016843,
2010-03-04,42.9785,42.9785,42.1228,42.3781,9235585,-0.014060,57.028203,0.712762,41.379808,,0.016558,
2010-03-05,42.3402,42.8403,42.3402,42.6085,10911968,0.005435,58.281088,0.711421,41.516119,,0.016500,
2010-03-08,42.5209,42.7985,42.5209,42.7297,6951264,0.002844,58.959095,0.711931,41.676047,,0.016248,
2010-03-09,42.6620,43.0514,42.6620,42.9407,12270852,0.004939,60.173022,0.721054,41.860505,,0.016037,
2010-03-10,42.8455,43.7587,42.8455,43.7565,8006882,0.018997,64.538886,0.785058,42.062790,,0.016288,
2010-03-11,43.6659,44.2472,43.6659,43.9764,9395635,0.005026,65.632645,0.843801,42.260193,,0.016273,
2010-03-12,43.9166,44.6761,43.9166,44.6253,9918635,0.014757,68.700636,0.931977,42.472151,40.589309,0.016401,
2010-03-15,44.7721,44.8083,44.6646,44.6990,12608051,0.001650,69.038281,0.996313,42.668514,40.683288,0.016384,
2010-03-16,44.8103,45.0879,44.8103,44.9890,12555621,0.006488,70.393334,1.058499,42.783472,40.777557,0.013041,
