date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,30.0000,30.0460,29.9291,30.0000,16656955,0.000000,,0.000000,,,,
2010-01-05,29.8326,29.8326,29.1863,29.2835,5125290,-0.023882,,-0.057154,,,,
2010-01-06,29.3278,29.3278,28.3692,28.7393,14848733,-0.018584,,-0.144692,,,,
2010-01-07,28.7725,28.8141,28.3819,28.6283,10519229,-0.003864,,-0.220487,,,,
2010-01-08,28.6046,29.2163,28.6046,29.0947,12832202,0.016292,,-0.240150,,,,
2010-01-11,29.0666,29.0666,28.4704,28.4930,10182483,-0.020681,,-0.300818,,,,
2010-01-12,28.4312,28.4312,28.1433,28.2489,20139428,-0.008566,,-0.364392,,,,
2010-01-13,28.3295,28.7432,28.3295,28.5749,8393524,0.011538,,-0.384046,,,,
2010-01-14,28.5747,28.7407,28.4877,28.6434,9581741,0.002399,,-0.389600,,,,
2010-01-15,28.6327,29.0044,28.6327,28.8336,11007758,0.006641,,-0.374338,,,,
2010-01-18,29.0477,29.0477,28.7184,28.7650,13651047,-0.002382,,-0.363593,,,,
2010-01-19,28.7307,29.4714,28.7307,29.2780,16257249,0.017836,,-0.310103,,,,
2010-01-20,29.2519,29.5728,29.2519,29.4669,11751014,0.006451,,-0.249595,,,,
2010-01-21,29.3743,30.2649,29.3743,29.9861,11748629,0.017620,,-0.157924,,,,
2010-01-22,29.8676,30.6925,29.8676,30.5955,13402243,0.020324,,-0.035688,,,,
2010-01-25,30.6711,30.6711,30.3539,30.3804,8046386,-0.007032,53.369334,0.043326,,,,
2010-01-26,30.5113,30.5113,29.6795,29.7343,10811483,-0.021266,46.865694,0.053199,,,,
2010-01-27,29.6925,29.9853,29.6563,29.7929,18178310,0.001971,47.490650,0.065001,,,,
2010-01-28,29.7386,30.1424,29.5692,29.9272,8603151,0.004506,48.971699,0.084218,,,,
2010-01-29,29.7980,30.3902,29.7980,30.2962,13115623,0.012330,52.903416,0.127750,29.338117,,0.013842,
2010-02-01,30.1831,30.3258,29.9359,30.2409,6902339,-0.001824,52.254200,0.155993,29.350163,,0.013852,
2010-02-02,30.2160,30.7211,30.2160,30.6006,9504797,0.011892,56.036063,0.205031,29.416014,,0.012809,
2010-02-03,30.5201,30.9948,30.5201,30.8795,18378610,0.009115,58.764098,0.263365,29.523021,,0.011900,
2010-02-04,31.0101,31.7670,31.0101,31.5775,13690110,0.022604,64.671970,0.361747,29.670479,,0.012476,
2010-02-05,31.5470,31.9824,31.4892,31.6787,9008935,0.003205,65.444930,0.442777,29.799676,,0.012192,
2010-02-08,31.6036,32.1839,31.6036,32.1650,7616078,0.015352,68.959873,0.540011,29.983275,,0.010894,
2010-02-09,32.0613,32.0613,31.4770,31.7971,10135060,-0.011438,63.682517,0.580689,30.160682,,0.011115,
2010-02-10,31.7638,32.2553,31.7638,32.1227,6449201,0.010240,66.151443,0.631916,30.338072,,0.011085,
2010-02-11,32.2362,32.5265,32.2170,32.4754,6285194,0.010981,68.638689,0.692988,30.529672,,0.011107,
2010-02-12,32.6146,32.8478,32.3012,32.5607,16252649,0.002625,69.227295,0.739741,30.716023,,0.011138,
