date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,30.0000,30.0272,29.9456,30.0000,13749458,0.000000,,0.000000,,,,
2010-01-05,29.8021,30.3559,29.8021,30.1840,12906712,0.006134,,0.014680,,,,
2010-01-06,30.0472,30.0472,29.1705,29.5832,14843392,-0.019906,,-0.021916,,,,
2010-01-07,29.3361,30.2936,29.3361,30.0191,8009236,0.014734,,-0.015566,,,,
2010-01-08,29.7792,31.3618,29.7792,30.5839,12095921,0.018816,,0.034643,,,,
2010-01-11,30.6389,30.6389,29.4306,29.4401,10433730,-0.037398,,-0.017656,,,,
2010-01-12,29.5609,29.5609,28.4558,28.7056,10571203,-0.024950,,-0.117025,,,,
2010-01-13,28.5682,29.0210,28.5682,28.7885,7833486,0.002889,,-0.186930,,,,
2010-01-14,28.6053,28.7014,28.5009,28.6176,14853618,-0.005937,,-0.253202,,,,
2010-01-15,28.3155,28.7554,28.3155,28.6117,7899559,-0.000205,,-0.302708,,,,
2010-01-18,28.5329,28.5329,27.9443,28.1444,7263386,-0.016333,,-0.375324,,,,
2010-01-19,27.9382,28.8396,27.9382,28.6364,18942753,0.017482,,-0.388690,,,,
2010-01-20,28.6210,29.5444,28.6210,29.0777,16364932,0.015408,,-0.359535,,,,
2010-01-21,28.9465,29.7218,28.9465,29.1227,9869734,0.001550,,-0.329001,,,,
2010-01-22,29.1401,29.9687,29.1401,29.7689,9088640,0.022189,,-0.249781,,,,
2010-01-25,29.7488,30.3271,29.7488,30.0469,10078203,0.009337,50.540251,-0.162695,,,,
2010-01-26,30.0658,30.0658,29.4300,29.5525,11575415,-0.016452,46.333661,-0.132045,,,,
2010-01-27,29.7768,29.9595,29.3482,29.7729,13442535,0.007457,48.395682,-0.088948,,,,
2010-01-28,29.8684,29.8684,28.9460,29.2298,7815725,-0.018240,43.917558,-0.097488,,,,
2010-01-29,29.2796,30.0102,29.2796,29.7395,11573616,0.017435,48.713650,-0.062415,29.381268,,0.016894,
2010-02-01,29.3465,30.0351,28.9787,29.7128,9824385,-0.000897,48.479851,-0.036353,29.366907,,0.016894,
2010-02-02,29.6307,29.9036,29.2118,29.6119,10018511,-0.003394,47.550957,-0.023566,29.338301,,0.016836,
2010-02-03,29.5549,29.5549,29.1676,29.2259,7941749,-0.013037,44.070137,-0.044076,29.320434,,0.016493,
2010-02-04,29.3079,29.9698,29.3079,29.9372,10923174,0.024340,51.163922,-0.002896,29.316341,,0.017088,
2010-02-05,29.6430,29.9263,29.6430,29.8573,7140410,-0.002668,50.391156,0.023029,29.280014,,0.016509,
2010-02-08,29.8310,29.8310,29.5193,29.6162,10397226,-0.008078,48.031773,0.023838,29.288815,,0.014262,
2010-02-09,29.7185,29.7185,29.3691,29.4178,7513660,-0.006697,46.119493,0.008378,29.324427,,0.013091,
2010-02-10,29.3547,29.7530,29.3547,29.7328,13925482,0.010707,49.554192,0.021296,29.371641,,0.013256,
2010-02-11,29.6779,30.0079,29.5707,29.9477,9638087,0.007227,51.811166,0.048315,29.438144,,0.013184,
2010-02-12,29.6768,30.2156,29.6768,30.1967,13337325,0.008316,54.359746,0.088800,29.517393,,0.013234,
2010-02-15,30.0304,30.8795,30.0304,30.4518,16045571,0.008448,56.875640,0.139856,29.632762,,0.012490,
2010-02-16,30.1582,31.8931,30.1582,31.7568,9257967,0.042854,66.921365,0.282363,29.788778,,0.014971,
2010-02-17,32.0258,32.0258,31.0910,31.5075,10463395,-0.007848,63.861807,0.370916,29.910273,,0.015046,
2010-02-18,31.4704,31.4704,31.1669,31.1945,11633055,-0.009935,60.142428,0.411096,30.013863,,0.015366,
2010-02-19,31.2789,31.2789,30.7009,30.7071,9348781,-0.015624,54.791698,0.399013,30.060774,,0.015278,
2010-02-22,30.5205,31.2506,30.3544,31.0838,10818629,0.012266,57.908344,0.415045,30.112621,,0.015369,
2010-02-23,31.0120,31.7985,31.0120,31.7818,12982709,0.022456,62.999131,0.478558,30.224085,,0.015399,
2010-02-24,31.7665,31.8579,31.6885,31.7112,9666618,-0.002222,62.179643,0.517231,30.320999,,0.015428,
2010-02-25,31.7905,31.7905,30.9199,31.2011,16496120,-0.016084,56.467358,0.500949,30.419563,,0.015277,
2010-02-26,31.0019,31.0019,30.5546,30.7082,4882585,-0.015797,51.539863,0.443166,30.468003,,0.015473,
2010-03-01,30.7885,31.3031,30.7885,31.1052,6381882,0.012925,54.949181,0.424506,30.537622,,0.015658,
2010-03-02,30.9621,31.6549,30.9621,31.5674,8771364,0.014862,58.602247,0.441926,30.635398,,0.015833,
2010-03-03,31.6998,31.9987,31.6385,31.9080,8190136,0.010789,61.104641,0.477707,30.769507,,0.015429,
2010-03-04,31.6602,31.6602,31.3958,31.4970,6441509,-0.012881,56.653905,0.467508,30.847496,,0.015154,
2010-03-05,31.5683,31.9591,31.5683,31.6435,11166115,0.004652,57.832963,0.465878,30.936805,,0.015107,
2010-03-08,31.7799,31.9450,31.5529,31.7262,21161690,0.002611,58.518305,0.465884,31.042305,,0.014881,
2010-03-09,31.6134,32.0470,31.6134,31.8674,7483098,0.004451,59.722923,0.471843,31.164781,,0.014684,
2010-03-10,31.7070,32.7001,31.7070,32.4179,9214390,0.017276,64.100339,0.515052,31.299037,,0.014912,
2010-03-11,32.3526,32.6438,32.0118,32.5672,10840243,0.004606,65.204864,0.554946,31.430014,,0.014897,
2010-03-12,32.5033,33.5784,32.5033,33.0071,9243951,0.013507,68.299209,0.614968,31.570533,30.325844,0.015015,
2010-03-15,32.9083,33.1802,32.8442,33.0604,8635893,0.001614,68.662773,0.659236,31.700961,30.387052,0.015000,
