date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,55.0000,55.0711,54.8730,55.0000,10214956,0.000000,,0.000000,,,,
2010-01-05,55.1527,55.4923,55.1527,55.3011,6326701,0.005474,,0.024017,,,,
2010-01-06,55.3417,55.3417,54.0139,54.3389,13124831,-0.017398,,-0.034191,,,,
2010-01-07,54.1240,55.8409,54.1240,55.0608,13089390,0.013284,,-0.021824,,,,
2010-01-08,54.9664,56.1156,54.9664,55.9804,19909330,0.016702,,0.061474,,,,
2010-01-11,56.0646,56.0646,53.8267,54.1504,9425513,-0.032690,,-0.019949,,,,
2010-01-12,54.1711,54.1711,52.8438,52.9729,8771476,-0.021744,,-0.177441,,,,
2010-01-13,53.2353,53.2353,52.9521,53.0979,11910287,0.002359,,-0.288841,,,,
2010-01-14,53.0444,53.0444,52.3224,52.8197,10544865,-0.005239,,-0.395020,,,,
2010-01-15,52.8629,53.0213,52.4500,52.8160,10837238,-0.000070,,-0.474003,,,,
2010-01-18,52.8198,52.8198,51.5844,52.0669,7655044,-0.014184,,-0.590241,,,,
2010-01-19,52.2298,53.1434,52.2298,52.8627,12886426,0.015285,,-0.611100,,,,
2010-01-20,53.0085,53.9329,53.0085,53.5869,17280760,0.013700,,-0.562706,,,,
2010-01-21,53.3852,53.8329,53.3831,53.6636,15242287,0.001430,,-0.512266,,,,
2010-01-22,53.5620,54.8204,53.5620,54.7264,13403506,0.019806,,-0.382120,,,,
2010-01-25,54.8187,55.3577,54.8187,55.1736,11655544,0.008172,51.018882,-0.240126,,,,
2010-01-26,55.1650,55.1650,54.3277,54.3800,9139407,-0.014385,46.799492,-0.189453,,,,
2010-01-27,54.3674,55.0363,54.3674,54.7433,9002411,0.006681,48.883499,-0.118611,,,,
2010-01-28,54.9002,54.9002,53.8177,53.8730,7093455,-0.015897,44.397116,-0.131177,,,,
2010-01-29,54.0774,54.8898,54.0774,54.7083,15730904,0.015505,49.214979,-0.072894,54.066149,,0.014851,
2010-02-01,54.9157,55.3156,54.3576,54.6826,8843960,-0.000471,49.073771,-0.028455,54.050278,,0.014851,
2010-02-02,54.2667,54.7028,54.2667,54.5259,10779835,-0.002866,48.168202,-0.005816,54.011517,,0.014801,
2010-02-03,54.3964,54.3964,53.7071,53.9092,8436768,-0.011310,44.674823,-0.037205,53.990030,,0.014496,
2010-02-04,53.9079,55.1299,53.9079,55.0637,10525600,0.021415,51.732460,0.030721,53.990175,,0.015002,
2010-02-05,55.1950,55.4335,54.8353,54.9373,7077611,-0.002295,50.966042,0.073509,53.938020,,0.014489,
2010-02-08,54.9897,55.0179,54.4810,54.5534,11825084,-0.006989,48.609763,0.075566,53.958169,,0.012522,
2010-02-09,54.4782,54.4782,53.7499,54.2425,16409048,-0.005698,46.726221,0.051520,54.021648,,0.011498,
2010-02-10,54.1537,55.1497,54.1537,54.7506,15322750,0.009367,50.127754,0.072624,54.104282,,0.011639,
2010-02-11,54.9781,55.2964,54.9781,55.1085,6340830,0.006537,52.431773,0.116880,54.218720,,0.011573,
2010-02-12,55.2993,55.6532,55.2993,55.5189,12811412,0.007447,54.999014,0.182958,54.353861,,0.011618,
2010-02-15,55.3996,56.1194,55.3996,55.9406,8188029,0.007597,57.535748,0.266291,54.547549,,0.010968,
2010-02-16,56.0778,58.2265,56.0778,58.0453,18277921,0.037623,67.408151,0.496437,54.806677,,0.013138,
2010-02-17,58.0579,58.0579,57.6604,57.6619,9275517,-0.006605,64.467710,0.640508,55.010423,,0.013195,
2010-02-18,57.7662,57.7662,56.9302,57.1722,15410210,-0.008492,60.818740,0.707022,55.185855,,0.013471,
2010-02-19,57.0515,57.0515,56.0672,56.3916,16223718,-0.013654,55.432360,0.688806,55.269112,,0.013385,
2010-02-22,56.5757,57.1930,56.5757,56.9897,13926453,0.010607,58.467566,0.714398,55.359915,,0.013459,
2010-02-23,57.0772,58.3373,57.0772,58.1061,11066176,0.019589,63.468461,0.815364,55.546220,,0.013465,
2010-02-24,58.0322,58.0553,57.9689,58.0043,8077823,-0.001752,62.726819,0.877057,55.709271,,0.013489,
2010-02-25,57.9131,57.9131,57.0250,57.1935,8548376,-0.013978,57.012289,0.850719,55.875295,,0.013354,
2010-02-26,57.4765,57.4765,56.3419,56.4032,10158905,-0.013818,52.036124,0.757347,55.960040,,0.013527,
2010-03-01,56.5537,57.1118,56.5537,57.0425,9855790,0.011333,55.425075,0.726553,56.078034,,0.013687,
2010-03-02,57.2004,57.8034,57.2004,57.7954,11276752,0.013199,59.091602,0.754208,56.241509,,0.013845,
2010-03-03,57.6725,58.4673,57.6725,58.3555,8458451,0.009691,61.620661,0.811961,56.463823,,0.013494,
2010-03-04,58.3462,58.3462,57.5388,57.7124,13472273,-0.011020,57.244813,0.796657,56.596260,,0.013245,
2010-03-05,57.8095,58.0460,57.8095,57.9559,8719948,0.004220,58.448143,0.795014,56.747191,,0.013202,
2010-03-08,57.8190,58.0978,57.6881,58.0866,7222587,0.002254,59.113055,0.795089,56.923852,,0.013003,
2010-03-09,57.9628,58.4783,57.9119,58.3195,9259257,0.004009,60.331559,0.804665,57.127699,,0.012833,
2010-03-10,58.4136,59.3688,58.4136,59.2110,10829418,0.015288,64.672114,0.874120,57.350722,,0.013037,
2010-03-11,59.5378,59.5378,59.0552,59.4490,11401521,0.004020,65.749513,0.937561,57.567750,,0.013023,
2010-03-12,59.5976,60.1654,59.5976,60.1548,14848388,0.011872,68.789158,1.032880,57.799547,55.692126,0.013124,
2010-03-15,60.3129,60.7246,60.2050,60.2352,13800777,0.001337,69.125410,1.102205,58.014275,55.796830,0.013111,
2010-03-16,60.1272,60.5808,60.1272,60.5544,13071923,0.005299,70.484480,1.169419,58.139730,55.901896,0.010441,
2010-03-17,60.4342,61.9576,60.4342,61.2234,15574593,0.011048,73.152258,1.262123,58.317807,56.039585,0.010406,
2010-03-18,61.1570,61.1570,59.4209,59.7309,6418273,-0.024377,60.101491,1.201313,58.445744,56.132989,0.011841,
2010-03-19,59.8406,59.8406,58.8819,59.4199,5112227,-0.005207,57.787804,1.115169,58.597160,56.201779,0.011386,
2010-03-22,59.5621,59.5621,58.7275,58.9558,10224355,-0.007810,54.421263,0.997949,58.695467,56.297888,0.011455,
2010-03-23,58.9478,58.9478,58.0300,58.3260,19251389,-0.010682,50.151326,0.844497,58.706464,56.404950,0.010965,
2010-03-24,58.2287,58.2287,58.0066,58.0628,5592399,-0.004514,48.440413,0.693646,58.709388,56.504247,0.011009,
2010-03-25,58.1791,59.7438,58.1791,59.5839,9449144,0.026197,57.468784,0.688894,58.828905,56.639530,0.011930,
2010-03-26,59.5630,59.5630,58.6862,58.7154,14933213,-0.014575,51.882994,0.608044,58.944516,56.757519,0.011984,0.999976
2010-03-29,58.8322,60.1432,58.8322,59.7128,16145338,0.016986,57.046608,0.617332,59.078033,56.910437,0.012277,0.999976
2010-03-30,59.4372,59.4372,57.9089,58.0296,12978590,-0.028188,47.736060,0.483301,59.089744,57.013775,0.013754,0.999978
2010-03-31,57.8498,57.8498,57.6117,57.7101,12484325,-0.005505,46.194980,0.347298,59.057476,57.096238,0.013626,0.999977
2010-04-01,57.5737,57.9931,57.5737,57.8773,11465668,0.002897,47.156370,0.250121,59.065721,57.180513,0.013413,0.999976
2010-04-02,57.8751,58.5368,57.8751,58.4735,14122692,0.010301,50.549893,0.218697,59.091601,57.255454,0.013576,0.999978
2010-04-05,58.4335,59.5679,58.4335,59.1987,10283476,0.012401,54.386603,0.249430,59.147205,57.335955,0.013831,0.999975
2010-04-06,59.1610,60.0970,59.1610,60.0289,16369051,0.014024,58.369008,0.336893,59.232674,57.448932,0.014122,0.999974
2010-04-07,60.0895,60.0895,59.2257,59.6768,7541421,-0.005865,56.130705,0.373492,59.255960,57.547602,0.013827,0.999974
2010-04-08,59.8984,59.8984,59.0109,59.2152,5129432,-0.007735,53.247948,0.361088,59.244268,57.654444,0.013919,0.999974
2010-04-09,59.3442,60.1158,59.3442,60.1043,5615874,0.015016,57.749507,0.418186,59.241745,57.762365,0.014078,0.999974
2010-04-12,59.9088,60.3630,59.4974,59.9179,7406424,-0.003103,56.520292,0.443279,59.225878,57.867070,0.014092,0.999973
2010-04-13,59.7692,59.7692,58.4609,58.6243,10425124,-0.021590,48.766292,0.354693,59.129371,57.949038,0.014807,0.999974
2010-04-14,58.4848,58.4848,57.4373,57.5064,9545611,-0.019068,43.245133,0.192072,58.943521,58.020982,0.014992,0.999975
