date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,10.0000,10.0010,9.9655,10.0000,4525,0.000000,,0.000000,,,,
2010-01-05,9.9954,10.0540,9.9954,10.0432,4562,0.004318,,0.003445,,,,
2010-01-06,10.0550,10.0550,9.9314,9.9363,5810,-0.010645,,-0.002424,,,,
2010-01-07,9.9283,10.0372,9.9283,10.0299,5261,0.009423,,0.000474,,,,
2010-01-08,10.0298,10.1766,10.0298,10.1459,5079,0.011564,,0.011993,,,,
2010-01-11,10.1457,10.1457,9.9106,9.9372,5091,-0.020565,,0.004236,,,,
2010-01-12,9.9238,9.9238,9.7822,9.8012,8542,-0.013689,,-0.012741,,,,
2010-01-13,9.7994,9.8295,9.7994,9.8241,2653,0.002331,,-0.024074,,,,
2010-01-14,9.8219,9.8360,9.7945,9.7993,5938,-0.002520,,-0.034654,,,,
2010-01-15,9.8203,9.8203,9.7857,9.8067,7549,0.000757,,-0.041957,,,,
2010-01-18,9.8133,9.8133,9.7233,9.7242,6343,-0.008416,,-0.053784,,,,
2010-01-19,9.7269,9.8445,9.7269,9.8299,3543,0.010872,,-0.054004,,,,
2010-01-20,9.8370,9.9522,9.8370,9.9260,4054,0.009780,,-0.045892,,,,
2010-01-21,9.9331,9.9549,9.9315,9.9420,9794,0.001604,,-0.037743,,,,
2010-01-22,9.9430,10.0856,9.9430,10.0766,10082,0.013544,,-0.020187,,,,
2010-01-25,10.0911,10.1698,10.0911,10.1382,2986,0.006113,55.669116,-0.001289,,,,
2010-01-26,10.1510,10.1510,10.0531,10.0538,6535,-0.008321,51.660141,0.006802,,,,
2010-01-27,10.0345,10.1065,10.0345,10.1036,4764,0.004944,53.772755,0.017029,,,,
2010-01-28,10.0972,10.0972,9.9785,10.0063,5910,-0.009628,49.237745,0.017088,,,,
2010-01-29,10.0056,10.1380,10.0056,10.1170,4425,0.011060,53.991734,0.025768,9.962065,,0.009696,
2010-02-01,10.1194,10.1214,10.1188,10.1194,6332,0.000247,54.096068,0.032474,9.968038,,0.009695,
2010-02-02,10.1069,10.1169,10.0950,10.1108,7463,-0.000857,53.640711,0.036666,9.971417,,0.009660,
2010-02-03,10.1077,10.1077,10.0429,10.0442,7936,-0.006582,50.151122,0.034224,9.976815,,0.009457,
2010-02-04,10.0210,10.1934,10.0210,10.1927,3557,0.014786,56.891153,0.043768,9.984957,,0.009791,
2010-02-05,10.1945,10.1959,10.1738,10.1840,5726,-0.000854,56.409785,0.050052,9.986864,,0.009464,
2010-02-08,10.1753,10.1753,10.1211,10.1456,4508,-0.003776,54.226658,0.051337,9.997281,,0.008180,
2010-02-09,10.1490,10.1490,10.1035,10.1160,5616,-0.002912,52.544143,0.049403,10.013022,,0.007482,
2010-02-10,10.1074,10.1962,10.1074,10.1870,3027,0.007012,56.068581,0.052983,10.031168,,0.007578,
2010-02-11,10.1875,10.2537,10.1875,10.2409,12180,0.005296,58.587844,0.059487,10.053249,,0.007543,
2010-02-12,10.2483,10.3023,10.2483,10.2973,4342,0.005505,61.098259,0.068403,10.077778,,0.007569,
2010-02-15,10.3011,10.3853,10.3011,10.3594,3791,0.006030,63.707649,0.079562,10.109538,,0.007153,
2010-02-16,10.3624,10.6261,10.3624,10.6188,8617,0.025044,72.122153,0.108093,10.148984,,0.008524,
2010-02-17,10.6314,10.6314,10.5758,10.5823,9062,-0.003443,69.670358,0.126299,10.181795,,0.008557,
2010-02-18,10.5836,10.5836,10.5315,10.5330,3730,-0.004653,66.397060,0.135195,10.211348,,0.008732,
2010-02-19,10.5263,10.5263,10.4438,10.4474,4687,-0.008130,61.027222,0.133793,10.229887,,0.008690,
2010-02-22,10.4715,10.5526,10.4715,10.5306,7201,0.007964,64.067967,0.137807,10.249507,,0.008748,
2010-02-23,10.5342,10.6977,10.5342,10.6755,3316,0.013763,68.655772,0.150944,10.280591,,0.008779,
2010-02-24,10.6734,10.6802,10.6685,10.6729,4601,-0.000245,68.486134,0.159307,10.309059,,0.008796,
2010-02-25,10.6782,10.6782,10.5742,10.5839,4385,-0.008337,62.791740,0.156946,10.337942,,0.008705,
2010-02-26,10.5879,10.5879,10.4874,10.4967,10058,-0.008238,57.727020,0.146353,10.356932,,0.008815,
2010-03-01,10.5073,10.6000,10.5073,10.5841,9946,0.008319,61.110322,0.143351,10.380163,,0.008920,
2010-03-02,10.5851,10.7210,10.5851,10.6828,3830,0.009325,64.562657,0.147239,10.408762,,0.009022,
2010-03-03,10.6937,10.7599,10.6937,10.7590,5388,0.007136,66.999441,0.154688,10.444501,,0.008790,
2010-03-04,10.7548,10.7548,10.6777,10.6912,7757,-0.006304,62.858181,0.153351,10.469423,,0.008626,
2010-03-05,10.6794,10.7335,10.6794,10.7311,4027,0.003732,64.257963,0.153739,10.496775,,0.008595,
2010-03-08,10.7254,10.7571,10.7254,10.7560,6196,0.002326,65.142995,0.154283,10.527298,,0.008462,
2010-03-09,10.7419,10.8061,10.7419,10.7941,4333,0.003537,66.504198,0.155985,10.561200,,0.008348,
2010-03-10,10.8079,10.9470,10.8079,10.9099,4246,0.010732,70.307000,0.164782,10.597348,,0.008476,
2010-03-11,10.9004,10.9684,10.9004,10.9483,6040,0.003520,71.463513,0.172860,10.632718,,0.008465,
2010-03-12,10.9469,11.0625,10.9469,11.0425,6691,0.008604,74.125914,0.184734,10.669980,10.285579,0.008534,
2010-03-15,11.0395,11.0704,11.0395,11.0618,4076,0.001746,74.647347,0.193470,10.705101,10.306815,0.008522,
2010-03-16,11.0596,11.1293,11.0596,11.1083,5584,0.004199,75.906791,0.201814,10.729573,10.328117,0.006833,
2010-03-17,11.0996,11.1997,11.0996,11.1976,4895,0.008039,78.153840,0.213176,10.760338,10.353342,0.006809,
2010-03-18,11.1919,11.1919,11.0145,11.0286,5464,-0.015092,65.671637,0.206167,10.785116,10.373316,0.007750,
2010-03-19,11.0139,11.0315,11.0002,11.0007,3400,-0.002524,63.862057,0.196106,10.812783,10.390413,0.007447,
2010-03-22,11.0055,11.0055,10.9373,10.9533,3911,-0.004312,60.788670,0.182205,10.833918,10.410734,0.007488,
2010-03-23,10.9582,10.9582,10.8774,10.8873,5273,-0.006023,56.701164,0.163974,10.844508,10.432456,0.007151,
2010-03-24,10.8820,10.8820,10.8515,10.8661,5655,-0.001946,55.412534,0.146132,10.854169,10.453297,0.007177,
2010-03-25,10.8694,11.0786,10.8694,11.0602,4966,0.017858,63.577047,0.145967,10.877982,10.478515,0.007765,
2010-03-26,11.0465,11.0465,10.9452,10.9634,5127,-0.008753,57.882689,0.136453,10.901313,10.501648,0.007802,0.999860
2010-03-29,10.9495,11.0981,10.9495,11.0919,6227,0.011724,62.664365,0.137697,10.926706,10.529003,0.007978,0.999927
2010-03-30,11.0825,11.0825,10.8730,10.8943,5454,-0.017816,52.749010,0.121338,10.937283,10.550291,0.008979,0.999929
2010-03-31,10.8959,10.8959,10.8490,10.8630,5055,-0.002870,51.364294,0.104644,10.942485,10.569031,0.008899,0.999926
2010-04-01,10.8584,10.9048,10.8584,10.8927,7380,0.002726,52.632786,0.092735,10.952558,10.588045,0.008762,0.999925
2010-04-02,10.9174,10.9822,10.9174,10.9760,3187,0.007655,56.104044,0.089000,10.964806,10.606034,0.008871,0.999923
2010-04-05,10.9801,11.0807,10.9801,11.0728,6727,0.008812,59.785596,0.092775,10.980642,10.624725,0.009032,0.999912
2010-04-06,11.0744,11.1864,11.0744,11.1812,3964,0.009793,63.483259,0.103326,10.999998,10.647272,0.009214,0.999915
2010-04-07,11.1760,11.1849,11.1434,11.1498,4427,-0.002806,61.715131,0.107911,11.011993,10.668197,0.009018,0.999915
2010-04-08,11.1684,11.1684,11.0584,11.1048,5317,-0.004040,59.167311,0.106681,11.019816,10.690167,0.009071,0.999914
2010-04-09,11.0916,11.2282,11.0916,11.2225,3404,0.010602,63.418324,0.113894,11.028815,10.712278,0.009172,0.999916
2010-04-12,11.2272,11.2272,11.1941,11.2094,4867,-0.001169,62.636062,0.117200,11.036194,10.734077,0.009181,0.999914
2010-04-13,11.2028,11.2028,11.0542,11.0631,3921,-0.013054,54.550852,0.106783,11.033934,10.753123,0.009634,0.999917
2010-04-14,11.0621,11.0621,10.9063,10.9345,3638,-0.011626,48.610796,0.087143,11.020779,10.770928,0.009756,0.999919
2010-04-15,10.9254,10.9254,10.8224,10.8333,5364,-0.009247,44.507882,0.062697,11.011017,10.783740,0.009397,0.999923
2010-04-16,10.8341,10.9206,10.8341,10.9045,6616,0.006566,47.842981,0.048504,11.006204,10.798149,0.009531,0.999922
2010-04-19,10.9080,10.9331,10.8972,10.9328,4618,0.002598,49.153943,0.039092,11.005180,10.813893,0.009507,0.999924
2010-04-20,10.9418,11.0329,10.9418,11.0284,3750,0.008740,53.407006,0.038894,11.012231,10.832140,0.009591,0.999929
2010-04-21,11.0100,11.0100,10.9733,10.9862,8325,-0.003819,51.367630,0.034937,11.018237,10.848125,0.009627,0.999933
2010-04-22,10.9866,11.0169,10.9866,11.0159,5006,0.002696,52.734429,0.033801,11.016020,10.863624,0.008754,0.999930
2010-04-23,11.0142,11.1097,11.0142,11.1052,5931,0.008107,56.687663,0.039649,11.023109,10.879781,0.008695,0.999933
2010-04-26,11.0984,11.1100,11.0666,11.0764,5175,-0.002587,55.091594,0.041488,11.022335,10.894122,0.008319,0.999935
2010-04-27,11.0670,11.1547,11.0670,11.1456,8563,0.006246,58.148162,0.047975,11.034901,10.904658,0.007288,0.999939
2010-04-28,11.1701,11.1701,11.0315,11.0744,6516,-0.006388,54.069721,0.046832,11.045471,10.914501,0.007432,0.999939
2010-04-29,11.0680,11.0783,11.0325,11.0415,4913,-0.002977,52.242568,0.042772,11.052911,10.924670,0.007471,0.999936
2010-04-30,11.0308,11.0308,10.9938,11.0069,5507,-0.003127,50.324753,0.036350,11.054456,10.935861,0.007331,0.999936
2010-05-03,11.0084,11.0084,10.8588,10.8714,4639,-0.012316,43.562233,0.020090,11.044387,10.942677,0.007538,0.999938
2010-05-04,10.8683,10.9537,10.8683,10.9410,4962,0.006400,47.464614,0.012673,11.032375,10.947985,0.007320,0.999938
2010-05-05,10.9260,10.9260,10.8783,10.8941,6180,-0.004285,45.197213,0.002978,11.019588,10.952409,0.007346,0.999938
2010-05-06,10.9030,10.9073,10.8951,10.9063,6308,0.001122,45.922469,-0.003677,11.009664,10.958856,0.007330,0.999943
2010-05-07,10.9055,10.9879,10.9055,10.9753,3449,0.006330,49.951905,-0.003342,10.997306,10.968428,0.007034,0.999944
2010-05-10,10.9795,11.0596,10.9795,11.0406,7075,0.005942,53.478194,0.002161,10.988863,10.977558,0.007207,0.999949
2010-05-11,11.0323,11.1449,11.0323,11.1335,4955,0.008423,58.020564,0.013866,10.992387,10.986573,0.006867,0.999946
2010-05-12,11.1394,11.1450,11.1084,11.1315,4504,-0.000182,57.887735,0.022717,11.002240,10.994024,0.006268,0.999946
2010-05-13,11.1360,11.1360,11.0840,11.0897,6592,-0.003756,55.089297,0.026056,11.015059,11.001994,0.005910,0.999947
2010-05-14,11.0844,11.0938,11.0816,11.0917,6538,0.000179,55.200150,0.028535,11.024420,11.009207,0.005775,0.999945
2010-05-17,11.0937,11.0937,10.8805,10.8930,3241,-0.017910,43.612156,0.014305,11.022432,11.011947,0.007116,0.999944
2010-05-18,10.8831,10.8831,10.7114,10.7279,6561,-0.015165,36.710655,-0.010185,11.007407,11.010622,0.007538,0.999944
2010-05-19,10.7393,10.7393,10.5610,10.5806,5819,-0.013725,31.869450,-0.041001,10.987125,11.004036,0.008019,0.999946
2010-05-20,10.5627,10.5627,10.4488,10.4743,3837,-0.010046,28.905991,-0.073158,10.960048,10.994556,0.008144,0.999946
2010-05-21,10.4716,10.5544,10.4716,10.5304,5842,0.005355,32.474444,-0.093043,10.931310,10.984313,0.007977,0.999945
2010-05-24,10.5415,10.5415,10.4187,10.4355,4011,-0.009017,29.751971,-0.115137,10.899261,10.971786,0.008104,0.999944
2010-05-25,10.4418,10.4418,10.3586,10.4008,3335,-0.003325,28.801738,-0.133903,10.862018,10.957636,0.007810,0.999942
2010-05-26,10.3964,10.5949,10.3964,10.5638,4490,0.015673,38.705706,-0.134076,10.836485,10.944960,0.008857,0.999945
2010-05-27,10.5570,10.5573,10.5321,10.5336,3818,-0.002854,37.662123,-0.135089,10.811092,10.935061,0.008856,0.999944
2010-05-28,10.5544,10.6459,10.5544,10.6318,4556,0.009325,43.048960,-0.126508,10.792337,10.927683,0.009226,0.999948
2010-05-31,10.6385,10.6385,10.5315,10.5336,5226,-0.009237,39.384440,-0.126177,10.775450,10.919289,0.009064,0.999945
2010-06-01,10.5228,10.5474,10.5140,10.5199,3744,-0.001303,38.886176,-0.125575,10.754397,10.911941,0.008870,0.999947
2010-06-02,10.5294,10.5294,10.3794,10.4194,3126,-0.009549,35.360390,-0.131686,10.730665,10.903007,0.009021,0.999946
2010-06-03,10.4174,10.4174,10.3866,10.3910,4379,-0.002730,34.409087,-0.137242,10.704900,10.889624,0.008988,0.999945
2010-06-04,10.3904,10.5245,10.3904,10.5003,6907,0.010515,40.977815,-0.131315,10.681146,10.880361,0.009246,0.999945
2010-06-07,10.5125,10.5125,10.3055,10.3114,5583,-0.017989,34.538093,-0.140243,10.644687,10.864750,0.009680,0.999946
2010-06-08,10.3055,10.3805,10.3055,10.3710,3540,0.005781,37.857290,-0.140885,10.606559,10.854284,0.009527,0.999946
2010-06-09,10.3814,10.4120,10.3814,10.4092,5032,0.003683,39.958060,-0.136734,10.570443,10.845207,0.009636,0.999945
2010-06-10,10.4006,10.4006,10.3507,10.3529,5636,-0.005403,37.925358,-0.136411,10.533605,10.834413,0.009648,0.999938
