date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,20.0000,20.0752,19.8699,20.0000,6998932,0.000000,,0.000000,,,,
2010-01-05,19.9889,20.1369,19.9445,20.1215,10079426,0.006073,,0.009689,,,,
2010-01-06,20.1125,20.1125,19.6570,19.7413,10824115,-0.018892,,-0.013154,,,,
2010-01-07,19.7602,20.0731,19.7602,20.0243,11765106,0.014334,,-0.008327,,,,
2010-01-08,19.9745,20.5063,19.9745,20.3810,16553290,0.017815,,0.024007,,,,
2010-01-11,20.3916,20.3916,19.6104,19.6569,6569757,-0.035528,,-0.008697,,,,
2010-01-12,19.6873,19.6873,19.0989,19.1895,8810923,-0.023782,,-0.071513,,,,
2010-01-13,19.1029,19.2969,19.1029,19.2404,6532065,0.002654,,-0.115850,,,,
2010-01-14,19.3291,19.3291,19.1041,19.1318,8955779,-0.005641,,-0.157925,,,,
2010-01-15,19.1200,19.2278,19.0427,19.1305,9911764,-0.000071,,-0.189199,,,,
2010-01-18,19.1847,19.1847,18.7635,18.8335,9487635,-0.015524,,-0.235235,,,,
2010-01-19,18.7660,19.1635,18.7660,19.1508,10849265,0.016847,,-0.243311,,,,
2010-01-20,19.1585,19.4609,19.1585,19.4377,13082113,0.014981,,-0.223980,,,,
2010-01-21,19.4295,19.5181,19.4135,19.4676,8097657,0.001539,,-0.203894,,,,
2010-01-22,19.4729,20.0716,19.4729,19.8862,11385280,0.021503,,-0.152441,,,,
2010-01-25,19.8385,20.0695,19.8385,20.0677,8394160,0.009125,51.010870,-0.095916,,,,
2010-01-26,20.0455,20.0455,19.7074,19.7513,12866256,-0.015767,46.762245,-0.075777,,,,
2010-01-27,19.7977,19.9619,19.7977,19.8955,13155913,0.007301,48.853192,-0.047631,,,,
2010-01-28,19.9033,19.9033,19.4660,19.5448,11784848,-0.017629,44.296285,-0.053016,,,,
2010-01-29,19.5530,19.9097,19.5530,19.8739,11760222,0.016841,49.095182,-0.030373,19.626315,,0.016183,
