date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,15.0000,15.1208,14.9419,15.0000,6664625,0.000000,,0.000000,,,,
2010-01-05,14.9580,15.4081,14.9580,15.2185,7998922,0.014569,,0.017433,,,,
2010-01-06,15.2014,15.2014,14.8775,14.9398,13202091,-0.018316,,0.008657,,,,
2010-01-07,14.9455,15.3061,14.9455,15.2641,10790418,0.021710,,0.027555,,,,
2010-01-08,15.2992,15.5125,15.2152,15.4350,11176681,0.011193,,0.055677,,,,
2010-01-11,15.4865,15.4865,14.9657,14.9924,8678289,-0.028673,,0.041770,,,,
2010-01-12,15.0081,15.0081,14.6533,14.6820,17691310,-0.020701,,0.005640,,,,
2010-01-13,14.7412,14.7633,14.7233,14.7435,14782436,0.004186,,-0.017828,,,,
2010-01-14,14.7534,14.8015,14.6797,14.7640,10931376,0.001388,,-0.034379,,,,
2010-01-15,14.7399,14.8925,14.7399,14.8490,14631219,0.005756,,-0.040176,,,,
2010-01-18,14.7244,14.8001,14.5481,14.5812,12200610,-0.018031,,-0.065617,,,,
2010-01-19,14.6498,14.7705,14.4999,14.6700,10981236,0.006091,,-0.077718,,,,
2010-01-20,14.5868,14.8061,14.5868,14.8002,14261460,0.008876,,-0.075925,,,,
2010-01-21,14.8563,14.9237,14.7950,14.8060,16194317,0.000387,,-0.073198,,,,
2010-01-22,14.8234,15.0895,14.8234,15.0148,12631861,0.014106,,-0.053567,,,,
2010-01-25,15.0484,15.2855,15.0484,15.1819,5772578,0.011125,53.485020,-0.024251,,,,
2010-01-26,15.0876,15.1140,14.9840,15.0191,8293793,-0.010721,50.099630,-0.013990,,,,
2010-01-27,14.9490,15.2984,14.9490,15.2256,6917086,0.013750,54.071814,0.010682,,,,
2010-01-28,15.1425,15.1425,14.8564,14.9173,18364457,-0.020253,47.935874,0.005292,,,,
2010-01-29,14.9438,15.0668,14.9438,15.0485,11382244,0.008799,50.510144,0.011479,14.957646,,0.014513,
2010-02-01,15.0635,15.0635,14.7856,15.0224,13065482,-0.001732,49.981765,0.014117,14.958768,,0.014519,
2010-02-02,14.9425,15.1025,14.7493,14.9722,11375206,-0.003343,48.919707,0.012017,14.946453,,0.014132,
2010-02-03,15.1111,15.1111,14.8159,14.8899,7959971,-0.005499,47.150576,0.003666,14.943958,,0.013572,
2010-02-04,14.9311,15.1310,14.9252,15.0080,11693182,0.007931,49.946452,0.006502,14.931151,,0.012731,
2010-02-05,15.1064,15.1064,14.6187,14.6905,10197584,-0.021155,43.312167,-0.016677,14.893926,,0.013179,
2010-02-08,14.7765,14.7765,14.5295,14.7029,8821923,0.000846,43.627770,-0.033657,14.879451,,0.011643,
2010-02-09,14.6114,14.6114,14.4444,14.5258,9570953,-0.012047,40.192713,-0.060706,14.871637,,0.011013,
2010-02-10,14.5477,14.6447,14.5477,14.6071,7562508,0.005598,42.433682,-0.074720,14.864817,,0.011048,
2010-02-11,14.6485,14.8708,14.6425,14.7576,9919093,0.010301,46.433116,-0.072844,14.864496,,0.011301,
2010-02-12,14.6648,14.8810,14.5753,14.7729,6694863,0.001039,46.838605,-0.069321,14.860694,,0.011225,
2010-02-15,14.8127,15.0557,14.8127,15.0328,13812617,0.017592,53.289896,-0.045040,14.883272,,0.011071,
2010-02-16,15.0406,15.3753,15.0406,15.3542,9071105,0.021377,59.788259,0.000134,14.917479,,0.011896,
2010-02-17,15.3674,15.3965,15.2214,15.2779,12464185,-0.004968,57.735031,0.029439,14.941360,,0.011899,
2010-02-18,15.1084,15.4045,15.1084,15.2530,13970815,-0.001626,57.047804,0.050082,14.963713,,0.011919,
2010-02-19,15.2457,15.2457,14.7001,14.9006,17854089,-0.023104,48.271588,0.037572,14.958003,,0.012733,
2010-02-22,14.9501,15.0024,14.9199,14.9831,5435028,0.005534,50.202005,0.033920,14.948064,,0.012528,
2010-02-23,15.0207,15.1206,15.0021,15.0523,8240815,0.004620,51.827326,0.036195,14.949724,,0.012343,
2010-02-24,15.0682,15.4857,15.0682,15.2209,16964730,0.011198,55.625223,0.051011,14.949486,,0.012208,
2010-02-25,15.3754,15.3754,15.0256,15.1407,4370393,-0.005267,53.466069,0.055642,14.960658,,0.011324,
2010-02-26,15.2942,15.2942,14.5834,14.8735,12828777,-0.017650,46.927639,0.037319,14.951906,,0.011872,
2010-03-01,14.9242,14.9242,14.8536,14.8971,6768389,0.001591,47.539474,0.024426,14.945640,,0.011878,
2010-03-02,15.0024,15.3338,15.0024,15.3256,20843056,0.028764,57.168257,0.048229,14.963311,,0.013510,
2010-03-03,15.2042,15.8540,15.2042,15.4723,8398336,0.009567,59.881541,0.078025,14.992429,,0.013533,
