date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,15.0000,15.0166,14.8693,15.0000,17038503,0.000000,,0.000000,,,,
2010-01-05,14.9863,15.1538,14.9810,15.0196,9354070,0.001308,,0.001565,,,,
2010-01-06,15.1032,15.1080,15.0532,15.0617,12855580,0.002803,,0.006132,,,,
2010-01-07,15.1247,15.3730,15.1247,15.2525,9483101,0.012666,,0.024858,,,,
2010-01-08,15.2780,15.6123,15.2780,15.4940,10939907,0.015837,,0.058516,,,,
2010-01-11,15.5403,15.5403,14.9507,15.1156,8575135,-0.024426,,0.054028,,,,
2010-01-12,15.1971,15.1971,14.8756,14.9057,7188641,-0.013888,,0.033151,,,,
2010-01-13,14.8575,15.2237,14.8575,15.1019,11588251,0.013166,,0.032071,,,,
2010-01-14,15.1053,15.1053,15.0307,15.0408,10917532,-0.004044,,0.025988,,,,
2010-01-15,14.9751,15.1597,14.9751,15.0443,9582160,0.000231,,0.021204,,,,
2010-01-18,15.0423,15.0423,14.8062,14.8945,16977541,-0.009958,,0.005263,,,,
2010-01-19,14.9018,15.0677,14.9018,15.0443,9197164,0.010059,,0.004665,,,,
2010-01-20,15.0145,15.4363,15.0145,15.2783,9401545,0.015549,,0.022804,,,,
2010-01-21,15.2543,15.2964,15.1948,15.2803,17083476,0.000134,,0.036919,,,,
2010-01-22,15.2321,15.6937,15.2321,15.5983,9064964,0.020813,,0.072927,,,,
2010-01-25,15.6234,15.9562,15.6234,15.7261,12743836,0.008191,65.762105,0.110498,,,,
2010-01-26,15.6608,15.7387,15.5715,15.6719,12251395,-0.003443,64.039589,0.134357,,,,
2010-01-27,15.6402,15.9292,15.6402,15.8028,11542891,0.008350,66.334914,0.161958,,,,
2010-01-28,15.7824,15.7824,15.5675,15.5903,12554476,-0.013450,59.672538,0.164780,,,,
2010-01-29,15.5017,15.7848,15.5017,15.6529,9807439,0.004020,60.918991,0.170114,15.278798,,0.011527,
2010-02-01,15.6802,15.7297,15.5967,15.6429,9937418,-0.000638,60.597654,0.171558,15.310945,,0.011535,
2010-02-02,15.6575,15.6925,15.5909,15.6312,13159945,-0.000749,60.196571,0.169799,15.341526,,0.011552,
2010-02-03,15.6425,15.6932,15.4370,15.5710,10999200,-0.003852,58.068448,0.161683,15.366991,,0.011625,
2010-02-04,15.5675,15.9332,15.5675,15.9244,7336279,0.022695,65.726280,0.181672,15.400588,,0.012317,
2010-02-05,15.8920,16.2179,15.8905,15.9329,10438432,0.000535,65.887942,0.195942,15.422531,,0.011896,
2010-02-08,15.8514,16.0173,15.8371,15.8953,14854788,-0.002360,64.442639,0.201890,15.461519,,0.010282,
2010-02-09,15.8174,15.8174,15.6763,15.7721,9747438,-0.007755,59.810435,0.194417,15.504839,,0.009847,
2010-02-10,15.7288,16.0120,15.7288,15.9471,8308137,0.011096,63.790156,0.200307,15.547097,,0.009744,
2010-02-11,15.9417,16.2484,15.9417,16.1446,19683073,0.012386,67.680034,0.218395,15.602284,,0.009831,
2010-02-12,16.0600,16.3744,16.0600,16.2837,14640000,0.008615,70.114647,0.241173,15.664252,,0.009859,
2010-02-15,16.4095,16.4654,16.2479,16.3971,9450433,0.006967,71.969344,0.265319,15.739382,,0.009308,
2010-02-16,16.3594,16.9802,16.3594,16.8903,11159627,0.030077,78.280066,0.320555,15.831679,,0.010846,
2010-02-17,16.9570,16.9570,16.6792,16.8228,15096359,-0.003997,75.765496,0.354793,15.908905,,0.010807,
2010-02-18,16.9721,16.9721,16.6271,16.8441,7670429,0.001270,76.027894,0.379278,15.987097,,0.010784,
2010-02-19,16.7844,16.8126,16.6220,16.6515,10583918,-0.011434,68.795293,0.378776,16.039758,,0.010696,
