date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,110.0000,110.3005,109.9054,110.0000,816650,0.000000,,0.000000,,,,
2010-01-05,110.3666,110.8193,109.9115,110.3679,377058,0.003345,,0.029348,,,,
2010-01-06,110.6102,110.6102,108.7391,109.1747,1012661,-0.010811,,-0.043176,,,,
2010-01-07,108.7670,110.1968,108.7670,110.0474,1721171,0.007994,,-0.029886,,,,
2010-01-08,110.0456,111.5661,110.0456,111.1459,492530,0.009982,,0.068497,,,,
2010-01-11,110.7272,110.7272,108.0505,108.8614,966676,-0.020554,,-0.037444,,,,
2010-01-12,109.3345,109.3345,107.3844,107.4076,1375826,-0.013354,,-0.235990,,,,
2010-01-13,107.6276,107.7329,107.0571,107.5758,939938,0.001565,,-0.375445,,,,
2010-01-14,107.4616,107.6630,107.0493,107.2351,931750,-0.003167,,-0.507602,,,,
2010-01-15,107.1519,107.7985,106.9873,107.2296,1085497,-0.000051,,-0.605797,,,,
2010-01-18,106.8218,106.8218,105.8925,106.2749,802976,-0.008903,,-0.751985,,,,
2010-01-19,106.0721,107.4507,106.0721,107.2807,1434772,0.009464,,-0.777714,,,,
2010-01-20,107.9946,108.6587,107.3092,108.2002,1392345,0.008570,,-0.715664,,,,
2010-01-21,108.1093,109.0449,107.2173,108.2724,931199,0.000668,,-0.653128,,,,
2010-01-22,108.1889,109.8598,108.1889,109.5657,664662,0.011945,,-0.493524,,,,
2010-01-25,109.6565,110.5424,109.3068,110.1118,1182955,0.004984,50.609498,-0.319288,,,,
2010-01-26,110.2029,110.2029,109.0792,109.1155,1070148,-0.009049,46.363772,-0.258622,,,,
2010-01-27,109.6032,109.7864,109.4606,109.5543,940915,0.004022,48.416411,-0.173136,,,,
2010-01-28,109.6241,109.6241,108.3628,108.4555,892264,-0.010030,43.887585,-0.191840,,,,
2010-01-29,108.2164,110.5383,108.2164,109.4665,871207,0.009322,48.647286,-0.123658,108.767152,,0.009176,
2010-02-01,109.7729,109.7729,108.9938,109.4190,752426,-0.000434,48.439250,-0.072621,108.738101,,0.009176,
2010-02-02,109.2673,109.5731,109.1676,109.2234,1726409,-0.001787,47.538518,-0.047408,108.680878,,0.009143,
2010-02-03,109.0175,109.3067,108.1003,108.4384,786789,-0.007187,44.001435,-0.089734,108.644064,,0.008962,
2010-02-04,108.5405,110.0709,108.5405,109.8403,1281506,0.012927,51.011283,-0.010046,108.633706,,0.009265,
2010-02-05,110.0032,110.0032,109.4986,109.6761,1192118,-0.001494,50.218639,0.039409,108.560215,,0.008961,
2010-02-08,109.8622,109.8622,108.9927,109.2100,726962,-0.004250,47.940168,0.040519,108.577643,,0.007706,
2010-02-09,109.7018,109.7018,108.3742,108.8244,654929,-0.003531,46.077882,0.010168,108.648479,,0.007086,
2010-02-10,108.7061,109.8361,108.7061,109.4385,845439,0.005643,49.446160,0.035262,108.741616,,0.007171,
2010-02-11,109.2944,110.2764,109.2944,109.8552,1044202,0.003808,51.653040,0.087763,108.872621,,0.007133,
2010-02-12,109.4251,110.4481,109.4251,110.3437,909419,0.004446,54.178044,0.166861,109.028323,,0.007161,
2010-02-15,110.1705,111.5232,110.1705,110.8446,996385,0.004539,56.676850,0.266888,109.256806,,0.006757,
2010-02-16,111.0988,113.6507,111.0988,113.3790,1109835,0.022865,66.601143,0.544391,109.561718,,0.008061,
