date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,300.0000,303.9870,299.4041,300.0000,11113474,0.000000,,0.000000,,,,
2010-01-05,303.2668,303.2668,294.6319,296.7139,8431458,-0.010954,,-0.262140,,,,
2010-01-06,295.9925,295.9925,293.4439,295.1159,7163955,-0.005386,,-0.592009,,,,
2010-01-07,293.0161,298.9047,292.3605,298.8740,11245762,0.012734,,-0.543913,,,,
2010-01-08,296.8712,305.1608,296.8712,304.3575,6114563,0.018347,,-0.062600,,,,
2010-01-11,304.7949,306.7355,303.3654,305.5209,15241992,0.003822,,0.408015,,,,
2010-01-12,304.6483,306.7142,298.2290,300.7151,10353155,-0.015730,,0.388707,,,,
2010-01-13,298.9470,305.8424,298.9470,304.2255,6800978,0.011674,,0.649186,,,,
2010-01-14,303.3825,303.3825,297.1893,299.0768,10018390,-0.016924,,0.435143,,,,
2010-01-15,299.7908,299.7908,297.4271,298.7082,11965976,-0.001232,,0.233083,,,,
2010-01-18,298.5845,302.0291,298.5845,299.4335,7921129,0.002428,,0.129978,,,,
2010-01-19,298.6692,307.3157,298.6692,306.1039,6206466,0.022277,,0.579830,,,,
2010-01-20,305.5259,311.2552,305.5259,310.6532,10352757,0.014862,,1.288572,,,,
2010-01-21,310.3870,315.3977,310.3870,311.2966,12695428,0.002071,,1.880498,,,,
2010-01-22,311.6633,314.6100,309.9563,313.3577,11079183,0.006621,,2.487249,,,,
2010-01-25,313.8242,319.9591,313.8242,317.2270,11981053,0.012348,68.277960,3.242935,,,,
2010-01-26,314.4600,328.1124,314.4600,326.8235,15339881,0.030251,74.255008,4.563577,,,,
2010-01-27,327.1118,334.7013,326.7919,332.2811,17420716,0.016699,76.918544,5.981624,,,,
2010-01-28,331.6445,333.7173,331.6445,332.1992,4462865,-0.000247,76.790132,7.017929,,,,
2010-01-29,330.4171,330.4171,325.6669,326.9075,7255773,-0.015929,68.799311,7.327739,308.979549,,0.013220,
