date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.1343,24.8300,25.0000,10399706,0.000000,,0.000000,,,,
2010-01-05,25.0080,25.1498,25.0080,25.1214,6503196,0.004855,,0.009681,,,,
2010-01-06,24.9731,25.1655,24.6206,24.7287,11099588,-0.015632,,-0.014171,,,,
2010-01-07,24.7892,25.2041,24.7892,25.0192,10331782,0.011750,,-0.009518,,,,
2010-01-08,25.0726,25.4934,25.0726,25.3850,7973903,0.014620,,0.023413,,,,
2010-01-11,25.4839,25.4839,24.3750,24.6413,11609510,-0.029296,,-0.010377,,,,
2010-01-12,24.4614,24.4614,23.9569,24.1563,8348581,-0.019684,,-0.075426,,,,
2010-01-13,24.1560,24.4488,24.0649,24.2109,11188365,0.002263,,-0.121170,,,,
2010-01-14,24.1601,24.1801,24.0385,24.0993,8038864,-0.004612,,-0.164535,,,,
2010-01-15,24.0976,24.0992,23.9411,24.0963,10692659,-0.000124,,-0.196874,,,,
2010-01-18,24.1082,24.1082,23.7889,23.7909,9752083,-0.012673,,-0.244329,,,,
2010-01-19,23.7946,24.3151,23.7946,24.1196,5811206,0.013817,,-0.252501,,,,
2010-01-20,24.2703,24.5652,24.2703,24.4118,18481530,0.012113,,-0.232721,,,,
2010-01-21,24.5810,24.5810,24.3180,24.4436,8246984,0.001303,,-0.212034,,,,
2010-01-22,24.5207,24.9275,24.5207,24.8759,9730550,0.017686,,-0.158925,,,,
2010-01-25,24.8680,25.2187,24.8680,25.0584,8490441,0.007336,50.871110,-0.100947,,,,
2010-01-26,24.8867,24.8867,24.5709,24.7348,9520902,-0.012914,46.657048,-0.080187,,,,
2010-01-27,24.7489,25.2338,24.7489,24.8801,16008317,0.005878,48.712643,-0.051410,,,,
2010-01-28,24.7349,24.7349,24.4118,24.5221,12661006,-0.014391,44.195790,-0.056841,,,,
2010-01-29,24.4686,24.9233,24.4686,24.8604,14146702,0.013795,49.006675,-0.033463,24.607786,,0.013291,
2010-02-01,24.7676,25.2610,24.5321,24.8482,8918550,-0.000489,48.843680,-0.015735,24.600197,,0.013291,
2010-02-02,24.8272,24.8972,24.7593,24.7839,11615223,-0.002590,47.935076,-0.006800,24.583322,,0.013246,
2010-02-03,24.7820,24.7820,24.3189,24.5368,6925498,-0.009969,44.511219,-0.019430,24.573729,,0.012965,
2010-02-04,24.4820,25.0796,24.4820,25.0054,4664471,0.019097,51.575668,0.008275,24.573037,,0.013420,
2010-02-05,24.9618,25.1038,24.7839,24.9489,12150472,-0.002260,50.736694,0.025378,24.551231,,0.012980,
2010-02-08,24.9395,24.9395,24.7426,24.7886,9829106,-0.006425,48.334824,0.025701,24.558594,,0.011225,
2010-02-09,24.6434,24.9282,24.5949,24.6570,10357510,-0.005306,46.394201,0.015170,24.583632,,0.010296,
2010-02-10,24.7008,25.2020,24.6865,24.8613,6361265,0.008283,49.766910,0.023038,24.616149,,0.010419,
2010-02-11,24.8370,25.0404,24.8370,25.0109,6253166,0.006019,52.142703,0.040877,24.661731,,0.010369,
2010-02-12,25.0610,25.5230,24.9265,25.1712,15740527,0.006410,54.619068,0.067176,24.715478,,0.010404,
2010-02-15,25.0378,25.4057,25.0378,25.3421,12461921,0.006789,57.163375,0.100647,24.793038,,0.009831,
2010-02-16,25.4651,26.5064,25.4651,26.1923,14133411,0.033550,67.059390,0.193547,24.896674,,0.011754,
2010-02-17,26.2775,26.2775,25.9181,26.0279,6087338,-0.006278,63.980965,0.251010,24.977480,,0.011821,
2010-02-18,25.7114,26.0181,25.7114,25.8345,8054403,-0.007432,60.464354,0.277739,25.047024,,0.012057,
2010-02-19,25.7824,25.7824,25.3759,25.5212,13079794,-0.012125,55.175850,0.270528,25.079290,,0.011967,
