date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,85.0000,85.1311,84.9335,85.0000,1271590,0.000000,,0.000000,,,,
2010-01-05,85.0374,85.1009,84.9063,85.0374,1072158,0.000440,,0.002981,,,,
2010-01-06,85.0930,85.1518,84.9652,85.0363,669142,-0.000012,,0.005200,,,,
2010-01-07,84.9747,85.1336,84.9747,85.0742,1713399,0.000445,,0.009900,,,,
2010-01-08,84.9875,85.2912,84.9875,85.2602,1262505,0.002187,,0.028309,,,,
2010-01-11,85.2833,85.2833,84.8996,84.9108,937920,-0.004099,,0.014534,,,,
2010-01-12,84.9247,84.9247,84.7784,84.8194,807609,-0.001076,,-0.003711,,,,
2010-01-13,84.8882,84.9171,84.8259,84.8745,1558692,0.000649,,-0.013573,,,,
2010-01-14,84.8325,84.8614,84.8325,84.8531,1365688,-0.000252,,-0.022847,,,,
2010-01-15,84.8526,84.9960,84.8526,84.9781,880965,0.001473,,-0.019885,,,,
2010-01-18,84.9960,84.9960,84.8873,84.9451,757807,-0.000388,,-0.019970,,,,
2010-01-19,84.9873,85.1828,84.9873,85.1075,1012767,0.001912,,-0.006857,,,,
2010-01-20,85.1499,85.3999,85.1499,85.3978,728769,0.003412,,0.026658,,,,
2010-01-21,85.3931,85.4071,85.2725,85.3154,990622,-0.000965,,0.046040,,,,
2010-01-22,85.2025,85.5713,85.2025,85.4353,1075991,0.001405,,0.070264,,,,
2010-01-25,85.3946,85.5727,85.3946,85.4869,783151,0.000604,64.892652,0.092557,,,,
2010-01-26,85.4107,85.4107,85.1518,85.1980,744257,-0.003379,53.929594,0.085925,,,,
2010-01-27,85.1390,85.2106,85.0900,85.1726,695575,-0.000299,53.079355,0.077721,,,,
2010-01-28,85.1746,85.2057,85.1488,85.1492,1100800,-0.000275,52.262048,0.068539,,,,
2010-01-29,85.1328,85.4452,85.1328,85.4090,947094,0.003051,59.677616,0.081288,85.123042,,0.001838,
2010-02-01,85.4615,85.4615,85.2753,85.3807,830233,-0.000331,58.610955,0.088097,85.142077,,0.001842,
2010-02-02,85.3915,85.5268,85.3801,85.4566,1221332,0.000889,60.645777,0.098483,85.163040,,0.001848,
2010-02-03,85.4120,85.4728,85.4120,85.4310,1177245,-0.000300,59.581499,0.103455,85.182774,,0.001851,
2010-02-04,85.4922,85.6554,85.4091,85.4928,1682969,0.000723,61.343572,0.111099,85.203704,,0.001854,
2010-02-05,85.4638,85.4638,85.2874,85.3493,1547866,-0.001679,55.310931,0.104374,85.208157,,0.001842,
2010-02-08,85.2880,85.4610,85.2880,85.4415,977602,0.001080,58.157050,0.105268,85.234690,,0.001572,
2010-02-09,85.3864,85.3864,85.2688,85.3077,1280676,-0.001566,52.891659,0.094097,85.259101,,0.001598,
2010-02-10,85.3574,85.4513,85.2717,85.3831,786148,0.000884,55.345991,0.090288,85.284531,,0.001602,
2010-02-11,85.4086,85.4201,85.3624,85.4071,1177199,0.000282,56.130934,0.088194,85.312231,,0.001597,
2010-02-12,85.3401,85.4382,85.3401,85.4346,907134,0.000321,57.058254,0.087737,85.335055,,0.001574,
