date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,90.0000,90.0614,89.9586,90.0000,1173141,0.000000,,0.000000,,,,
2010-01-05,89.9704,90.1520,89.9704,90.0688,918702,0.000764,,0.005487,,,,
2010-01-06,90.0471,90.0471,89.8070,89.8789,1308952,-0.002108,,-0.005424,,,,
2010-01-07,89.9408,90.1112,89.9408,90.0967,1022458,0.002423,,0.003464,,,,
2010-01-08,90.1375,90.1375,90.0475,90.0780,724365,-0.000208,,0.008897,,,,
2010-01-11,90.0331,90.0331,89.6567,89.6930,1263630,-0.004274,,-0.017663,,,,
2010-01-12,89.7702,89.7702,89.5723,89.5744,941074,-0.001323,,-0.047733,,,,
2010-01-13,89.4484,89.4776,89.4375,89.4687,1329330,-0.001180,,-0.079178,,,,
2010-01-14,89.5772,89.5772,89.3653,89.5127,1281547,0.000492,,-0.099403,,,,
2010-01-15,89.5495,89.5495,89.4180,89.4896,844310,-0.000258,,-0.115955,,,,
2010-01-18,89.5005,89.5005,89.4052,89.4303,652790,-0.000663,,-0.132338,,,,
2010-01-19,89.4407,89.6020,89.4407,89.5882,964928,0.001766,,-0.131066,,,,
2010-01-20,89.5921,89.6750,89.5921,89.6009,2000178,0.000142,,-0.127564,,,,
2010-01-21,89.6199,89.6199,89.3732,89.4830,593784,-0.001316,,-0.132772,,,,
2010-01-22,89.5165,89.8401,89.5165,89.7317,929164,0.002780,,-0.115499,,,,
2010-01-25,89.7833,89.9359,89.7833,89.8905,1142080,0.001770,47.491457,-0.087981,,,,
2010-01-26,89.8813,89.8813,89.6413,89.7809,901650,-0.001219,44.571341,-0.074158,,,,
2010-01-27,89.7850,89.9353,89.7620,89.8696,1291375,0.000987,47.390063,-0.055412,,,,
2010-01-28,89.8483,89.8483,89.6620,89.6746,659484,-0.002169,42.295312,-0.055645,,,,
2010-01-29,89.6810,89.8191,89.6369,89.7428,1750704,0.000760,44.540575,-0.049756,89.732658,,0.001719,
2010-02-01,89.7222,89.9288,89.6927,89.7381,951087,-0.000052,44.412096,-0.044950,89.719562,,0.001719,
2010-02-02,89.7811,89.9103,89.7811,89.8707,1398160,0.001478,48.887315,-0.030090,89.709661,,0.001746,
2010-02-03,89.8783,89.8783,89.6663,89.7364,1001182,-0.001495,44.939902,-0.028826,89.702533,,0.001714,
2010-02-04,89.7588,89.9371,89.7588,89.8882,959030,0.001692,49.865062,-0.015395,89.692107,,0.001665,
2010-02-05,89.8441,89.8441,89.6420,89.6499,774255,-0.002651,43.316396,-0.023705,89.670702,,0.001760,
2010-02-08,89.6460,89.6460,89.5797,89.5802,675864,-0.000778,41.594591,-0.035510,89.665061,,0.001490,
2010-02-09,89.6287,89.6287,89.4940,89.5048,1291804,-0.000841,39.755780,-0.050365,89.661583,,0.001473,
2010-02-10,89.5103,89.8236,89.5103,89.7116,973839,0.002311,46.717960,-0.044931,89.673730,,0.001536,
