date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,60.0000,60.8637,59.6946,60.0000,10061900,0.000000,,0.000000,,,,
2010-01-05,60.1081,60.1635,59.8763,59.9236,9257414,-0.001274,,-0.006098,,,,
2010-01-06,59.7856,59.8626,59.2204,59.6688,8816736,-0.004252,,-0.031132,,,,
2010-01-07,59.4685,60.0347,59.4685,59.9886,9587651,0.005360,,-0.024879,,,,
2010-01-08,60.3751,61.0528,59.8562,60.5332,9575285,0.009079,,0.023749,,,,
2010-01-11,60.5937,60.5937,58.7233,59.3012,10422923,-0.020353,,-0.036705,,,,
2010-01-12,59.2906,59.2906,58.5553,58.5944,9843200,-0.011917,,-0.140027,,,,
2010-01-13,59.2155,59.2155,58.7435,58.8619,9828028,0.004564,,-0.198048,,,,
2010-01-14,58.8746,58.8746,57.7098,58.5153,14708954,-0.005888,,-0.268896,,,,
2010-01-15,58.5428,58.5428,57.9823,58.2680,5842838,-0.004226,,-0.341064,,,,
2010-01-18,57.9205,57.9205,57.0118,57.3953,9070549,-0.014978,,-0.463339,,,,
2010-01-19,57.1909,57.9716,57.1909,57.8217,13349214,0.007430,,-0.519840,,,,
2010-01-20,57.8763,59.2127,57.8763,58.6193,15130973,0.013794,,-0.494557,,,,
2010-01-21,58.2363,58.6459,58.2363,58.4928,9542597,-0.002158,,-0.479203,,,,
2010-01-22,58.3624,59.4669,58.3624,59.0911,8443126,0.010229,,-0.413985,,,,
2010-01-25,59.1749,59.8905,58.9857,59.1307,5294672,0.000669,43.685998,-0.355015,,,,
2010-01-26,58.9625,58.9625,58.2847,58.4746,6001007,-0.011095,39.324156,-0.357104,,,,
2010-01-27,58.3360,58.8489,58.0026,58.5349,9942848,0.001032,39.918095,-0.349860,,,,
2010-01-28,58.6813,58.6813,57.3700,57.7179,15606637,-0.013958,34.930375,-0.405371,,,,
2010-01-29,57.8249,58.2535,57.8249,58.2447,7807709,0.009127,40.125450,-0.402219,58.858905,,0.009461,
2010-02-01,58.1829,58.5204,58.0352,58.0491,10811883,-0.003360,38.883679,-0.410774,58.761359,,0.009464,
2010-02-02,58.2783,58.2783,57.4155,57.6592,10628842,-0.006717,36.462216,-0.443900,58.648139,,0.009532,
2010-02-03,57.7033,57.7033,57.2394,57.4100,10540804,-0.004321,34.963766,-0.484672,58.535201,,0.009533,
2010-02-04,57.4937,58.6080,57.4937,58.4576,14077625,0.018248,45.166985,-0.427521,58.458653,,0.010441,
2010-02-05,58.7307,58.7307,58.2693,58.4551,11394758,-0.000043,45.148749,-0.378072,58.354750,,0.010162,
2010-02-08,58.5053,58.6017,58.4071,58.5557,22179286,0.001721,46.090372,-0.326996,58.317478,,0.009180,
2010-02-09,58.4352,58.4352,57.9714,58.2788,6354769,-0.004728,43.858942,-0.305340,58.301698,,0.008848,
2010-02-10,58.5299,59.0999,58.2986,58.6018,10109631,0.005542,47.077550,-0.259129,58.288696,,0.008879,
2010-02-11,58.6359,59.1286,58.6359,58.9079,8104625,0.005224,50.003290,-0.195552,58.308327,,0.008851,
2010-02-12,58.4838,59.4547,58.4838,59.3454,12803900,0.007426,53.923561,-0.108615,58.362195,,0.008915,
2010-02-15,59.2565,60.0710,59.2565,59.9777,9873791,0.010655,58.935834,0.011179,58.491317,,0.008328,
2010-02-16,60.1684,62.0857,60.1684,61.7435,9712957,0.029440,69.057884,0.245765,58.687404,,0.010276,
2010-02-17,61.9546,61.9546,61.5302,61.6750,11498540,-0.001109,68.353991,0.421293,58.840186,,0.010015,
2010-02-18,62.1116,62.1716,61.6600,62.1349,12461603,0.007457,70.526214,0.590701,59.022289,,0.010006,
2010-02-19,62.1957,62.1957,61.3567,61.7431,11127653,-0.006306,66.347992,0.685442,59.154886,,0.010066,
2010-02-22,61.8317,62.3348,61.8031,62.1931,11449001,0.007288,68.645539,0.787755,59.308005,,0.010121,
2010-02-23,62.3639,62.7954,62.2346,62.6796,7073760,0.007822,70.954278,0.897744,59.518251,,0.009649,
2010-02-24,62.5213,63.0792,62.5213,62.6007,9179174,-0.001258,70.053977,0.967398,59.721540,,0.009693,
2010-02-25,62.9064,62.9064,61.6489,62.0708,5067958,-0.008465,64.161258,0.968674,59.939184,,0.009243,
2010-02-26,61.4849,62.1189,61.4849,61.8383,10679617,-0.003745,61.709065,0.940090,60.118864,,0.009291,
2010-03-01,61.5935,62.6933,61.5935,62.2198,7922430,0.006168,64.131378,0.937409,60.327398,,0.009190,
2010-03-02,62.5649,62.9813,62.4774,62.5969,6595247,0.006061,66.395053,0.954709,60.574283,,0.008880,
2010-03-03,62.5965,63.2016,62.5965,62.9604,9390582,0.005808,68.461545,0.986386,60.851806,,0.008657,
2010-03-04,62.8553,62.8553,62.3413,62.5461,7434584,-0.006581,63.657325,0.966911,61.056231,,0.008382,
2010-03-05,63.0220,63.1555,62.7573,62.8799,9659315,0.005336,65.742756,0.967259,61.277470,,0.008351,
2010-03-08,63.0131,63.9770,63.0131,63.3271,12149217,0.007112,68.362496,0.992185,61.516039,,0.008372,
2010-03-09,63.3812,63.3812,63.0280,63.2155,11606023,-0.001763,66.985625,0.991502,61.762871,,0.008235,
2010-03-10,63.3473,64.6216,63.3473,64.1661,12994014,0.015038,72.133313,1.055502,62.041086,,0.008588,
2010-03-11,63.9550,64.6065,63.9296,64.1598,12404349,-0.000099,72.052458,1.093110,62.303678,,0.008649,
2010-03-12,64.0756,65.8120,64.0756,64.9564,10448310,0.012417,75.726718,1.173667,62.584229,60.251666,0.008814,
2010-03-15,64.6273,65.2113,64.6273,65.1485,10259654,0.002957,76.527985,1.238729,62.842767,60.354636,0.008702,
2010-03-16,65.3738,65.7905,65.0749,65.2572,11567441,0.001668,76.990774,1.284257,63.018451,60.461308,0.006359,
2010-03-17,65.1996,66.1927,65.1996,65.6338,12712886,0.005772,78.568024,1.335338,63.216393,60.580609,0.006323,
2010-03-18,65.6096,65.6096,64.2850,64.4160,10221776,-0.018554,63.429209,1.262996,63.330451,60.669159,0.007872,
2010-03-19,64.5430,64.5430,63.3451,63.7315,15352718,-0.010627,56.803403,1.137318,63.429871,60.733125,0.008161,
2010-03-22,63.6487,63.6487,62.8517,63.3185,11896351,-0.006480,53.193144,0.992945,63.486142,60.813472,0.008238,
2010-03-23,63.1644,63.5267,62.5871,62.9505,7055386,-0.005812,50.135374,0.839159,63.499689,60.900593,0.008202,
2010-03-24,62.9385,62.9385,62.4382,62.6212,6837251,-0.005231,47.504128,0.682842,63.500713,60.975780,0.008288,
2010-03-25,62.6982,63.5722,62.6982,63.4385,8692164,0.013051,53.962556,0.617786,63.569098,61.074244,0.008518,
2010-03-26,63.9098,63.9098,62.0862,62.6362,9441884,-0.012647,47.751802,0.495774,63.608990,61.161607,0.009004,0.908878
2010-03-29,62.3486,63.0824,62.3486,62.8930,11047126,0.004100,49.745457,0.415016,63.642651,61.271561,0.008950,0.904453
2010-03-30,62.7911,62.7911,61.1994,61.6858,18286882,-0.019195,41.691389,0.250712,63.597095,61.348841,0.009870,0.913574
