date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,35.0000,35.4626,34.6790,35.0000,9073827,0.000000,,0.000000,,,,
2010-01-05,34.9385,35.6368,34.9385,35.2047,18359813,0.005849,,0.016332,,,,
2010-01-06,35.1251,35.1251,34.3826,34.5354,8150821,-0.019012,,-0.024451,,,,
2010-01-07,34.5954,35.0238,34.5954,35.0199,12719224,0.014027,,-0.017481,,,,
2010-01-08,35.1213,36.0171,35.1213,35.6425,11765096,0.017780,,0.037849,,,,
2010-01-11,35.6190,35.6190,34.1561,34.3796,12198442,-0.035433,,-0.019978,,,,
2010-01-12,34.5335,34.5335,33.5518,33.5645,12079158,-0.023707,,-0.130074,,,,
2010-01-13,33.3134,33.9094,33.3134,33.6549,11501657,0.002693,,-0.207639,,,,
2010-01-14,33.7567,33.7567,33.0767,33.4699,21934019,-0.005499,,-0.280806,,,,
2010-01-15,33.4481,33.4790,33.3096,33.4631,12480870,-0.000203,,-0.335474,,,,
2010-01-18,33.2431,33.2431,32.8978,32.9411,15384805,-0.015599,,-0.416122,,,,
2010-01-19,33.0512,33.7752,33.0512,33.4898,6305207,0.016659,,-0.430790,,,,
2010-01-20,33.5302,34.1363,33.5302,33.9857,13507351,0.014806,,-0.397819,,,,
2010-01-21,33.9096,34.1218,33.9096,34.0371,7791397,0.001513,,-0.363351,,,,
2010-01-22,34.1846,34.9048,34.1846,34.7692,10418336,0.021509,,-0.273803,,,,
2010-01-25,34.7747,35.5226,34.7747,35.0797,12151617,0.008930,50.737059,-0.175756,,,,
2010-01-26,35.2039,35.2039,34.3739,34.5314,16051104,-0.015629,46.526250,-0.140672,,,,
2010-01-27,34.5828,35.1456,34.5828,34.7738,31655975,0.007020,48.559026,-0.092244,,,,
2010-01-28,34.6137,34.6990,33.7301,34.1646,8309585,-0.017519,44.029087,-0.101848,,,,
2010-01-29,33.9296,34.9019,33.9296,34.7346,9500110,0.016683,48.837793,-0.062746,34.322067,,0.016101,
2010-02-01,34.5760,34.9577,34.4167,34.7168,17019972,-0.000512,48.697101,-0.032815,34.307906,,0.016101,
2010-02-02,34.7592,34.7592,34.3855,34.6052,10251405,-0.003214,47.768069,-0.017892,34.277929,,0.016047,
2010-02-03,34.5262,34.5262,33.8203,34.1846,7675379,-0.012154,44.334509,-0.039545,34.260389,,0.015706,
2010-02-04,34.2340,35.1008,34.2340,34.9804,7443875,0.023280,51.446417,0.007425,34.258419,,0.016279,
2010-02-05,34.8979,34.9638,34.6616,34.8798,12180427,-0.002877,50.566481,0.036111,34.220284,,0.015742,
2010-02-08,34.6260,35.0170,34.3529,34.6131,11905912,-0.007647,48.213133,0.036897,34.231959,,0.013624,
2010-02-09,34.6752,34.6752,34.0619,34.3877,11407137,-0.006510,46.254699,0.019118,34.273119,,0.012518,
2010-02-10,34.5168,34.8107,34.5168,34.7387,5093554,0.010205,49.682797,0.032965,34.327307,,0.012674,
2010-02-11,34.7142,35.0857,34.7142,34.9803,7224528,0.006955,51.955097,0.062712,34.402828,,0.012610,
2010-02-12,34.9419,35.6678,34.7676,35.2567,17178422,0.007901,54.486898,0.107351,34.492509,,0.012656,
2010-02-15,35.3955,35.8904,35.3955,35.5440,12722595,0.008150,57.022650,0.164022,34.622656,,0.011943,
2010-02-16,35.6289,37.6378,35.6289,36.9945,11769050,0.040808,67.013590,0.322261,34.797890,,0.014293,
2010-02-17,37.1886,37.1886,36.6085,36.7321,10558650,-0.007092,64.110312,0.421634,34.935212,,0.014348,
2010-02-18,36.8795,36.8795,36.1192,36.4011,13701202,-0.009011,60.546543,0.468282,35.053413,,0.014634,
2010-02-19,36.3029,36.3029,35.6304,35.8600,19962659,-0.014866,55.149155,0.456325,35.107952,,0.014533,
2010-02-22,35.8035,36.6386,35.8035,36.2793,6187967,0.011693,58.254616,0.475206,35.167932,,0.014619,
2010-02-23,36.2832,37.2238,36.2832,37.0586,14298576,0.021481,63.335698,0.546753,35.294292,,0.014647,
2010-02-24,37.0228,37.0644,36.5093,36.9886,10053392,-0.001891,62.598048,0.590988,35.405028,,0.014675,
2010-02-25,36.9140,36.9140,36.3861,36.4221,11143948,-0.015315,56.834314,0.573721,35.517902,,0.014518,
2010-02-26,36.4969,36.4969,35.8248,35.8800,10481090,-0.014883,51.908906,0.510412,35.575173,,0.014702,
2010-03-01,35.9075,36.5303,35.9075,36.3217,11029568,0.012310,55.307460,0.490228,35.655419,,0.014878,
2010-03-02,36.2434,37.1709,36.2434,36.8350,12881533,0.014132,58.939277,0.509775,35.766908,,0.015040,
2010-03-03,36.6684,37.5014,36.6684,37.2183,10294777,0.010407,61.458159,0.549861,35.918593,,0.014667,
2010-03-04,37.2475,37.2475,36.4887,36.7700,10765701,-0.012046,57.050240,0.539237,36.008071,,0.014393,
2010-03-05,36.6754,36.9769,36.4365,36.9335,13165986,0.004446,58.226806,0.537809,36.110755,,0.014340,
2010-03-08,36.8494,37.1921,36.8348,37.0211,10914382,0.002374,58.877349,0.537555,36.231159,,0.014123,
2010-03-09,36.8934,37.2225,36.8934,37.1818,9998871,0.004339,60.103452,0.544044,36.370861,,0.013927,
2010-03-10,37.1221,37.8677,37.1221,37.7946,11367421,0.016480,64.456846,0.591811,36.523655,,0.014143,
2010-03-11,37.7038,38.0186,37.4682,37.9606,14831143,0.004394,65.553770,0.635737,36.672671,,0.014129,
2010-03-12,38.1301,38.5426,38.1301,38.4521,8365009,0.012947,68.638741,0.702114,36.832443,35.408670,0.014243,
2010-03-15,38.4110,38.7947,38.4034,38.5116,12537603,0.001549,69.001003,0.750868,36.980825,35.478903,0.014230,
2010-03-16,38.2807,39.1571,38.2807,38.7264,11692679,0.005576,70.331861,0.797639,37.067421,35.549336,0.011334,
2010-03-17,38.7401,39.3892,38.7401,39.1877,12908711,0.011913,73.012442,0.861994,37.190202,35.642382,0.011297,
2010-03-18,39.3832,39.3832,38.0332,38.1518,14835075,-0.026436,59.919916,0.819951,37.277735,35.705020,0.012860,
2010-03-19,38.1384,38.1384,37.6874,37.9328,7906488,-0.005740,57.569647,0.760197,37.381375,35.750826,0.012367,
2010-03-22,37.9033,37.9033,37.3838,37.6067,11691924,-0.008596,54.163387,0.678707,37.447745,35.815368,0.012438,
2010-03-23,37.3513,37.3944,36.9047,37.1658,17521562,-0.011725,49.866469,0.571953,37.453103,35.887392,0.011887,
2010-03-24,37.1377,37.2951,36.7424,36.9855,11581423,-0.004851,48.183422,0.467415,37.452950,35.954004,0.011933,
2010-03-25,36.8802,38.1420,36.8802,38.0283,12709172,0.028194,57.185036,0.463370,37.533259,36.045172,0.012908,
2010-03-26,37.7430,37.7430,37.2783,37.4351,10999817,-0.015598,51.684790,0.407602,37.611014,36.124613,0.012959,0.999969
2010-03-29,37.2729,38.1689,37.2729,38.1193,8316308,0.018277,56.841368,0.413844,37.700896,36.228178,0.013269,0.999970
2010-03-30,38.3115,38.3115,36.4036,36.9489,8337527,-0.030703,47.502001,0.320655,37.706592,36.297360,0.014889,0.999973
2010-03-31,37.0923,37.0923,36.3470,36.7333,8909399,-0.005835,46.002564,0.226791,37.682343,36.352314,0.014748,0.999972
2010-04-01,36.9254,37.0572,36.5986,36.8514,13335009,0.003213,46.989207,0.160083,37.686411,36.408599,0.014515,0.999973
2010-04-02,36.8576,37.6066,36.8576,37.2627,20701768,0.011161,50.390509,0.138803,37.702870,36.458469,0.014695,0.999973
2010-04-05,36.9402,37.9465,36.9402,37.7617,8383584,0.013394,54.228500,0.160363,37.739900,36.512110,0.014971,0.999970
2010-04-06,37.8071,38.4496,37.8071,38.3340,5073237,0.015154,58.219610,0.221075,37.797509,36.588161,0.015286,0.999968
2010-04-07,38.7101,38.7101,37.6695,38.0937,8802707,-0.006268,56.011199,0.246956,37.812467,36.654559,0.014967,0.999969
2010-04-08,37.9001,37.9001,37.6261,37.7684,23255346,-0.008539,53.075771,0.238469,37.802857,36.726635,0.015069,0.999968
2010-04-09,37.5025,38.4266,37.5025,38.3812,19465554,0.016224,57.585142,0.277984,37.799312,36.799568,0.015236,0.999969
2010-04-12,38.2157,38.6322,38.2152,38.2554,8064146,-0.003278,56.387112,0.295740,37.786498,36.870340,0.015248,0.999968
2010-04-13,38.3522,38.3522,36.5963,37.3652,9453653,-0.023269,48.671025,0.235271,37.718440,36.925541,0.016016,0.999969
2010-04-14,37.0314,37.0314,36.4418,36.5899,11519112,-0.020750,43.134412,0.123365,37.588550,36.973646,0.016222,0.999970
2010-04-15,36.6686,36.6686,35.8439,35.9774,13340430,-0.016740,39.328174,-0.014579,37.479831,36.993585,0.015629,0.999971
2010-04-16,35.9119,36.8749,35.9119,36.3253,11812556,0.009670,42.435388,-0.094734,37.399458,37.022495,0.015855,0.999970
2010-04-19,36.3116,36.6699,36.2297,36.4340,15206819,0.002992,43.410276,-0.147784,37.340822,37.058913,0.015815,0.999970
2010-04-20,36.5032,37.1461,36.5032,36.9160,13229017,0.013230,47.645584,-0.149212,37.328334,37.109479,0.015946,0.999969
2010-04-21,36.8573,36.8573,36.5375,36.6358,17758609,-0.007591,45.513083,-0.170983,37.310849,37.147421,0.016000,0.999969
2010-04-22,36.6148,37.1615,36.5869,36.7506,11110664,0.003133,46.568099,-0.176935,37.246965,37.182827,0.014563,0.999968
2010-04-23,36.7571,37.7008,36.7571,37.1852,15077111,0.011826,50.477773,-0.144913,37.234469,37.221397,0.014467,0.999967
2010-04-26,37.3433,37.3433,36.8666,36.9809,9240040,-0.005493,48.675051,-0.134467,37.177550,37.250135,0.013829,0.999969
2010-04-27,36.9633,37.7792,36.9633,37.3063,10271136,0.008798,51.637895,-0.098796,37.195419,37.256372,0.012145,0.999969
2010-04-28,37.0531,37.1701,36.8164,36.8539,11454587,-0.012127,47.529537,-0.105810,37.201447,37.258807,0.012398,0.999970
2010-04-29,36.8959,37.3914,36.4480,36.6132,11077190,-0.006531,45.457205,-0.129302,37.189538,37.263049,0.012466,0.999970
2010-04-30,36.7012,36.7012,36.2761,36.3673,6866698,-0.006716,43.376544,-0.165850,37.144769,37.273196,0.012244,0.999972
2010-05-03,36.7324,36.7324,35.5474,35.5791,7027550,-0.021673,37.458096,-0.255470,37.035637,37.259192,0.012559,0.999972
2010-05-04,35.6036,36.1827,35.6036,35.9129,13033871,0.009382,41.121991,-0.296146,36.914582,37.236277,0.012184,0.999975
2010-05-05,36.0470,36.0470,35.4858,35.5999,23978103,-0.008716,38.825139,-0.349608,36.789891,37.208504,0.012228,0.999972
2010-05-06,35.6109,35.6175,35.5208,35.6164,14035183,0.000463,39.018196,-0.386197,36.682288,37.192390,0.012191,0.999972
2010-05-07,35.6438,36.1069,35.6438,35.9432,13924468,0.009177,42.870370,-0.384389,36.560389,37.193654,0.011703,0.999972
2010-05-10,36.1331,36.5201,36.0217,36.2453,11863587,0.008404,46.249753,-0.354495,36.459883,37.192126,0.011987,0.999971
2010-05-11,36.5507,36.9176,36.1958,36.7045,10779386,0.012669,50.995355,-0.290404,36.426846,37.189516,0.011410,0.999971
2010-05-12,36.7875,36.7875,36.5767,36.6495,9281717,-0.001499,50.421062,-0.241268,36.429823,37.178138,0.010409,0.999972
2010-05-13,36.8471,36.8471,36.2418,36.3692,10770402,-0.007648,47.486370,-0.222382,36.449412,37.170121,0.009815,0.999975
2010-05-14,35.9773,36.3844,35.9773,36.3247,10055339,-0.001224,47.018414,-0.208602,36.449379,37.157945,0.009584,0.999974
2010-05-17,36.1557,36.1557,35.0589,35.2108,9039274,-0.030665,37.151056,-0.284285,36.388218,37.121737,0.011749,0.999976
2010-05-18,35.1199,35.1199,34.0715,34.2862,17646115,-0.026259,31.282511,-0.414099,36.256726,37.063825,0.012418,0.999977
2010-05-19,34.3405,34.3405,32.6177,33.4553,12351950,-0.024233,27.134564,-0.577364,36.097702,36.977040,0.013229,0.999977
2010-05-20,33.3048,33.3048,32.4886,32.8460,8952330,-0.018212,24.562502,-0.747302,35.902475,36.874748,0.013445,0.999977
