date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0685,24.9353,25.0000,9005569,0.000000,,0.000000,,,,
2010-01-05,25.0285,25.2623,25.0198,25.1048,10277764,0.004192,,0.008360,,,,
2010-01-06,25.0639,25.0639,24.7093,24.7931,11693253,-0.012415,,-0.010050,,,,
2010-01-07,24.7860,25.2328,24.7860,25.0253,10323804,0.009367,,-0.005832,,,,
2010-01-08,24.9806,25.3865,24.9806,25.3222,11533549,0.011864,,0.021222,,,,
2010-01-11,25.3325,25.3325,24.6709,24.7357,15839158,-0.023161,,-0.004609,,,,
2010-01-12,24.6506,24.6506,24.1864,24.3563,11390028,-0.015340,,-0.055064,,,,
2010-01-13,24.3868,24.4223,24.3868,24.3992,9827558,0.001761,,-0.090546,,,,
2010-01-14,24.4184,24.4184,24.1565,24.3144,13376465,-0.003477,,-0.124080,,,,
2010-01-15,24.3035,24.4254,24.2527,24.3171,20536522,0.000113,,-0.148721,,,,
2010-01-18,24.3228,24.3228,24.0649,24.0707,10426033,-0.010133,,-0.185988,,,,
2010-01-19,24.0766,24.5991,24.0766,24.3354,10254418,0.010998,,-0.191948,,,,
2010-01-20,24.4346,24.6424,24.4346,24.5750,7695465,0.009846,,-0.175317,,,,
2010-01-21,24.4362,24.7425,24.4362,24.6008,14064018,0.001050,,-0.158229,,,,
2010-01-22,24.4876,24.9503,24.4876,24.9491,14179069,0.014155,,-0.115260,,,,
2010-01-25,24.9303,25.2771,24.9187,25.1010,13311050,0.006090,51.691909,-0.068159,,,,
2010-01-26,25.0083,25.0083,24.7095,24.8466,8911054,-0.010136,47.484735,-0.050777,,,,
2010-01-27,24.8291,25.1105,24.8291,24.9631,11564407,0.004691,49.512113,-0.027281,,,,
2010-01-28,25.0270,25.0270,24.5819,24.6784,6644756,-0.011406,44.947385,-0.031276,,,,
2010-01-29,24.6931,24.9525,24.6931,24.9501,9305345,0.011009,49.711382,-0.012377,24.721920,,0.010569,
2010-02-01,25.0980,25.0980,24.9434,24.9441,8537604,-0.000241,49.609261,0.002092,24.719124,,0.010569,
2010-02-02,24.9877,24.9877,24.8640,24.8959,10286102,-0.001934,48.742575,0.009557,24.708677,,0.010528,
2010-02-03,24.8550,24.8550,24.6031,24.6980,7479468,-0.007947,45.250475,-0.000486,24.703922,,0.010304,
2010-02-04,24.6239,25.0842,24.6239,25.0721,8957455,0.015147,52.220910,0.021494,24.706259,,0.010659,
2010-02-05,25.1103,25.1103,24.9783,25.0281,9478540,-0.001755,51.392327,0.034960,24.691553,,0.010301,
2010-02-08,24.9717,25.0203,24.8064,24.9057,9985222,-0.004892,49.059273,0.035346,24.700049,,0.008904,
2010-02-09,24.9878,24.9878,24.6874,24.8027,7604863,-0.004136,47.120745,0.027027,24.722368,,0.008186,
2010-02-10,24.7769,25.1731,24.7769,24.9717,14285970,0.006815,50.571858,0.033686,24.750994,,0.008290,
2010-02-11,24.9771,25.1915,24.9771,25.0881,10365971,0.004661,52.853447,0.047803,24.789680,,0.008248,
2010-02-12,25.1419,25.3131,25.1304,25.2168,11970614,0.005130,55.310071,0.068586,24.834665,,0.008277,
2010-02-15,25.2823,25.4476,25.2823,25.3571,8469479,0.005566,57.887243,0.095284,24.898988,,0.007812,
2010-02-16,25.4818,26.0490,25.4818,26.0363,13900711,0.026783,67.617863,0.169292,24.984031,,0.009348,
2010-02-17,25.9049,26.0343,25.8796,25.9145,9026783,-0.004679,64.728611,0.215628,25.051003,,0.009387,
2010-02-18,25.7811,25.7811,25.6650,25.7601,10055828,-0.005956,61.162886,0.237161,25.108967,,0.009580,
2010-02-19,25.7552,25.7552,25.3007,25.5158,10624778,-0.009483,55.912970,0.231843,25.137306,,0.009505,
