date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,50.0000,50.1240,49.8522,50.0000,6322400,0.000000,,0.000000,,,,
2010-01-05,49.7260,50.4866,49.7260,50.2738,9660179,0.005475,,0.021838,,,,
2010-01-06,50.1776,50.1776,49.2884,49.3800,7689641,-0.017777,,-0.032595,,,,
2010-01-07,49.3907,50.1368,49.3907,50.0453,7255089,0.013472,,-0.021804,,,,
2010-01-08,50.6024,51.2650,50.6024,50.8921,17302261,0.016921,,0.054451,,,,
2010-01-11,51.0577,51.0577,49.1400,49.1911,10802019,-0.033424,,-0.022118,,,,
2010-01-12,49.3027,49.3027,48.0369,48.1015,7501176,-0.022150,,-0.168774,,,,
2010-01-13,47.9140,48.5525,47.7694,48.2173,11957307,0.002408,,-0.272514,,,,
2010-01-14,48.0015,48.1747,46.8133,47.9565,8916915,-0.005410,,-0.371494,,,,
2010-01-15,47.9691,48.1562,47.6485,47.9594,7458531,0.000062,,-0.444572,,,,
2010-01-18,48.0615,48.0615,46.7848,47.2618,9943545,-0.014547,,-0.552415,,,,
2010-01-19,46.9778,48.3940,46.9778,48.0066,8598560,0.015760,,-0.571196,,,,
2010-01-20,47.7788,48.9252,47.7788,48.6723,7279566,0.013866,,-0.526299,,,,
2010-01-21,48.3986,49.2505,48.3986,48.7435,10839159,0.001464,,-0.479441,,,,
2010-01-22,48.5736,49.7455,48.5736,49.7201,8215703,0.020035,,-0.359363,,,,
2010-01-25,49.5021,50.4340,49.5021,50.1323,5317668,0.008291,50.867735,-0.228306,,,,
2010-01-26,50.2592,50.2592,49.3146,49.3933,8593292,-0.014740,46.637921,-0.181974,,,,
2010-01-27,49.2820,49.7619,49.2820,49.7166,7745425,0.006545,48.649677,-0.117811,,,,
2010-01-28,49.9454,49.9454,48.6579,48.9044,9816510,-0.016336,44.146937,-0.130986,,,,
2010-01-29,48.9891,50.0006,48.9891,49.6807,10084552,0.015873,49.005068,-0.077892,49.112422,,0.015147,
2010-02-01,50.1851,50.1851,49.1507,49.6453,8283844,-0.000713,48.796592,-0.038231,49.094687,,0.015147,
2010-02-02,49.8394,49.8394,49.1099,49.4977,8671170,-0.002973,47.881998,-0.018497,49.055883,,0.015097,
2010-02-03,49.5555,49.5555,48.6613,48.9194,7898151,-0.011682,44.373416,-0.048953,49.032853,,0.014792,
2010-02-04,49.1602,50.4310,48.7835,49.9901,9995824,0.021886,51.465041,0.013153,49.030095,,0.015317,
2010-02-05,50.1913,50.1913,49.2163,49.8626,9303006,-0.002551,50.636973,0.051489,48.978620,,0.014798,
2010-02-08,50.2642,50.2642,49.0905,49.4969,11881928,-0.007334,48.240076,0.051766,48.993911,,0.012797,
2010-02-09,49.3045,50.0171,48.8725,49.1998,9254614,-0.006002,46.321704,0.027693,49.048827,,0.011768,
2010-02-10,49.1746,49.7542,49.1746,49.6733,17104297,0.009624,49.751422,0.046289,49.121627,,0.011917,
2010-02-11,49.6577,50.4329,49.6002,50.0045,8169382,0.006668,52.058833,0.086751,49.224029,,0.011851,
2010-02-12,49.8046,50.4763,49.8046,50.3724,13951942,0.007358,54.555437,0.146814,49.344679,,0.011895,
2010-02-15,50.4517,50.8459,50.4517,50.7659,11853336,0.007811,57.126760,0.223587,49.519886,,0.011239,
2010-02-16,51.0448,52.8570,51.0448,52.7115,13199131,0.038324,67.053352,0.436391,49.755130,,0.013437,
