date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,35.0000,35.1988,34.9625,35.0000,11138565,0.000000,,0.000000,,,,
2010-01-05,35.0323,35.3168,35.0094,35.1372,11607397,0.003919,,0.010941,,,,
2010-01-06,35.1573,35.1573,34.5524,34.7019,14782515,-0.012389,,-0.015336,,,,
2010-01-07,34.7346,35.3689,34.7346,35.0363,11341261,0.009636,,-0.009073,,,,
2010-01-08,35.0339,35.5831,35.0339,35.4506,10953665,0.011826,,0.028989,,,,
2010-01-11,35.6565,35.6565,34.3722,34.6273,13252513,-0.023225,,-0.007199,,,,
2010-01-12,34.5915,34.5915,33.8267,34.0847,9820170,-0.015667,,-0.078747,,,,
2010-01-13,34.0592,34.4738,34.0324,34.1502,12759071,0.001921,,-0.128681,,,,
2010-01-14,34.0330,34.0502,33.9580,34.0212,6405844,-0.003778,,-0.176629,,,,
2010-01-15,34.2027,34.2027,33.6781,34.0210,11005287,-0.000007,,-0.212202,,,,
2010-01-18,34.0769,34.0769,33.6417,33.6866,7833072,-0.009829,,-0.264330,,,,
2010-01-19,33.7301,34.3306,33.7301,34.0610,8836213,0.011115,,-0.272289,,,,
2010-01-20,34.2471,34.6740,34.1068,34.3910,7664777,0.009689,,-0.249097,,,,
2010-01-21,34.2839,34.8436,34.1946,34.4281,12530206,0.001078,,-0.225132,,,,
2010-01-22,34.3769,34.9305,34.3769,34.9133,19116703,0.014095,,-0.165079,,,,
2010-01-25,35.0177,35.2235,35.0177,35.1258,8489132,0.006086,51.521504,-0.099198,,,,
2010-01-26,35.2424,35.2424,34.6959,34.7632,14142931,-0.010323,47.266589,-0.075378,,,,
2010-01-27,34.6830,35.1810,34.5342,34.9281,6978085,0.004745,49.316938,-0.042699,,,,
2010-01-28,34.9002,34.9002,34.3699,34.5262,10348382,-0.011507,44.750837,-0.048671,,,,
2010-01-29,34.3895,35.2750,34.3895,34.9053,12437970,0.010981,49.500553,-0.022551,34.597949,,0.010606,
2010-02-01,34.7378,35.2209,34.7378,34.8955,12423475,-0.000283,49.381321,-0.002619,34.592722,,0.010606,
2010-02-02,35.1135,35.1135,34.7189,34.8261,13519250,-0.001987,48.499275,0.007497,34.577171,,0.010570,
2010-02-03,34.5967,34.8161,34.5221,34.5438,13116409,-0.008106,44.976199,-0.007182,34.569270,,0.010356,
2010-02-04,34.4927,35.3837,34.4927,35.0713,14103411,0.015270,51.993485,0.023477,34.571023,,0.010707,
2010-02-05,34.9756,35.1219,34.9756,35.0153,9378423,-0.001598,51.245874,0.042761,34.549258,,0.010349,
