date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,60.0000,60.0134,59.9366,60.0000,6300962,0.000000,,0.000000,,,,
2010-01-05,59.9811,60.4108,59.9578,60.1471,12564082,0.002451,,0.011733,,,,
2010-01-06,60.7479,60.7479,59.6813,59.8909,10697995,-0.004259,,0.000358,,,,
2010-01-07,59.6724,60.8367,59.6724,60.3426,6430930,0.007542,,0.027476,,,,
2010-01-08,60.1681,62.0372,60.1681,61.6044,12051521,0.020910,,0.149062,,,,
2010-01-11,61.6890,61.6890,59.7339,59.8650,10426334,-0.028235,,0.103867,,,,
2010-01-12,59.9332,60.2705,58.9794,59.9203,11908159,0.000923,,0.071683,,,,
2010-01-13,59.6345,61.3946,59.6345,61.0551,14688489,0.018939,,0.136180,,,,
2010-01-14,61.1302,62.5597,61.1302,61.6524,10561358,0.009783,,0.232810,,,,
2010-01-15,61.3303,62.8989,61.1950,61.3855,9821577,-0.004330,,0.284568,,,,
2010-01-18,61.2763,61.2763,60.1697,60.6596,11034437,-0.011825,,0.263972,,,,
2010-01-19,60.3734,62.3295,60.3734,61.9644,6535299,0.021510,,0.348910,,,,
2010-01-20,61.5171,62.6831,61.5171,62.4518,8816911,0.007866,,0.450364,,,,
2010-01-21,62.1855,62.1855,61.5907,61.7536,6868707,-0.011179,,0.469026,,,,
2010-01-22,61.4065,62.9052,61.4065,62.8997,14897512,0.018559,,0.569728,,,,
2010-01-25,63.0909,65.0217,63.0909,64.4664,11081227,0.024907,69.176112,0.767110,,,,
2010-01-26,64.9043,65.7758,64.9043,65.3310,15374472,0.013412,71.560586,0.981985,,,,
2010-01-27,65.1614,66.4030,65.1614,66.3388,6483284,0.015425,74.077548,1.219533,,,,
2010-01-28,66.2602,66.2602,62.9314,64.4904,10686532,-0.027863,63.054349,1.244298,,,,
2010-01-29,64.2265,65.7885,64.2265,65.6965,10065861,0.018702,66.551907,1.345733,62.095774,,0.015649,
2010-02-01,65.5491,66.8082,65.5491,66.3775,13920870,0.010366,68.372598,1.464197,62.414649,,0.015658,
2010-02-02,65.9464,68.6132,65.9464,67.6572,14233944,0.019279,71.510657,1.642407,62.790154,,0.015953,
2010-02-03,67.2656,67.2656,65.9673,67.0206,16186362,-0.009409,67.901357,1.712530,63.146637,,0.016168,
2010-02-04,67.2326,67.9646,67.2326,67.8589,12080899,0.012508,70.045445,1.814828,63.522449,,0.016235,
2010-02-05,68.4363,68.4363,66.7450,67.0705,12059644,-0.011618,65.606971,1.811402,63.795754,,0.016293,
2010-02-08,67.1455,67.1455,64.3436,65.4957,7428384,-0.023480,57.736892,1.662447,64.077288,,0.015820,
2010-02-09,65.4013,65.4013,64.2396,64.7538,10320156,-0.011327,54.424751,1.467618,64.318964,,0.016203,
2010-02-10,65.0682,66.3131,64.9785,65.7003,8240249,0.014618,57.754639,1.373758,64.551225,,0.016021,
2010-02-11,65.7445,67.6888,65.7445,66.7292,10891846,0.015661,61.083183,1.366643,64.805064,,0.016190,
2010-02-12,66.5150,68.4045,66.5150,67.0400,7128462,0.004656,62.055477,1.370281,65.087788,,0.016068,
2010-02-15,67.1097,68.5327,67.1097,67.8912,9434496,0.012698,64.660425,1.425421,65.449368,,0.015685,
2010-02-16,68.6576,70.4709,68.6576,70.2670,13608891,0.034994,70.705154,1.641899,65.864500,,0.016657,
2010-02-17,70.3439,71.4515,70.1639,70.7130,10097313,0.006347,71.684241,1.828369,66.277558,,0.016654,
2010-02-18,70.0631,71.0742,69.7580,69.7806,9498355,-0.013185,66.667771,1.879254,66.678907,,0.016770,
2010-02-19,69.8387,70.0777,69.0240,69.4913,12824532,-0.004146,65.144312,1.874627,67.008486,,0.016662,
2010-02-22,69.6179,70.6244,69.6179,70.2098,12638959,0.010339,67.151750,1.906949,67.295654,,0.016060,
2010-02-23,70.6715,73.3176,70.6715,72.6268,15238968,0.034425,72.822559,2.103351,67.660440,,0.017318,
2010-02-24,72.6461,73.0918,72.2277,72.9450,12624032,0.004381,73.471874,2.258641,67.990750,,0.017159,
2010-02-25,72.7179,72.8935,72.0998,72.1864,8190762,-0.010399,69.225843,2.294055,68.375552,,0.015794,
2010-02-26,72.0049,72.0049,68.8405,70.1587,13290095,-0.028090,59.351641,2.133901,68.598661,,0.017182,
2010-03-01,69.8624,71.3773,69.8624,70.9804,10491989,0.011712,61.733680,2.049657,68.828805,,0.017214,
2010-03-02,70.7624,72.4849,70.7624,72.4759,10680422,0.021069,65.675910,2.079593,69.069739,,0.017304,
2010-03-03,72.0023,73.7839,72.0023,73.5159,8659096,0.014350,68.134481,2.162311,69.394503,,0.017180,
2010-03-04,73.4129,73.4129,70.8958,71.4952,7433214,-0.027485,59.253996,2.041288,69.576320,,0.018509,
2010-03-05,71.7822,71.7822,69.9118,70.2412,6141408,-0.017540,54.505978,1.823174,69.734858,,0.018796,
2010-03-08,70.1840,71.5445,70.1840,70.4785,18802189,0.003377,55.236745,1.650434,69.983999,,0.017776,
2010-03-09,69.8442,72.0093,69.8442,71.0640,9586126,0.008308,57.069613,1.542995,70.299509,,0.017434,
