date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0228,24.8203,25.0000,12302701,0.000000,,0.000000,,,,
2010-01-05,24.8858,25.3956,24.8858,25.2707,11554734,0.010827,,0.021592,,,,
2010-01-06,25.5660,25.5660,24.7558,24.8397,7597875,-0.017054,,0.003884,,,,
2010-01-07,24.9449,25.1197,24.8239,25.0343,8702104,0.007834,,0.005489,,,,
2010-01-08,24.9708,25.2797,24.9708,25.2361,13843055,0.008061,,0.022782,,,,
2010-01-11,25.5444,25.5444,24.4833,24.5303,11446112,-0.027967,,-0.020230,,,,
2010-01-12,24.3929,24.3929,23.7460,23.8883,16148401,-0.026171,,-0.104912,,,,
2010-01-13,23.8233,24.2293,23.3411,23.6887,13402476,-0.008356,,-0.185985,,,,
2010-01-14,23.5505,23.8485,23.5334,23.7252,8088991,0.001541,,-0.244473,,,,
2010-01-15,23.7438,23.8798,23.4526,23.6671,10066912,-0.002452,,-0.292150,,,,
2010-01-18,23.7353,23.7353,23.2127,23.3658,10361922,-0.012730,,-0.350207,,,,
2010-01-19,23.3932,23.5792,23.1299,23.2042,13599299,-0.006917,,-0.404595,,,,
2010-01-20,23.3602,23.6102,23.1067,23.5001,10946103,0.012752,,-0.418990,,,,
2010-01-21,23.4596,23.5770,23.1576,23.4938,9903281,-0.000267,,-0.425995,,,,
2010-01-22,23.4674,24.2512,23.4674,24.2217,13289940,0.030983,,-0.368562,,,,
2010-01-25,24.2698,24.5269,24.1076,24.3739,9590174,0.006283,43.013556,-0.307224,,,,
2010-01-26,24.6202,24.6202,23.1865,23.5766,14948884,-0.032711,35.539577,-0.319269,,,,
2010-01-27,23.6434,23.9624,23.2307,23.6873,10850387,0.004695,37.171900,-0.316236,,,,
2010-01-28,23.6602,23.6602,23.2226,23.3210,15757968,-0.015465,34.095066,-0.339479,,,,
2010-01-29,23.4288,23.9948,23.4288,23.8626,14236134,0.023225,41.769961,-0.310612,24.074377,,0.016585,
