date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,30.0000,30.0496,29.9765,30.0000,13273542,0.000000,,0.000000,,,,
2010-01-05,29.8091,30.3977,29.8091,30.1412,5241625,0.004707,,0.011264,,,,
2010-01-06,30.0107,30.0107,29.4567,29.6842,15370247,-0.015162,,-0.016496,,,,
2010-01-07,29.7107,30.4161,29.7107,30.0274,12562517,0.011563,,-0.010677,,,,
2010-01-08,30.0322,30.6691,30.0322,30.4632,13254709,0.014511,,0.028764,,,,
2010-01-11,30.5745,30.5745,29.5254,29.5815,9397138,-0.028941,,-0.010994,,,,
2010-01-12,29.6702,29.6702,28.9697,29.0091,7093412,-0.019351,,-0.087682,,,,
2010-01-13,29.0282,29.4104,28.8448,29.0698,15533821,0.002094,,-0.141921,,,,
2010-01-14,28.9692,28.9932,28.6480,28.9392,11357846,-0.004493,,-0.193217,,,,
2010-01-15,28.9469,29.2816,28.8778,28.9358,14238937,-0.000118,,-0.231476,,,,
2010-01-18,28.9843,28.9843,28.4960,28.5741,14176095,-0.012501,,-0.287670,,,,
2010-01-19,28.4911,28.9956,28.4911,28.9626,14602809,0.013599,,-0.297421,,,,
2010-01-20,28.9978,29.4828,28.9978,29.3138,10191762,0.012125,,-0.273656,,,,
2010-01-21,29.1669,29.4201,29.1669,29.3493,10523641,0.001211,,-0.249087,,,,
2010-01-22,29.4592,29.9691,29.4592,29.8613,8688534,0.017445,,-0.186157,,,,
2010-01-25,30.0863,30.1958,29.8921,30.0770,6686125,0.007224,50.953799,-0.117524,,,,
2010-01-26,30.1480,30.1480,29.6060,29.6997,9297539,-0.012546,46.781870,-0.092514,,,,
2010-01-27,29.5503,29.9960,29.5503,29.8757,8710897,0.005927,48.884388,-0.057822,,,,
2010-01-28,29.8322,29.8322,29.3971,29.4574,10614456,-0.014002,44.395424,-0.063355,,,,
2010-01-29,29.4546,29.9155,29.4546,29.8594,13751037,0.013648,49.221384,-0.034896,29.544091,,0.013086,
2010-02-01,29.7736,30.1121,29.7736,29.8402,9604662,-0.000642,49.002846,-0.013732,29.536102,,0.013086,
2010-02-02,29.8613,29.8734,29.4833,29.7662,15689962,-0.002480,48.115214,-0.002898,29.517353,,0.013043,
2010-02-03,29.9578,29.9578,29.3966,29.4658,11676311,-0.010094,44.584435,-0.018346,29.506431,,0.012791,
2010-02-04,29.6294,30.0688,29.6294,30.0241,8196699,0.018950,51.680656,0.014303,29.506265,,0.013250,
2010-02-05,30.0012,30.0197,29.7632,29.9574,7873981,-0.002223,50.842412,0.034394,29.480975,,0.012812,
2010-02-08,29.9636,29.9636,29.6820,29.7714,15405239,-0.006208,48.483095,0.034908,29.490469,,0.011070,
2010-02-09,29.7097,29.7916,29.5705,29.6208,7755510,-0.005059,46.597185,0.022897,29.521054,,0.010152,
2010-02-10,29.6137,29.9152,29.6137,29.8688,5513620,0.008373,50.043248,0.033012,29.561002,,0.010281,
2010-02-11,29.8886,30.3484,29.8660,30.0469,14273503,0.005964,52.418202,0.054770,29.616388,,0.010231,
2010-02-12,29.9998,30.3186,29.9998,30.2454,10584307,0.006604,54.985254,0.087022,29.681865,,0.010271,
2010-02-15,30.1774,30.4565,30.1774,30.4453,14618244,0.006611,57.475028,0.127249,29.775427,,0.009698,
2010-02-16,30.5811,31.7403,30.5811,31.4566,12446172,0.033217,67.320153,0.237990,29.900125,,0.011607,
2010-02-17,31.4439,31.4439,30.9505,31.2689,9207994,-0.005968,64.342038,0.307063,29.997876,,0.011662,
2010-02-18,31.2961,31.2961,30.9602,31.0357,20568196,-0.007458,60.747273,0.339079,30.082193,,0.011902,
2010-02-19,31.0170,31.0170,30.6468,30.6645,9812406,-0.011960,55.438185,0.330689,30.122352,,0.011822,
2010-02-22,30.7208,31.0144,30.7208,30.9594,9369869,0.009616,58.538216,0.343868,30.166469,,0.011896,
2010-02-23,31.0681,31.6747,31.0681,31.5015,16096535,0.017510,63.557753,0.393521,30.256558,,0.011925,
2010-02-24,31.3354,31.5951,31.3354,31.4601,10342797,-0.001314,62.931229,0.424636,30.335776,,0.011942,
2010-02-25,31.3723,31.3723,30.8238,31.0719,12645321,-0.012338,57.234301,0.413212,30.416504,,0.011825,
2010-02-26,31.1317,31.1317,30.6033,30.6995,6903188,-0.011987,52.338189,0.369841,30.458507,,0.011968,
2010-03-01,30.7849,31.0715,30.7849,31.0112,15428479,0.010153,55.749727,0.356511,30.517055,,0.012111,
2010-03-02,31.2368,31.4461,31.2368,31.3684,8619647,0.011518,59.341458,0.370498,30.597162,,0.012243,
2010-03-03,31.4203,32.1625,31.4203,31.6340,9138236,0.008469,61.823396,0.398427,30.705576,,0.011922,
2010-03-04,31.7713,31.7713,31.2439,31.3275,13658415,-0.009689,57.464952,0.391318,30.770746,,0.011702,
2010-03-05,31.1852,31.6785,31.1852,31.4441,9300333,0.003721,58.658754,0.390588,30.845082,,0.011659,
2010-03-08,31.1958,31.5700,31.1958,31.5020,8592825,0.001842,59.270244,0.390184,30.931613,,0.011481,
2010-03-09,31.5299,31.7878,31.4212,31.6142,11337499,0.003561,60.489409,0.394370,31.031283,,0.011327,
2010-03-10,31.6642,32.1047,31.6642,32.0374,15285950,0.013388,64.774119,0.426919,31.139716,,0.011499,
2010-03-11,31.9181,32.3046,31.8544,32.1503,13216315,0.003524,65.838352,0.456562,31.244886,,0.011485,
2010-03-12,32.0164,32.5397,32.0164,32.4844,16385621,0.010390,68.838084,0.501232,31.356838,30.332510,0.011571,
2010-03-15,32.3623,32.6308,32.3471,32.5301,8741396,0.001406,69.235846,0.534161,31.461076,30.383111,0.011559,
2010-03-16,32.3258,32.8683,32.3159,32.6834,11288805,0.004713,70.592883,0.566104,31.522415,30.433955,0.009204,
2010-03-17,32.6426,33.1258,32.6426,33.0016,9759579,0.009736,73.231820,0.610062,31.609052,30.500303,0.009162,
2010-03-18,33.1003,33.1003,32.2860,32.2897,11906570,-0.021572,60.212958,0.580761,31.671753,30.545549,0.010443,
2010-03-19,32.2149,32.2149,31.9320,32.1440,11167812,-0.004511,57.942996,0.539565,31.745729,30.579166,0.010043,
2010-03-22,32.1867,32.1867,31.5906,31.9219,19082045,-0.006911,54.564987,0.483420,31.793856,30.625973,0.010098,
2010-03-23,32.0589,32.0589,31.1867,31.6229,12184176,-0.009365,50.313783,0.410075,31.799930,30.678250,0.009645,
2010-03-24,31.6652,31.6652,31.4291,31.4976,9972493,-0.003963,48.604183,0.337941,31.801808,30.726806,0.009686,
2010-03-25,31.4473,32.3158,31.4473,32.2237,9648677,0.023052,57.594518,0.335496,31.859397,30.792496,0.010492,
2010-03-26,32.2483,32.2483,31.7708,31.8149,10773146,-0.012685,52.072115,0.297149,31.915170,30.850079,0.010542,0.999966
2010-03-29,31.7793,32.3105,31.7793,32.2963,11308298,0.015131,57.268591,0.302121,31.979429,30.924524,0.010804,0.999965
2010-03-30,32.4869,32.4869,31.3480,31.4943,9791885,-0.024833,47.942406,0.238594,31.985727,30.975157,0.012112,0.999969
2010-03-31,31.4399,31.4399,31.1468,31.3437,8698535,-0.004781,46.414113,0.174091,31.971212,31.015755,0.012002,0.999970
2010-04-01,31.2512,31.4577,31.2512,31.4269,11885899,0.002653,47.410908,0.128203,31.976180,31.057306,0.011815,0.999970
2010-04-02,31.4888,32.0303,31.4888,31.7161,7843079,0.009202,50.836763,0.113860,31.989779,31.094402,0.011963,0.999970
2010-04-05,31.8287,32.2297,31.8287,32.0643,8476092,0.010980,54.666431,0.129105,32.017894,31.134148,0.012189,0.999966
2010-04-06,32.0077,32.5681,32.0077,32.4626,9415989,0.012421,58.635095,0.171350,32.060316,31.189406,0.012447,0.999964
2010-04-07,32.5352,32.5352,32.0450,32.3026,11294212,-0.004930,56.495093,0.189729,32.073573,31.237944,0.012190,0.999965
2010-04-08,32.2076,32.2076,31.9504,32.0898,13011396,-0.006586,53.689803,0.184997,32.070548,31.290593,0.012266,0.999964
2010-04-09,32.0732,32.5409,32.0732,32.5158,13447254,0.013273,58.168512,0.213158,32.072117,31.343720,0.012411,0.999966
2010-04-12,32.3361,32.4661,32.2433,32.4331,7278348,-0.002543,57.015659,0.226196,32.067267,31.395578,0.012421,0.999965
2010-04-13,32.5157,32.5157,31.6476,31.8181,13339116,-0.018961,49.205094,0.184776,32.024004,31.436616,0.013053,0.999966
2010-04-14,31.8957,31.8957,31.0655,31.2880,8696777,-0.016660,43.653808,0.107933,31.938326,31.473061,0.013216,0.999966
2010-04-15,31.2830,31.2830,30.6478,30.8613,7082457,-0.013639,39.764584,0.012457,31.866906,31.489805,0.012726,0.999967
2010-04-16,30.9313,31.3232,30.5598,31.0960,9525903,0.007605,42.783924,-0.043765,31.814506,31.512578,0.012896,0.999964
2010-04-19,31.0966,31.4198,30.9410,31.1687,14863141,0.002337,43.724700,-0.081517,31.776846,31.540524,0.012861,0.999964
2010-04-20,31.2740,31.5915,31.2740,31.5012,12271310,0.010668,47.941657,-0.083641,31.770758,31.578132,0.012964,0.999964
2010-04-21,31.4098,31.4098,31.2567,31.3004,10486560,-0.006376,45.713387,-0.100373,31.760895,31.606763,0.013013,0.999962
2010-04-22,31.1718,31.6156,31.1718,31.3897,16519387,0.002854,46.895736,-0.105213,31.719194,31.633618,0.011842,0.999960
2010-04-23,31.7083,31.9070,31.5554,31.6895,8176670,0.009552,50.771205,-0.083886,31.712923,31.662502,0.011755,0.999957
2010-04-26,31.6489,31.7415,31.5254,31.5457,12359984,-0.004540,48.926106,-0.077698,31.675389,31.684509,0.011221,0.999958
2010-04-27,31.3855,31.9028,31.3855,31.7728,7390261,0.007199,51.897708,-0.053848,31.689311,31.690832,0.009861,0.999958
2010-04-28,31.7889,31.7889,31.3667,31.4631,9177610,-0.009745,47.813431,-0.059247,31.695282,31.694718,0.010061,0.999958
2010-04-29,31.4526,31.4526,31.2182,31.3027,9505260,-0.005098,45.802332,-0.075598,31.689075,31.700059,0.010113,0.999956
2010-04-30,31.3336,31.4047,31.0909,31.1327,8846643,-0.005433,43.703344,-0.101114,31.659905,31.709423,0.009928,0.999958
2010-05-03,31.0997,31.0997,30.5485,30.5841,6987471,-0.017621,37.701775,-0.163714,31.585893,31.701917,0.010186,0.999959
2010-05-04,30.7041,31.0000,30.7041,30.8190,13965017,0.007681,41.411957,-0.192156,31.503712,31.688268,0.009876,0.999959
2010-05-05,30.7721,30.7721,30.1357,30.6046,9085436,-0.006956,39.122024,-0.229351,31.418814,31.671159,0.009912,0.999958
2010-05-06,30.5565,30.9779,30.5565,30.6215,6363031,0.000554,39.407162,-0.254527,31.345399,31.662151,0.009891,0.999959
2010-05-07,30.7027,31.1741,30.6974,30.8478,7982555,0.007387,43.230771,-0.253306,31.261999,31.665117,0.009483,0.999958
2010-05-10,30.7025,31.2568,30.7025,31.0632,6527328,0.006983,46.681091,-0.232279,31.193503,31.666157,0.009721,0.999960
