date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.4825,24.8581,25.0000,14027657,0.000000,,0.000000,,,,
2010-01-05,24.9388,24.9388,24.7501,24.8483,14264637,-0.006070,,-0.012105,,,,
2010-01-06,24.6968,24.6968,24.3376,24.3929,22352956,-0.018324,,-0.057773,,,,
2010-01-07,24.4822,25.1788,24.4822,25.0019,11250131,0.024963,,-0.044320,,,,
2010-01-08,24.8944,26.1592,24.8944,25.9233,13983201,0.036855,,0.040232,,,,
2010-01-11,25.9250,25.9250,25.3425,25.6298,8809087,-0.011323,,0.082602,,,,
2010-01-12,25.9517,26.5235,25.7983,25.8077,18210075,0.006942,,0.129050,,,,
2010-01-13,25.8237,26.0117,25.5115,25.6340,7912168,-0.006730,,0.150115,,,,
2010-01-14,25.6183,25.6183,25.0425,25.0435,19363066,-0.023035,,0.117804,,,,
2010-01-15,25.0312,25.2444,24.9055,25.0256,16767406,-0.000715,,0.089717,,,,
2010-01-18,25.1142,25.2551,24.6460,25.0076,7930429,-0.000719,,0.065254,,,,
2010-01-19,25.0797,25.2252,24.7151,24.7196,14432453,-0.011519,,0.022365,,,,
2010-01-20,24.5883,24.8861,24.2893,24.6840,11550969,-0.001438,,-0.014329,,,,
2010-01-21,24.6303,24.6303,24.3737,24.4613,9235949,-0.009020,,-0.060675,,,,
2010-01-22,24.3750,25.2099,24.3750,24.9249,10510376,0.018949,,-0.059320,,,,
2010-01-25,24.8876,25.1789,24.8876,25.1465,11310403,0.008891,51.755404,-0.039904,,,,
2010-01-26,25.3895,25.3895,24.4859,24.6423,12259593,-0.020049,45.982633,-0.064455,,,,
2010-01-27,24.7228,24.9975,24.6403,24.8158,16206927,0.007040,48.126829,-0.069116,,,,
2010-01-28,24.8053,24.8053,23.9465,24.1774,13395947,-0.025725,41.585499,-0.122906,,,,
2010-01-29,24.3366,24.4327,24.2424,24.3226,8176104,0.006007,43.467953,-0.152063,24.960449,,0.016026,
2010-02-01,24.3469,24.5162,23.8715,23.9352,13494884,-0.015931,39.784167,-0.204083,24.907208,,0.016353,
2010-02-02,23.7277,23.9750,23.7277,23.8387,6039053,-0.004032,38.899924,-0.250213,24.856728,,0.016333,
2010-02-03,24.0486,24.0486,23.1699,23.4061,9712870,-0.018145,35.130987,-0.318008,24.807387,,0.016323,
2010-02-04,23.3867,24.3612,23.3867,23.9767,10283113,0.024378,42.979179,-0.321984,24.756129,,0.016273,
2010-02-05,23.6905,23.9330,23.6332,23.9257,12313059,-0.002127,42.484340,-0.325498,24.656248,,0.013472,
2010-02-08,23.7232,23.8926,23.2959,23.7337,17692938,-0.008025,40.589978,-0.339858,24.561444,,0.013397,
2010-02-09,23.8753,24.3677,23.8753,24.1519,11615367,0.017621,46.215582,-0.313875,24.478654,,0.014042,
2010-02-10,23.9495,24.5676,23.9495,24.4334,9495433,0.011654,49.669916,-0.267487,24.418621,,0.014397,
2010-02-11,24.6078,24.6078,24.1938,24.4389,8119232,0.000227,49.738437,-0.227653,24.388390,,0.013549,
2010-02-12,24.4494,24.7100,24.1900,24.3942,12964280,-0.001828,49.157935,-0.197414,24.356821,,0.013549,
2010-02-15,24.4864,24.4864,23.9594,24.1767,9852809,-0.008918,46.323423,-0.188827,24.315275,,0.013658,
2010-02-16,24.1438,25.1327,24.1438,24.8230,9748173,0.026733,54.683914,-0.128388,24.320447,,0.014824,
2010-02-17,24.8917,25.0950,24.5594,24.7932,13382591,-0.001200,54.264309,-0.081950,24.325907,,0.014823,
2010-02-18,24.8347,24.8347,23.9251,24.0630,16293244,-0.029453,45.125008,-0.102886,24.305988,,0.016146,
2010-02-19,24.0581,24.0581,23.2710,23.4237,8495239,-0.026568,38.941467,-0.169116,24.230927,,0.016436,
2010-02-22,23.2916,23.5565,23.2916,23.4604,6432952,0.001571,39.455700,-0.216143,24.146626,,0.016238,
2010-02-23,23.5050,23.5357,23.2764,23.4811,9753746,0.000882,39.763001,-0.248873,24.088568,,0.015773,
2010-02-24,23.2554,23.6727,23.2554,23.4633,7130030,-0.000762,39.576032,-0.273107,24.020941,,0.015625,
2010-02-25,23.5789,23.5789,23.1947,23.2711,7096505,-0.008190,37.534183,-0.304311,23.975625,,0.014731,
2010-02-26,23.2953,23.2953,22.8511,22.9987,7746699,-0.011705,34.793833,-0.347020,23.909427,,0.014769,
2010-03-01,23.0552,23.3533,23.0552,23.3494,14732102,0.015250,40.788317,-0.348548,23.880140,,0.014942,
2010-03-02,23.0261,23.6227,23.0261,23.4039,12296270,0.002333,41.684830,-0.341428,23.858402,,0.014945,
2010-03-03,23.2645,23.7193,23.2645,23.5551,21576782,0.006460,44.210022,-0.319899,23.865851,,0.014448,
2010-03-04,23.4920,23.4920,22.9037,23.0745,9089659,-0.020403,38.502473,-0.337723,23.820740,,0.014002,
2010-03-05,23.1567,23.2491,22.9223,23.2268,15394588,0.006603,41.098513,-0.335686,23.785798,,0.014128,
2010-03-08,23.1110,23.4922,22.9643,23.2862,11744103,0.002556,42.123798,-0.325529,23.763424,,0.014064,
