date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,10.0000,10.0499,9.9411,10.0000,7227694,0.000000,,0.000000,,,,
2010-01-05,9.9819,10.1276,9.9819,10.1181,20527720,0.011807,,0.009419,,,,
2010-01-06,10.1369,10.1637,10.1189,10.1220,10518839,0.000392,,0.017008,,,,
2010-01-07,10.0889,10.1660,10.0712,10.0960,7134080,-0.002577,,0.020679,,,,
2010-01-08,10.0606,10.0847,10.0606,10.0721,7365345,-0.002367,,0.021414,,,,
2010-01-11,10.0612,10.0612,9.8822,9.8922,8522304,-0.017860,,0.007395,,,,
2010-01-12,9.9232,9.9232,9.8246,9.8327,10767056,-0.006012,,-0.008417,,,,
2010-01-13,9.8492,9.8492,9.6476,9.7576,13024984,-0.007635,,-0.026698,,,,
2010-01-14,9.7479,9.7479,9.6893,9.7117,9293596,-0.004705,,-0.044378,,,,
2010-01-15,9.7185,9.8396,9.6923,9.7402,13133333,0.002929,,-0.055455,,,,
2010-01-18,9.6764,9.6764,9.6392,9.6495,11360871,-0.009310,,-0.070736,,,,
2010-01-19,9.6876,9.6903,9.6303,9.6308,8648791,-0.001937,,-0.083392,,,,
2010-01-20,9.6707,9.6707,9.5972,9.6034,9261308,-0.002844,,-0.094543,,,,
2010-01-21,9.5562,9.6735,9.5562,9.6386,7242333,0.003669,,-0.099391,,,,
2010-01-22,9.6639,9.7689,9.6409,9.7424,9520990,0.010765,,-0.093780,,,,
2010-01-25,9.7279,9.7279,9.6000,9.6491,16566112,-0.009582,30.891645,-0.095762,,,,
2010-01-26,9.6615,9.8104,9.6615,9.7938,13514897,0.015005,41.393393,-0.084674,,,,
2010-01-27,9.8318,9.8583,9.8269,9.8396,5545120,0.004669,44.273486,-0.071374,,,,
2010-01-28,9.8092,9.8576,9.7621,9.8532,8900058,0.001385,45.139026,-0.059053,,,,
2010-01-29,9.8370,9.9131,9.8370,9.9015,11884901,0.004905,48.210361,-0.044871,9.832226,,0.007895,
2010-02-01,9.9262,10.0207,9.9262,9.9976,12326278,0.009708,53.755606,-0.025581,9.832108,,0.008217,
2010-02-02,9.9962,10.0990,9.9962,10.0969,4654086,0.009925,58.674659,-0.002261,9.831048,,0.008084,
2010-02-03,10.1303,10.1791,10.1236,10.1495,8395423,0.005213,61.041981,0.020235,9.832422,,0.008170,
2010-02-04,10.1049,10.3286,10.1049,10.3176,13565060,0.016562,67.454101,0.051039,9.843504,,0.008919,
2010-02-05,10.3679,10.3679,10.1130,10.1732,12349505,-0.013998,58.539041,0.063070,9.848560,,0.009517,
2010-02-08,10.1679,10.1716,10.0721,10.1056,11977013,-0.006643,54.883624,0.066386,9.859231,,0.008669,
2010-02-09,10.1024,10.1024,10.0115,10.0176,10809396,-0.008712,50.462834,0.061204,9.868474,,0.008805,
2010-02-10,10.0337,10.1079,10.0337,10.0752,9090728,0.005750,53.123112,0.061041,9.884350,,0.008624,
2010-02-11,10.0560,10.1520,10.0560,10.1482,13931884,0.007252,56.327057,0.066047,9.906175,,0.008575,
2010-02-12,10.1260,10.1260,9.9566,10.0672,8957453,-0.007982,52.077574,0.062754,9.922527,,0.008871,
2010-02-15,10.0136,10.2655,10.0136,10.2315,10057460,0.016320,58.857562,0.072566,9.951628,,0.009047,
2010-02-16,10.2186,10.3473,10.2186,10.2645,19033931,0.003224,60.078672,0.082057,9.983313,,0.008973,
2010-02-17,10.2503,10.2503,10.1721,10.2233,9358510,-0.004012,57.772880,0.085273,10.014308,,0.009019,
2010-02-18,10.1972,10.1972,10.0871,10.1055,11816523,-0.011520,51.666590,0.077425,10.037652,,0.009596,
2010-02-19,10.1114,10.1114,9.8793,9.8943,7772082,-0.020901,42.907266,0.053546,10.045248,,0.010694,
2010-02-22,9.8976,10.0571,9.8976,9.9715,14260238,0.007799,46.477462,0.040382,10.061370,,0.010508,
2010-02-23,10.0021,10.0021,9.8849,9.9734,21220852,0.000194,46.567697,0.029763,10.070350,,0.010032,
2010-02-24,9.8974,9.9170,9.7839,9.8914,10536055,-0.008223,43.240500,0.014562,10.072942,,0.010194,
2010-02-25,9.8669,9.8669,9.7274,9.7924,9415168,-0.010011,39.564677,-0.005413,10.069902,,0.010446,
2010-02-26,9.7985,9.7985,9.6781,9.7438,8162940,-0.004963,37.863527,-0.024879,10.062015,,0.010423,
2010-03-01,9.7229,9.9292,9.7229,9.8728,11187787,0.013239,44.664784,-0.029555,10.055773,,0.010637,
2010-03-02,9.8528,10.0366,9.8528,10.0153,14692172,0.014435,51.040597,-0.021513,10.051694,,0.010915,
2010-03-03,10.0059,10.0667,10.0059,10.0585,23943033,0.004317,52.816684,-0.011519,10.047146,,0.010893,
2010-03-04,10.0796,10.1648,10.0796,10.1440,11494213,0.008494,56.198350,0.003258,10.038464,,0.010369,
2010-03-05,10.1082,10.1313,9.9972,10.1049,10012487,-0.003853,54.281487,0.011681,10.035050,,0.009928,
2010-03-08,10.1270,10.1615,10.0363,10.0708,10063239,-0.003370,52.598234,0.015429,10.033311,,0.009844,
2010-03-09,10.0807,10.0807,9.9667,10.0197,10732315,-0.005079,50.086067,0.014110,10.033418,,0.009710,
2010-03-10,10.0233,10.0944,10.0233,10.0890,16728689,0.006918,53.338395,0.018445,10.034110,,0.009750,
2010-03-11,10.0577,10.0718,10.0274,10.0616,7377684,-0.002717,51.897938,0.019444,10.029778,,0.009620,
2010-03-12,10.0787,10.2412,10.0787,10.1520,15895557,0.008984,56.106992,0.027217,10.034016,9.969468,0.009662,
2010-03-15,10.1536,10.1536,9.9943,10.0087,17288371,-0.014116,48.814405,0.021564,10.022874,9.969642,0.009427,
2010-03-16,9.9947,10.1476,9.9947,10.1347,8840333,0.012591,54.423997,0.026942,10.016383,9.969974,0.009874,
2010-03-17,10.1499,10.2357,10.1499,10.1867,9751067,0.005136,56.542714,0.035000,10.014554,9.971268,0.009918,
2010-03-18,10.1791,10.1791,10.0729,10.0751,11723623,-0.010959,51.060691,0.032010,10.013032,9.970851,0.009885,
2010-03-19,10.0736,10.1713,10.0736,10.1380,13780711,0.006243,53.779997,0.034321,10.025216,9.972169,0.008668,
2010-03-22,10.1117,10.1117,9.9768,10.0367,11969521,-0.009997,49.050818,0.027655,10.028474,9.975059,0.008872,
2010-03-23,10.0220,10.0576,9.8857,9.9820,13929343,-0.005446,46.667583,0.017757,10.028903,9.978045,0.008967,
2010-03-24,9.9938,10.0741,9.9938,9.9961,10117079,0.001416,47.379585,0.010928,10.034138,9.982815,0.008753,
2010-03-25,9.9976,10.0537,9.9976,10.0496,14077076,0.005344,50.091611,0.009714,10.046997,9.989572,0.008445,
2010-03-26,10.0428,10.0428,9.9095,9.9530,7925837,-0.009612,45.522867,0.000946,10.057455,9.993827,0.008688,0.479796
2010-03-29,9.8958,10.0793,9.8958,10.0548,11676194,0.010228,50.633388,0.002188,10.066554,10.001933,0.008490,0.491357
2010-03-30,10.0520,10.0520,9.9639,9.9734,8187763,-0.008092,46.850399,-0.003355,10.064458,10.008785,0.008092,0.501812
2010-03-31,9.9526,9.9526,9.8803,9.9036,10798284,-0.006996,43.826378,-0.013226,10.056712,10.014789,0.008156,0.513577
2010-04-01,9.9021,9.9021,9.8242,9.8335,12149658,-0.007079,40.965384,-0.026401,10.041189,10.018686,0.007969,0.516543
