date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,10.0000,10.1389,9.9422,10.0000,11549968,0.000000,,0.000000,,,,
2010-01-05,9.9619,10.1543,9.9619,10.0499,19764830,0.004989,,0.003980,,,,
2010-01-06,9.9624,9.9624,9.8041,9.8784,11359431,-0.017063,,-0.006628,,,,
2010-01-07,9.9060,10.0364,9.9060,10.0035,14623282,0.012661,,-0.004885,,,,
2010-01-08,9.9797,10.2393,9.9797,10.1625,15369307,0.015893,,0.009218,,,,
2010-01-11,10.2080,10.2080,9.7918,9.8392,10285426,-0.031810,,-0.005625,,,,
2010-01-12,9.8523,9.8523,9.6193,9.6285,8245421,-0.021417,,-0.034000,,,,
2010-01-13,9.5807,9.7668,9.5807,9.6499,9218785,0.002221,,-0.054138,,,,
2010-01-14,9.7405,9.7405,9.5193,9.6010,8190674,-0.005068,,-0.073199,,,,
2010-01-15,9.5493,9.6048,9.5434,9.5992,6379804,-0.000179,,-0.087436,,,,
2010-01-18,9.5482,9.5482,9.3334,9.4650,10375808,-0.013984,,-0.108303,,,,
2010-01-19,9.5273,9.7404,9.5273,9.6081,7125077,0.015121,,-0.112000,,,,
2010-01-20,9.6000,9.7517,9.6000,9.7358,11392201,0.013287,,-0.103436,,,,
2010-01-21,9.7307,9.7827,9.7307,9.7492,6779335,0.001375,,-0.094480,,,,
2010-01-22,9.6900,10.0153,9.6900,9.9332,9132181,0.018872,,-0.071709,,,,
2010-01-25,9.9088,10.0489,9.9088,10.0124,15758345,0.007974,50.512745,-0.046733,,,,
2010-01-26,9.9729,10.0072,9.8361,9.8719,8783256,-0.014026,46.319628,-0.037835,,,,
2010-01-27,9.7863,10.0359,9.7863,9.9353,12585694,0.006422,48.402068,-0.025375,,,,
2010-01-28,9.7883,9.8433,9.6500,9.7812,10400015,-0.015514,43.939216,-0.027620,,,,
2010-01-29,9.8193,9.9594,9.8193,9.9259,10484156,0.014796,48.720044,-0.017519,9.821492,,0.014416,
2010-02-01,9.9504,9.9835,9.9139,9.9190,8185846,-0.000699,48.506396,-0.009959,9.817441,,0.014416,
2010-02-02,9.9944,9.9944,9.7701,9.8901,8121755,-0.002908,47.572677,-0.006224,9.809452,,0.014371,
2010-02-03,9.8943,9.8943,9.6643,9.7802,13669473,-0.011110,44.090892,-0.011992,9.804544,,0.014073,
2010-02-04,9.7301,9.9911,9.7301,9.9859,18638116,0.021029,51.278665,0.000032,9.803666,,0.014597,
2010-02-05,9.9272,10.0546,9.9272,9.9604,10152785,-0.002552,50.413697,0.007419,9.793564,,0.014116,
2010-02-08,9.9687,9.9687,9.7420,9.8917,9523624,-0.006899,48.059850,0.007641,9.796190,,0.012217,
2010-02-09,9.8891,9.8891,9.7055,9.8360,9347638,-0.005627,46.179118,0.003287,9.806569,,0.011205,
2010-02-10,9.7571,9.9663,9.7571,9.9239,11513388,0.008934,49.536802,0.006848,9.820273,,0.011339,
2010-02-11,9.9296,10.0649,9.8035,9.9861,10258133,0.006269,51.828176,0.014524,9.839532,,0.011279,
2010-02-12,9.9647,10.1122,9.9647,10.0587,10823821,0.007265,54.426639,0.026159,9.862505,,0.011325,
2010-02-15,10.0888,10.2788,10.0265,10.1318,7333321,0.007269,56.947310,0.040810,9.895845,,0.010686,
2010-02-16,10.0777,10.5922,10.0777,10.5012,10285305,0.036462,66.906796,0.081292,9.940500,,0.012773,
2010-02-17,10.5229,10.5229,10.3539,10.4332,15161119,-0.006475,63.973256,0.106659,9.975373,,0.012824,
2010-02-18,10.3455,10.3843,10.2782,10.3461,12649780,-0.008348,60.324966,0.118370,10.005221,,0.013092,
2010-02-19,10.3110,10.3122,10.1258,10.2097,12892649,-0.013188,55.030002,0.115312,10.019047,,0.013016,
2010-02-22,10.2488,10.4477,10.1639,10.3159,9128508,0.010400,58.111172,0.120071,10.034223,,0.013091,
2010-02-23,10.3146,10.6966,10.3146,10.5138,12230462,0.019188,63.176532,0.138223,10.066317,,0.013115,
2010-02-24,10.5143,10.6237,10.4374,10.4947,10769769,-0.001822,62.390351,0.149341,10.094283,,0.013139,
2010-02-25,10.5421,10.5421,10.3361,10.3515,9287539,-0.013637,56.711399,0.144933,10.122801,,0.013007,
2010-02-26,10.3626,10.3626,10.1788,10.2112,11731351,-0.013557,51.738549,0.128633,10.137065,,0.013188,
2010-03-01,10.2063,10.3864,10.1550,10.3240,13350682,0.011043,55.142328,0.123391,10.157315,,0.013345,
2010-03-02,10.3362,10.5090,10.3362,10.4548,11816847,0.012674,58.775606,0.128317,10.185550,,0.013493,
2010-03-03,10.4828,10.5609,10.4828,10.5517,14553422,0.009263,61.275588,0.138439,10.224120,,0.013146,
2010-03-04,10.5436,10.5436,10.4190,10.4379,16641417,-0.010782,56.909487,0.135716,10.246719,,0.012885,
2010-03-05,10.4437,10.5115,10.3250,10.4813,9815463,0.004162,58.136201,0.135502,10.272764,,0.012839,
2010-03-08,10.4432,10.5544,10.4432,10.5028,7616778,0.002047,58.760606,0.135501,10.303318,,0.012644,
2010-03-09,10.4786,10.6336,10.4786,10.5417,14065953,0.003700,59.926569,0.137057,10.338599,,0.012477,
2010-03-10,10.5334,10.7873,10.5334,10.6975,13886446,0.014784,64.287140,0.149146,10.377277,,0.012677,
2010-03-11,10.7054,10.7938,10.6532,10.7406,15636051,0.004026,65.407369,0.160354,10.414999,,0.012664,
2010-03-12,10.7643,10.9025,10.7643,10.8646,9909535,0.011549,68.474459,0.177202,10.455295,10.095358,0.012763,
2010-03-15,10.8379,11.0694,10.7587,10.8782,9793759,0.001255,68.802020,0.189471,10.492617,10.112923,0.012751,
2010-03-16,10.9430,11.0031,10.8153,10.9320,4997665,0.004942,70.119887,0.201213,10.514156,10.130565,0.010167,
2010-03-17,10.9363,11.1917,10.9363,11.0495,7533166,0.010748,72.822128,0.217493,10.544970,10.153988,0.010135,
2010-03-18,11.1112,11.1112,10.6535,10.7866,14085535,-0.023790,59.794018,0.206799,10.566995,10.169651,0.011531,
2010-03-19,10.7479,10.8424,10.7282,10.7317,26464571,-0.005091,57.480544,0.191684,10.593097,10.181036,0.011098,
2010-03-22,10.7995,10.7995,10.5679,10.6478,8711937,-0.007822,54.038470,0.170960,10.609693,10.197208,0.011168,
2010-03-23,10.6342,10.6342,10.4575,10.5361,15445344,-0.010491,49.767873,0.143864,10.610806,10.215360,0.010675,
2010-03-24,10.5766,10.6018,10.4762,10.4895,8644811,-0.004417,48.063673,0.117284,10.610550,10.232153,0.010716,
2010-03-25,10.4599,10.8448,10.4599,10.7545,5638383,0.025256,57.075013,0.116256,10.630696,10.255224,0.011598,
2010-03-26,10.7510,10.7510,10.5143,10.6028,8440814,-0.014106,51.558373,0.102023,10.650274,10.275294,0.011637,0.999964
2010-03-29,10.6565,10.8790,10.6565,10.7788,9642528,0.016603,56.779008,0.103753,10.673015,10.301570,0.011929,0.999963
2010-03-30,10.7190,10.7190,10.4804,10.4846,12890520,-0.027293,47.555292,0.080458,10.674505,10.319100,0.013350,0.999967
2010-03-31,10.5185,10.5185,10.3439,10.4272,10885276,-0.005475,45.985434,0.056711,10.668282,10.332928,0.013231,0.999965
2010-04-01,10.4521,10.5070,10.3680,10.4586,13888195,0.003014,47.016508,0.039965,10.669319,10.347117,0.013025,0.999965
2010-04-02,10.5340,10.5744,10.5340,10.5619,11856069,0.009876,50.369960,0.034630,10.673348,10.359692,0.013179,0.999964
2010-04-05,10.6062,10.7088,10.6062,10.6892,11834250,0.012053,54.216315,0.040211,10.682669,10.373230,0.013430,0.999961
2010-04-06,10.6530,10.8781,10.6530,10.8326,10586830,0.013414,58.150319,0.055563,10.697217,10.392443,0.013706,0.999959
2010-04-07,10.8327,10.8327,10.6621,10.7716,8162862,-0.005631,55.948015,0.062093,10.700923,10.409169,0.013418,0.999960
2010-04-08,10.8314,10.8314,10.6346,10.6901,8602508,-0.007566,53.056740,0.060000,10.698400,10.427347,0.013505,0.999960
2010-04-09,10.6210,10.8796,10.6210,10.8474,7828637,0.014712,57.609520,0.070222,10.697539,10.445777,0.013667,0.999960
2010-04-12,10.8449,10.9730,10.7442,10.8136,10624600,-0.003112,56.346196,0.074737,10.694308,10.463670,0.013681,0.999958
2010-04-13,10.8616,10.8616,10.5650,10.5893,6215588,-0.020748,48.702637,0.059526,10.677171,10.477653,0.014361,0.999961
2010-04-14,10.5443,10.5443,10.3064,10.3939,17364870,-0.018449,43.206536,0.031345,10.644391,10.489926,0.014534,0.999962
2010-04-15,10.5873,10.5873,10.1100,10.2388,9127415,-0.014925,39.403968,-0.003466,10.616998,10.494983,0.013990,0.999963
2010-04-16,10.2734,10.3663,10.2734,10.3242,13044515,0.008347,42.410923,-0.023883,10.596623,10.502260,0.014181,0.999963
2010-04-19,10.3304,10.3918,10.3232,10.3512,10517627,0.002615,43.366894,-0.037453,10.581796,10.511450,0.014141,0.999962
2010-04-20,10.3240,10.5622,10.3240,10.4728,14145930,0.011744,47.586613,-0.037961,10.578633,10.524185,0.014255,0.999962
2010-04-21,10.4708,10.4708,10.3581,10.3988,8806948,-0.007062,45.371867,-0.043825,10.574098,10.533684,0.014309,0.999961
2010-04-22,10.4172,10.5910,10.3666,10.4287,10806964,0.002872,46.455629,-0.045538,10.557811,10.542535,0.013019,0.999961
2010-04-23,10.3819,10.5965,10.3819,10.5395,9032363,0.010626,50.388571,-0.037521,10.554649,10.552152,0.012928,0.999961
2010-04-26,10.4515,10.5608,10.4515,10.4869,9050753,-0.004995,48.563727,-0.035012,10.540053,10.559253,0.012337,0.999962
2010-04-27,10.4936,10.6651,10.4724,10.5655,10677489,0.007496,51.394532,-0.026376,10.544097,10.560539,0.010841,0.999956
2010-04-28,10.6121,10.6121,10.4137,10.4503,18881852,-0.010905,47.286816,-0.028501,10.545251,10.560880,0.011063,0.999955
2010-04-29,10.4747,10.4747,10.3618,10.3892,9903692,-0.005846,45.222818,-0.034714,10.541780,10.561741,0.011120,0.999960
2010-04-30,10.4563,10.5154,10.2455,10.3245,13598354,-0.006230,43.077581,-0.044349,10.529907,10.564036,0.010928,0.999962
2010-05-03,10.3271,10.3271,10.0981,10.1221,8555380,-0.019596,37.145759,-0.067531,10.501554,10.560162,0.011214,0.999963
2010-05-04,10.1084,10.2659,10.0861,10.2067,12434367,0.008351,40.813038,-0.078181,10.470257,10.554019,0.010884,0.999963
2010-05-05,10.1909,10.2311,10.0383,10.1297,10014367,-0.007545,38.603333,-0.091778,10.438161,10.546720,0.010918,0.999964
2010-05-06,10.1181,10.2028,10.0028,10.1363,13112282,0.000650,38.907693,-0.100859,10.410467,10.542414,0.010892,0.999960
2010-05-07,10.0562,10.2300,10.0562,10.2189,8013659,0.008153,42.746591,-0.100232,10.379043,10.542568,0.010432,0.999962
