date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,4.0000,4.0031,3.9845,4.0000,9642634,0.000000,,0.000000,,,,
2010-01-05,3.9446,4.0161,3.9446,4.0041,8312015,0.001026,,0.000327,,,,
2010-01-06,3.9768,4.0164,3.9768,4.0065,11421521,0.000610,,0.000775,,,,
2010-01-07,4.0083,4.0852,4.0083,4.0655,18785600,0.014713,,0.005819,,,,
2010-01-08,4.0741,4.1753,4.0741,4.1169,8355726,0.012647,,0.013806,,,,
2010-01-11,4.1077,4.1077,3.9550,3.9663,12849492,-0.036586,,0.007892,,,,
2010-01-12,3.9641,3.9641,3.8858,3.9129,9224514,-0.013450,,-0.001088,,,,
2010-01-13,3.9162,4.0325,3.9162,3.9805,16585468,0.017269,,-0.002721,,,,
2010-01-14,3.9799,4.0394,3.9768,3.9841,11308253,0.000901,,-0.003683,,,,
2010-01-15,3.9607,3.9607,3.8916,3.9404,9397327,-0.010965,,-0.007879,,,,
2010-01-18,3.9430,3.9430,3.8512,3.8566,14059422,-0.021263,,-0.017761,,,,
2010-01-19,3.8868,3.8974,3.8639,3.8677,7375823,0.002862,,-0.024420,,,,
2010-01-20,3.8638,4.0153,3.8638,3.9904,12550359,0.031730,,-0.019569,,,,
2010-01-21,3.9619,4.0599,3.9336,4.0047,9585498,0.003597,,-0.014401,,,,
2010-01-22,4.0416,4.1323,4.0340,4.1010,13820502,0.024046,,-0.002505,,,,
2010-01-25,4.1027,4.1655,4.1027,4.1448,5896331,0.010663,59.133013,0.010332,,,,
2010-01-26,4.1391,4.1391,4.0365,4.1083,8289033,-0.008797,56.202690,0.017363,,,,
2010-01-27,4.1431,4.1431,4.0461,4.1039,9241120,-0.001065,55.844944,0.022325,,,,
2010-01-28,4.0861,4.0861,3.9413,4.0089,7004352,-0.023155,48.609992,0.018377,,,,
2010-01-29,4.0153,4.0216,4.0090,4.0201,5942136,0.002783,49.438106,0.015965,4.009191,,0.016397,
2010-02-01,3.9830,4.0267,3.9830,4.0170,14152045,-0.000756,49.205338,0.013650,4.010042,,0.016398,
2010-02-02,4.0013,4.0441,3.9468,3.9887,9846808,-0.007043,46.988594,0.009424,4.009274,,0.016480,
2010-02-03,3.9578,3.9578,3.8934,3.9298,16212549,-0.014780,42.674349,0.001303,4.005435,,0.016803,
2010-02-04,3.9262,4.0125,3.9262,4.0073,10921477,0.019725,49.269640,0.001109,4.002525,,0.017082,
2010-02-05,4.0183,4.0183,3.9147,3.9387,15486564,-0.017118,44.401334,-0.004527,3.993615,,0.017165,
2010-02-08,3.9349,3.9349,3.8519,3.8703,7768991,-0.017372,40.140824,-0.014350,3.988814,,0.015598,
2010-02-09,3.8814,3.9724,3.8794,3.8899,12565770,0.005065,41.862156,-0.020319,3.987661,,0.015374,
2010-02-10,3.8897,4.0161,3.8897,3.9708,7182437,0.020803,48.451706,-0.018308,3.987176,,0.015604,
2010-02-11,3.9494,4.0886,3.9494,4.0505,12490736,0.020059,53.980709,-0.010170,3.990494,,0.016238,
2010-02-12,4.0707,4.0707,4.0447,4.0657,20141943,0.003772,54.978226,-0.002459,3.996760,,0.016002,
2010-02-15,4.0797,4.1268,4.0797,4.0899,9299827,0.005946,56.581871,0.005538,4.008423,,0.015078,
