date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,15.0000,15.0490,14.9344,15.0000,7229209,0.000000,,0.000000,,,,
2010-01-05,14.9664,15.2733,14.9664,15.0979,9700345,0.006525,,0.007808,,,,
2010-01-06,15.0629,15.0629,14.6217,14.7750,9928020,-0.021384,,-0.011918,,,,
2010-01-07,14.6660,15.1326,14.6660,15.0139,13048354,0.016168,,-0.008181,,,,
2010-01-08,14.9712,15.3373,14.9712,15.3177,21932017,0.020230,,0.019070,,,,
2010-01-11,15.3088,15.3088,14.6682,14.7042,13149715,-0.040052,,-0.008737,,,,
2010-01-12,14.6274,14.6274,14.2842,14.3122,22021592,-0.026654,,-0.061688,,,,
2010-01-13,14.3445,14.4935,14.3188,14.3533,18891852,0.002873,,-0.099190,,,,
2010-01-14,14.3178,14.3178,14.2242,14.2637,7552838,-0.006243,,-0.134590,,,,
2010-01-15,14.3138,14.3324,14.1264,14.2602,9135210,-0.000251,,-0.161077,,,,
2010-01-18,14.3215,14.3215,13.9771,14.0100,7038659,-0.017544,,-0.199951,,,,
2010-01-19,13.9828,14.3361,13.9828,14.2758,17636520,0.018972,,-0.206925,,,,
2010-01-20,14.2576,14.6259,14.2576,14.5162,9006301,0.016841,,-0.190853,,,,
2010-01-21,14.5655,14.5655,14.4847,14.5379,11422857,0.001492,,-0.174358,,,,
2010-01-22,14.5760,14.9116,14.5760,14.8905,11970394,0.024256,,-0.131318,,,,
2010-01-25,14.9012,15.0489,14.9012,15.0408,9961078,0.010092,50.770285,-0.084114,,,,
2010-01-26,15.0067,15.0067,14.7303,14.7754,16232592,-0.017641,46.551592,-0.067337,,,,
2010-01-27,14.7309,14.9050,14.7309,14.8952,10567611,0.008107,48.626974,-0.043871,,,,
2010-01-28,14.9758,14.9758,14.5352,14.6016,14090805,-0.019712,44.106137,-0.048407,,,,
2010-01-29,14.6663,14.8803,14.6663,14.8769,9022916,0.018852,48.902477,-0.029451,14.675911,,0.018203,
2010-02-01,14.8047,14.9308,14.7896,14.8649,9312827,-0.000803,48.707240,-0.015216,14.669157,,0.018203,
2010-02-02,14.8423,14.9432,14.8007,14.8117,8131226,-0.003582,47.790964,-0.008137,14.654847,,0.018144,
2010-02-03,14.8475,14.8475,14.5859,14.6037,16304065,-0.014043,44.285903,-0.019091,14.646280,,0.017777,
2010-02-04,14.5575,15.0502,14.5575,14.9875,9341300,0.026281,51.372609,0.003160,14.644958,,0.018406,
2010-02-05,14.9820,15.0612,14.9337,14.9427,8113285,-0.002986,50.564902,0.016987,14.626211,,0.017790,
2010-02-08,14.9939,14.9939,14.7097,14.8115,13520186,-0.008779,48.174162,0.017163,14.631580,,0.015398,
2010-02-09,14.8428,14.8428,14.6058,14.7063,4401047,-0.007104,46.283719,0.008711,14.651285,,0.014156,
2010-02-10,14.7113,14.9785,14.7113,14.8764,11680561,0.011562,49.717575,0.015554,14.677435,,0.014334,
2010-02-11,14.8151,15.1786,14.7760,14.9952,16439277,0.007988,52.025585,0.030218,14.714007,,0.014262,
2010-02-12,15.0738,15.2788,15.0530,15.1285,8927644,0.008888,54.545738,0.051994,14.757422,,0.014312,
2010-02-15,15.1510,15.3201,15.1510,15.2721,9939077,0.009494,57.157723,0.079920,14.820528,,0.013519,
