date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,55.0000,55.0467,54.8653,55.0000,8161541,0.000000,,0.000000,,,,
2010-01-05,54.9244,55.4775,54.9244,55.2816,12400547,0.005120,,0.022463,,,,
2010-01-06,55.5344,55.5344,53.9614,54.4012,10755802,-0.015925,,-0.030422,,,,
2010-01-07,54.3324,55.3059,54.3324,55.0640,8132319,0.012182,,-0.018641,,,,
2010-01-08,55.0277,55.9610,55.0277,55.8955,11449950,0.015101,,0.057135,,,,
2010-01-11,55.7856,55.7856,53.8818,54.2258,7704793,-0.029873,,-0.017346,,,,
2010-01-12,54.1285,54.1285,52.8581,53.1375,5806643,-0.020070,,-0.162320,,,,
2010-01-13,52.9739,53.4500,52.9739,53.2603,8286953,0.002311,,-0.264256,,,,
2010-01-14,53.2432,53.2432,52.9080,53.0118,6875732,-0.004665,,-0.360927,,,,
2010-01-15,53.1795,53.1795,52.8375,53.0166,13763718,0.000089,,-0.432176,,,,
2010-01-18,52.9103,52.9103,52.1136,52.3223,7944773,-0.013095,,-0.538455,,,,
2010-01-19,52.3985,53.3814,52.3985,53.0665,14957586,0.014224,,-0.556218,,,,
2010-01-20,53.0214,54.1952,53.0214,53.7259,12825502,0.012425,,-0.511198,,,,
2010-01-21,53.5752,53.9072,53.5752,53.7918,11628455,0.001227,,-0.464840,,,,
2010-01-22,53.5580,55.0988,53.5580,54.7678,8704091,0.018143,,-0.345367,,,,
2010-01-25,54.6585,55.3113,54.6585,55.1731,11036848,0.007401,51.090702,-0.215492,,,,
2010-01-26,55.2623,55.2623,54.3540,54.4424,14360117,-0.013244,46.851794,-0.169572,,,,
2010-01-27,54.3848,55.0505,54.3848,54.7701,22865116,0.006019,48.899312,-0.105523,,,,
2010-01-28,55.0950,55.0950,53.8394,53.9643,9035740,-0.014712,44.372230,-0.118419,,,,
2010-01-29,53.9465,54.7746,53.9465,54.7380,20317344,0.014336,49.231936,-0.065458,54.152827,,0.013621,
2010-02-01,54.7508,54.9467,54.4837,54.7010,11109957,-0.000675,49.011716,-0.026165,54.137878,,0.013622,
2010-02-02,54.5734,54.6017,54.3540,54.5600,13140795,-0.002578,48.126926,-0.006332,54.101800,,0.013573,
2010-02-03,54.1789,54.1789,53.9243,54.0049,7956835,-0.010174,44.705542,-0.035001,54.081984,,0.013288,
2010-02-04,54.1231,55.2285,54.1231,55.0679,8947887,0.019684,51.775885,0.027736,54.082183,,0.013756,
2010-02-05,55.0102,55.2184,54.7080,54.9574,5823507,-0.002007,51.045217,0.067758,54.035280,,0.013298,
2010-02-08,54.9197,54.9197,54.5323,54.6010,15334054,-0.006486,48.659812,0.069908,54.054042,,0.011512,
2010-02-09,54.3720,54.6269,54.2045,54.3099,9532448,-0.005332,46.738494,0.047571,54.112662,,0.010565,
2010-02-10,54.1684,55.1655,54.1684,54.7808,12239536,0.008672,50.166334,0.067099,54.188690,,0.010697,
2010-02-11,54.8047,55.1740,54.7811,55.1116,9184061,0.006038,52.479313,0.108018,54.293678,,0.010642,
2010-02-12,54.9879,56.0087,54.9879,55.4827,7936707,0.006733,55.002702,0.168448,54.416982,,0.010683,
2010-02-15,55.5317,56.0056,55.4770,55.8757,10138639,0.007083,57.572288,0.245224,54.594650,,0.010085,
2010-02-16,55.8696,58.1191,55.8696,57.8014,17846565,0.034465,67.397128,0.456202,54.831393,,0.012058,
2010-02-17,57.8606,57.8606,57.1583,57.4448,12270871,-0.006169,64.422398,0.587854,55.017340,,0.012119,
2010-02-18,57.1622,57.1622,56.6047,56.9959,9475225,-0.007816,60.784501,0.648487,55.177541,,0.012371,
2010-02-19,57.0372,57.0372,56.0694,56.2821,13545840,-0.012523,55.426000,0.631663,55.253257,,0.012292,
2010-02-22,56.0153,57.0427,56.0153,56.8414,9154561,0.009937,58.512193,0.655897,55.336669,,0.012369,
2010-02-23,56.9053,58.2113,56.9053,57.8814,11679928,0.018297,63.564347,0.750373,55.508615,,0.012393,
2010-02-24,57.7240,57.8583,57.5108,57.7946,6639876,-0.001499,62.876413,0.808920,55.659840,,0.012415,
2010-02-25,57.7602,57.7602,56.8463,57.0448,18085993,-0.012974,57.123046,0.785758,55.813864,,0.012292,
2010-02-26,57.0888,57.0888,56.1863,56.3265,8732864,-0.012593,52.195386,0.701352,55.893288,,0.012441,
2010-03-01,56.5276,57.1659,56.5276,56.9213,20419004,0.010560,55.609925,0.674678,56.004299,,0.012590,
2010-03-02,57.0761,57.7725,57.0761,57.5998,7458428,0.011921,59.191131,0.700222,56.156290,,0.012726,
2010-03-03,57.5743,58.4395,57.5743,58.1060,14288137,0.008788,61.675057,0.752636,56.361346,,0.012411,
2010-03-04,58.2112,58.2112,57.4415,57.5160,9824403,-0.010155,57.297079,0.738054,56.483747,,0.012185,
2010-03-05,57.4805,57.9249,57.4805,57.7403,8466402,0.003901,58.503298,0.736117,56.622891,,0.012148,
2010-03-08,57.8501,58.0743,57.7444,57.8637,10839823,0.002136,59.185796,0.736049,56.786025,,0.011963,
2010-03-09,58.0017,58.2565,57.8743,58.0838,11560048,0.003804,60.436462,0.745168,56.974722,,0.011802,
2010-03-10,57.9311,58.9737,57.9311,58.8914,15208697,0.013905,64.709283,0.808247,57.180251,,0.011981,
2010-03-11,59.0026,59.7812,58.8528,59.1117,12593730,0.003740,65.794147,0.866026,57.380256,,0.011968,
2010-03-12,59.2004,59.9351,59.2004,59.7681,11784077,0.011105,68.866349,0.953791,57.594529,55.650488,0.012069,
2010-03-15,59.9816,60.0388,59.7220,59.8448,14434889,0.001282,69.214033,1.017798,57.792984,55.747384,0.012055,
2010-03-16,59.6584,60.1426,59.6584,60.1351,7766333,0.004851,70.555225,1.079505,57.909668,55.844453,0.009626,
