date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,40.0000,40.2433,39.8005,40.0000,14789745,0.000000,,0.000000,,,,
2010-01-05,40.0038,40.3554,39.3088,40.1024,9350810,0.002560,,0.008168,,,,
2010-01-06,39.9853,40.2111,39.4085,39.6051,16004278,-0.012402,,-0.025199,,,,
2010-01-07,39.6153,39.6153,39.2366,39.5528,11819377,-0.001320,,-0.055226,,,,
2010-01-08,39.6161,39.6161,38.6103,38.9497,19081264,-0.015246,,-0.126228,,,,
2010-01-11,39.2054,39.2801,38.4881,38.9330,10132839,-0.000429,,-0.181751,,,,
2010-01-12,39.2047,39.2047,38.5647,38.6270,6528794,-0.007859,,-0.247589,,,,
2010-01-13,38.8725,39.3852,38.5138,38.9910,14080503,0.009422,,-0.267317,,,,
2010-01-14,38.8221,38.8221,37.9349,38.2058,10619938,-0.020136,,-0.342359,,,,
2010-01-15,38.4832,38.7228,38.4832,38.6775,7050397,0.012345,,-0.359626,,,,
2010-01-18,38.8403,38.9654,37.7860,38.5829,8079223,-0.002445,,-0.376600,,,,
2010-01-19,38.6860,39.8567,38.6860,39.4328,9791539,0.022028,,-0.317810,,,,
2010-01-20,39.4863,40.2894,39.4863,40.2249,10173760,0.020087,,-0.204940,,,,
2010-01-21,40.2118,41.1411,40.2118,41.0840,8184141,0.021358,,-0.045640,,,,
2010-01-22,40.8995,41.1728,40.0941,40.8758,9571952,-0.005068,,0.063077,,,,
2010-01-25,40.7749,41.4450,40.7749,41.2626,9467201,0.009462,60.066681,0.178390,,,,
2010-01-26,41.6103,41.6103,40.6985,40.7294,6773186,-0.012921,54.788973,0.224172,,,,
2010-01-27,40.8315,40.8315,40.4428,40.7009,13874480,-0.000702,54.512330,0.255205,,,,
2010-01-28,41.1142,41.1142,40.5960,40.7203,11186640,0.000478,54.679984,0.278162,,,,
2010-01-29,40.5116,41.9231,40.5116,41.7864,13643759,0.026181,62.777179,0.378025,39.852220,,0.013217,
2010-02-01,41.7564,41.7564,40.7993,41.0553,10149266,-0.017497,55.459295,0.393635,39.904985,,0.013935,
2010-02-02,41.1281,41.8584,41.0667,41.1850,10346621,0.003158,56.429306,0.411722,39.959113,,0.013938,
2010-02-03,41.2423,42.0198,41.2423,41.8105,10105241,0.015188,60.858151,0.471100,40.069385,,0.013863,
2010-02-04,42.0532,43.6850,42.0532,43.6312,13531039,0.043546,70.315944,0.657491,40.273305,,0.016533,
2010-02-05,43.4508,44.5181,43.4508,44.3193,9643941,0.015771,72.973856,0.850923,40.541782,,0.015975,
2010-02-08,44.0780,44.4892,44.0780,44.1832,18066016,-0.003071,71.608129,0.981918,40.804290,,0.016047,
2010-02-09,44.0610,44.8239,44.0610,44.6918,14663535,0.011512,73.596941,1.113935,41.107529,,0.015718,
