date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,20.0000,20.1164,19.7609,20.0000,12129938,0.000000,,0.000000,,,,
2010-01-05,20.1820,20.1820,19.7822,19.8599,9115475,-0.007003,,-0.011172,,,,
2010-01-06,19.8709,19.8709,19.7231,19.7920,13851467,-0.003421,,-0.025218,,,,
2010-01-07,19.8466,19.8466,19.5596,19.6916,6636806,-0.005073,,-0.043945,,,,
2010-01-08,19.6409,20.0638,19.6409,19.9346,7187426,0.012342,,-0.038729,,,,
2010-01-11,19.8948,19.8948,19.6147,19.7026,7854633,-0.011640,,-0.052711,,,,
2010-01-12,19.6894,19.6894,19.5053,19.5414,14224683,-0.008183,,-0.075927,,,,
2010-01-13,19.4818,19.8924,19.4818,19.7711,11534129,0.011758,,-0.074921,,,,
2010-01-14,19.7463,19.7867,19.6190,19.7215,10653607,-0.002511,,-0.077240,,,,
2010-01-15,19.5743,19.9642,19.5743,19.9392,8096126,0.011037,,-0.060812,,,,
2010-01-18,19.9389,19.9389,19.3878,19.5489,8884232,-0.019574,,-0.078383,,,,
2010-01-19,19.3471,19.7170,19.3471,19.7055,11239651,0.008011,,-0.078764,,,,
2010-01-20,19.6732,20.0164,19.6732,19.8777,15014483,0.008742,,-0.064423,,,,
2010-01-21,20.1362,20.2051,20.1017,20.1391,9469851,0.013148,,-0.031604,,,,
2010-01-22,20.0324,20.2208,20.0324,20.1894,7186541,0.002496,,-0.001521,,,,
2010-01-25,20.2262,20.3438,20.2262,20.3208,11638267,0.006510,56.328931,0.032550,,,,
2010-01-26,20.4619,20.4619,20.2178,20.2881,8515358,-0.001606,55.524817,0.056269,,,,
2010-01-27,20.1039,20.2467,20.1039,20.1979,5263549,-0.004449,53.260518,0.067010,,,,
2010-01-28,20.1738,20.1738,19.7616,19.9462,10709426,-0.012458,47.451611,0.054589,,,,
2010-01-29,20.0076,20.3255,20.0076,20.2590,7282107,0.015679,54.145628,0.069183,19.921321,,0.009912,
2010-02-01,20.2617,20.4381,20.2617,20.4095,14254693,0.007430,56.985695,0.091837,19.941797,,0.010024,
2010-02-02,20.4478,20.4478,20.3422,20.3478,6540104,-0.003022,55.469510,0.103618,19.966190,,0.009894,
2010-02-03,20.3198,20.3752,20.2438,20.2543,13758039,-0.004594,53.161123,0.104211,19.989308,,0.009926,
2010-02-04,20.3258,20.6650,20.3258,20.6199,10017576,0.018048,60.145970,0.132648,20.035723,,0.010488,
2010-02-05,20.6655,20.9009,20.6239,20.6749,14991718,0.002669,61.086884,0.157807,20.072738,,0.010223,
2010-02-08,20.7832,20.7832,20.3517,20.4924,11229183,-0.008827,56.337386,0.161162,20.112230,,0.010045,
2010-02-09,20.5239,20.5696,20.2948,20.5465,16716573,0.002638,57.394053,0.166266,20.162487,,0.009754,
2010-02-10,20.4509,20.6674,20.4509,20.6623,8431410,0.005637,59.647582,0.177610,20.207046,,0.009543,
2010-02-11,20.5665,20.8846,20.5665,20.7264,10424233,0.003099,60.879398,0.189581,20.257289,,0.009478,
