date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,85.0000,85.0949,84.8052,85.0000,749179,0.000000,,0.000000,,,,
2010-01-05,85.0570,85.1079,85.0038,85.1033,559505,0.001215,,0.008241,,,,
2010-01-06,85.1290,85.1290,84.7595,84.8353,962153,-0.003149,,-0.006778,,,,
2010-01-07,84.9274,85.0823,84.9274,85.0414,1198493,0.002430,,-0.002024,,,,
2010-01-08,85.0826,85.3176,85.0826,85.2944,802510,0.002975,,0.021908,,,,
2010-01-11,85.2710,85.2710,84.7603,84.7989,1209741,-0.005810,,0.000875,,,,
2010-01-12,84.7625,84.7625,84.4415,84.4581,982108,-0.004019,,-0.042797,,,,
2010-01-13,84.4418,84.6034,84.3779,84.4894,683538,0.000370,,-0.074031,,,,
2010-01-14,84.4758,84.4758,84.2863,84.4140,1271168,-0.000892,,-0.103671,,,,
2010-01-15,84.4955,84.4955,84.2560,84.4176,1295620,0.000042,,-0.125426,,,,
2010-01-18,84.4370,84.4370,84.0694,84.2042,1094810,-0.002528,,-0.158063,,,,
2010-01-19,84.2622,84.4735,84.2622,84.4576,1120194,0.003009,,-0.161618,,,,
2010-01-20,84.5304,84.8880,84.5304,84.6739,1068509,0.002562,,-0.145303,,,,
2010-01-21,84.7294,84.7526,84.6685,84.7003,534991,0.000312,,-0.128759,,,,
2010-01-22,84.7184,85.0106,84.7184,85.0013,1106765,0.003553,,-0.090323,,,,
2010-01-25,84.9392,85.1619,84.9392,85.1220,1038183,0.001420,52.249318,-0.049552,,,,
2010-01-26,85.1306,85.1306,84.7606,84.9058,1772249,-0.002540,48.113960,-0.034292,,,,
2010-01-27,84.8669,85.0746,84.8669,85.0225,1522774,0.001375,50.397337,-0.012630,,,,
2010-01-28,85.0377,85.0377,84.7369,84.7798,1072239,-0.002855,45.877704,-0.014878,,,,
2010-01-29,84.7173,85.0433,84.7173,85.0136,1043388,0.002758,50.483672,0.002180,84.786658,,0.002693,
2010-02-01,85.0226,85.0226,84.9070,85.0141,794355,0.000006,50.493896,0.015561,84.787363,,0.002693,
2010-02-02,85.0414,85.1003,84.9396,84.9944,1486787,-0.000231,50.077993,0.024299,84.781920,,0.002679,
2010-02-03,84.9752,84.9752,84.6613,84.8208,1212007,-0.002043,46.442667,0.017016,84.781195,,0.002622,
2010-02-04,84.7937,85.1681,84.7937,85.1529,1282322,0.003915,53.409366,0.037610,84.786770,,0.002714,
2010-02-05,85.1612,85.2660,84.9520,85.1134,735447,-0.000463,52.534778,0.050167,84.777720,,0.002628,
2010-02-08,85.1146,85.1146,84.9022,85.0042,947267,-0.001283,50.090856,0.050723,84.787990,,0.002283,
2010-02-09,84.9626,84.9829,84.8365,84.9272,1326880,-0.000906,48.380717,0.044435,84.811445,,0.002083,
2010-02-10,84.9419,85.1703,84.9419,85.0773,1209268,0.001767,51.830427,0.050973,84.840840,,0.002110,
2010-02-11,85.0951,85.2422,85.0951,85.1908,682145,0.001335,54.317916,0.064571,84.879681,,0.002099,
2010-02-12,85.2483,85.4063,85.2280,85.2832,1329728,0.001085,56.296400,0.081863,84.922964,,0.002102,
2010-02-15,85.2258,85.4196,85.2258,85.3885,1020464,0.001235,58.501814,0.102878,84.982182,,0.001980,
2010-02-16,85.3789,86.0554,85.3789,85.9669,967216,0.006774,68.040665,0.164309,85.057648,,0.002354,
2010-02-17,85.9685,85.9685,85.8578,85.8584,924512,-0.001262,65.021693,0.201913,85.116874,,0.002367,
2010-02-18,85.8356,85.8356,85.6726,85.7245,771818,-0.001559,61.400551,0.218392,85.168084,,0.002419,
2010-02-19,85.7336,85.7336,85.3873,85.5076,803390,-0.002530,55.963415,0.211512,85.193403,,0.002411,
2010-02-22,85.4955,85.7385,85.4955,85.6977,842174,0.002222,59.358949,0.218870,85.222188,,0.002437,
2010-02-23,85.7614,86.0259,85.7614,86.0199,990549,0.003760,64.375335,0.247847,85.277896,,0.002453,
2010-02-24,86.0040,86.0226,85.9661,85.9996,924205,-0.000237,63.839475,0.266101,85.326748,,0.002454,
2010-02-25,86.0469,86.0469,85.6912,85.7811,1004617,-0.002540,58.234628,0.259943,85.376813,,0.002432,
2010-02-26,85.8499,85.8499,85.5245,85.5657,866704,-0.002511,53.268534,0.234971,85.404418,,0.002470,
2010-03-01,85.5983,85.8093,85.5983,85.7382,782199,0.002016,56.469411,0.226488,85.440620,,0.002497,
2010-03-02,85.7645,86.0145,85.7645,85.9478,1152698,0.002445,60.051107,0.233984,85.488288,,0.002531,
2010-03-03,85.9687,86.1180,85.9687,86.0955,780450,0.001718,62.398018,0.248970,85.552022,,0.002467,
2010-03-04,86.1825,86.1825,85.8699,85.9307,843088,-0.001913,58.284333,0.244733,85.590913,,0.002417,
2010-03-05,85.9398,86.2001,85.8838,86.0031,909647,0.000843,59.546993,0.244401,85.635398,,0.002408,
2010-03-08,86.0916,86.0916,85.9491,86.0416,1222407,0.000448,60.235952,0.244427,85.687269,,0.002371,
2010-03-09,86.1014,86.1262,85.9819,86.1145,1357362,0.000847,61.569686,0.247473,85.746633,,0.002344,
2010-03-10,86.0874,86.5011,86.0874,86.3663,1076108,0.002924,65.835547,0.267125,85.811084,,0.002385,
2010-03-11,86.4215,86.4824,86.3706,86.4263,983283,0.000695,66.781590,0.284263,85.872857,,0.002382,
2010-03-12,86.4678,86.6783,86.4678,86.6343,736466,0.002407,69.895200,0.311047,85.940411,85.302395,0.002410,
2010-03-15,86.6361,86.7024,86.6258,86.6599,941445,0.000296,70.265034,0.330532,86.003982,85.335594,0.002410,
2010-03-16,86.6624,86.7696,86.6624,86.7456,1447119,0.000988,71.523598,0.348863,86.042915,85.368440,0.001952,
2010-03-17,86.6842,86.9736,86.6842,86.9186,955490,0.001995,73.925325,0.373054,86.095925,85.410107,0.001937,
2010-03-18,86.9272,86.9272,86.5462,86.5464,1509545,-0.004283,61.842377,0.358060,86.137017,85.440207,0.002179,
2010-03-19,86.6561,86.6561,86.4424,86.4498,719883,-0.001116,59.141897,0.334529,86.184126,85.463315,0.002097,
2010-03-22,86.4715,86.4715,86.2970,86.3565,533557,-0.001080,56.570841,0.304835,86.217067,85.494467,0.002089,
2010-03-23,86.3329,86.3329,86.1064,86.1890,903244,-0.001939,52.186678,0.264738,86.225523,85.529086,0.001991,
2010-03-24,86.1960,86.1960,86.0698,86.1219,1061256,-0.000778,50.498699,0.224956,86.231642,85.561738,0.001999,
2010-03-25,86.0796,86.6195,86.0796,86.5335,1365459,0.004779,59.215854,0.224054,86.269263,85.604128,0.002159,
2010-03-26,86.6193,86.6193,86.2892,86.3273,567461,-0.002383,54.078058,0.204347,86.307346,85.642323,0.002150,0.998933
2010-03-29,86.3350,86.7023,86.3350,86.5928,1151736,0.003075,59.009305,0.207755,86.350077,85.690095,0.002203,0.998955
2010-03-30,86.5963,86.5963,86.0620,86.1512,641663,-0.005100,49.488596,0.172829,86.360246,85.723967,0.002481,0.999070
2010-03-31,86.0684,86.0857,85.9584,86.0717,1186503,-0.000923,47.987368,0.137153,86.359057,85.751922,0.002461,0.999046
2010-04-01,86.0402,86.1344,86.0402,86.1182,565429,0.000541,48.963424,0.111352,86.368431,85.780280,0.002422,0.999029
2010-04-02,86.1544,86.2927,86.1544,86.2893,1490524,0.001987,52.492356,0.103516,86.382739,85.806040,0.002454,0.999015
2010-04-05,86.3293,86.6070,86.3293,86.4868,956433,0.002289,56.253603,0.111956,86.404999,85.833338,0.002499,0.998925
2010-04-06,86.4668,86.7258,86.4668,86.6918,816113,0.002369,59.808236,0.133639,86.433863,85.869058,0.002541,0.998826
2010-04-07,86.6355,86.7630,86.5645,86.6077,1592266,-0.000970,57.735573,0.142398,86.445933,85.900761,0.002480,0.998857
2010-04-08,86.5531,86.5531,86.4525,86.5079,661119,-0.001152,55.286127,0.139677,86.450015,85.935323,0.002493,0.998810
2010-04-09,86.5618,86.8003,86.5618,86.7558,783212,0.002866,59.844483,0.155733,86.456092,85.970169,0.002518,0.998817
