date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,17.0000,17.1252,16.9036,17.0000,1170292,0.000000,,0.000000,,,,
2010-01-05,17.0331,17.0331,16.7914,16.8416,1376915,-0.009317,,-0.012635,,,,
2010-01-06,16.7231,16.9777,16.7231,16.8858,721409,0.002623,,-0.018866,,,,
2010-01-07,16.7969,17.2209,16.7969,17.1268,1203867,0.014271,,-0.004309,,,,
2010-01-08,17.0807,17.2097,17.0807,17.1996,793253,0.004251,,0.012952,,,,
2010-01-11,17.1101,17.1101,16.7822,16.7989,1055224,-0.023293,,-0.005631,,,,
2010-01-12,16.7364,16.8485,16.6902,16.8089,861754,0.000591,,-0.019333,,,,
2010-01-13,16.7425,16.9178,16.7425,16.8486,995082,0.002362,,-0.026681,,,,
2010-01-14,16.8239,16.9590,16.7728,16.7934,1348182,-0.003278,,-0.036540,,,,
2010-01-15,16.7841,17.0431,16.6765,16.8010,869324,0.000458,,-0.043234,,,,
2010-01-18,16.9145,16.9145,16.4075,16.4231,1244838,-0.022497,,-0.078138,,,,
2010-01-19,16.4337,16.7406,16.4337,16.6204,1497056,0.012016,,-0.088851,,,,
2010-01-20,16.5622,16.6207,16.5622,16.6188,1463755,-0.000096,,-0.096360,,,,
2010-01-21,16.6558,16.6615,16.5744,16.6040,548364,-0.000888,,-0.102322,,,,
2010-01-22,16.6081,16.7596,16.6081,16.7385,686485,0.008095,,-0.095105,,,,
2010-01-25,16.6926,16.9905,16.6926,16.9854,1249652,0.014755,50.109787,-0.068665,,,,
2010-01-26,17.0093,17.0093,16.9169,16.9454,780589,-0.002356,48.985133,-0.050360,,,,
2010-01-27,16.9597,17.1475,16.9597,17.1100,820945,0.009710,53.596357,-0.022319,,,,
2010-01-28,17.0891,17.0891,16.8552,16.8847,1124963,-0.013166,47.293261,-0.018065,,,,
2010-01-29,16.9127,17.0483,16.9127,17.0258,952358,0.008360,51.168312,-0.003267,16.853033,,0.010643,
2010-02-01,17.1060,17.1060,16.8766,16.9753,1016197,-0.002969,49.757275,0.004331,16.851797,,0.010665,
2010-02-02,17.0010,17.0010,16.6899,16.7331,917001,-0.014267,43.560233,-0.009084,16.846371,,0.010946,
2010-02-03,16.7729,16.7729,16.4059,16.4765,1707299,-0.015334,38.140440,-0.039960,16.825908,,0.011423,
2010-02-04,16.4837,16.6673,16.4837,16.5600,728438,0.005069,40.725932,-0.057031,16.797572,,0.010944,
2010-02-05,16.5094,16.5094,16.1551,16.3586,746723,-0.012162,36.738555,-0.085823,16.755525,,0.011094,
2010-02-08,16.3773,16.3915,16.2993,16.3320,845935,-0.001626,36.233923,-0.109524,16.732180,,0.009950,
2010-02-09,16.2937,16.4619,16.2443,16.3682,1041013,0.002212,37.489732,-0.123964,16.710144,,0.009974,
2010-02-10,16.3662,16.6262,16.3662,16.5901,923811,0.013561,44.696009,-0.116157,16.697222,,0.010490,
2010-02-11,16.5126,16.7733,16.5126,16.7683,1386551,0.010740,49.707822,-0.094503,16.695970,,0.010774,
2010-02-12,16.8048,16.9017,16.8048,16.8698,1401419,0.006053,52.356355,-0.068365,16.699408,,0.010860,
2010-02-15,16.8813,16.8813,16.6723,16.8025,1156351,-0.003990,50.458216,-0.052477,16.718379,,0.009525,
2010-02-16,16.7534,17.0713,16.7534,17.0555,818888,0.015060,56.798349,-0.019246,16.740135,,0.009729,
2010-02-17,17.0633,17.2244,17.0538,17.0967,789630,0.002414,57.745873,0.010293,16.764029,,0.009726,
2010-02-18,17.0831,17.1102,16.8692,16.9619,734554,-0.007885,53.600369,0.022565,16.781921,,0.009939,
2010-02-19,16.9798,16.9798,16.5404,16.6154,1284590,-0.020430,44.714554,0.004279,16.775766,,0.010886,
2010-02-22,16.6545,16.6545,16.4710,16.5442,978170,-0.004284,43.132642,-0.015775,16.753702,,0.010316,
2010-02-23,16.6201,16.9349,16.6201,16.8766,810249,0.020092,51.721736,-0.004790,16.750260,,0.011360,
2010-02-24,16.8646,16.9238,16.7228,16.8103,1362742,-0.003926,50.097713,-0.001413,16.735279,,0.011144,
2010-02-25,16.8272,16.8272,16.7061,16.7143,1791490,-0.005714,47.756257,-0.006415,16.726758,,0.010830,
2010-02-26,16.7152,16.7619,16.6767,16.7440,991858,0.001781,48.558596,-0.007885,16.712669,,0.010647,
2010-03-01,16.7974,17.0379,16.7974,16.9498,1287018,0.012290,53.836683,0.007468,16.711396,,0.011022,
2010-03-02,16.8764,17.0456,16.8764,16.9257,653263,-0.001420,53.149778,0.017491,16.721028,,0.010510,
2010-03-03,16.8105,17.0986,16.8105,17.0745,1427865,0.008791,56.817976,0.037015,16.750930,,0.009952,
2010-03-04,17.1494,17.1494,16.9663,17.0321,1315306,-0.002489,55.482000,0.048499,16.774530,,0.009966,
2010-03-05,17.0678,17.0754,16.8876,16.9173,937467,-0.006736,51.931762,0.047793,16.802465,,0.009644,
2010-03-08,16.8936,16.8937,16.8572,16.8773,1147631,-0.002364,50.713689,0.043506,16.829730,,0.009659,
2010-03-09,16.9212,16.9212,16.7427,16.7837,1709613,-0.005547,47.881965,0.032183,16.850508,,0.009792,
2010-03-10,16.7720,16.9489,16.7720,16.8752,811250,0.005450,50.774335,0.030242,16.864762,,0.009418,
2010-03-11,16.9034,16.9768,16.9034,16.9471,1159032,0.004260,52.982600,0.034111,16.873701,,0.009170,
2010-03-12,16.8252,17.0621,16.8252,16.9400,1177577,-0.000417,52.731986,0.036190,16.877212,16.812739,0.009080,
2010-03-15,16.9867,16.9867,16.7922,16.9313,840543,-0.000515,52.402406,0.036709,16.883652,16.811365,0.009028,
2010-03-16,16.9012,17.0580,16.9012,17.0086,639661,0.004568,55.080745,0.042868,16.881308,16.814705,0.008416,
2010-03-17,16.9881,17.0148,16.8807,17.0094,1055443,0.000047,55.109037,0.047269,16.876945,16.817178,0.008396,
2010-03-18,17.0311,17.0311,16.6883,16.8027,1004550,-0.012155,46.927793,0.033685,16.868985,16.810696,0.008651,
2010-03-19,16.8052,16.8052,16.5209,16.5757,1096704,-0.013506,39.922163,0.004555,16.867004,16.798220,0.007916,
2010-03-22,16.5290,16.7826,16.5290,16.7798,710538,0.012312,47.510756,-0.002040,16.878787,16.797837,0.008313,
2010-03-23,16.7685,16.8133,16.7685,16.8077,824354,0.001659,48.466888,-0.004963,16.875341,16.797813,0.006968,
2010-03-24,16.7519,16.9588,16.7519,16.9027,1106142,0.005656,51.702546,0.000387,16.879961,16.798896,0.007026,
2010-03-25,16.9009,17.2447,16.9009,17.1541,1464508,0.014873,59.028967,0.024628,16.901953,16.806111,0.007585,
2010-03-26,17.1254,17.1414,16.9157,17.0312,470474,-0.007167,54.661779,0.033532,16.916310,16.810714,0.007817,0.665153
2010-03-29,17.0394,17.4082,17.0394,17.3115,1057997,0.016462,61.632540,0.062492,16.934395,16.828483,0.008185,0.674661
2010-03-30,17.3028,17.3028,17.0008,17.0040,794643,-0.017767,52.157986,0.059932,16.938306,16.836154,0.009201,0.705503
2010-03-31,16.9593,16.9593,16.6748,16.8302,1207021,-0.010218,47.697649,0.043384,16.926089,16.840382,0.009257,0.722526
2010-04-01,16.9099,16.9099,16.6556,16.7133,771839,-0.006948,44.913632,0.020596,16.910150,16.842567,0.009356,0.713721
2010-04-02,16.6997,16.6997,16.5536,16.6150,857745,-0.005877,42.661103,-0.005328,16.895036,16.840098,0.009329,0.702784
2010-04-05,16.5542,16.7852,16.5542,16.7570,1257011,0.008546,46.813643,-0.014252,16.889020,16.835530,0.009553,0.675556
