date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0760,24.9267,25.0000,17565890,0.000000,,0.000000,,,,
2010-01-05,25.0309,25.2619,25.0309,25.1341,8294188,0.005366,,0.010701,,,,
2010-01-06,25.0215,25.0215,24.5790,24.6958,14632517,-0.017441,,-0.016007,,,,
2010-01-07,24.7695,25.1555,24.7695,25.0170,10212293,0.013008,,-0.011124,,,,
2010-01-08,25.0255,25.5279,25.0255,25.4240,12345201,0.016269,,0.025296,,,,
2010-01-11,25.4448,25.4448,24.5747,24.6097,9655060,-0.032031,,-0.011420,,,,
2010-01-12,24.6503,24.6503,24.0061,24.0801,10606884,-0.021520,,-0.082303,,,,
2010-01-13,24.0152,24.2213,24.0152,24.1400,11178325,0.002489,,-0.132119,,,,
2010-01-14,24.1115,24.1817,24.0105,24.0122,15033180,-0.005295,,-0.179840,,,,
2010-01-15,23.9842,24.1904,23.9428,24.0138,10312476,0.000069,,-0.215047,,,,
2010-01-18,23.9586,23.9586,23.6081,23.6805,7358800,-0.013881,,-0.266771,,,,
2010-01-19,23.7282,24.1736,23.7282,24.0424,12859811,0.015281,,-0.275389,,,,
2010-01-20,24.0897,24.4125,24.0897,24.3640,13825265,0.013379,,-0.253344,,,,
2010-01-21,24.3440,24.4907,24.3440,24.3970,15825886,0.001353,,-0.230555,,,,
2010-01-22,24.3593,25.0155,24.3593,24.8762,9904032,0.019644,,-0.171841,,,,
2010-01-25,24.9106,25.1000,24.9106,25.0830,9727904,0.008313,51.078601,-0.107387,,,,
2010-01-26,25.0474,25.0474,24.6844,24.7270,12258520,-0.014192,46.859901,-0.084062,,,,
2010-01-27,24.8484,24.9947,24.8484,24.8888,7230534,0.006542,48.924195,-0.051926,,,,
2010-01-28,24.8766,24.8766,24.4269,24.4966,9135671,-0.015757,44.418946,-0.057441,,,,
2010-01-29,24.4748,24.9102,24.4748,24.8718,12234760,0.015316,49.235149,-0.031178,24.577701,,0.014652,
2010-02-01,24.7901,24.8883,24.6224,24.8589,6922260,-0.000518,49.077759,-0.011276,24.570646,,0.014652,
2010-02-02,24.9092,24.9210,24.6180,24.7891,8693327,-0.002809,48.179528,-0.001124,24.553393,,0.014603,
2010-02-03,24.8159,24.8159,24.3421,24.5058,10500270,-0.011427,44.612382,-0.015753,24.543895,,0.014296,
2010-02-04,24.5530,25.0364,24.5530,25.0288,12943022,0.021340,51.719334,0.014680,24.544483,,0.014816,
2010-02-05,24.9815,25.0501,24.9243,24.9729,13270326,-0.002232,50.966880,0.033900,24.521927,,0.014325,
2010-02-08,24.9970,24.9970,24.6450,24.8014,5343289,-0.006866,48.628669,0.034894,24.531515,,0.012415,
2010-02-09,24.8386,24.8386,24.6273,24.6597,15193298,-0.005712,46.721340,0.023973,24.560499,,0.011404,
2010-02-10,24.6603,25.0726,24.6603,24.8848,9703757,0.009125,50.070898,0.033094,24.597737,,0.011537,
2010-02-11,24.8757,25.1091,24.8757,25.0437,9634510,0.006386,52.349206,0.052539,24.649312,,0.011466,
2010-02-12,24.9945,25.3431,24.9945,25.2312,14074261,0.007487,54.960893,0.082133,24.710180,,0.011515,
2010-02-15,25.2994,25.4705,25.2994,25.4210,14317514,0.007523,57.500334,0.119526,24.797205,,0.010886,
2010-02-16,25.3571,26.4370,25.3571,26.3608,10551608,0.036970,67.323764,0.222432,24.913129,,0.012987,
2010-02-17,26.2276,26.2697,26.1720,26.1863,11109174,-0.006620,64.349331,0.286599,25.004244,,0.013053,
2010-02-18,26.0756,26.0955,25.8994,25.9650,9496296,-0.008452,60.687440,0.315951,25.082645,,0.013327,
2010-02-19,26.0202,26.0202,25.5634,25.6158,13499390,-0.013448,55.337072,0.307493,25.119623,,0.013232,
2010-02-22,25.6202,25.9097,25.6202,25.8906,6961374,0.010728,58.442320,0.319283,25.160003,,0.013308,
2010-02-23,25.8685,26.5282,25.8685,26.3957,13899456,0.019510,63.469883,0.365177,25.243438,,0.013328,
2010-02-24,26.5026,26.5026,26.2864,26.3488,6554627,-0.001780,62.710084,0.393225,25.316436,,0.013353,
2010-02-25,26.3491,26.3491,25.9478,25.9864,8912859,-0.013753,57.037612,0.381810,25.390924,,0.013212,
2010-02-26,25.9653,25.9653,25.6217,25.6341,19823154,-0.013555,52.103809,0.340416,25.429041,,0.013376,
2010-03-01,25.7102,26.0055,25.7102,25.9240,27143463,0.011308,55.513899,0.327229,25.482295,,0.013538,
2010-03-02,25.7749,26.3134,25.7749,26.2619,8265632,0.013033,59.163519,0.340120,25.555933,,0.013693,
2010-03-03,26.2605,26.5093,26.2605,26.5075,11590857,0.009352,61.628009,0.365936,25.656016,,0.013326,
2010-03-04,26.6661,26.6661,26.0739,26.2190,20790995,-0.010882,57.257714,0.358983,25.715529,,0.013067,
2010-03-05,26.2788,26.5045,26.2660,26.3304,9048096,0.004247,58.481849,0.358328,25.783403,,0.013026,
2010-03-08,26.3368,26.4153,26.3368,26.3940,15808241,0.002416,59.200637,0.358805,25.863031,,0.012830,
