date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,90.0000,90.0296,89.9575,90.0000,457502,0.000000,,0.000000,,,,
2010-01-05,89.9679,89.9679,89.8279,89.8728,722677,-0.001414,,-0.010150,,,,
2010-01-06,89.8509,90.0830,89.8509,89.9086,840535,0.000398,,-0.015131,,,,
2010-01-07,89.9349,89.9349,89.4454,89.5680,1060253,-0.003788,,-0.046031,,,,
2010-01-08,89.5215,89.5215,89.3538,89.3967,1004276,-0.001912,,-0.083381,,,,
2010-01-11,89.3661,89.7162,89.3661,89.6095,1117855,0.002381,,-0.094712,,,,
2010-01-12,89.6579,89.7940,89.5330,89.6235,991537,0.000156,,-0.101398,,,,
2010-01-13,89.6950,89.6950,89.4524,89.5555,716595,-0.000758,,-0.110903,,,,
2010-01-14,89.5873,89.8938,89.5873,89.7604,2047256,0.002288,,-0.100741,,,,
2010-01-15,89.7014,89.8864,89.7014,89.8544,1198515,0.001047,,-0.084132,,,,
2010-01-18,89.9103,89.9585,89.8536,89.8568,1419464,0.000027,,-0.069971,,,,
2010-01-19,89.8516,89.8875,89.7649,89.8466,1628885,-0.000113,,-0.058888,,,,
2010-01-20,89.8338,89.8338,89.7121,89.7531,1017089,-0.001041,,-0.056998,,,,
2010-01-21,89.6978,89.9037,89.6978,89.7829,552802,0.000332,,-0.052489,,,,
2010-01-22,89.7491,89.7491,89.5438,89.5478,1223647,-0.002618,,-0.067111,,,,
2010-01-25,89.6551,89.7861,89.6435,89.6838,725785,0.001518,41.439920,-0.066957,,,,
2010-01-26,89.6767,89.7191,89.6767,89.6964,1161409,0.000141,41.917158,-0.065064,,,,
2010-01-27,89.7009,89.7009,89.4955,89.5566,829468,-0.001559,38.210294,-0.073996,,,,
2010-01-28,89.4631,89.6439,89.3938,89.5331,1197188,-0.000262,37.609432,-0.082023,,,,
2010-01-29,89.6291,89.6291,89.1214,89.2447,838398,-0.003221,31.129993,-0.110382,89.682554,,0.001662,
2010-02-01,89.1960,89.4045,89.1960,89.3469,1038653,0.001145,35.378093,-0.123192,89.649899,,0.001697,
2010-02-02,89.4259,89.4287,89.3029,89.3403,985922,-0.000074,35.227162,-0.132350,89.623275,,0.001680,
2010-02-03,89.3956,89.3956,89.1620,89.1902,985325,-0.001681,31.889245,-0.149994,89.587355,,0.001699,
2010-02-04,89.1182,89.1182,88.6560,88.6878,807472,-0.005633,23.772366,-0.202186,89.543344,,0.001927,
2010-02-05,88.7905,88.9429,88.7730,88.8356,1197723,0.001667,29.460884,-0.228983,89.515289,,0.001954,
2010-02-08,88.8478,89.0771,88.8478,88.9576,1157050,0.001374,33.850604,-0.237631,89.482692,,0.001893,
2010-02-09,88.9591,88.9591,88.8153,88.8325,1387430,-0.001406,31.674780,-0.251679,89.443143,,0.001903,
2010-02-10,88.7650,89.0014,88.7650,88.8922,1193335,0.000672,33.860344,-0.255053,89.409979,,0.001917,
2010-02-11,88.9494,88.9494,88.7373,88.7734,1126378,-0.001337,31.687720,-0.264271,89.360627,,0.001821,
2010-02-12,88.8018,88.8884,88.7748,88.8834,752186,0.001239,35.793875,-0.259706,89.312075,,0.001831,
2010-02-15,88.8983,88.9262,88.6848,88.7321,1769066,-0.001701,32.868815,-0.265234,89.255842,,0.001843,
2010-02-16,88.7317,88.7317,88.3181,88.3571,1060785,-0.004227,26.980478,-0.296461,89.181365,,0.002005,
2010-02-17,88.3923,88.3923,88.1534,88.2806,415322,-0.000866,25.958796,-0.323651,89.107741,,0.002005,
2010-02-18,88.3097,88.4567,88.3097,88.3536,760043,0.000827,28.731505,-0.335442,89.036275,,0.002023,
2010-02-19,88.2718,88.3500,88.2376,88.3468,1297945,-0.000076,28.624895,-0.341396,88.976227,,0.001982,
2010-02-22,88.4153,88.4153,88.2462,88.3437,933684,-0.000035,28.572404,-0.342417,88.909226,,0.001921,
2010-02-23,88.3618,88.3618,88.1290,88.1549,1165455,-0.002138,25.503255,-0.354379,88.832149,,0.001933,
2010-02-24,88.2012,88.2858,88.0876,88.1508,1077132,-0.000046,25.439881,-0.360038,88.761862,,0.001934,
2010-02-25,88.1593,88.3462,88.1593,88.2599,759059,0.001237,30.432455,-0.351668,88.698202,,0.001984,
2010-02-26,88.2485,88.5244,88.2485,88.4567,1449531,0.002230,38.443394,-0.325402,88.658802,,0.001996,
2010-03-01,88.3686,88.5046,88.3125,88.3903,1227468,-0.000750,36.900426,-0.306408,88.610975,,0.001961,
2010-03-02,88.3930,88.6017,88.3930,88.5111,702474,0.001366,41.501124,-0.278403,88.569515,,0.002005,
2010-03-03,88.5293,88.8899,88.5293,88.7788,1241017,0.003024,50.173266,-0.231937,88.548946,,0.002127,
2010-03-04,88.7630,89.0382,88.7630,89.0316,1001333,0.002847,56.701640,-0.172723,88.566136,,0.001815,
2010-03-05,89.0318,89.0318,88.8726,88.9868,1058700,-0.000502,55.320749,-0.127930,88.573700,,0.001787,
2010-03-08,88.9021,89.0942,88.9021,89.0785,825858,0.001030,57.599719,-0.084066,88.579744,,0.001776,
2010-03-09,89.1955,89.1955,88.9437,89.0352,943888,-0.000485,56.144508,-0.052192,88.589880,,0.001747,
2010-03-10,89.0575,89.0575,88.7204,88.7357,1207793,-0.003365,47.240800,-0.050521,88.582052,,0.001906,
2010-03-11,88.6463,88.7476,88.6335,88.6538,964043,-0.000922,45.135128,-0.055164,88.576076,,0.001894,
2010-03-12,88.7022,88.7022,88.4893,88.5425,895899,-0.001256,42.366748,-0.067059,88.559030,89.091428,0.001885,
2010-03-15,88.5490,88.7117,88.4168,88.6479,1129654,0.001191,45.757858,-0.067204,88.554817,89.064386,0.001874,
2010-03-16,88.5720,88.6280,88.5141,88.6215,1231023,-0.000297,45.044195,-0.068654,88.568038,89.039361,0.001598,
2010-03-17,88.5920,88.5920,88.3464,88.4771,1308387,-0.001630,41.248219,-0.080530,88.577863,89.010732,0.001633,
2010-03-18,88.4537,88.7832,88.4537,88.6994,613641,0.002513,48.449572,-0.071182,88.595154,88.993360,0.001713,
2010-03-19,88.6119,88.6119,88.5222,88.5564,1041878,-0.001613,44.656892,-0.074457,88.605631,88.976554,0.001760,
2010-03-22,88.5467,88.7567,88.5467,88.7217,1020687,0.001868,49.571960,-0.062982,88.624531,88.958799,0.001802,
2010-03-23,88.6381,88.9065,88.6381,88.8365,1114805,0.001293,52.709421,-0.044123,88.658609,88.943058,0.001728,
