date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,90.0000,90.0931,89.9856,90.0000,954076,0.000000,,0.000000,,,,
2010-01-05,90.0510,90.0510,89.4834,89.4923,1272718,-0.005641,,-0.040498,,,,
2010-01-06,89.5011,89.5456,89.4025,89.4715,1261777,-0.000232,,-0.073424,,,,
2010-01-07,89.4464,89.6622,89.4464,89.5837,1191723,0.001253,,-0.089437,,,,
2010-01-08,89.5382,89.7984,89.5382,89.6738,587264,0.001006,,-0.093775,,,,
2010-01-11,89.7069,89.7069,89.4548,89.5621,1224951,-0.001245,,-0.105014,,,,
2010-01-12,89.5623,89.5779,89.5244,89.5688,1734714,0.000074,,-0.112091,,,,
2010-01-13,89.6021,89.6021,89.4034,89.4430,699431,-0.001404,,-0.126390,,,,
2010-01-14,89.4010,89.4604,89.2209,89.3503,870755,-0.001037,,-0.143549,,,,
2010-01-15,89.2994,89.2994,89.0727,89.1290,1024404,-0.002478,,-0.173016,,,,
2010-01-18,89.1229,89.2986,89.1229,89.2742,686222,0.001629,,-0.182548,,,,
2010-01-19,89.3171,89.5869,89.3171,89.5053,798598,0.002589,,-0.169500,,,,
2010-01-20,89.5292,89.5363,89.4352,89.4525,1006203,-0.000589,,-0.161555,,,,
2010-01-21,89.5011,89.7737,89.4856,89.6833,1354771,0.002580,,-0.135080,,,,
2010-01-22,89.7569,90.0322,89.7569,90.0026,664451,0.003560,,-0.087326,,,,
2010-01-25,90.0585,90.2547,90.0585,90.1812,633375,0.001985,53.961481,-0.034667,,,,
2010-01-26,90.1236,90.3804,90.1236,90.1894,1128908,0.000091,54.138650,0.007638,,,,
2010-01-27,90.0842,90.5564,90.0842,90.4872,1462082,0.003303,60.141967,0.064457,,,,
2010-01-28,90.4768,90.4820,90.4049,90.4206,1106258,-0.000737,58.302931,0.102922,,,,
2010-01-29,90.3506,90.3613,90.2834,90.2990,1086324,-0.001345,54.997633,0.122183,89.738489,,0.002187,
2010-02-01,90.3867,90.3867,90.0026,90.0627,1043278,-0.002616,49.167148,0.117035,89.741625,,0.002274,
2010-02-02,90.0369,90.0369,89.8609,89.8918,889440,-0.001898,45.416202,0.098034,89.761599,,0.001906,
2010-02-03,89.7740,90.0630,89.7740,90.0130,718738,0.001348,48.419909,0.091694,89.788670,,0.001919,
2010-02-04,89.9913,90.2811,89.9913,90.2687,1004233,0.002841,54.156182,0.106085,89.822921,,0.001992,
2010-02-05,90.2673,90.2673,89.8321,90.0419,819934,-0.002513,48.956369,0.098056,89.841325,,0.002087,
2010-02-08,90.0811,90.0811,89.6661,89.7371,1311741,-0.003385,42.983614,0.066333,89.850073,,0.002216,
2010-02-09,89.7224,90.1052,89.7224,90.0151,781253,0.003098,49.084182,0.062897,89.872386,,0.002316,
2010-02-10,90.0433,90.3482,90.0433,90.3089,1326879,0.003264,54.611896,0.082926,89.915677,,0.002374,
2010-02-11,90.2563,90.6538,90.2563,90.5348,727459,0.002502,58.356148,0.115696,89.974901,,0.002387,
2010-02-12,90.5301,90.5962,90.3581,90.4622,435797,-0.000802,56.736623,0.134262,90.041564,,0.002299,
2010-02-15,90.4720,90.7878,90.4720,90.7295,1170129,0.002955,61.025560,0.168601,90.114331,,0.002344,
2010-02-16,90.7656,90.8248,90.7156,90.7769,693481,0.000523,61.749876,0.197365,90.177914,,0.002307,
2010-02-17,90.7984,91.0011,90.6917,90.7811,1272272,0.000047,61.818070,0.217989,90.244347,,0.002292,
2010-02-18,90.8412,91.1046,90.8412,91.0515,1665091,0.002978,65.990973,0.253232,90.312760,,0.002311,
2010-02-19,91.0460,91.0460,90.6893,90.8473,720204,-0.002243,60.602706,0.261665,90.354995,,0.002305,
2010-02-22,90.9131,91.0258,90.9131,91.0187,1067226,0.001887,63.311053,0.278969,90.396873,,0.002302,
2010-02-23,90.9713,91.1681,90.9713,91.1120,1224379,0.001024,64.730880,0.296785,90.443002,,0.002303,
2010-02-24,91.1109,91.1192,91.0441,91.1004,584381,-0.000127,64.396982,0.306435,90.473659,,0.002210,
2010-02-25,91.1373,91.6614,91.1373,91.5797,944545,0.005261,71.043221,0.348739,90.531614,,0.002451,
2010-02-26,91.5187,91.8672,91.5187,91.7463,1188110,0.001819,72.934436,0.391199,90.603980,,0.002418,
2010-03-01,91.7135,91.9950,91.7135,91.9716,719966,0.002456,75.285450,0.437981,90.699423,,0.002304,
2010-03-02,91.9790,91.9790,91.5193,91.6527,601296,-0.003467,66.483680,0.444205,90.787469,,0.002433,
2010-03-03,91.6978,91.6978,91.4768,91.5289,1232113,-0.001351,63.385634,0.434144,90.863268,,0.002485,
2010-03-04,91.6022,91.6022,91.3936,91.4894,431164,-0.000432,62.386608,0.418163,90.924304,,0.002454,
2010-03-05,91.4503,91.7715,91.4503,91.7197,692236,0.002517,65.773305,0.419246,91.008194,,0.002366,
2010-03-08,91.6677,92.1902,91.6677,92.0494,1292379,0.003594,69.945665,0.441617,91.123810,,0.002206,
2010-03-09,91.9688,91.9688,91.7640,91.7870,786118,-0.002850,63.329413,0.433182,91.212409,,0.002344,
2010-03-10,91.7864,92.1417,91.7864,92.0823,1208611,0.003217,67.100738,0.445189,91.301080,,0.002342,
2010-03-11,92.0314,92.4162,92.0314,92.3102,663483,0.002475,69.691951,0.467703,91.389849,,0.002341,
2010-03-12,92.3536,92.6535,92.3536,92.4142,1455396,0.001127,70.821927,0.488313,91.487450,90.517098,0.002303,
2010-03-15,92.4215,92.4215,92.2597,92.2708,837571,-0.001552,67.108186,0.487455,91.564516,90.562514,0.002329,
2010-03-16,92.3054,92.4447,92.3054,92.3819,865871,0.001204,68.486770,0.490091,91.644766,90.620306,0.002329,
2010-03-17,92.4274,92.8506,92.4274,92.8112,1570800,0.004647,73.166662,0.520816,91.746269,90.687099,0.002466,
2010-03-18,92.7230,92.7230,92.4598,92.4789,1271494,-0.003581,65.105586,0.512441,91.817636,90.745003,0.002635,
2010-03-19,92.4101,92.5466,92.4101,92.5234,966957,0.000482,65.652263,0.503596,91.901444,90.801995,0.002539,
2010-03-22,92.4961,92.6581,92.4961,92.5926,1222091,0.000747,66.527957,0.496442,91.980135,90.862604,0.002529,
2010-03-23,92.6176,92.6176,92.3910,92.4490,1130000,-0.001551,62.939190,0.473726,92.046986,90.920208,0.002585,
2010-03-24,92.4814,92.6313,92.3855,92.4925,1657597,0.000471,63.580483,0.454002,92.116593,90.981198,0.002578,
2010-03-25,92.4598,92.8202,92.4598,92.6747,1342640,0.001969,66.215439,0.447904,92.171341,91.047685,0.002372,
2010-03-26,92.6827,93.0125,92.6827,92.9567,1053796,0.003043,69.852616,0.460520,92.231860,91.124239,0.002421,0.233903
2010-03-29,92.9557,92.9557,92.8206,92.8211,1400185,-0.001458,66.165474,0.454342,92.274336,91.195178,0.002426,0.212746
2010-03-30,92.8009,93.0420,92.8009,92.9798,909152,0.001710,68.276990,0.456986,92.340692,91.264670,0.002255,0.214330
2010-03-31,93.0302,93.0302,92.9546,93.0072,1385876,0.000294,68.639682,0.456029,92.414603,91.335764,0.002205,0.209617
2010-04-01,92.9477,93.3784,92.9477,93.2526,788704,0.002639,71.764170,0.469663,92.502763,91.407151,0.002221,0.207889
2010-04-02,93.3305,93.5153,93.3235,93.3959,1170862,0.001537,73.428510,0.486425,92.586574,91.475018,0.002196,0.210810
2010-04-05,93.4029,93.5289,93.3467,93.4553,2320677,0.000636,74.109592,0.498752,92.656870,91.540500,0.002103,0.183197
2010-04-06,93.5303,93.5303,93.3430,93.4627,879208,0.000079,74.198294,0.503315,92.740654,91.605967,0.001933,0.173327
2010-04-07,93.4731,93.5544,93.3269,93.4514,631512,-0.000121,73.780890,0.500250,92.809109,91.665249,0.001866,0.178437
2010-04-08,93.4925,93.6318,93.4925,93.5985,1008393,0.001574,75.691057,0.503882,92.873524,91.728807,0.001833,0.166180
2010-04-09,93.5975,93.5975,93.3133,93.4871,937822,-0.001190,71.447259,0.492102,92.927167,91.792569,0.001877,0.146831
2010-04-12,93.4691,93.5760,93.4192,93.4641,854167,-0.000246,70.565928,0.475427,92.986830,91.860596,0.001820,0.160800
2010-04-13,93.3512,93.4650,93.2907,93.2979,703445,-0.001778,64.393681,0.443687,93.032628,91.928718,0.001893,0.177753
2010-04-14,93.3367,93.4211,93.2857,93.3623,1113778,0.000690,65.647211,0.418898,93.060180,91.995704,0.001624,0.185470
2010-04-15,93.4229,93.6957,93.3296,93.5509,1804278,0.002020,69.081350,0.409750,93.113781,92.061346,0.001385,0.170458
2010-04-16,93.5720,93.6342,93.5207,93.5708,705508,0.000213,69.429405,0.399504,93.166150,92.131925,0.001387,0.140061
2010-04-19,93.5806,93.7585,93.5806,93.7195,1237853,0.001589,71.963468,0.398787,93.222498,92.211574,0.001406,0.135596
