date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,50.0000,50.2273,49.8928,50.0000,9322954,0.000000,,0.000000,,,,
2010-01-05,49.7193,50.7319,49.7193,50.2797,21125082,0.005594,,0.022312,,,,
2010-01-06,50.0212,50.0212,49.3750,49.3913,13368388,-0.017668,,-0.031327,,,,
2010-01-07,49.4693,50.1137,49.4693,50.0508,14789954,0.013352,,-0.020389,,,,
2010-01-08,50.3343,51.3635,50.3343,50.8885,13848812,0.016738,,0.055242,,,,
2010-01-11,51.1005,51.1005,49.0662,49.2067,15408832,-0.033049,,-0.020295,,,,
2010-01-12,49.1151,49.1151,47.9220,48.1189,11087253,-0.022107,,-0.166024,,,,
2010-01-13,48.0896,48.2839,47.8634,48.2255,7604141,0.002216,,-0.269800,,,,
2010-01-14,48.1214,48.2323,47.3787,47.9678,10020815,-0.005344,,-0.368587,,,,
2010-01-15,47.9264,48.2030,47.8632,47.9694,14140142,0.000032,,-0.441663,,,,
2010-01-18,48.1308,48.1308,47.1571,47.2768,4636005,-0.014437,,-0.549127,,,,
2010-01-19,47.5473,48.3108,47.5473,48.0151,9939654,0.015616,,-0.568172,,,,
2010-01-20,48.1322,48.8291,48.1322,48.6800,14128333,0.013848,,-0.523577,,,,
2010-01-21,48.3690,48.7998,48.2804,48.7500,8651696,0.001438,,-0.477086,,,,
2010-01-22,48.6954,49.9029,48.6954,49.7248,20262555,0.019995,,-0.357465,,,,
2010-01-25,49.8264,50.1864,49.8264,50.1404,8951943,0.008358,50.917893,-0.226519,,,,
2010-01-26,49.8183,49.8183,49.3904,49.4144,12816098,-0.014479,46.727525,-0.179257,,,,
2010-01-27,49.3122,49.9317,49.1718,49.7428,7553221,0.006645,48.780731,-0.113991,,,,
2010-01-28,49.8117,49.8117,48.7853,48.9412,10935025,-0.016115,44.292784,-0.125503,,,,
2010-01-29,48.8624,49.8828,48.8624,49.7030,7956769,0.015566,49.086892,-0.072320,49.124366,,0.015021,
2010-02-01,49.9718,50.1632,49.4995,49.6714,8341556,-0.000636,48.898785,-0.032351,49.107935,,0.015022,
2010-02-02,49.8056,49.8056,49.5201,49.5271,7076970,-0.002905,47.995004,-0.012177,49.070304,,0.014968,
2010-02-03,49.7999,49.7999,48.8952,48.9581,7882708,-0.011489,44.501709,-0.041625,49.048641,,0.014659,
