date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,4.0000,4.0065,3.9971,4.0000,8394960,0.000000,,0.000000,,,,
2010-01-05,4.0344,4.0344,3.9601,3.9680,13559680,-0.008002,,-0.002553,,,,
2010-01-06,3.9634,4.0615,3.9634,4.0149,10907276,0.011813,,-0.000786,,,,
2010-01-07,4.0529,4.1047,4.0432,4.0658,12798323,0.012696,,0.004675,,,,
2010-01-08,4.0865,4.0865,3.9917,4.0529,11505127,-0.003172,,0.007871,,,,
2010-01-11,4.0613,4.0613,3.9981,4.0019,10850113,-0.012597,,0.006212,,,,
2010-01-12,4.0163,4.0163,3.9490,3.9683,9664087,-0.008404,,0.002159,,,,
2010-01-13,3.9995,4.0244,3.9171,3.9731,10257363,0.001217,,-0.000656,,,,
2010-01-14,3.9698,3.9888,3.9615,3.9662,14236601,-0.001744,,-0.003406,,,,
2010-01-15,3.9313,3.9987,3.9313,3.9585,11996691,-0.001942,,-0.006137,,,,
2010-01-18,3.9320,3.9894,3.9072,3.9556,7014452,-0.000718,,-0.008433,,,,
2010-01-19,3.9392,3.9885,3.9392,3.9834,6617790,0.007027,,-0.007919,,,,
2010-01-20,3.9948,4.0345,3.9696,4.0200,12219547,0.009190,,-0.004506,,,,
2010-01-21,4.0187,4.1131,4.0187,4.0463,4627113,0.006543,,0.000318,,,,
2010-01-22,4.0791,4.0921,4.0791,4.0818,6646072,0.008763,,0.006922,,,,
2010-01-25,4.0987,4.1513,4.0987,4.1371,7885069,0.013561,66.231695,0.016433,,,,
2010-01-26,4.1386,4.2049,4.1386,4.1805,12703781,0.010487,69.728953,0.027158,,,,
2010-01-27,4.1803,4.2264,4.1354,4.1803,13637404,-0.000045,69.695484,0.035237,,,,
2010-01-28,4.1739,4.1739,4.0847,4.1213,10247905,-0.014120,59.909713,0.036456,,,,
2010-01-29,4.1155,4.1155,4.0748,4.0805,8436174,-0.009904,54.238784,0.033740,4.037816,,0.008695,
2010-02-01,4.0820,4.1371,4.0642,4.1170,9909258,0.008943,58.061214,0.034138,4.043665,,0.008867,
2010-02-02,4.0911,4.1285,4.0911,4.1043,25464169,-0.003068,56.308056,0.033054,4.050483,,0.008656,
2010-02-03,4.0757,4.0757,3.9987,4.0239,14160629,-0.019604,46.645754,0.025409,4.050933,,0.009535,
