date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0427,24.9780,25.0000,4791288,0.000000,,0.000000,,,,
2010-01-05,25.1469,25.2872,25.0137,25.1530,6826630,0.006122,,0.012209,,,,
2010-01-06,25.1852,25.1852,24.4454,24.6439,17135039,-0.020244,,-0.018984,,,,
2010-01-07,24.6966,25.5736,24.6966,25.0146,13062841,0.015044,,-0.013632,,,,
2010-01-08,25.0457,25.6977,25.0457,25.4873,9684553,0.018899,,0.028428,,,,
2010-01-11,25.2158,25.2158,24.0828,24.5315,11848672,-0.037501,,-0.015189,,,,
2010-01-12,24.5241,24.5241,23.8682,23.9168,11943463,-0.025058,,-0.098226,,,,
2010-01-13,23.8026,24.1445,23.6721,23.9771,14659445,0.002519,,-0.157357,,,,
2010-01-14,23.8898,24.1188,23.5547,23.8345,11091979,-0.005947,,-0.213266,,,,
2010-01-15,23.7752,24.0518,23.6128,23.8337,9045125,-0.000034,,-0.254704,,,,
2010-01-18,23.8379,23.8379,23.1925,23.4405,8405683,-0.016497,,-0.315633,,,,
2010-01-19,23.3913,24.1354,23.3913,23.8549,12644276,0.017681,,-0.326710,,,,
2010-01-20,23.8480,24.2713,23.8480,24.2242,13352812,0.015480,,-0.302207,,,,
2010-01-21,24.2836,24.3188,24.1912,24.2591,10356717,0.001439,,-0.276786,,,,
2010-01-22,24.2241,24.8652,24.2241,24.8071,13700194,0.022592,,-0.209995,,,,
2010-01-25,24.7945,25.0826,24.7945,25.0433,18729033,0.009519,50.580280,-0.136435,,,,
2010-01-26,24.9521,24.9521,24.3029,24.6249,7662362,-0.016704,46.334064,-0.110618,,,,
2010-01-27,24.4492,24.8387,24.4492,24.8113,11901330,0.007570,48.412228,-0.074262,,,,
2010-01-28,24.9463,24.9463,24.2400,24.3469,6056836,-0.018718,43.855497,-0.081979,,,,
2010-01-29,24.4335,24.8446,24.4335,24.7771,10994387,0.017670,48.674710,-0.052772,24.479096,,0.017062,
2010-02-01,24.9418,25.0849,24.5916,24.7575,11876421,-0.000791,48.470557,-0.030852,24.466973,,0.017062,
2010-02-02,24.7481,24.7795,24.6301,24.6722,13674971,-0.003446,47.536062,-0.020132,24.442931,,0.017005,
2010-02-03,24.7264,24.7264,24.1063,24.3456,8887358,-0.013238,44.035816,-0.037558,24.428019,,0.016653,
2010-02-04,24.3261,25.2138,24.3261,24.9439,8245923,0.024574,51.134027,-0.003057,24.424484,,0.017246,
2010-02-05,24.6680,25.0706,24.6270,24.8716,9903042,-0.002899,50.303675,0.018242,24.393697,,0.016668,
2010-02-08,24.8225,24.8225,24.6542,24.6690,7543787,-0.008147,47.953462,0.018557,24.400568,,0.014436,
2010-02-09,24.7316,24.7316,24.2613,24.5038,15603748,-0.006697,46.063809,0.005413,24.429915,,0.013270,
2010-02-10,24.6505,25.2230,24.4993,24.7668,10723898,0.010736,49.477866,0.016039,24.469402,,0.013436,
2010-02-11,24.8780,25.0907,24.5203,24.9480,7998733,0.007314,51.743152,0.038633,24.525077,,0.013365,
2010-02-12,24.9442,25.8858,24.7741,25.1540,11668656,0.008259,54.255425,0.072331,24.591094,,0.013415,
2010-02-15,25.2865,25.4475,25.2865,25.3739,7985823,0.008741,56.837867,0.115448,24.687765,,0.012673,
2010-02-16,25.3933,26.5250,25.3933,26.4685,11815769,0.043137,66.865671,0.235229,24.818441,,0.015150,
2010-02-17,26.2989,26.2989,26.0742,26.2669,12456861,-0.007617,63.919924,0.310312,24.920573,,0.015215,
2010-02-18,26.2387,26.2387,25.8545,26.0045,9236430,-0.009987,60.203353,0.344674,25.007845,,0.015534,
2010-02-19,26.0456,26.0456,25.4972,25.5916,12922955,-0.015878,54.802180,0.334728,25.047069,,0.015439,
2010-02-22,25.7609,26.1233,25.6354,25.9080,13617881,0.012361,57.917205,0.348358,25.090303,,0.015528,
2010-02-23,25.7465,26.9718,25.7465,26.4893,9804775,0.022437,62.967821,0.401437,25.183518,,0.015538,
2010-02-24,26.6150,26.6150,26.1003,26.4307,18099975,-0.002210,62.158825,0.433780,25.264487,,0.015566,
2010-02-25,26.4288,26.4288,25.5162,26.0005,13729715,-0.016279,56.420784,0.419853,25.347163,,0.015393,
2010-02-26,26.2117,26.2117,24.9701,25.5829,9457940,-0.016060,51.456141,0.370846,25.387451,,0.015594,
2010-03-01,25.4764,26.4785,25.4764,25.9170,8148957,0.013059,54.877259,0.354876,25.445424,,0.015784,
2010-03-02,25.8714,26.4251,25.8714,26.3054,12468549,0.014987,58.535841,0.369305,25.527083,,0.015961,
2010-03-03,26.4578,26.7267,26.3658,26.5908,21200549,0.010848,61.035496,0.399165,25.639340,,0.015548,
2010-03-04,26.4777,26.5774,26.1954,26.2516,14827972,-0.012756,56.662969,0.390952,25.704725,,0.015254,
2010-03-05,26.1976,26.4762,26.1976,26.3764,14596669,0.004755,57.859344,0.390020,25.779965,,0.015203,
2010-03-08,26.3191,26.5005,26.3191,26.4491,9253279,0.002757,58.576706,0.390645,25.868971,,0.014974,
2010-03-09,26.5358,26.9312,26.5340,26.5691,13022535,0.004539,59.793656,0.396258,25.972240,,0.014777,
2010-03-10,26.4334,27.2008,26.4334,27.0349,14770680,0.017531,64.189832,0.433298,26.085645,,0.015013,
2010-03-11,27.3572,27.3572,27.0574,27.1577,14035621,0.004540,65.267628,0.467172,26.196130,,0.014998,
2010-03-12,27.0119,27.6210,27.0119,27.5279,9559470,0.013632,68.360519,0.517919,26.314823,25.270216,0.015119,
2010-03-15,27.7190,28.0038,27.5367,27.5718,12417158,0.001596,68.716541,0.555281,26.424719,25.321652,0.015101,
2010-03-16,27.4587,28.1894,27.4587,27.7332,8266059,0.005855,70.050046,0.591102,26.487958,25.373256,0.012042,
2010-03-17,27.8825,28.2573,27.8825,28.0837,8161296,0.012637,72.764543,0.640389,26.578801,25.442053,0.012006,
2010-03-18,28.0597,28.0597,26.6672,27.2886,24047081,-0.028312,59.572714,0.608278,26.643005,25.487533,0.013668,
2010-03-19,27.6099,27.6099,26.6258,27.1254,7658249,-0.005981,57.277394,0.563169,26.719694,25.520295,0.013136,
2010-03-22,27.1516,27.1516,26.6726,26.8782,13887089,-0.009113,53.890348,0.501689,26.768206,25.567228,0.013208,
2010-03-23,27.1941,27.1941,26.4508,26.5462,8368418,-0.012353,49.644030,0.421318,26.771052,25.619815,0.012642,
2010-03-24,26.4464,26.5005,26.1170,26.4065,13048130,-0.005260,47.933548,0.342409,26.769843,25.668404,0.012691,
2010-03-25,26.3941,27.3111,26.3941,27.1943,7875187,0.029831,56.946360,0.339524,26.829534,25.735600,0.013719,
2010-03-26,26.9745,27.1493,26.5117,26.7365,7602228,-0.016833,51.380261,0.296876,26.887215,25.793656,0.013774,0.999977
2010-03-29,26.7090,27.3794,26.7090,27.2560,12785117,0.019430,56.568441,0.301521,26.954167,25.869967,0.014106,0.999978
2010-03-30,27.1619,27.1619,26.0771,26.3713,8118347,-0.032460,47.309502,0.231147,26.957461,25.920293,0.015804,0.999979
2010-03-31,26.4375,26.4375,26.1833,26.2043,9676913,-0.006333,45.785939,0.160054,26.938135,25.959894,0.015663,0.999979
2010-04-01,26.1257,26.2952,26.1257,26.2951,13173114,0.003467,46.789812,0.109777,26.940312,26.000615,0.015420,0.999979
2010-04-02,26.5612,26.7238,26.5194,26.6008,9268892,0.011624,50.134989,0.093518,26.951531,26.036487,0.015602,0.999977
2010-04-05,26.5453,27.0697,26.5453,26.9812,9606460,0.014301,54.010359,0.110062,26.978136,26.075246,0.015899,0.999978
2010-04-06,26.8388,27.4765,26.8388,27.4138,6600732,0.016034,58.007036,0.156279,27.020369,26.131023,0.016234,0.999979
2010-04-07,27.4255,27.4255,27.2233,27.2259,7352842,-0.006854,55.741269,0.175719,27.029918,26.179314,0.015894,0.999979
2010-04-08,27.0610,27.2329,26.5924,26.9833,7070257,-0.008911,52.869743,0.169595,27.021199,26.232042,0.015997,0.999979
2010-04-09,27.1453,27.7743,26.9217,27.4445,11025882,0.017092,57.366189,0.199655,27.017030,26.285389,0.016172,0.999980
