date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.0629,24.9790,25.0000,15364280,0.000000,,0.000000,,,,
2010-01-05,24.9615,25.2369,24.9615,25.1586,10026848,0.006343,,0.012650,,,,
2010-01-06,25.1707,25.1707,24.5591,24.6494,13985539,-0.020238,,-0.018201,,,,
2010-01-07,24.6800,25.0552,24.6800,25.0232,13202658,0.015163,,-0.012349,,,,
2010-01-08,24.9565,25.9176,24.9565,25.4999,10698256,0.019054,,0.030410,,,,
2010-01-11,25.4053,25.4053,24.2932,24.5365,12184121,-0.037781,,-0.013288,,,,
2010-01-12,24.6118,24.6118,23.8508,23.9198,10632052,-0.025134,,-0.096570,,,,
2010-01-13,23.9631,24.2991,23.7354,23.9881,11449315,0.002856,,-0.155269,,,,
2010-01-14,24.1058,24.1058,23.6034,23.8415,9118935,-0.006112,,-0.211184,,,,
2010-01-15,23.9334,23.9334,23.8073,23.8372,7355190,-0.000182,,-0.252931,,,,
2010-01-18,23.7147,23.7147,23.3783,23.4407,12740067,-0.016633,,-0.314384,,,,
2010-01-19,23.4119,23.9486,23.4119,23.8604,7641434,0.017903,,-0.325471,,,,
2010-01-20,23.7332,24.4026,23.7332,24.2375,9075270,0.015803,,-0.300368,,,,
2010-01-21,24.1324,24.4772,24.0933,24.2747,9796793,0.001535,,-0.274310,,,,
2010-01-22,24.0820,25.0443,24.0820,24.8296,10636769,0.022861,,-0.206499,,,,
2010-01-25,24.9167,25.0744,24.8659,25.0696,10211114,0.009666,50.821393,-0.131872,,,,
2010-01-26,25.1548,25.1548,24.4268,24.6495,11626957,-0.016759,46.587322,-0.105417,,,,
2010-01-27,24.6945,25.0087,24.6945,24.8354,11397303,0.007543,48.627119,-0.068656,,,,
2010-01-28,24.9264,24.9264,24.3438,24.3711,11186065,-0.018696,44.098159,-0.076112,,,,
2010-01-29,24.2473,24.9281,24.2473,24.8067,13406784,0.017875,48.906373,-0.046334,24.491473,,0.017196,
2010-02-01,24.9941,24.9941,24.7742,24.7895,12977907,-0.000693,48.728148,-0.023848,24.480949,,0.017196,
2010-02-02,24.8150,24.8182,24.6648,24.7004,7405222,-0.003593,47.757607,-0.013065,24.458042,,0.017138,
2010-02-03,24.5964,24.5964,24.2862,24.3755,7043972,-0.013155,44.292050,-0.030387,24.444348,,0.016784,
2010-02-04,24.2600,25.0632,24.2600,24.9776,10156030,0.024699,51.338328,0.004415,24.442069,,0.017376,
2010-02-05,25.0422,25.0422,24.8584,24.9087,7873849,-0.002760,50.550026,0.026133,24.412505,,0.016795,
2010-02-08,24.8293,24.8293,24.5693,24.7049,11228010,-0.008178,48.194681,0.026600,24.420925,,0.014539,
2010-02-09,24.5822,24.6255,24.4917,24.5362,13863405,-0.006831,46.271135,0.013201,24.451743,,0.013374,
2010-02-10,24.4703,24.9948,24.4703,24.8023,12874621,0.010845,49.681434,0.023780,24.492450,,0.013540,
2010-02-11,24.7466,25.0028,24.7466,24.9895,9020243,0.007548,51.990260,0.046732,24.549849,,0.013466,
2010-02-12,25.0123,25.2959,25.0123,25.2033,9497945,0.008554,54.554232,0.081234,24.618153,,0.013518,
2010-02-15,25.2399,25.5779,25.2399,25.4295,6995696,0.008976,57.161831,0.125388,24.717592,,0.012765,
2010-02-16,25.4396,26.8414,25.4396,26.5410,12293561,0.043707,67.137830,0.247214,24.851620,,0.015283,
2010-02-17,26.6409,26.6409,26.2080,26.3362,13841012,-0.007715,64.172690,0.323510,24.956556,,0.015349,
2010-02-18,26.2651,26.2651,25.8230,26.0772,10069057,-0.009833,60.531814,0.358941,25.046684,,0.015663,
2010-02-19,26.0177,26.0177,25.5198,25.6685,9932888,-0.015673,55.208104,0.350007,25.088629,,0.015552,
2010-02-22,25.6385,26.0747,25.6385,25.9926,10680721,0.012624,58.336853,0.364869,25.134777,,0.015645,
2010-02-23,25.9973,26.7281,25.9973,26.5842,7674721,0.022763,63.368238,0.419554,25.231516,,0.015656,
2010-02-24,26.6931,26.6931,26.4795,26.5296,4017782,-0.002054,62.616609,0.453261,25.316227,,0.015686,
