date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,35.0000,35.1342,34.9085,35.0000,1341830,0.000000,,0.000000,,,,
2010-01-05,34.9454,35.0655,34.8986,35.0202,748919,0.000577,,0.001610,,,,
2010-01-06,35.2506,35.2506,34.5532,34.9177,842291,-0.002925,,-0.005318,,,,
2010-01-07,34.8856,35.2413,34.8856,35.0147,1690470,0.002777,,-0.002951,,,,
2010-01-08,34.9606,35.5057,34.9606,35.2427,842042,0.006511,,0.017125,,,,
2010-01-11,35.1356,35.1660,34.9531,35.0120,2092326,-0.006545,,0.014257,,,,
2010-01-12,35.0410,35.1433,35.0410,35.0782,1324026,0.001889,,0.017124,,,,
2010-01-13,34.9990,35.3182,34.9990,35.2655,1901541,0.005340,,0.034117,,,,
2010-01-14,35.3013,35.3959,35.0587,35.2109,1500418,-0.001546,,0.042691,,,,
2010-01-15,35.2487,35.7842,35.2116,35.3809,865930,0.004826,,0.062479,,,,
2010-01-18,35.4824,35.6975,35.2996,35.4777,1008256,0.002735,,0.084990,,,,
2010-01-19,35.3957,35.7674,35.3957,35.7334,987907,0.007210,,0.122063,,,,
2010-01-20,35.8648,36.0644,35.8648,36.0052,1447987,0.007604,,0.171394,,,,
2010-01-21,35.9621,36.0964,35.9261,36.0939,1392295,0.002465,,0.215169,,,,
2010-01-22,36.0546,36.4648,36.0546,36.4333,1057113,0.009403,,0.274086,,,,
2010-01-25,36.3854,36.4149,35.9741,36.3499,1058919,-0.002288,79.227552,0.310474,,,,
2010-01-26,36.3632,36.6026,36.1342,36.2852,1088665,-0.001781,76.721784,0.330281,,,,
2010-01-27,36.5431,36.5695,36.1189,36.4393,1043368,0.004246,78.467537,0.354326,,,,
2010-01-28,36.3110,36.3110,35.5354,35.6918,1481072,-0.020512,56.377881,0.309502,,,,
2010-01-29,35.6850,35.7373,35.4060,35.6788,573073,-0.000365,56.081266,0.269817,35.566565,,0.006487,
2010-02-01,35.8090,36.0156,35.5329,35.8116,918120,0.003723,58.477896,0.246246,35.607147,,0.006510,
2010-02-02,35.9327,36.0861,35.6429,35.8097,563395,-0.000053,58.428843,0.224821,35.646624,,0.006515,
2010-02-03,35.7678,36.0813,35.7678,36.0636,1023136,0.007089,62.911099,0.225725,35.703917,,0.006571,
2010-02-04,35.9318,36.2757,35.6476,35.8197,752515,-0.006763,56.597648,0.204405,35.744167,,0.006825,
2010-02-05,35.8329,36.1791,35.8329,36.0614,748703,0.006748,60.796866,0.204655,35.785104,,0.006835,
2010-02-08,35.9981,36.1045,35.7094,35.9621,1289740,-0.002754,58.300855,0.194595,35.832608,,0.006660,
2010-02-09,35.8858,35.8858,35.5456,35.6131,944287,-0.009704,50.461763,0.156657,35.859356,,0.007102,
2010-02-10,35.5818,35.5818,35.3916,35.4711,727148,-0.003988,47.653830,0.113820,35.869639,,0.007093,
2010-02-11,35.7171,35.7171,35.3830,35.3910,540339,-0.002258,46.095771,0.072571,35.878643,,0.007104,
2010-02-12,35.3972,35.3972,35.1022,35.1428,973991,-0.007014,41.560731,0.019625,35.866738,,0.007198,
2010-02-15,35.2213,35.2213,34.8517,34.8571,596898,-0.008128,37.044243,-0.044868,35.835713,,0.007364,
2010-02-16,34.9597,35.3627,34.9597,35.3541,1057465,0.014256,47.693639,-0.055244,35.816744,,0.007918,
2010-02-17,35.3080,35.5023,35.2506,35.3503,724049,-0.000107,47.627712,-0.063044,35.784001,,0.007687,
2010-02-18,35.4527,35.4527,34.9827,35.0490,1356745,-0.008523,42.571306,-0.092471,35.731757,,0.007826,
2010-02-19,35.1898,35.1898,34.7497,34.8645,930851,-0.005264,39.785519,-0.129191,35.653319,,0.007434,
2010-02-22,34.8500,35.3836,34.8500,35.2400,856963,0.010771,47.338434,-0.126533,35.597824,,0.007977,
2010-02-23,35.3442,35.3442,35.0120,35.1559,1883212,-0.002388,45.947270,-0.129722,35.541357,,0.007979,
2010-02-24,35.2646,35.2646,34.9254,35.0512,896208,-0.002977,44.207381,-0.139092,35.471953,,0.007866,
2010-02-25,35.1645,35.1675,35.0111,35.0867,804301,0.001013,44.968552,-0.142017,35.441696,,0.006549,
