date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,20.0000,20.2373,19.9574,20.0000,12933978,0.000000,,0.000000,,,,
2010-01-05,20.1790,20.1790,20.0770,20.0907,9682922,0.004536,,0.007237,,,,
2010-01-06,20.1211,20.1211,19.7584,19.8027,12481868,-0.014335,,-0.010150,,,,
2010-01-07,19.8004,20.0839,19.8004,20.0157,17491044,0.010756,,-0.006666,,,,
2010-01-08,19.9880,20.2995,19.9880,20.2864,10795977,0.013524,,0.017734,,,,
2010-01-11,20.3782,20.3782,19.7268,19.7430,11291046,-0.026785,,-0.006698,,,,
2010-01-12,19.7516,19.7516,19.3696,19.3920,8872380,-0.017782,,-0.053769,,,,
2010-01-13,19.4618,19.7156,19.4192,19.4303,11797308,0.001978,,-0.086975,,,,
2010-01-14,19.3662,19.4206,19.2766,19.3493,10009672,-0.004168,,-0.118461,,,,
2010-01-15,19.4525,19.4525,19.3031,19.3487,13093449,-0.000032,,-0.141830,,,,
2010-01-18,19.3510,19.4722,19.0638,19.1255,7347580,-0.011536,,-0.176329,,,,
2010-01-19,18.9823,19.4436,18.9823,19.3700,11868864,0.012784,,-0.181844,,,,
2010-01-20,19.3762,19.7006,19.3762,19.5886,9707574,0.011286,,-0.166654,,,,
2010-01-21,19.4221,19.7021,19.4221,19.6130,11527924,0.001248,,-0.150904,,,,
2010-01-22,19.6308,19.9505,19.6308,19.9252,16877340,0.015915,,-0.111944,,,,
2010-01-25,19.9867,20.1575,19.9706,20.0600,9105554,0.006769,51.156299,-0.069386,,,,
2010-01-26,20.0252,20.0252,19.6327,19.8260,7612610,-0.011667,46.969504,-0.053921,,,,
2010-01-27,19.8033,19.9895,19.6316,19.9306,12070591,0.005274,48.978571,-0.032850,,,,
2010-01-28,19.8942,19.8942,19.6393,19.6714,13125884,-0.013005,44.479808,-0.036643,,,,
2010-01-29,19.6076,20.1372,19.6076,19.9156,16073159,0.012413,49.212600,-0.019718,19.724235,,0.012120,
2010-02-01,20.0426,20.0426,19.6548,19.9047,8048343,-0.000544,49.013071,-0.007097,19.719471,,0.012120,
2010-02-02,19.9048,19.9858,19.8268,19.8560,8352297,-0.002448,48.068715,-0.001015,19.707735,,0.012078,
2010-02-03,19.7210,19.7849,19.6398,19.6686,11692244,-0.009436,44.516716,-0.011184,19.701031,,0.011830,
2010-02-04,19.7200,20.0692,19.7200,20.0158,7888765,0.017651,51.646785,0.008671,19.701037,,0.012261,
2010-02-05,19.9115,20.1388,19.9115,19.9770,7908828,-0.001938,50.860293,0.021034,19.685568,,0.011849,
2010-02-08,20.0010,20.0081,19.5928,19.8610,11996752,-0.005806,48.483073,0.021228,19.691468,,0.010237,
2010-02-09,19.8627,19.8627,19.7405,19.7696,14305240,-0.004602,46.633108,0.013846,19.710352,,0.009398,
2010-02-10,19.7570,20.0985,19.7570,19.9217,7507126,0.007694,50.048858,0.020040,19.734924,,0.009516,
2010-02-11,19.8812,20.0392,19.8812,20.0255,8133450,0.005210,52.292784,0.032943,19.768735,,0.009463,
2010-02-12,20.0877,20.2842,20.0786,20.1497,3959720,0.006199,54.902255,0.052581,19.808785,,0.009504,
2010-02-15,20.0507,20.3599,20.0507,20.2761,14081059,0.006274,57.454242,0.077453,19.866316,,0.008981,
2010-02-16,20.2500,20.9460,20.2500,20.8941,17248101,0.030477,67.219475,0.145352,19.942520,,0.010705,
2010-02-17,20.9771,20.9771,20.5979,20.7746,10524603,-0.005718,64.153492,0.187362,20.001820,,0.010759,
2010-02-18,20.6943,20.6943,20.4391,20.6329,5805076,-0.006821,60.621697,0.206836,20.052813,,0.010977,
2010-02-19,20.7271,20.7271,20.3802,20.4069,13446152,-0.010951,55.386040,0.201711,20.076900,,0.010905,
2010-02-22,20.2905,20.6593,20.2905,20.5909,15296506,0.009017,58.527236,0.210076,20.103444,,0.010976,
2010-02-23,20.5393,21.0084,20.5393,20.9227,7493189,0.016110,63.514733,0.240698,20.158277,,0.010998,
2010-02-24,20.8710,21.1783,20.7038,20.8904,13186861,-0.001539,62.725953,0.259377,20.206271,,0.011021,
2010-02-25,20.9425,20.9425,20.6466,20.6482,7452633,-0.011597,56.992866,0.251730,20.255112,,0.010921,
2010-02-26,20.4760,20.9455,20.4041,20.4103,13341953,-0.011522,51.969323,0.223891,20.279847,,0.011086,
2010-03-01,20.2549,20.6389,20.2549,20.6003,7961453,0.009313,55.355064,0.214691,20.314628,,0.011219,
2010-03-02,20.6924,20.9838,20.6658,20.8188,10354704,0.010604,58.937466,0.222462,20.362767,,0.011339,
2010-03-03,20.7262,21.2976,20.7262,20.9825,10189141,0.007862,61.434445,0.239072,20.428458,,0.011042,
2010-03-04,20.8563,20.8563,20.7338,20.7910,9302889,-0.009127,57.062147,0.234084,20.467215,,0.010831,
2010-03-05,20.7486,21.0896,20.7486,20.8623,8047296,0.003433,58.254502,0.233202,20.511479,,0.010796,
2010-03-08,20.7061,21.0663,20.7061,20.9018,11447961,0.001891,58.933387,0.233000,20.563516,,0.010631,
2010-03-09,20.7415,21.0506,20.7415,20.9722,14202427,0.003368,60.177867,0.235802,20.623642,,0.010495,
2010-03-10,21.0857,21.4867,21.0857,21.2363,17956838,0.012595,64.522456,0.256382,20.689370,,0.010666,
2010-03-11,21.3712,21.4693,21.0750,21.3040,11678369,0.003187,65.559330,0.274984,20.753293,,0.010656,
2010-03-12,21.3657,21.6432,21.3657,21.5110,11223318,0.009715,68.582949,0.302934,20.821357,20.201234,0.010737,
2010-03-15,21.6171,21.6171,21.3191,21.5384,6887268,0.001273,68.971095,0.323565,20.884469,20.232001,0.010723,
2010-03-16,21.4629,21.6457,21.4629,21.6310,10228665,0.004302,70.307933,0.343433,20.921316,20.262807,0.008588,
2010-03-17,21.7814,21.9591,21.7762,21.8251,7602650,0.008973,72.937876,0.370568,20.973842,20.303255,0.008542,
2010-03-18,21.6842,21.6984,21.3304,21.3943,10728193,-0.019738,60.194130,0.353241,21.011914,20.330827,0.009695,
2010-03-19,21.2704,21.5022,21.0271,21.3019,5294428,-0.004320,57.858582,0.328268,21.056663,20.351137,0.009340,
2010-03-22,21.4943,21.4943,20.9852,21.1652,8296256,-0.006420,54.489321,0.294052,21.085375,20.379580,0.009384,
2010-03-23,21.1866,21.1866,20.7615,20.9815,9332440,-0.008679,50.256007,0.249240,21.088315,20.411370,0.008969,
2010-03-24,21.0861,21.0861,20.7245,20.9055,13960563,-0.003622,48.574751,0.205229,21.089066,20.440873,0.009002,
2010-03-25,21.0558,21.3851,21.0558,21.3479,10725739,0.021165,57.491940,0.203705,21.124054,20.480845,0.009719,
2010-03-26,21.3615,21.3615,20.9108,21.0959,9785681,-0.011805,51.965211,0.180087,21.158338,20.515790,0.009740,0.999944
2010-03-29,20.9556,21.5580,20.9556,21.3897,12429355,0.013926,57.138126,0.182966,21.197807,20.561075,0.009981,0.999945
2010-03-30,21.4391,21.4391,20.6618,20.8975,9922862,-0.023012,47.841965,0.143872,21.201743,20.591625,0.011199,0.999949
2010-03-31,20.9434,20.9434,20.7596,20.8052,12667890,-0.004418,46.319826,0.104238,21.192880,20.615957,0.011096,0.999948
2010-04-01,20.8370,20.8945,20.7618,20.8531,8349092,0.002300,47.256720,0.075817,21.195985,20.640758,0.010914,0.999945
2010-04-02,20.8020,21.0449,20.8020,21.0289,8595452,0.008431,50.663047,0.066709,21.204311,20.662831,0.011048,0.999945
2010-04-05,21.0151,21.3539,20.9519,21.2474,12836754,0.010393,54.589521,0.076248,21.221593,20.686579,0.011268,0.999936
2010-04-06,21.1449,21.9029,21.1449,21.4898,10847233,0.011406,58.530605,0.102185,21.247473,20.719854,0.011502,0.999934
2010-04-07,21.5261,21.5261,21.3306,21.3907,13764684,-0.004612,56.375810,0.113436,21.255190,20.749056,0.011252,0.999934
2010-04-08,21.3792,21.3792,21.0577,21.2546,13669088,-0.006359,53.466617,0.110108,21.252722,20.780721,0.011331,0.999933
