date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,25.0000,25.2146,24.8797,25.0000,11348570,0.000000,,0.000000,,,,
2010-01-05,25.0288,25.2798,24.9740,25.1355,8670053,0.005418,,0.010805,,,,
2010-01-06,25.1637,25.1637,24.6347,24.7125,6211588,-0.016825,,-0.014588,,,,
2010-01-07,24.6778,25.1568,24.6778,25.0289,13127565,0.012800,,-0.009084,,,,
2010-01-08,24.9276,25.5342,24.9276,25.4249,14360034,0.015824,,0.026925,,,,
2010-01-11,25.5968,25.5968,24.2562,24.6201,13354783,-0.031656,,-0.009373,,,,
2010-01-12,24.4614,24.4614,23.6430,24.0969,11847112,-0.021249,,-0.079438,,,,
2010-01-13,23.9834,24.1683,23.9834,24.1554,11370370,0.002429,,-0.128758,,,,
2010-01-14,24.1643,24.2504,23.9143,24.0392,9403284,-0.004813,,-0.175207,,,,
2010-01-15,24.0796,24.2421,23.9663,24.0391,9271065,-0.000002,,-0.209606,,,,
2010-01-18,23.9909,23.9909,23.6285,23.7084,11687806,-0.013759,,-0.260552,,,,
2010-01-19,23.7175,24.3339,23.7175,24.0638,10996543,0.014991,,-0.269147,,,,
2010-01-20,24.1170,24.5515,24.0235,24.3845,11888919,0.013329,,-0.247227,,,,
2010-01-21,24.4355,24.5140,24.1796,24.4200,11785971,0.001454,,-0.224408,,,,
2010-01-22,24.4286,24.8839,24.4286,24.8823,11829757,0.018933,,-0.167090,,,,
2010-01-25,24.7660,25.1844,24.7660,25.0841,9021084,0.008110,51.108182,-0.104181,,,,
2010-01-26,25.1810,25.1810,24.5618,24.7347,11835142,-0.013928,46.882503,-0.081577,,,,
2010-01-27,24.5522,24.9432,24.5522,24.8904,9754431,0.006295,48.909848,-0.050517,,,,
2010-01-28,24.9739,24.9739,24.4745,24.5025,10529380,-0.015584,44.366797,-0.056550,,,,
2010-01-29,24.3391,24.8682,24.3391,24.8679,6665300,0.014910,49.156939,-0.031488,24.589558,,0.014374,
2010-02-01,24.8879,25.0441,24.8324,24.8587,14084036,-0.000368,49.042965,-0.012224,24.582494,,0.014374,
2010-02-02,24.7403,24.8858,24.5966,24.7823,9406281,-0.003073,48.042185,-0.003086,24.564838,,0.014325,
2010-02-03,24.8206,24.8206,24.2839,24.5106,16880035,-0.010965,44.558728,-0.017569,24.554740,,0.014033,
2010-02-04,24.6126,25.0433,24.6126,25.0189,10392121,0.020738,51.624456,0.011832,24.554241,,0.014527,
2010-02-05,25.0613,25.1919,24.8878,24.9624,9222664,-0.002257,50.849278,0.030229,24.531118,,0.014051,
2010-02-08,24.8778,25.0048,24.7209,24.7885,8530994,-0.006969,48.436036,0.030422,24.539538,,0.012156,
2010-02-09,24.9549,24.9549,24.6425,24.6487,9047316,-0.005640,46.525038,0.019073,24.567127,,0.011152,
2010-02-10,24.7962,24.9228,24.7962,24.8756,18022314,0.009207,49.975234,0.028067,24.603135,,0.011293,
2010-02-11,24.8419,25.0998,24.8419,25.0349,7794875,0.006402,52.301211,0.047499,24.652920,,0.011240,
2010-02-12,25.1780,25.3007,24.9378,25.2140,9969388,0.007155,54.844378,0.076471,24.711663,,0.011284,
2010-02-15,25.1234,25.5953,25.1234,25.3984,8712043,0.007315,57.365017,0.113013,24.796167,,0.010657,
2010-02-16,25.3246,26.5452,25.3246,26.3219,5928631,0.036358,67.228376,0.214018,24.909072,,0.012738,
2010-02-17,26.4527,26.4527,26.0248,26.1521,21846178,-0.006449,64.284372,0.277174,24.997452,,0.012789,
