date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,55.0000,55.1499,54.9199,55.0000,15029606,0.000000,,0.000000,,,,
2010-01-05,55.0418,55.2270,55.0418,55.1657,14233447,0.003013,,0.013219,,,,
2010-01-06,55.2365,55.2365,54.6240,54.6629,7731524,-0.009115,,-0.016685,,,,
2010-01-07,54.5544,55.1689,54.5544,55.0516,15653654,0.007111,,-0.008916,,,,
2010-01-08,54.9506,55.7004,54.9506,55.5379,11549801,0.008833,,0.036064,,,,
2010-01-11,55.6549,55.6549,54.5010,54.5796,8322184,-0.017255,,-0.005550,,,,
2010-01-12,54.8449,54.8449,53.6555,53.9496,8509558,-0.011543,,-0.088350,,,,
2010-01-13,53.9611,54.4631,53.9611,54.0295,8482158,0.001482,,-0.145836,,,,
2010-01-14,54.2221,54.2221,53.6122,53.8950,11892284,-0.002490,,-0.199946,,,,
2010-01-15,53.8073,53.9042,53.7299,53.8954,10324556,0.000008,,-0.240025,,,,
2010-01-18,53.7792,53.7933,53.2735,53.4920,10172070,-0.007486,,-0.300874,,,,
2010-01-19,53.5399,54.1257,53.5399,53.9353,14328711,0.008288,,-0.309752,,,,
2010-01-20,53.7703,54.3338,53.7703,54.3317,8749740,0.007348,,-0.281562,,,,
2010-01-21,54.1829,54.6069,54.1748,54.3732,16980881,0.000765,,-0.252953,,,,
2010-01-22,54.5279,55.2926,54.5279,54.9463,8867860,0.010541,,-0.181937,,,,
2010-01-25,54.7193,55.3680,54.7193,55.1914,10418236,0.004460,51.922471,-0.104674,,,,
2010-01-26,55.2239,55.2239,54.7588,54.7811,9365712,-0.007434,47.765861,-0.075680,,,,
2010-01-27,54.9149,55.0736,54.2107,54.9765,7511472,0.003567,49.825769,-0.036514,,,,
2010-01-28,55.0063,55.0063,54.5037,54.5174,16069113,-0.008350,45.305397,-0.042032,,,,
2010-01-29,54.6133,55.2460,54.6133,54.9655,8950342,0.008219,50.067429,-0.010131,54.563890,,0.007866,
2010-02-01,54.9743,55.3167,54.5274,54.9470,4943935,-0.000337,49.874221,0.013501,54.561240,,0.007867,
2010-02-02,55.0160,55.1085,54.7507,54.8655,11017699,-0.001483,48.978080,0.025360,54.546230,,0.007840,
2010-02-03,55.1727,55.1727,54.4589,54.5409,13230648,-0.005916,45.474181,0.008471,54.540132,,0.007680,
2010-02-04,54.2703,55.3184,54.2703,55.1672,11421594,0.011482,52.530779,0.045101,54.545911,,0.007953,
2010-02-05,54.9156,55.1435,54.8028,55.1028,11175857,-0.001168,51.788130,0.068145,54.524155,,0.007687,
2010-02-08,55.0201,55.0201,54.4031,54.9049,9686056,-0.003591,49.474847,0.069637,54.540418,,0.006644,
2010-02-09,54.8765,54.8765,54.5235,54.7543,12256837,-0.002742,47.728143,0.058002,54.580656,,0.006085,
2010-02-10,54.8318,55.0563,54.8280,55.0399,11361137,0.005216,51.244815,0.071010,54.631176,,0.006165,
2010-02-11,54.7016,55.5122,54.7016,55.2339,12632120,0.003524,53.531248,0.095864,54.698121,,0.006135,
2010-02-12,55.2485,55.7758,55.0900,55.4608,8277411,0.004108,56.123636,0.132347,54.776390,,0.006160,
2010-02-15,55.5734,55.8315,55.4052,55.6865,17855120,0.004070,58.597793,0.177427,54.886116,,0.005810,
2010-02-16,55.4143,56.9182,55.4143,56.7907,8881443,0.019829,68.080575,0.298808,55.028885,,0.006929,
2010-02-17,56.7097,56.7097,56.5092,56.5863,12493017,-0.003600,65.107227,0.374194,55.141615,,0.006967,
2010-02-18,56.5477,56.5477,56.1067,56.3480,11705602,-0.004211,61.723384,0.409983,55.240354,,0.007103,
2010-02-19,56.1179,56.1179,55.7847,55.9411,9129795,-0.007220,56.339581,0.400896,55.290093,,0.007064,
2010-02-22,56.0772,56.3935,56.0760,56.2724,15910017,0.005921,59.441243,0.415629,55.344141,,0.007110,
2010-02-23,55.9180,57.1201,55.9180,56.8531,10804796,0.010320,64.238303,0.468763,55.447741,,0.007111,
2010-02-24,57.0015,57.0015,56.7704,56.8128,11594113,-0.000708,63.676041,0.501839,55.539559,,0.007122,
2010-02-25,56.4479,56.7507,56.2427,56.4028,8977558,-0.007217,58.098483,0.489325,55.633827,,0.007042,
2010-02-26,56.3305,56.3305,56.0136,56.0152,9583257,-0.006873,53.341527,0.443020,55.686309,,0.007118,
2010-03-01,55.9567,56.4184,55.9567,56.3666,11660022,0.006273,56.794968,0.429725,55.757286,,0.007207,
2010-03-02,56.3741,56.9568,56.3741,56.7612,17227572,0.007002,60.344935,0.445895,55.852072,,0.007284,
2010-03-03,56.5949,57.1206,56.5949,57.0541,14229536,0.005161,62.788803,0.476848,55.977732,,0.007091,
2010-03-04,57.1529,57.1529,56.4444,56.7309,8697946,-0.005665,58.504594,0.469883,56.055920,,0.006955,
2010-03-05,56.5351,57.0827,56.4449,56.8757,8437845,0.002551,59.826341,0.470615,56.144564,,0.006931,
2010-03-08,56.7528,57.0063,56.7528,56.9536,13526193,0.001370,60.555173,0.472044,56.247001,,0.006823,
2010-03-09,57.0093,57.1163,56.6060,57.0815,14916723,0.002246,61.780575,0.477988,56.363360,,0.006737,
2010-03-10,56.9896,57.6350,56.9896,57.5549,9366118,0.008292,65.990880,0.514957,56.489107,,0.006846,
