date,open,high,low,close,volume,returns_daily,rsi_14,macd,ma_20,ma_50,volatility_20d,correlation_spy
2010-01-04,60.0000,60.9197,59.5714,60.0000,10995904,0.000000,,0.000000,,,,
2010-01-05,60.3869,62.0018,60.3869,60.9833,9796446,0.016389,,0.078443,,,,
2010-01-06,61.0350,61.0350,59.8351,59.9620,16925231,-0.016747,,0.057536,,,,
2010-01-07,59.6887,63.6355,59.6887,62.4694,15541054,0.041815,,0.240515,,,,
2010-01-08,62.9135,63.8945,62.9135,63.6054,9687192,0.018186,,0.471758,,,,
2010-01-11,63.6070,63.6070,62.8453,62.9988,9575775,-0.009537,,0.599165,,,,
2010-01-12,63.0194,64.2584,63.0194,63.7459,9940833,0.011859,,0.751756,,,,
2010-01-13,63.9620,63.9620,63.1515,63.4797,8989453,-0.004176,,0.841503,,,,
2010-01-14,63.4505,63.8889,62.5854,62.9280,11011738,-0.008692,,0.858215,,,,
2010-01-15,62.7930,62.7930,60.7392,60.7670,9697063,-0.034339,,0.689147,,,,
2010-01-18,60.7898,60.7898,58.9068,59.7084,10766931,-0.017421,,0.464386,,,,
2010-01-19,59.8103,61.4601,59.8103,60.4385,10003623,0.012228,,0.341239,,,,
2010-01-20,61.2255,62.0811,59.9295,61.5578,15175390,0.018519,,0.330156,,,,
2010-01-21,61.3786,62.9443,61.3786,62.4777,12611885,0.014944,,0.391096,,,,
2010-01-22,62.8400,62.8400,62.0390,62.1753,10996260,-0.004841,,0.410257,,,,
2010-01-25,62.0962,63.0011,61.9490,62.4257,9063511,0.004027,58.500909,0.440570,,,,
2010-01-26,62.6277,62.6277,59.3601,60.2001,6692725,-0.035652,49.598461,0.281756,,,,
2010-01-27,60.0990,60.7072,58.9863,59.9294,5702605,-0.004497,48.629140,0.132524,,,,
2010-01-28,59.8341,59.8341,58.8043,59.2560,15143334,-0.011237,46.209775,-0.039625,,,,
2010-01-29,59.1325,60.9017,59.1325,60.7175,13906781,0.024665,51.813218,-0.057457,61.491305,,0.019473,
2010-02-01,61.0955,61.0955,60.8132,60.8277,12069048,0.001815,52.217345,-0.061984,61.532691,,0.019474,
2010-02-02,60.8214,61.4702,60.4331,61.1899,15197644,0.005954,53.595007,-0.035932,61.543019,,0.019173,
2010-02-03,61.2490,61.3184,59.7015,60.6986,10172233,-0.008029,51.428812,-0.054305,61.579846,,0.018861,
2010-02-04,60.9946,62.6848,60.8493,61.5359,9814125,0.013794,54.782861,-0.001290,61.533171,,0.016552,
2010-02-05,61.4717,62.4063,61.4717,62.3101,11364539,0.012581,57.692156,0.102022,61.468404,,0.016261,
2010-02-08,62.2060,63.3155,62.0842,62.8258,12405830,0.008277,59.558755,0.222942,61.459754,,0.016251,
2010-02-09,62.8261,62.8261,61.2733,61.3918,12512951,-0.022825,52.608403,0.200744,61.342047,,0.016761,
2010-02-10,61.9012,62.7232,61.7210,62.2976,14806537,0.014755,56.093988,0.253328,61.282944,,0.017146,
2010-02-11,61.9949,63.1157,61.9949,62.6350,13995781,0.005415,57.352009,0.318550,61.268296,,0.017095,
2010-02-12,62.7872,64.4201,62.7872,64.0206,11236606,0.022122,62.148990,0.476551,61.430973,,0.015751,
2010-02-15,63.9385,63.9385,61.3172,62.4547,7328200,-0.024459,54.665664,0.469997,61.568287,,0.016294,
2010-02-16,62.4160,65.9287,62.4160,64.6806,6739188,0.035640,61.721387,0.637067,61.780389,,0.017809,
2010-02-17,64.3795,65.0898,64.3795,64.8543,16945222,0.002685,62.215586,0.774559,61.945211,,0.017457,
2010-02-18,65.4080,65.4080,62.6054,62.9098,6724173,-0.029982,53.836257,0.718342,61.966815,,0.018656,
2010-02-19,63.0651,63.0651,60.9915,61.8835,7300698,-0.016314,50.007850,0.584241,61.952226,,0.019002,
2010-02-22,61.7994,61.9030,61.3747,61.5889,9558315,-0.004761,48.932158,0.449016,61.910385,,0.019004,
2010-02-23,61.3869,62.8431,61.3869,62.6676,10898889,0.017514,52.924949,0.424003,62.033761,,0.017486,
2010-02-24,62.7498,62.7498,61.1710,61.1777,12433948,-0.023774,47.411212,0.280724,62.096178,,0.018381,
2010-02-25,61.4095,62.0964,61.4095,62.0622,6481527,0.014457,50.695033,0.235822,62.236486,,0.018364,
2010-02-26,61.7797,61.8431,60.8005,61.4932,13604224,-0.009168,48.592697,0.152564,62.275267,,0.017761,
2010-03-01,61.3734,61.3734,60.2324,60.3066,13627214,-0.019296,44.452782,-0.009061,62.249210,,0.018315,
2010-03-02,60.4811,62.7476,60.4811,62.3678,8502089,0.034179,52.088804,0.028839,62.308104,,0.019844,
2010-03-03,62.6307,62.6364,62.1787,62.2188,8622481,-0.002389,51.537258,0.046319,62.384113,,0.019747,
2010-03-04,62.3986,62.3986,61.4537,61.5317,13808663,-0.011043,48.962718,0.004676,62.383905,,0.019709,
2010-03-05,61.8727,63.2699,61.8727,63.2484,8912561,0.027900,55.010197,0.108943,62.430823,,0.020498,
2010-03-08,63.6816,64.5024,63.3986,64.0645,6858059,0.012903,57.583243,0.254494,62.492759,,0.020611,
2010-03-09,64.0249,67.0771,64.0249,66.6365,16251798,0.040147,64.478414,0.570805,62.754997,,0.021540,
2010-03-10,66.5993,67.2758,66.5945,66.8838,12604028,0.003711,65.066357,0.831847,62.984305,,0.021399,
2010-03-11,66.8809,67.6309,66.8581,67.0561,10363871,0.002575,65.494796,1.040628,63.205358,,0.021397,
2010-03-12,66.5969,67.6770,66.5969,66.9454,7050331,-0.001650,64.943707,1.183516,63.351599,62.331820,0.020972,
2010-03-15,66.9375,66.9375,65.0595,65.7808,18572803,-0.017397,59.289673,1.189074,63.517902,62.447435,0.020551,
2010-03-16,65.5532,65.6779,64.4562,65.2213,15188084,-0.008504,56.734531,1.135250,63.544941,62.532195,0.019161,
2010-03-17,65.3237,67.8444,65.3237,67.4878,16552053,0.034750,63.582112,1.260944,63.676618,62.682711,0.020631,
2010-03-18,67.0760,69.6627,67.0760,68.7615,9024489,0.018872,66.765407,1.446654,63.969200,62.808553,0.019481,
2010-03-19,68.6785,68.6785,67.7790,67.8525,19878904,-0.013220,62.562268,1.503155,64.267647,62.893493,0.019318,
