packet_num,timestamp,src_ip,dst_ip,dst_port,packet_size,inter_arrival_ms,flow_id
0,1700000000.004627,192.168.5.172,104.22.186.111,443,606,0.0,NORMAL_0000
1,1700000000.013443,192.168.10.148,104.26.142.222,443,205,8.816,NORMAL_0001
2,1700000000.014728,192.168.2.175,104.16.57.20,443,507,1.285,NORMAL_0002
3,1700000000.015744,192.168.10.103,104.16.98.103,443,1054,1.016,NORMAL_0003
4,1700000000.071742,192.168.4.36,104.25.65.50,443,978,55.998,NORMAL_0004
5,1700000000.086211,192.168.3.172,104.29.167.104,443,1257,14.469,NORMAL_0005
6,1700000000.103753,192.168.5.118,104.21.211.7,443,534,17.542,NORMAL_0006
7,1700000000.107182,192.168.9.215,104.16.59.225,443,1231,3.429,NORMAL_0007
8,1700000000.107452,192.168.4.198,104.26.104.176,443,192,0.27,NORMAL_0008
9,1700000000.128235,192.168.7.187,104.26.63.185,443,1133,20.783,NORMAL_0009
10,1700000000.134193,192.168.10.142,104.26.223.156,443,1105,5.958,NORMAL_0010
11,1700000000.134901,192.168.8.55,104.17.47.163,443,1118,0.708,NORMAL_0011
12,1700000000.138349,192.168.1.175,104.17.47.163,443,1141,3.448,NORMAL_0012
13,1700000000.151269,192.168.5.253,104.18.125.95,443,255,12.92,NORMAL_0013
14,1700000000.287522,192.168.9.21,104.26.142.222,443,1032,136.253,NORMAL_0014
15,1700000000.288310,192.168.2.3,104.25.158.171,443,970,0.788,NORMAL_0015
16,1700000000.293743,192.168.4.151,104.24.91.149,443,665,5.433,NORMAL_0016
17,1700000000.338510,192.168.6.103,104.25.107.184,443,336,44.767,NORMAL_0017
18,1700000000.341017,192.168.2.25,104.20.135.30,443,775,2.507,NORMAL_0018
19,1700000000.352464,192.168.4.115,104.16.98.103,443,1189,11.447,NORMAL_0019
20,1700000000.358982,192.168.4.36,104.20.21.79,443,651,6.518,NORMAL_0020
21,1700000000.361164,192.168.3.172,104.24.91.149,443,787,2.182,NORMAL_0021
22,1700000000.370811,192.168.4.248,104.17.240.57,443,184,9.647,NORMAL_0022
23,1700000000.371983,192.168.6.205,104.18.125.95,443,621,1.172,NORMAL_0023
24,1700000000.372361,192.168.9.138,104.21.170.201,443,849,0.378,NORMAL_0024
25,1700000000.384820,192.168.3.33,104.16.98.103,443,236,12.459,NORMAL_0025
26,1700000000.386075,192.168.10.103,104.27.75.111,443,979,1.255,NORMAL_0026
27,1700000000.390816,192.168.8.209,104.19.197.231,443,1262,4.741,NORMAL_0027
28,1700000000.392093,192.168.9.138,104.16.57.20,443,889,1.277,NORMAL_0028
29,1700000000.404161,192.168.9.26,104.27.107.175,443,371,12.068,NORMAL_0029
30,1700000000.430202,192.168.8.24,104.24.19.28,443,194,26.041,NORMAL_0030
31,1700000000.435682,192.168.2.182,104.22.130.12,443,1235,5.48,NORMAL_0031
32,1700000000.437351,192.168.7.187,104.25.158.171,443,933,1.669,NORMAL_0032
33,1700000000.442818,192.168.10.103,104.25.4.171,443,420,5.467,NORMAL_0033
34,1700000000.449010,192.168.4.40,104.25.107.184,443,1395,6.192,NORMAL_0034
35,1700000000.502046,192.168.6.155,104.25.107.184,443,653,53.036,NORMAL_0035
36,1700000000.550505,192.168.1.62,104.24.250.65,443,279,48.459,NORMAL_0036
37,1700000000.554846,192.168.1.249,104.16.98.103,443,860,4.341,NORMAL_0037
38,1700000000.558722,192.168.2.98,104.29.141.12,443,506,3.876,NORMAL_0038
39,1700000000.567713,192.168.7.21,104.22.130.12,443,603,8.991,NORMAL_0039
40,1700000000.571511,192.168.8.129,104.20.135.30,443,792,3.798,NORMAL_0040
41,1700000000.600489,192.168.7.232,104.17.47.163,443,1176,28.978,NORMAL_0041
42,1700000000.603874,192.168.9.81,104.16.98.103,443,1336,3.385,NORMAL_0042
43,1700000000.607149,192.168.8.207,104.16.98.103,443,116,3.275,NORMAL_0043
44,1700000000.611054,192.168.4.234,104.25.116.58,443,427,3.905,NORMAL_0044
45,1700000000.613347,192.168.1.246,104.20.135.30,443,964,2.293,NORMAL_0045
46,1700000000.616445,192.168.9.197,104.22.130.12,443,890,3.098,NORMAL_0046
47,1700000000.620968,192.168.4.234,104.26.142.222,443,1312,4.523,NORMAL_0047
48,1700000000.623177,192.168.2.64,104.23.52.91,443,681,2.209,NORMAL_0048
49,1700000000.630378,192.168.2.99,104.29.79.237,443,630,7.201,NORMAL_0049
50,1700000000.639591,192.168.5.253,104.26.104.176,443,1195,9.213,NORMAL_0050
51,1700000000.641897,192.168.2.114,104.19.79.70,443,1093,2.306,NORMAL_0051
52,1700000000.643321,192.168.10.109,104.16.170.198,443,285,1.424,NORMAL_0052
53,1700000000.645832,192.168.3.130,104.20.134.42,443,1061,2.511,NORMAL_0053
54,1700000000.646635,192.168.7.106,104.22.186.111,443,210,0.803,NORMAL_0054
55,1700000000.649062,192.168.3.72,104.23.52.91,443,186,2.427,NORMAL_0055
56,1700000000.652300,192.168.8.63,104.24.250.65,443,675,3.238,NORMAL_0056
57,1700000000.660127,192.168.5.36,104.24.91.149,443,1283,7.827,NORMAL_0057
58,1700000000.660325,192.168.5.197,104.21.211.7,443,1280,0.198,NORMAL_0058
59,1700000000.665185,192.168.2.16,104.29.141.12,443,278,4.86,NORMAL_0059
60,1700000000.673295,192.168.2.64,104.25.4.171,443,242,8.11,NORMAL_0060
61,1700000000.680918,192.168.2.12,104.25.4.171,443,866,7.623,NORMAL_0061
62,1700000000.690252,192.168.10.243,104.29.0.134,443,320,9.334,NORMAL_0062
63,1700000000.698252,192.168.6.196,104.17.240.57,443,841,8.0,NORMAL_0063
64,1700000000.709298,192.168.1.167,104.16.98.103,443,700,11.046,NORMAL_0064
65,1700000000.710251,192.168.2.22,104.29.79.237,443,800,0.953,NORMAL_0065
66,1700000000.713448,192.168.1.59,104.22.130.12,443,282,3.197,NORMAL_0066
67,1700000000.719773,192.168.10.153,104.24.91.149,443,506,6.325,NORMAL_0067
68,1700000000.725543,192.168.7.91,104.16.98.103,443,842,5.77,NORMAL_0068
69,1700000000.735191,192.168.8.209,104.23.52.91,443,143,9.648,NORMAL_0069
70,1700000000.735284,192.168.6.42,104.20.21.79,443,668,0.093,NORMAL_0070
71,1700000000.737338,192.168.9.221,104.20.21.79,443,709,2.054,NORMAL_0071
72,1700000000.742224,192.168.4.248,104.29.141.12,443,1086,4.886,NORMAL_0072
73,1700000000.891208,192.168.8.55,104.29.127.69,443,249,148.984,NORMAL_0073
74,1700000000.892049,192.168.5.40,104.16.98.103,443,1384,0.841,NORMAL_0074
75,1700000000.901560,192.168.3.33,104.21.55.98,443,987,9.511,NORMAL_0075
76,1700000000.915762,192.168.6.225,104.22.130.12,443,558,14.202,NORMAL_0076
77,1700000000.916554,192.168.1.221,104.21.170.201,443,1083,0.792,NORMAL_0077
78,1700000000.919447,192.168.4.191,104.26.104.176,443,367,2.893,NORMAL_0078
79,1700000000.928967,192.168.5.36,104.27.107.175,443,458,9.52,NORMAL_0079
80,1700000000.948825,192.168.4.183,104.25.116.58,443,1209,19.858,NORMAL_0080
81,1700000000.950463,192.168.5.103,104.17.240.57,443,335,1.638,NORMAL_0081
82,1700000000.952978,192.168.8.160,104.23.83.250,443,1098,2.515,NORMAL_0082
83,1700000000.959043,192.168.4.115,104.27.75.111,443,569,6.065,NORMAL_0083
84,1700000000.959438,192.168.2.22,104.20.135.30,443,1398,0.395,NORMAL_0084
85,1700000000.967780,192.168.1.175,104.26.63.185,443,427,8.342,NORMAL_0085
86,1700000000.975627,192.168.3.109,104.24.19.28,443,860,7.847,NORMAL_0086
87,1700000000.984081,192.168.9.34,104.20.135.30,443,132,8.454,NORMAL_0087
88,1700000000.984317,192.168.3.203,104.24.19.28,443,1331,0.236,NORMAL_0088
89,1700000000.985537,192.168.4.151,104.21.55.98,443,1396,1.22,NORMAL_0089
90,1700000000.997466,192.168.1.187,104.26.142.222,443,1027,11.929,NORMAL_0090
91,1700000001.009972,192.168.10.109,104.23.52.91,443,659,12.506,NORMAL_0091
92,1700000001.018398,192.168.4.42,104.27.20.231,443,1056,8.426,NORMAL_0092
93,1700000001.039422,192.168.6.205,104.17.47.163,443,1315,21.024,NORMAL_0093
94,1700000001.058494,192.168.5.62,104.27.75.111,443,279,19.072,NORMAL_0094
95,1700000001.061698,192.168.1.187,104.17.240.57,443,828,3.204,NORMAL_0095
96,1700000001.086184,192.168.8.160,104.16.98.103,443,855,24.486,NORMAL_0096
97,1700000001.087305,192.168.1.187,104.22.130.12,443,674,1.121,NORMAL_0097
98,1700000001.098484,192.168.1.195,104.29.167.104,443,536,11.179,NORMAL_0098
99,1700000001.135550,192.168.10.109,104.29.194.174,443,876,37.066,NORMAL_0099
100,1700000001.141699,192.168.2.98,104.25.107.184,443,944,6.149,NORMAL_0100
101,1700000001.157770,192.168.6.226,104.19.197.231,443,752,16.071,NORMAL_0101
102,1700000001.167381,192.168.5.172,104.26.63.185,443,1171,9.611,NORMAL_0102
103,1700000001.179588,192.168.5.249,104.24.91.149,443,390,12.207,NORMAL_0103
104,1700000001.179798,192.168.4.49,104.20.18.214,443,1287,0.21,NORMAL_0104
105,1700000001.180328,192.168.1.246,104.25.116.58,443,401,0.53,NORMAL_0105
106,1700000001.181499,192.168.4.222,104.25.65.50,443,1043,1.171,NORMAL_0106
107,1700000001.211284,192.168.9.21,104.21.170.201,443,1077,29.785,NORMAL_0107
108,1700000001.213946,192.168.7.91,104.29.141.12,443,1241,2.662,NORMAL_0108
109,1700000001.214502,192.168.4.43,104.22.235.90,443,711,0.556,NORMAL_0109
110,1700000001.226831,192.168.9.170,104.23.83.250,443,207,12.329,NORMAL_0110
111,1700000001.251449,192.168.10.227,104.21.55.98,443,773,24.618,NORMAL_0111
112,1700000001.252632,192.168.2.174,104.18.142.90,443,240,1.183,NORMAL_0112
113,1700000001.262824,192.168.2.238,104.29.0.134,443,281,10.192,NORMAL_0113
114,1700000001.274664,192.168.2.238,104.27.75.111,443,911,11.84,NORMAL_0114
115,1700000001.281210,192.168.7.232,104.24.250.65,443,225,6.546,NORMAL_0115
116,1700000001.284052,192.168.5.249,104.22.235.90,443,109,2.842,NORMAL_0116
117,1700000001.314347,192.168.10.225,104.20.135.30,443,1035,30.295,NORMAL_0117
118,1700000001.320407,192.168.1.207,104.29.127.69,443,1204,6.06,NORMAL_0118
119,1700000001.321883,192.168.8.74,104.20.134.42,443,698,1.476,NORMAL_0119
120,1700000001.322658,192.168.6.113,104.25.80.113,443,861,0.775,NORMAL_0120
121,1700000001.329700,192.168.5.117,104.26.223.156,443,1085,7.042,NORMAL_0121
122,1700000001.334135,192.168.1.221,104.29.0.134,443,1217,4.435,NORMAL_0122
123,1700000001.335158,192.168.4.198,104.30.218.144,443,1320,1.023,NORMAL_0123
124,1700000001.353002,192.168.2.22,104.20.134.42,443,527,17.844,NORMAL_0124
125,1700000001.354921,192.168.1.175,104.25.107.184,443,1133,1.919,NORMAL_0125
126,1700000001.355885,192.168.9.61,104.20.135.30,443,1030,0.964,NORMAL_0126
127,1700000001.360278,192.168.2.138,104.25.4.171,443,284,4.393,NORMAL_0127
