timestamp,solar_irradiance_W_per_m2,wind_speed_m_s,temperature_C,load_demand_kW,solar_output_kW,wind_output_kW,renewable_total_kW,net_load_kW,battery_soc_baseline_pct
2023-01-01T00:00:00Z,0.0,2.4541,9.9424,267.9432,0.0,0.0,0.0,267.9432,36.6028
2023-01-01T01:00:00Z,0.0,5.7849,10.2441,224.8864,0.0,14.8135,14.8135,210.0729,26.0992
2023-01-01T02:00:00Z,0.0,13.8924,12.0714,254.4404,0.0,500.0,500.0,-245.5596,38.3772
2023-01-01T03:00:00Z,0.0,3.4547,14.7746,212.6525,0.0,0.0645,0.0645,212.588,27.7478
2023-01-01T04:00:00Z,0.0,5.9542,14.6277,263.9423,0.0,17.6837,17.6837,246.2586,15.4348
2023-01-01T05:00:00Z,0.0,5.1345,17.8595,262.3118,0.0,6.6705,6.6705,255.6413,10.0
2023-01-01T06:00:00Z,0.0,10.7072,18.0489,273.8065,0.0,314.0053,314.0053,-40.1988,12.0099
2023-01-01T07:00:00Z,181.1733,10.1889,18.1414,332.4204,18.1173,254.8228,272.9401,59.4803,10.0
2023-01-01T08:00:00Z,350.0,4.8758,20.4902,375.0223,35.0,4.5272,39.5272,335.4951,10.0
2023-01-01T09:00:00Z,494.9747,3.5995,20.275,332.4784,49.4975,0.1478,49.6452,282.8332,10.0
2023-01-01T10:00:00Z,557.0603,7.8925,19.0674,287.8868,55.706,80.3231,136.0291,151.8577,10.0
2023-01-01T11:00:00Z,676.1481,5.825,21.6884,245.9488,67.6148,15.4627,83.0775,162.8713,10.0
2023-01-01T12:00:00Z,700.0,8.3356,19.5896,207.2653,70.0,104.1825,174.1825,33.0827,10.0
2023-01-01T13:00:00Z,224.1527,3.0671,18.5543,216.6607,22.4153,0.0002,22.4155,194.2452,10.0
2023-01-01T14:00:00Z,511.2158,4.2033,16.6445,269.4352,51.1216,1.1951,52.3167,217.1186,10.0
2023-01-01T15:00:00Z,412.5955,8.3145,17.4736,256.9848,41.2596,102.9504,144.21,112.7748,10.0
2023-01-01T16:00:00Z,350.0,4.6816,15.5173,237.9517,35.0,3.2614,38.2614,199.6903,10.0
2023-01-01T17:00:00Z,181.1733,10.0059,14.3351,274.6771,18.1173,235.8458,253.9631,20.714,10.0
2023-01-01T18:00:00Z,0.0,2.9743,11.9925,368.0662,0.0,0.0,0.0,368.0662,10.0
2023-01-01T19:00:00Z,0.0,4.4558,12.2986,376.1331,0.0,2.1161,2.1161,374.017,10.0
2023-01-01T20:00:00Z,0.0,16.8479,11.5817,378.3577,0.0,500.0,500.0,-121.6423,16.0821
2023-01-01T21:00:00Z,0.0,6.0201,9.5016,367.1816,0.0,18.8928,18.8928,348.2888,10.0
2023-01-01T22:00:00Z,0.0,8.1106,8.583,229.9907,0.0,91.5526,91.5526,138.4382,10.0
2023-01-01T23:00:00Z,0.0,4.1947,10.7517,242.2028,0.0,1.1695,1.1695,241.0333,10.0
2023-01-02T00:00:00Z,0.0,7.3209,9.098,357.9196,0.0,55.3317,55.3317,302.5879,10.0
2023-01-02T01:00:00Z,0.0,8.3277,11.618,345.5696,0.0,103.7198,103.7198,241.8498,10.0
2023-01-02T02:00:00Z,0.0,5.1866,12.0542,325.8693,0.0,7.1705,7.1705,318.6988,10.0
2023-01-02T03:00:00Z,0.0,9.4721,14.9261,325.9224,0.0,185.9408,185.9408,139.9816,10.0
2023-01-02T04:00:00Z,0.0,7.27,14.6086,303.825,0.0,53.3978,53.3978,250.4272,10.0
2023-01-02T05:00:00Z,0.0,5.712,17.4028,325.0882,0.0,13.681,13.681,311.4072,10.0
2023-01-02T06:00:00Z,0.0136,6.9185,16.9873,356.7463,0.0014,41.268,41.2694,315.4769,10.0
2023-01-02T07:00:00Z,116.8668,7.1928,19.537,453.1963,11.6867,50.5528,62.2395,390.9568,10.0
2023-01-02T08:00:00Z,185.207,4.3022,21.392,567.8603,18.5207,1.5144,20.0351,547.8251,10.0
2023-01-02T09:00:00Z,495.0005,6.1608,18.7631,512.551,49.5,21.6582,71.1582,441.3928,10.0
2023-01-02T10:00:00Z,606.2457,5.8246,20.2935,418.3456,60.6246,15.4565,76.0811,342.2645,10.0
2023-01-02T11:00:00Z,676.1773,6.2774,22.5799,423.6742,67.6177,24.1448,91.7625,331.9118,10.0
2023-01-02T12:00:00Z,700.0296,9.1791,19.3982,434.1589,70.003,161.8175,231.8204,202.3385,10.0
2023-01-02T13:00:00Z,647.9038,6.8528,18.5988,430.7919,64.7904,39.2259,104.0163,326.7756,10.0
2023-01-02T14:00:00Z,606.2457,12.0062,18.29,392.0736,60.6246,500.0,560.6246,-168.551,18.4275
2023-01-02T15:00:00Z,495.0005,5.3912,16.3367,426.3922,49.5,9.3776,58.8777,367.5145,10.0
2023-01-02T16:00:00Z,105.3905,6.148,13.2943,431.7356,10.539,21.397,31.936,399.7996,10.0
2023-01-02T17:00:00Z,181.1919,9.0901,14.8397,529.2935,18.1192,154.9237,173.0429,356.2506,10.0
2023-01-02T18:00:00Z,0.0133,6.8317,10.4985,501.2928,0.0013,38.5856,38.5869,462.706,10.0
2023-01-02T19:00:00Z,0.0,6.8392,11.0492,515.2135,0.0,38.8115,38.8115,476.402,10.0
2023-01-02T20:00:00Z,0.0,2.9045,11.8788,500.0094,0.0,0.0,0.0,500.0094,10.0
2023-01-02T21:00:00Z,0.0,5.7783,9.8153,429.4,0.0,14.709,14.709,414.691,10.0
2023-01-02T22:00:00Z,0.0,4.8711,9.3078,364.1826,0.0,4.4929,4.4929,359.6896,10.0
2023-01-02T23:00:00Z,0.0,17.7285,11.0511,324.171,0.0,500.0,500.0,-175.829,18.7915
2023-01-03T00:00:00Z,0.0,5.1423,9.8247,316.4051,0.0,6.7431,6.7431,309.662,10.0
2023-01-03T01:00:00Z,0.0,10.3141,10.2482,307.5761,0.0,268.3667,268.3667,39.2094,10.0
2023-01-03T02:00:00Z,0.0,7.8708,12.7804,320.5871,0.0,79.258,79.258,241.3291,10.0
2023-01-03T03:00:00Z,0.0,5.3732,13.5289,310.4703,0.0,9.1674,9.1674,301.3029,10.0
2023-01-03T04:00:00Z,0.0,6.8126,13.7623,350.6007,0.0,38.0094,38.0094,312.5912,10.0
2023-01-03T05:00:00Z,0.0,9.6289,16.937,311.3007,0.0,199.7882,199.7882,111.5125,10.0
2023-01-03T06:00:00Z,0.0543,10.2942,17.9704,354.2158,0.0054,266.1853,266.1907,88.0251,10.0
2023-01-03T07:00:00Z,181.2477,4.1372,18.1817,430.2946,18.1248,1.0088,19.1335,411.1611,10.0
2023-01-03T08:00:00Z,164.9543,5.6137,19.0447,602.4359,16.4954,12.2469,28.7423,573.6937,10.0
2023-01-03T09:00:00Z,155.6847,5.6866,20.3059,540.8149,15.5685,13.2998,28.8682,511.9467,10.0
2023-01-03T10:00:00Z,537.3967,3.1756,21.1963,454.6088,53.7397,0.0037,53.7434,400.8654,10.0
2023-01-03T11:00:00Z,676.2649,7.7117,19.5528,426.6283,67.6265,71.7407,139.3672,287.261,10.0
2023-01-03T12:00:00Z,700.1185,10.3341,19.9907,394.0939,70.0119,270.5726,340.5845,53.5094,10.0
2023-01-03T13:00:00Z,302.3504,6.1415,19.1067,393.6649,30.235,21.2644,51.4995,342.1654,10.0
2023-01-03T14:00:00Z,606.3295,8.8963,18.3852,399.338,60.6329,140.598,201.231,198.107,10.0
2023-01-03T15:00:00Z,495.0778,7.8167,16.3393,439.8274,49.5078,76.6476,126.1553,313.672,10.0
2023-01-03T16:00:00Z,254.5454,5.8671,14.0936,448.3683,25.4545,16.1642,41.6187,406.7496,10.0
2023-01-03T17:00:00Z,181.2477,3.9682,13.2493,526.3593,18.1248,0.6225,18.7472,507.612,10.0
2023-01-03T18:00:00Z,0.0355,8.1684,12.8488,527.0265,0.0035,94.6924,94.6959,432.3305,10.0
2023-01-03T19:00:00Z,0.0,9.8303,13.2889,532.8185,0.0,218.5571,218.5571,314.2614,10.0
2023-01-03T20:00:00Z,0.0,7.9555,10.1918,505.7189,0.0,83.4628,83.4628,422.2561,10.0
2023-01-03T21:00:00Z,0.0,2.305,10.9811,419.2064,0.0,0.0,0.0,419.2064,10.0
2023-01-03T22:00:00Z,0.0,4.4607,9.6779,351.7632,0.0,2.1377,2.1377,349.6255,10.0
2023-01-03T23:00:00Z,0.0,3.1092,10.2868,323.7822,0.0,0.0009,0.0009,323.7813,10.0
2023-01-04T00:00:00Z,0.0,7.013,12.1986,355.3764,0.0,44.3252,44.3252,311.0512,10.0
2023-01-04T01:00:00Z,0.0,8.629,12.2421,330.5034,0.0,122.3333,122.3333,208.1701,10.0
2023-01-04T02:00:00Z,0.0,3.5519,11.272,329.6508,0.0,0.1153,0.1153,329.5355,10.0
2023-01-04T03:00:00Z,0.0,9.5974,13.1468,311.7358,0.0,196.9555,196.9555,114.7803,10.0
2023-01-04T04:00:00Z,0.0,6.9008,16.2696,344.2434,0.0,40.7087,40.7087,303.5347,10.0
2023-01-04T05:00:00Z,0.0,7.991,16.4493,309.122,0.0,85.2715,85.2715,223.8505,10.0
2023-01-04T06:00:00Z,0.1222,12.8099,16.3645,361.6379,0.0122,500.0,500.0122,-138.3743,16.9187
2023-01-04T07:00:00Z,133.2028,3.4011,17.7299,439.8349,13.3203,0.0443,13.3645,426.4703,10.0
2023-01-04T08:00:00Z,350.2039,10.8769,20.047,572.8154,35.0204,335.2008,370.2212,202.5943,10.0
2023-01-04T09:00:00Z,495.2065,4.0544,20.8374,524.0511,49.5206,0.804,50.3247,473.7264,10.0
2023-01-04T10:00:00Z,606.4691,6.1701,20.0312,443.5561,60.6469,21.8501,82.497,361.0591,10.0
2023-01-04T11:00:00Z,620.0318,10.2661,22.3183,418.1575,62.0032,263.1142,325.1173,93.0401,10.0
2023-01-04T12:00:00Z,700.2666,11.2294,20.1676,417.5357,70.0267,382.2445,452.2712,-34.7355,11.7368
2023-01-04T13:00:00Z,676.4109,7.0223,18.3054,418.623,67.6411,44.6338,112.2749,306.3481,10.0
2023-01-04T14:00:00Z,606.4691,7.6284,16.6976,420.8935,60.6469,68.0023,128.6492,292.2443,10.0
2023-01-04T15:00:00Z,495.2065,8.5099,15.3325,424.7872,49.5206,114.7321,164.2528,260.5344,10.0
2023-01-04T16:00:00Z,350.2039,9.7717,15.3488,422.6703,35.0204,212.9765,247.9969,174.6734,10.0
2023-01-04T17:00:00Z,181.3407,3.787,13.2305,504.1199,18.1341,0.3343,18.4684,485.6514,10.0
2023-01-04T18:00:00Z,0.0301,9.231,14.1871,511.0016,0.003,165.9274,165.9304,345.0712,10.0
2023-01-04T19:00:00Z,0.0,6.3591,12.9441,551.0732,0.0,25.9951,25.9951,525.0781,10.0
2023-01-04T20:00:00Z,0.0,6.1416,11.3163,526.1259,0.0,21.2663,21.2663,504.8596,10.0
2023-01-04T21:00:00Z,0.0,5.9537,9.0047,433.2476,0.0,17.6739,17.6739,415.5738,10.0
2023-01-04T22:00:00Z,0.0,6.5599,9.3411,339.9664,0.0,30.9422,30.9422,309.0242,10.0
2023-01-04T23:00:00Z,0.0,11.718,11.4394,331.9758,0.0,454.4566,454.4566,-122.4808,16.124
2023-01-05T00:00:00Z,0.0,6.8446,10.1305,322.6255,0.0,38.9762,38.9762,283.6493,10.0
2023-01-05T01:00:00Z,0.0,11.9945,12.6103,329.3683,0.0,499.0916,499.0916,-169.7233,18.4862
2023-01-05T02:00:00Z,0.0,4.1717,12.9983,329.3983,0.0,1.1033,1.1033,328.295,10.0
2023-01-05T03:00:00Z,0.0,8.3054,13.7813,342.896,0.0,102.4256,102.4256,240.4704,10.0
2023-01-05T04:00:00Z,0.0,9.2562,14.3209,333.4139,0.0,167.9446,167.9446,165.4693,10.0
2023-01-05T05:00:00Z,0.0,7.8935,16.2235,358.3218,0.0,80.3692,80.3692,277.9525,10.0
2023-01-05T06:00:00Z,0.2172,7.2943,17.7133,357.0513,0.0217,54.3144,54.3361,302.7152,10.0
2023-01-05T07:00:00Z,181.4709,7.0986,19.5918,411.1354,18.1471,47.2235,65.3706,345.7648,10.0
2023-01-05T08:00:00Z,350.3624,10.1738,18.4681,571.7892,35.0362,253.2144,288.2506,283.5386,10.0
2023-01-05T09:00:00Z,259.0074,9.728,19.5905,530.4975,25.9007,208.8857,234.7865,295.711,10.0
2023-01-05T10:00:00Z,606.6644,4.0964,20.0685,404.1608,60.6664,0.904,61.5705,342.5903,10.0
2023-01-05T11:00:00Z,676.6152,10.2231,20.516,389.5897,67.6615,258.4751,326.1366,63.453,10.0
2023-01-05T12:00:00Z,216.848,6.3832,18.4454,417.6151,21.6848,26.5606,48.2454,369.3697,10.0
2023-01-05T13:00:00Z,409.6337,5.2251,17.2427,438.2814,40.9634,7.5559,48.5192,389.7621,10.0
2023-01-05T14:00:00Z,182.7493,10.4959,18.1977,446.878,18.2749,288.8775,307.1525,139.7255,10.0
2023-01-05T15:00:00Z,287.9665,6.3627,14.7998,418.8264,28.7966,26.0797,54.8764,363.95,10.0
2023-01-05T16:00:00Z,350.3624,9.4586,16.3087,470.3465,35.0362,184.7838,219.82,250.5265,10.0
