sample_idx,Va_1,Vb_1,Vc_1,Ia_1,Ib_1,Ic_1,Va_5,Vb_5,Vc_5,Ia_5,Ib_5,Ic_5,Va_10,Vb_10,Vc_10,Ia_10,Ib_10,Ic_10,Va_30,Vb_30,Vc_30,Ia_30,Ib_30,Ic_30
0,0.998367,-0.505887,-0.496285,0.638673,-0.499608,-0.160489,0.991951,-0.497012,-0.495966,0.655289,-0.507222,-0.137833,0.992421,-0.500435,-0.493721,0.639676,-0.506458,-0.159406,0.995463,-0.492374,-0.49131,0.645582,-0.501022,-0.149446
1,1.00018,-0.484826,-0.512067,0.66189,-0.490516,-0.169775,0.996204,-0.488274,-0.508783,0.636212,-0.47467,-0.152819,0.994981,-0.488053,-0.515051,0.647155,-0.487901,-0.170575,1.007861,-0.484998,-0.5192,0.638312,-0.480803,-0.155214
2,0.999362,-0.471652,-0.525959,0.657257,-0.466878,-0.183819,1.001139,-0.47128,-0.534002,0.649079,-0.4968,-0.179514,0.997984,-0.470702,-0.536285,0.649805,-0.475252,-0.17,1.001123,-0.469977,-0.524601,0.657169,-0.471754,-0.175725
3,0.990589,-0.447316,-0.544275,0.653278,-0.464955,-0.201779,1.00643,-0.457786,-0.543518,0.655565,-0.462915,-0.168485,1.004881,-0.45046,-0.552256,0.66236,-0.47228,-0.181964,0.993127,-0.453024,-0.541998,0.645223,-0.465312,-0.181791
4,0.998829,-0.429848,-0.562135,0.657992,-0.456507,-0.199598,0.993728,-0.435404,-0.55982,0.665381,-0.457636,-0.219671,0.98829,-0.431685,-0.565639,0.666377,-0.457526,-0.212456,1.004224,-0.430165,-0.573851,0.659086,-0.463947,-0.213695
5,0.99283,-0.422681,-0.573803,0.658554,-0.440213,-0.20334,0.987816,-0.421919,-0.582157,0.683885,-0.448265,-0.229897,0.988744,-0.420596,-0.586574,0.678694,-0.465627,-0.211361,0.99431,-0.416518,-0.582463,0.662472,-0.468552,-0.215139
6,1.001291,-0.398629,-0.584921,0.66742,-0.448308,-0.229508,1.000655,-0.400909,-0.605575,0.65985,-0.442387,-0.217909,1.003954,-0.39981,-0.593364,0.673844,-0.437529,-0.22458,0.988998,-0.393029,-0.588346,0.683509,-0.447226,-0.213553
7,0.992004,-0.375624,-0.600783,0.67514,-0.423374,-0.23527,0.9946,-0.393773,-0.613725,0.682952,-0.430155,-0.236333,0.990469,-0.380906,-0.619521,0.676675,-0.443066,-0.22362,0.989516,-0.385437,-0.602631,0.686276,-0.426064,-0.243112
8,0.990085,-0.366354,-0.626553,0.660327,-0.417447,-0.255974,0.996449,-0.358688,-0.623454,0.676575,-0.405431,-0.243244,0.990198,-0.365028,-0.614948,0.678441,-0.415985,-0.266242,0.990523,-0.360786,-0.627981,0.696826,-0.422043,-0.234935
9,0.985917,-0.345577,-0.641557,0.663313,-0.410341,-0.26397,0.981128,-0.338748,-0.641318,0.66611,-0.420123,-0.257923,0.976228,-0.356302,-0.640021,0.680141,-0.396754,-0.253717,0.989253,-0.346498,-0.638785,0.649889,-0.39579,-0.269341
10,0.971504,-0.328733,-0.655155,0.665828,-0.403903,-0.270907,0.979823,-0.328286,-0.650834,0.672317,-0.403344,-0.262153,0.983647,-0.324254,-0.652562,0.657251,-0.387833,-0.282211,0.989915,-0.322467,-0.656025,0.673488,-0.420894,-0.261744
11,0.977558,-0.306329,-0.671557,0.685117,-0.401066,-0.284825,0.98715,-0.312963,-0.677364,0.683953,-0.388837,-0.278262,0.973736,-0.311455,-0.670891,0.690065,-0.381301,-0.279008,0.975199,-0.301893,-0.667902,0.666526,-0.384667,-0.278772
12,0.974133,-0.299466,-0.683198,0.668674,-0.390767,-0.294078,0.975331,-0.293598,-0.675077,0.677196,-0.365198,-0.294628,0.977575,-0.29182,-0.688749,0.700143,-0.394091,-0.291642,0.977518,-0.308483,-0.678392,0.701999,-0.383888,-0.293394
13,0.968253,-0.267762,-0.706976,0.69376,-0.346789,-0.293751,0.972966,-0.271521,-0.699754,0.700812,-0.371717,-0.308057,0.966593,-0.272636,-0.692601,0.688859,-0.381193,-0.320008,0.968861,-0.279729,-0.695479,0.685034,-0.375313,-0.321074
14,0.961415,-0.2532,-0.706421,0.673935,-0.369909,-0.30838,0.966624,-0.25548,-0.704765,0.684542,-0.337787,-0.316252,0.964952,-0.259201,-0.711559,0.674583,-0.380681,-0.328714,0.966521,-0.243362,-0.711309,0.670293,-0.368994,-0.30883
15,0.960778,-0.240791,-0.720796,0.682679,-0.334681,-0.337476,0.953107,-0.235289,-0.722636,0.682736,-0.34481,-0.314178,0.961361,-0.240742,-0.728493,0.683837,-0.36014,-0.329184,0.959911,-0.243158,-0.719429,0.679096,-0.334312,-0.320393
16,0.958476,-0.219017,-0.735853,0.67882,-0.336193,-0.325358,0.961799,-0.226319,-0.739285,0.680587,-0.334164,-0.33444,0.954207,-0.219612,-0.7289,0.679869,-0.336989,-0.343482,0.95464,-0.22216,-0.72969,0.684432,-0.333528,-0.324734
17,0.949739,-0.197032,-0.753622,0.684021,-0.338437,-0.348987,0.945908,-0.203659,-0.753027,0.661497,-0.324667,-0.354452,0.955003,-0.202556,-0.744115,0.680555,-0.34689,-0.357791,0.951029,-0.196912,-0.736279,0.69299,-0.324664,-0.359773
18,0.942686,-0.187257,-0.75458,0.662929,-0.319488,-0.342516,0.94584,-0.176499,-0.759863,0.660699,-0.32309,-0.364707,0.951765,-0.176279,-0.75793,0.674149,-0.313618,-0.365357,0.93683,-0.183195,-0.772843,0.675381,-0.314256,-0.344939
19,0.936264,-0.165271,-0.769636,0.684167,-0.284167,-0.363359,0.930435,-0.165102,-0.765389,0.685538,-0.298549,-0.36114,0.935105,-0.160906,-0.765772,0.67964,-0.304067,-0.353601,0.937869,-0.165393,-0.767924,0.658986,-0.30977,-0.378006
20,0.928667,-0.140413,-0.783069,0.688245,-0.298072,-0.366315,0.927551,-0.14705,-0.781242,0.675321,-0.283881,-0.384068,0.938413,-0.138758,-0.780867,0.674525,-0.309882,-0.392882,0.928844,-0.149186,-0.784583,0.673488,-0.291583,-0.378537
21,0.927646,-0.124527,-0.7965,0.674405,-0.288102,-0.37425,0.92626,-0.133019,-0.790286,0.68477,-0.280536,-0.385612,0.914911,-0.13104,-0.789947,0.670696,-0.284392,-0.398946,0.913852,-0.126548,-0.786911,0.673005,-0.287138,-0.376449
22,0.9101,-0.112187,-0.808022,0.673329,-0.272119,-0.407234,0.911104,-0.104021,-0.802679,0.669989,-0.265828,-0.420421,0.919686,-0.106149,-0.803301,0.664752,-0.268688,-0.391183,0.916824,-0.102065,-0.804383,0.667793,-0.268518,-0.386553
23,0.910613,-0.082831,-0.823161,0.673969,-0.256278,-0.417414,0.906222,-0.09413,-0.829339,0.677404,-0.274669,-0.407093,0.904199,-0.090428,-0.829806,0.664104,-0.257257,-0.418414,0.916257,-0.090351,-0.810258,0.668004,-0.258951,-0.394759
24,0.894846,-0.069085,-0.834782,0.660781,-0.24176,-0.41907,0.894537,-0.068759,-0.825022,0.653498,-0.252753,-0.425669,0.905274,-0.071708,-0.82953,0.667638,-0.227407,-0.41128,0.905204,-0.069113,-0.824406,0.666209,-0.236816,-0.414711
25,0.885383,-0.055552,-0.840029,0.673881,-0.241256,-0.454811,0.897682,-0.053219,-0.837096,0.670162,-0.233494,-0.436371,0.892738,-0.054372,-0.848352,0.66173,-0.236358,-0.444696,0.884043,-0.055151,-0.838802,0.65806,-0.232344,-0.449505
26,0.883371,-0.025687,-0.847792,0.671076,-0.242204,-0.444414,0.884387,-0.032907,-0.850931,0.658828,-0.216352,-0.441878,0.879051,-0.041585,-0.854119,0.680637,-0.226141,-0.448221,0.875307,-0.028761,-0.854529,0.663539,-0.231575,-0.446681
27,0.865969,-0.014015,-0.868279,0.67319,-0.203018,-0.453278,0.877589,-0.01033,-0.850515,0.656305,-0.217356,-0.450711,0.877414,-0.017296,-0.862306,0.651278,-0.20608,-0.463962,0.867386,-0.013288,-0.861988,0.644605,-0.209076,-0.450323
28,0.850151,0.003595,-0.872347,0.666293,-0.192359,-0.477056,0.853816,0.006928,-0.863387,0.656848,-0.181843,-0.482584,0.867211,0.00714,-0.870051,0.675745,-0.200658,-0.473676,0.860977,0.009363,-0.87078,0.663058,-0.188696,-0.45526
29,0.852455,0.024958,-0.885078,0.674062,-0.174656,-0.48455,0.854953,0.027188,-0.869811,0.668808,-0.192365,-0.488135,0.859057,0.01908,-0.876675,0.66537,-0.20743,-0.471639,0.84566,0.018487,-0.876424,0.658483,-0.193359,-0.473612
30,0.842104,0.044551,-0.890869,0.656572,-0.16478,-0.485486,0.849221,0.043599,-0.875758,0.653753,-0.179864,-0.477323,0.842624,0.040493,-0.885846,0.650942,-0.164751,-0.474985,0.838242,0.040463,-0.883295,0.653293,-0.170632,-0.482327
31,0.837117,0.061343,-0.899716,0.664233,-0.164385,-0.49576,0.848261,0.064159,-0.890198,0.652143,-0.153744,-0.499282,0.830044,0.060533,-0.895666,0.666592,-0.152397,-0.498427,0.830637,0.054794,-0.898856,0.64343,-0.16507,-0.490025
32,0.823642,0.080591,-0.905232,0.661787,-0.154344,-0.510496,0.829369,0.074096,-0.8932,0.661337,-0.147464,-0.495731,0.82453,0.082802,-0.908264,0.646963,-0.1375,-0.497074,0.832847,0.086363,-0.906611,0.651332,-0.144672,-0.495668
33,0.814805,0.100777,-0.90648,0.654223,-0.144461,-0.504125,0.81163,0.101158,-0.899217,0.638406,-0.132966,-0.509078,0.809801,0.094589,-0.915614,0.643735,-0.149668,-0.502213,0.821865,0.101104,-0.912569,0.649012,-0.132815,-0.508123
34,0.803158,0.126889,-0.916967,0.644985,-0.113416,-0.501142,0.79947,0.114789,-0.921631,0.62424,-0.118539,-0.534353,0.801476,0.121352,-0.909234,0.637851,-0.132439,-0.506506,0.809615,0.118629,-0.922973,0.633423,-0.140868,-0.516517
35,0.785642,0.139666,-0.936556,0.631675,-0.100169,-0.522457,0.783715,0.142535,-0.92554,0.625924,-0.1028,-0.535459,0.787758,0.136927,-0.922904,0.637314,-0.098994,-0.505961,0.786912,0.135014,-0.916688,0.620921,-0.100212,-0.518432
36,0.774701,0.156238,-0.926311,0.615952,-0.114086,-0.526692,0.777918,0.155883,-0.93124,0.637452,-0.091054,-0.538911,0.78695,0.163506,-0.93233,0.640716,-0.10316,-0.530088,0.786542,0.155596,-0.936384,0.615538,-0.10728,-0.53585
37,0.76991,0.175298,-0.943747,0.635948,-0.089157,-0.539491,0.766698,0.167244,-0.947025,0.602383,-0.092122,-0.519591,0.768472,0.176192,-0.935795,0.633606,-0.073755,-0.543086,0.768736,0.172127,-0.937067,0.624143,-0.080053,-0.530616
38,0.747674,0.200687,-0.949021,0.624872,-0.069592,-0.543335,0.745567,0.19097,-0.949306,0.632666,-0.036632,-0.5562,0.753303,0.195779,-0.945536,0.625332,-0.06092,-0.578599,0.759233,0.190912,-0.942329,0.614233,-0.081698,-0.535568
39,0.731475,0.206296,-0.951573,0.629098,-0.052895,-0.544157,0.739907,0.213684,-0.948749,0.626453,-0.056729,-0.550916,0.741902,0.209018,-0.951996,0.63496,-0.056155,-0.545524,0.741627,0.205824,-0.94637,0.638538,-0.044468,-0.546441
40,0.728477,0.22733,-0.950445,0.610858,-0.038034,-0.559325,0.733401,0.229663,-0.968419,0.602287,-0.046092,-0.57689,0.725376,0.225003,-0.954543,0.603983,-0.051052,-0.568505,0.729912,0.229508,-0.961936,0.615606,-0.048274,-0.558838
41,0.723013,0.242313,-0.966276,0.621509,-0.041854,-0.560184,0.709446,0.246595,-0.960311,0.599985,-0.032865,-0.571322,0.72379,0.253433,-0.963699,0.602378,-0.042966,-0.555993,0.719204,0.252973,-0.969624,0.618621,-0.037223,-0.569383
42,0.701177,0.27395,-0.972019,0.597212,-0.021029,-0.56888,0.699788,0.262582,-0.962435,0.599083,-0.016732,-0.561913,0.699496,0.264776,-0.973975,0.598383,-0.024824,-0.571475,0.695151,0.269682,-0.978102,0.592907,-0.027263,-0.571466
43,0.692957,0.281146,-0.978413,0.607506,-0.019459,-0.579544,0.683782,0.29257,-0.974206,0.590674,-0.003675,-0.562235,0.69268,0.273057,-0.968745,0.58443,0.004513,-0.574674,0.68726,0.287032,-0.978115,0.582672,-0.00505,-0.597281
44,0.671408,0.292431,-0.97763,0.566492,0.001089,-0.580374,0.675291,0.29724,-0.973081,0.582216,-0.00619,-0.594193,0.670679,0.303593,-0.981144,0.60074,-0.006358,-0.585616,0.668049,0.30443,-0.968248,0.586961,-0.010824,-0.584397
45,0.658282,0.314678,-0.979305,0.580128,0.020401,-0.595978,0.661134,0.322102,-0.985721,0.571989,-0.006523,-0.591347,0.658059,0.309875,-0.975696,0.582941,0.030607,-0.591083,0.660856,0.31444,-0.988861,0.57686,0.027451,-0.592933
46,0.644047,0.340045,-0.982106,0.565423,0.032367,-0.603599,0.648779,0.32907,-0.982658,0.554914,0.036402,-0.609943,0.64338,0.329392,-0.981819,0.576197,0.039129,-0.591141,0.637501,0.340555,-0.985423,0.576885,0.023979,-0.595765
47,0.630502,0.344611,-0.984473,0.575968,0.038237,-0.598844,0.632046,0.348024,-0.991048,0.550112,0.028178,-0.590959,0.623308,0.350023,-0.985451,0.55342,0.049684,-0.621986,0.627471,0.349956,-0.99082,0.575399,0.041164,-0.606018
48,0.621201,0.367898,-0.993031,0.557502,0.086883,-0.617767,0.620925,0.364189,-0.993392,0.567108,0.0507,-0.598628,0.618544,0.371786,-0.990875,0.553719,0.069177,-0.612679,0.620395,0.369347,-0.988713,0.561361,0.048227,-0.623938
49,0.599528,0.392674,-0.989637,0.543039,0.067809,-0.629131,0.59632,0.383251,-0.997184,0.54908,0.080903,-0.650225,0.596542,0.387258,-0.991097,0.533063,0.056512,-0.609443,0.598388,0.387015,-0.995485,0.54042,0.063929,-0.621615
50,0.588081,0.403609,-0.98728,0.526073,0.079046,-0.634019,0.591382,0.403545,-1.0015,0.546688,0.072856,-0.616229,0.589712,0.4109,-0.99116,0.545946,0.078746,-0.615162,0.589061,0.412886,-0.989045,0.551265,0.062334,-0.637923
51,0.568789,0.41946,-0.986171,0.535177,0.10357,-0.62823,0.572635,0.426384,-0.992146,0.534077,0.110446,-0.619882,0.572576,0.430208,-0.997758,0.526712,0.10718,-0.622406,0.57101,0.42259,-1.000695,0.532611,0.114771,-0.612398
52,0.560216,0.433793,-0.999323,0.522963,0.09797,-0.630619,0.558296,0.430024,-0.998191,0.51281,0.110439,-0.647941,0.558616,0.448356,-0.999816,0.530064,0.11652,-0.636726,0.555815,0.449416,-0.990365,0.512942,0.116134,-0.635905
53,0.537755,0.448559,-1.000551,0.520236,0.109019,-0.627843,0.538469,0.446573,-0.997886,0.513282,0.106191,-0.637447,0.545918,0.458227,-1.001994,0.511765,0.112248,-0.625863,0.548079,0.452981,-0.994504,0.524661,0.099465,-0.62988
54,0.525956,0.476785,-0.993955,0.512256,0.142275,-0.634937,0.523449,0.466291,-1.002089,0.520199,0.136189,-0.638425,0.518515,0.471749,-1.008409,0.502192,0.134611,-0.632096,0.530352,0.468249,-0.992862,0.522999,0.105681,-0.642383
55,0.514152,0.488943,-0.995331,0.507472,0.153339,-0.639211,0.509687,0.491086,-1.002822,0.510073,0.139052,-0.640298,0.50354,0.487894,-1.001082,0.506515,0.136714,-0.64098,0.518645,0.490451,-1.002926,0.49704,0.148323,-0.634677
56,0.486158,0.50517,-0.998063,0.528287,0.15785,-0.650595,0.492818,0.502333,-1.002741,0.508213,0.152195,-0.643597,0.487323,0.512536,-1.004647,0.504256,0.155058,-0.639234,0.495828,0.508008,-1.004489,0.494559,0.154261,-0.643422
57,0.480945,0.52266,-0.998982,0.496137,0.169636,-0.653365,0.480272,0.525941,-0.995416,0.489906,0.178869,-0.656559,0.479627,0.530634,-1.009735,0.497833,0.170332,-0.651639,0.476949,0.517012,-0.998825,0.48407,0.162582,-0.660893
58,0.461779,0.538884,-1.002205,0.47003,0.183408,-0.669802,0.460789,0.535172,-0.996006,0.481595,0.194887,-0.660659,0.456757,0.540965,-1.008188,0.473595,0.175845,-0.662453,0.456488,0.526477,-1.003884,0.464646,0.173838,-0.659552
59,0.446984,0.554491,-1.003637,0.472325,0.194589,-0.647128,0.438077,0.554181,-1.000304,0.480122,0.18267,-0.646319,0.447679,0.555354,-1.004412,0.473369,0.181331,-0.6695,0.440383,0.556096,-0.99031,0.460656,0.194612,-0.637532
60,0.429494,0.574757,-0.99565,0.458338,0.201527,-0.658379,0.423738,0.56086,-1.006049,0.458056,0.210988,-0.658665,0.433096,0.569684,-0.995383,0.469243,0.207831,-0.664904,0.424249,0.56427,-0.999741,0.460245,0.214495,-0.658531
61,0.410875,0.586564,-0.998746,0.452083,0.216153,-0.658227,0.408269,0.573991,-0.995612,0.451823,0.211665,-0.663676,0.414469,0.580863,-0.996269,0.455358,0.211559,-0.680816,0.414984,0.585395,-0.994246,0.446108,0.219824,-0.661827
62,0.397241,0.599155,-0.991296,0.42895,0.242009,-0.68269,0.391765,0.599882,-0.98949,0.429176,0.23222,-0.65868,0.389971,0.600493,-0.991155,0.44414,0.229828,-0.677673,0.392791,0.604532,-0.992141,0.415551,0.248521,-0.673359
63,0.376984,0.615672,-1.004715,0.444771,0.244749,-0.667962,0.375338,0.616246,-0.994681,0.424838,0.249659,-0.690029,0.373467,0.621855,-0.985185,0.418743,0.22175,-0.677272,0.380522,0.616,-0.981744,0.410956,0.242899,-0.656644
64,0.351579,0.630112,-0.99124,0.438432,0.247753,-0.685783,0.35601,0.630879,-0.989501,0.41806,0.256949,-0.657165,0.354492,0.62642,-0.989809,0.424094,0.255975,-0.678618,0.356721,0.630868,-0.987661,0.417653,0.247721,-0.670488
65,0.332922,0.648156,-0.986077,0.407004,0.261009,-0.683592,0.334187,0.63998,-0.983496,0.411881,0.256213,-0.67462,0.3381,0.647102,-0.977903,0.400701,0.264761,-0.671865,0.344889,0.647098,-0.985789,0.401363,0.272351,-0.685436
66,0.321998,0.646242,-0.97573,0.389018,0.269451,-0.676776,0.312474,0.654472,-0.982721,0.405075,0.267395,-0.675235,0.31831,0.660305,-0.980403,0.392846,0.270003,-0.657907,0.318343,0.65393,-0.979841,0.408984,0.270843,-0.676494
