x_m,y_m,elevation_m
0.0,0.0,915.993
0.0,50.51,914.694
0.0,101.01,916.176
0.0,151.52,917.778
0.0,202.02,914.056
0.0,252.53,913.791
0.0,303.03,917.095
0.0,353.54,915.094
0.0,404.04,912.188
0.0,454.55,913.728
0.0,505.05,911.182
0.0,555.56,910.595
0.0,606.06,911.381
0.0,656.57,906.399
0.0,707.07,906.063
0.0,757.58,907.638
0.0,808.08,905.951
0.0,858.59,907.788
0.0,909.09,904.497
0.0,959.6,902.618
0.0,1010.1,907.481
0.0,1060.61,903.187
0.0,1111.11,902.849
0.0,1161.62,898.928
0.0,1212.12,899.745
0.0,1262.63,900.11
0.0,1313.13,896.64
0.0,1363.64,898.751
0.0,1414.14,895.865
0.0,1464.65,895.56
0.0,1515.15,894.033
0.0,1565.66,898.053
0.0,1616.16,893.457
0.0,1666.67,890.529
0.0,1717.17,893.479
0.0,1767.68,888.615
0.0,1818.18,890.732
0.0,1868.69,885.692
0.0,1919.19,886.293
0.0,1969.7,888.725
0.0,2020.2,889.237
0.0,2070.71,887.58
0.0,2121.21,886.534
0.0,2171.72,885.744
0.0,2222.22,883.025
0.0,2272.73,884.233
0.0,2323.23,884.5
0.0,2373.74,887.342
0.0,2424.24,885.78
0.0,2474.75,881.491
0.0,2525.25,885.65
0.0,2575.76,884.276
0.0,2626.26,883.796
0.0,2676.77,886.536
0.0,2727.27,887.595
0.0,2777.78,887.675
0.0,2828.28,884.469
0.0,2878.79,885.92
0.0,2929.29,887.645
0.0,2979.8,889.43
0.0,3030.3,887.067
0.0,3080.81,888.248
0.0,3131.31,887.045
0.0,3181.82,887.547
0.0,3232.32,892.287
0.0,3282.83,894.134
0.0,3333.33,892.07
0.0,3383.84,895.046
0.0,3434.34,894.614
0.0,3484.85,893.477
0.0,3535.35,896.388
0.0,3585.86,899.655
0.0,3636.36,897.436
0.0,3686.87,901.575
0.0,3737.37,894.151
0.0,3787.88,901.981
0.0,3838.38,901.456
0.0,3888.89,901.625
0.0,3939.39,903.338
0.0,3989.9,900.098
0.0,4040.4,904.536
0.0,4090.91,906.573
0.0,4141.41,909.674
0.0,4191.92,906.514
0.0,4242.42,906.736
0.0,4292.93,908.119
0.0,4343.43,911.687
0.0,4393.94,911.207
0.0,4444.44,910.142
0.0,4494.95,912.835
0.0,4545.45,912.563
0.0,4595.96,914.817
0.0,4646.46,911.935
0.0,4696.97,913.09
0.0,4747.47,913.312
0.0,4797.98,911.465
0.0,4848.48,915.222
0.0,4898.99,915.332
0.0,4949.49,914.941
0.0,5000.0,914.523
50.51,0.0,913.179
50.51,50.51,915.138
50.51,101.01,915.205
50.51,151.52,914.137
50.51,202.02,915.211
50.51,252.53,916.077
50.51,303.03,918.719
50.51,353.54,914.918
50.51,404.04,914.652
50.51,454.55,913.504
50.51,505.05,909.281
50.51,555.56,912.483
50.51,606.06,912.028
50.51,656.57,916.162
50.51,707.07,910.138
50.51,757.58,910.375
50.51,808.08,908.917
50.51,858.59,905.832
50.51,909.09,909.609
50.51,959.6,907.956
50.51,1010.1,907.141
50.51,1060.61,902.83
50.51,1111.11,906.529
50.51,1161.62,899.983
50.51,1212.12,903.018
50.51,1262.63,905.278
50.51,1313.13,897.97
50.51,1363.64,897.877
50.51,1414.14,898.275
50.51,1464.65,896.146
50.51,1515.15,893.145
50.51,1565.66,895.496
50.51,1616.16,892.369
50.51,1666.67,894.601
50.51,1717.17,891.005
50.51,1767.68,895.166
50.51,1818.18,889.758
50.51,1868.69,889.977
50.51,1919.19,891.586
50.51,1969.7,886.879
50.51,2020.2,889.225
50.51,2070.71,890.861
50.51,2121.21,884.56
50.51,2171.72,887.725
50.51,2222.22,887.511
50.51,2272.73,888.246
50.51,2323.23,883.957
50.51,2373.74,883.596
50.51,2424.24,887.146
50.51,2474.75,886.621
50.51,2525.25,886.512
50.51,2575.76,886.748
50.51,2626.26,884.799
50.51,2676.77,886.786
50.51,2727.27,887.129
50.51,2777.78,885.393
50.51,2828.28,890.889
50.51,2878.79,888.496
50.51,2929.29,885.61
50.51,2979.8,889.802
50.51,3030.3,887.085
50.51,3080.81,891.203
50.51,3131.31,892.585
50.51,3181.82,889.308
50.51,3232.32,893.598
50.51,3282.83,893.256
50.51,3333.33,894.868
50.51,3383.84,897.842
50.51,3434.34,894.41
50.51,3484.85,894.27
50.51,3535.35,894.895
50.51,3585.86,895.957
50.51,3636.36,898.363
50.51,3686.87,900.138
50.51,3737.37,900.953
50.51,3787.88,903.001
50.51,3838.38,902.318
50.51,3888.89,906.139
50.51,3939.39,903.634
50.51,3989.9,910.523
50.51,4040.4,907.237
50.51,4090.91,905.154
50.51,4141.41,905.586
50.51,4191.92,909.525
50.51,4242.42,908.916
50.51,4292.93,911.56
50.51,4343.43,911.812
50.51,4393.94,911.414
50.51,4444.44,910.517
50.51,4494.95,909.788
50.51,4545.45,912.485
50.51,4595.96,915.602
50.51,4646.46,914.777
50.51,4696.97,912.263
50.51,4747.47,915.453
50.51,4797.98,916.172
50.51,4848.48,913.872
50.51,4898.99,916.127
50.51,4949.49,916.057
50.51,5000.0,913.715
101.01,0.0,917.732
101.01,50.51,918.108
101.01,101.01,919.063
101.01,151.52,918.856
101.01,202.02,913.786
101.01,252.53,914.4
101.01,303.03,916.984
101.01,353.54,916.603
101.01,404.04,916.174
101.01,454.55,922.365
101.01,505.05,915.267
101.01,555.56,915.814
101.01,606.06,914.822
101.01,656.57,913.545
101.01,707.07,910.899
101.01,757.58,912.297
101.01,808.08,908.448
101.01,858.59,908.702
101.01,909.09,907.359
101.01,959.6,907.623
