timestamp,zone_id,consumption_kwh,grid_voltage_kv,power_factor
2024-01-01 00:00:00,zone_01,712.74,11.1055,0.9636
2024-01-01 00:00:00,zone_02,719.26,11.1184,0.9333
2024-01-01 00:00:00,zone_03,668.59,11.051,0.9676
2024-01-01 00:00:00,zone_04,823.14,11.1856,0.9156
2024-01-01 00:00:00,zone_05,974.02,11.0519,0.8566
2024-01-01 00:00:00,zone_06,469.93,11.0809,0.8562
2024-01-01 00:00:00,zone_07,779.11,10.9477,0.8715
2024-01-01 00:00:00,zone_08,463.76,11.1111,0.8744
2024-01-01 00:00:00,zone_09,783.57,11.0092,0.9845
2024-01-01 00:00:00,zone_10,607.53,10.9982,0.8784
2024-01-01 01:00:00,zone_01,535.07,10.9434,0.9469
2024-01-01 01:00:00,zone_02,537.5,11.1899,0.9513
2024-01-01 01:00:00,zone_03,842.75,10.9277,0.9111
2024-01-01 01:00:00,zone_04,699.95,10.9264,0.8977
2024-01-01 01:00:00,zone_05,899.94,11.0121,0.8698
2024-01-01 01:00:00,zone_06,618.06,10.8387,0.9637
2024-01-01 01:00:00,zone_07,735.71,11.1213,0.9202
2024-01-01 01:00:00,zone_08,557.96,10.9187,0.8607
2024-01-01 01:00:00,zone_09,589.92,10.9665,0.9221
2024-01-01 01:00:00,zone_10,574.41,10.9453,0.9358
2024-01-01 02:00:00,zone_01,831.06,10.8638,0.8933
2024-01-01 02:00:00,zone_02,939.51,11.0067,0.9777
2024-01-01 02:00:00,zone_03,511.33,10.9954,0.8741
2024-01-01 02:00:00,zone_04,533.94,10.8,0.9056
2024-01-01 02:00:00,zone_05,569.49,10.9772,0.9789
2024-01-01 02:00:00,zone_06,855.64,11.1686,0.9324
2024-01-01 02:00:00,zone_07,567.97,10.98,0.9166
2024-01-01 02:00:00,zone_08,940.02,10.8594,0.9478
2024-01-01 02:00:00,zone_09,735.48,10.9199,0.8819
2024-01-01 02:00:00,zone_10,649.72,11.0909,0.9195
2024-01-01 03:00:00,zone_01,522.05,11.0366,0.9212
2024-01-01 03:00:00,zone_02,582.22,10.8865,0.8783
2024-01-01 03:00:00,zone_03,615.98,11.1122,0.8651
2024-01-01 03:00:00,zone_04,949.02,11.1274,0.8701
2024-01-01 03:00:00,zone_05,681.17,11.1543,0.8939
2024-01-01 03:00:00,zone_06,886.79,10.9575,0.9541
2024-01-01 03:00:00,zone_07,559.39,10.9486,0.9773
2024-01-01 03:00:00,zone_08,710.76,11.0446,0.9808
2024-01-01 03:00:00,zone_09,748.43,11.1466,0.9736
2024-01-01 03:00:00,zone_10,520.88,11.1163,0.9368
2024-01-01 04:00:00,zone_01,891.22,10.9651,0.9778
2024-01-01 04:00:00,zone_02,766.15,10.9155,0.9085
2024-01-01 04:00:00,zone_03,909.11,10.8855,0.9892
2024-01-01 04:00:00,zone_04,474.93,10.9749,0.92
2024-01-01 04:00:00,zone_05,803.7,11.1982,0.899
2024-01-01 04:00:00,zone_06,449.33,10.9264,0.9897
2024-01-01 04:00:00,zone_07,910.2,11.0517,0.9809
2024-01-01 04:00:00,zone_08,432.82,11.121,0.8624
2024-01-01 04:00:00,zone_09,710.84,11.1656,0.9857
2024-01-01 04:00:00,zone_10,434.23,10.9856,0.9199
2024-01-01 05:00:00,zone_01,512.46,10.8953,0.959
2024-01-01 05:00:00,zone_02,523.68,10.8498,0.9406
2024-01-01 05:00:00,zone_03,714.43,10.8845,0.9368
2024-01-01 05:00:00,zone_04,740.39,11.1185,0.9747
2024-01-01 05:00:00,zone_05,966.64,11.177,0.9311
2024-01-01 05:00:00,zone_06,613.59,10.8845,0.8729
2024-01-01 05:00:00,zone_07,843.28,11.0635,0.9706
2024-01-01 05:00:00,zone_08,706.08,10.822,0.9082
2024-01-01 05:00:00,zone_09,662.55,11.1201,0.9101
2024-01-01 05:00:00,zone_10,884.28,11.0373,0.8915
2024-01-01 06:00:00,zone_01,1985.13,11.0494,0.8855
2024-01-01 06:00:00,zone_02,1260.25,11.0936,0.892
2024-01-01 06:00:00,zone_03,2017.06,10.8082,0.8593
2024-01-01 06:00:00,zone_04,1763.61,10.8142,0.923
2024-01-01 06:00:00,zone_05,1326.59,10.9921,0.9362
2024-01-01 06:00:00,zone_06,1436.39,10.895,0.9018
2024-01-01 06:00:00,zone_07,1623.26,10.8658,0.8668
2024-01-01 06:00:00,zone_08,1937.67,10.9063,0.9191
2024-01-01 06:00:00,zone_09,820.21,10.8486,0.8578
2024-01-01 06:00:00,zone_10,796.13,10.8886,0.8519
2024-01-01 07:00:00,zone_01,1675.55,10.98,0.8994
2024-01-01 07:00:00,zone_02,1799.34,10.9925,0.9822
2024-01-01 07:00:00,zone_03,1965.95,10.8009,0.9736
2024-01-01 07:00:00,zone_04,2077.28,11.0675,0.9403
2024-01-01 07:00:00,zone_05,1459.71,10.9341,0.9854
2024-01-01 07:00:00,zone_06,1867.99,11.0216,0.9385
2024-01-01 07:00:00,zone_07,1182.97,11.0069,0.9063
2024-01-01 07:00:00,zone_08,1735.69,11.0035,0.8867
2024-01-01 07:00:00,zone_09,1162.41,10.9119,0.9378
2024-01-01 07:00:00,zone_10,1855.88,10.9025,0.9859
2024-01-01 08:00:00,zone_01,1522.06,10.8316,0.9166
2024-01-01 08:00:00,zone_02,1230.21,11.032,0.8695
2024-01-01 08:00:00,zone_03,1086.7,10.8832,0.96
2024-01-01 08:00:00,zone_04,1653.56,11.0143,0.8666
2024-01-01 08:00:00,zone_05,1968.24,10.9127,0.9731
2024-01-01 08:00:00,zone_06,1490.02,11.0047,0.9184
2024-01-01 08:00:00,zone_07,1547.74,10.8676,0.9087
2024-01-01 08:00:00,zone_08,2025.2,10.8155,0.9487
2024-01-01 08:00:00,zone_09,1968.18,11.1513,0.9725
2024-01-01 08:00:00,zone_10,1335.68,11.0306,0.9431
2024-01-01 09:00:00,zone_01,2604.29,11.1153,0.9363
2024-01-01 09:00:00,zone_02,2776.06,11.0884,0.9128
2024-01-01 09:00:00,zone_03,1217.44,10.8455,0.9487
2024-01-01 09:00:00,zone_04,1290.43,10.9173,0.9461
2024-01-01 09:00:00,zone_05,1232.78,10.8209,0.8835
2024-01-01 09:00:00,zone_06,1869.3,11.0703,0.9017
2024-01-01 09:00:00,zone_07,1422.85,11.1147,0.9532
2024-01-01 09:00:00,zone_08,2381.5,10.9072,0.8709
2024-01-01 09:00:00,zone_09,2457.16,10.8011,0.8683
2024-01-01 09:00:00,zone_10,2681.26,10.9958,0.8531
2024-01-01 10:00:00,zone_01,2585.79,11.0232,0.9379
2024-01-01 10:00:00,zone_02,1697.8,10.9338,0.9446
2024-01-01 10:00:00,zone_03,2641.15,10.8212,0.8605
2024-01-01 10:00:00,zone_04,1206.47,11.1219,0.9436
2024-01-01 10:00:00,zone_05,2718.46,11.0237,0.867
2024-01-01 10:00:00,zone_06,1911.26,10.8459,0.9507
2024-01-01 10:00:00,zone_07,1452.91,10.8763,0.967
2024-01-01 10:00:00,zone_08,1270.15,10.8152,0.9427
2024-01-01 10:00:00,zone_09,2250.54,11.0949,0.9788
2024-01-01 10:00:00,zone_10,1454.96,11.0312,0.9489
2024-01-01 11:00:00,zone_01,1966.23,11.1077,0.9491
2024-01-01 11:00:00,zone_02,1807.17,11.1,0.8902
2024-01-01 11:00:00,zone_03,1402.39,11.0034,0.894
2024-01-01 11:00:00,zone_04,1088.82,10.8984,0.8938
2024-01-01 11:00:00,zone_05,2434.18,11.0184,0.9667
2024-01-01 11:00:00,zone_06,2226.34,11.0376,0.9528
2024-01-01 11:00:00,zone_07,1901.5,11.0572,0.9392
2024-01-01 11:00:00,zone_08,2349.35,11.0806,0.9109
2024-01-01 11:00:00,zone_09,2139.91,10.8311,0.9101
2024-01-01 11:00:00,zone_10,2288.23,10.9081,0.9492
2024-01-01 12:00:00,zone_01,1986.74,11.1529,0.9178
2024-01-01 12:00:00,zone_02,2121.1,11.0466,0.9081
2024-01-01 12:00:00,zone_03,2405.24,11.1041,0.9789
2024-01-01 12:00:00,zone_04,2348.61,11.0745,0.9331
2024-01-01 12:00:00,zone_05,2662.83,11.0845,0.9568
2024-01-01 12:00:00,zone_06,2467.47,10.9222,0.9672
2024-01-01 12:00:00,zone_07,2060.38,11.0605,0.9013
2024-01-01 12:00:00,zone_08,1491.87,11.0889,0.962
2024-01-01 12:00:00,zone_09,1005.78,11.0951,0.8543
2024-01-01 12:00:00,zone_10,2745.81,11.1468,0.8664
2024-01-01 13:00:00,zone_01,2611.01,11.0532,0.9663
2024-01-01 13:00:00,zone_02,2050.36,11.0796,0.8784
2024-01-01 13:00:00,zone_03,2515.2,11.1291,0.9142
2024-01-01 13:00:00,zone_04,1581.34,10.9285,0.8618
2024-01-01 13:00:00,zone_05,2148.27,11.0113,0.9717
2024-01-01 13:00:00,zone_06,1168.67,11.0793,0.9637
2024-01-01 13:00:00,zone_07,1900.56,10.8235,0.8511
2024-01-01 13:00:00,zone_08,2439.6,10.8449,0.8504
2024-01-01 13:00:00,zone_09,1248.1,10.8945,0.9786
2024-01-01 13:00:00,zone_10,2338.01,11.0844,0.8843
2024-01-01 14:00:00,zone_01,1559.95,10.9149,0.8806
2024-01-01 14:00:00,zone_02,1303.24,11.1706,0.866
2024-01-01 14:00:00,zone_03,1638.31,11.0167,0.8757
2024-01-01 14:00:00,zone_04,1169.66,11.1441,0.8826
2024-01-01 14:00:00,zone_05,1789.1,10.8412,0.8678
2024-01-01 14:00:00,zone_06,1474.96,10.8055,0.8617
2024-01-01 14:00:00,zone_07,1238.02,10.9715,0.8552
2024-01-01 14:00:00,zone_08,2788.32,11.1709,0.879
2024-01-01 14:00:00,zone_09,2211.86,11.1145,0.9023
2024-01-01 14:00:00,zone_10,2520.85,11.1058,0.8647
2024-01-01 15:00:00,zone_01,2247.96,11.1103,0.9436
2024-01-01 15:00:00,zone_02,1288.14,11.1702,0.9897
2024-01-01 15:00:00,zone_03,2672.06,10.9348,0.9623
2024-01-01 15:00:00,zone_04,2045.35,10.8029,0.9673
2024-01-01 15:00:00,zone_05,2575.97,10.997,0.9839
2024-01-01 15:00:00,zone_06,1373.94,10.8084,0.9712
2024-01-01 15:00:00,zone_07,2779.74,11.1742,0.878
2024-01-01 15:00:00,zone_08,1816.13,10.9991,0.8628
2024-01-01 15:00:00,zone_09,1951.09,10.8725,0.8542
2024-01-01 15:00:00,zone_10,2036.42,11.1435,0.9411
2024-01-01 16:00:00,zone_01,2558.5,10.937,0.9333
2024-01-01 16:00:00,zone_02,2490.4,10.9619,0.883
2024-01-01 16:00:00,zone_03,2617.86,11.1217,0.9806
2024-01-01 16:00:00,zone_04,1730.76,11.0918,0.9752
2024-01-01 16:00:00,zone_05,1334.86,10.8882,0.9702
2024-01-01 16:00:00,zone_06,2753.46,11.0371,0.9718
2024-01-01 16:00:00,zone_07,2005.59,10.957,0.9168
2024-01-01 16:00:00,zone_08,1482.62,11.0638,0.9446
2024-01-01 16:00:00,zone_09,2226.92,10.8165,0.9088
